日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000632,三木集团,5.67,5.74,5.65,5.74,5.64,0.03,0.5319,3550281,20196972.37
2019-06-28,'000632,三木集团,5.64,5.68,5.57,5.6,5.61,0.03,0.5348,3462800,19491606.11
2019-06-27,'000632,三木集团,5.61,5.77,5.58,5.67,5.61,0.0,0.0,6049800,34276753.0
2019-06-26,'000632,三木集团,5.61,5.88,5.58,5.6,5.64,-0.03,-0.5319,7187334,40997766.88
2019-06-25,'000632,三木集团,5.64,5.76,5.59,5.66,5.7,-0.06,-1.0526,5359828,30299157.03
2019-06-24,'000632,三木集团,5.7,5.81,5.54,5.56,5.6,0.1,1.7857,7431441,42329712.5
2019-06-21,'000632,三木集团,5.6,5.65,5.48,5.53,5.51,0.09,1.6334,6695091,37345995.98
2019-06-20,'000632,三木集团,5.51,5.52,5.29,5.29,5.31,0.2,3.7665,7317928,39406536.57
2019-06-19,'000632,三木集团,5.31,5.65,5.29,5.5,5.38,-0.07,-1.3011,6890849,37385454.17
2019-06-18,'000632,三木集团,5.38,5.55,5.28,5.53,5.58,-0.2,-3.5842,8799222,47119583.26
2019-06-17,'000632,三木集团,5.58,5.61,5.34,5.39,5.32,0.26,4.8872,8634411,47251806.58
2019-06-14,'000632,三木集团,5.32,5.46,5.21,5.35,5.35,-0.03,-0.5607,8105349,43254236.74
2019-06-13,'000632,三木集团,5.35,5.38,5.15,5.15,5.19,0.16,3.0829,8251704,43822906.96
2019-06-12,'000632,三木集团,5.19,5.29,5.08,5.11,5.14,0.05,0.9728,7987927,41611353.71
2019-06-11,'000632,三木集团,5.14,5.14,4.93,4.95,4.98,0.16,3.2129,5466902,27775732.78
2019-06-10,'000632,三木集团,4.98,5.05,4.7,4.9,4.85,0.13,2.6804,6322389,30716061.87
2019-06-06,'000632,三木集团,4.85,5.11,4.79,5.09,5.09,-0.24,-4.7151,7503500,36826861.0
2019-06-05,'000632,三木集团,5.09,5.15,5.05,5.1,5.06,0.03,0.5929,2577567,13103300.02
2019-06-04,'000632,三木集团,5.06,5.13,5.01,5.03,5.04,0.02,0.3968,3347367,16991405.02
2019-06-03,'000632,三木集团,5.04,5.22,4.98,5.13,5.12,-0.08,-1.5625,4696467,23813931.67
2019-05-31,'000632,三木集团,5.12,5.23,5.1,5.17,5.12,0.0,0.0,4478300,23055454.0
2019-05-30,'000632,三木集团,5.12,5.21,4.95,4.98,5.1,0.02,0.3922,7075800,36050510.45
2019-05-29,'000632,三木集团,5.1,5.4,4.98,5.0,5.0,0.1,2.0,9531473,49213299.71
2019-05-28,'000632,三木集团,5.0,5.08,4.94,4.98,4.98,0.02,0.4016,4699301,23589485.66
2019-05-27,'000632,三木集团,4.98,5.0,4.8,4.8,4.74,0.24,5.0633,6902983,34049768.17
2019-05-24,'000632,三木集团,4.74,4.83,4.72,4.76,4.74,0.0,0.0,3512600,16751909.0
2019-05-23,'000632,三木集团,4.74,4.89,4.73,4.82,4.82,-0.08,-1.6598,3175934,15235847.42
2019-05-22,'000632,三木集团,4.82,4.87,4.76,4.86,4.85,-0.03,-0.6186,3268850,15746638.5
2019-05-21,'000632,三木集团,4.85,4.91,4.75,4.81,4.82,0.03,0.6224,6096616,29529390.19
2019-05-20,'000632,三木集团,4.82,4.85,4.6,4.78,4.73,0.09,1.9027,4793083,22677351.95
2019-05-17,'000632,三木集团,4.73,5.01,4.73,5.0,4.96,-0.23,-4.6371,10925502,52672341.79
2019-05-16,'000632,三木集团,4.96,5.01,4.65,4.78,4.7,0.26,5.5319,11861845,57837419.22
2019-05-15,'000632,三木集团,4.7,4.71,4.54,4.6,4.57,0.13,2.8446,6330270,29444625.6
2019-05-14,'000632,三木集团,4.57,4.61,4.51,4.51,4.58,-0.01,-0.2183,4078414,18599016.55
2019-05-13,'000632,三木集团,4.58,4.63,4.54,4.54,4.62,-0.04,-0.8658,4628656,21205346.49
2019-05-10,'000632,三木集团,4.62,4.65,4.44,4.53,4.5,0.12,2.6667,6522338,29877427.08
2019-05-09,'000632,三木集团,4.5,4.58,4.46,4.5,4.53,-0.03,-0.6623,3909655,17660844.67
2019-05-08,'000632,三木集团,4.53,4.63,4.41,4.45,4.56,-0.03,-0.6579,4210879,19038302.54
2019-05-07,'000632,三木集团,4.56,4.67,4.47,4.54,4.54,0.02,0.4405,5682901,25981834.27
2019-05-06,'000632,三木集团,4.54,4.89,4.54,4.89,5.04,-0.5,-9.9206,7353200,34417531.0
2019-04-30,'000632,三木集团,5.04,5.09,4.9,4.94,4.96,0.08,1.6129,5178651,26059787.5
2019-04-29,'000632,三木集团,4.96,5.28,4.93,5.24,5.22,-0.26,-4.9808,10529407,53257783.65
2019-04-26,'000632,三木集团,5.22,5.33,5.18,5.28,5.28,-0.06,-1.1364,9136305,47949871.42
2019-04-25,'000632,三木集团,5.28,5.72,5.27,5.53,5.54,-0.26,-4.6931,13995801,77094097.35
2019-04-24,'000632,三木集团,5.54,5.68,5.45,5.6,5.74,-0.2,-3.4843,13799779,76715404.82
2019-04-23,'000632,三木集团,5.74,5.97,5.53,5.7,5.73,0.01,0.1745,24327434,139788168.13
2019-04-22,'000632,三木集团,5.73,6.06,5.73,5.85,6.1,-0.37,-6.0656,29650125,174807688.82
2019-04-19,'000632,三木集团,6.1,6.55,5.95,6.4,6.29,-0.19,-3.0207,53061391,330321331.09
2019-04-18,'000632,三木集团,6.29,6.29,6.29,6.29,5.72,0.57,9.965,22029110,138563101.9
2019-04-17,'000632,三木集团,5.72,5.72,5.22,5.23,5.2,0.52,10.0,25523648,142055838.44
2019-04-16,'000632,三木集团,5.2,5.21,5.03,5.09,5.13,0.07,1.3645,11514295,58941494.15
2019-04-15,'000632,三木集团,5.13,5.2,5.04,5.06,5.01,0.12,2.3952,11086416,56843462.52
2019-04-12,'000632,三木集团,5.01,5.1,4.94,5.07,5.08,-0.07,-1.378,8264800,41414986.0
2019-04-11,'000632,三木集团,5.08,5.33,5.06,5.07,5.08,0.0,0.0,18630405,96552754.49
2019-04-10,'000632,三木集团,5.08,5.13,4.98,5.07,5.11,-0.03,-0.5871,8515268,43071226.2
2019-04-09,'000632,三木集团,5.11,5.2,4.95,4.99,4.98,0.13,2.6104,11502564,58388159.3
2019-04-08,'000632,三木集团,4.98,5.1,4.89,5.06,5.05,-0.07,-1.3861,9190603,46000668.11
2019-04-04,'000632,三木集团,5.05,5.13,4.98,5.02,4.97,0.08,1.6097,10745994,54196072.64
2019-04-03,'000632,三木集团,4.97,4.98,4.84,4.9,4.93,0.04,0.8114,7333617,36203263.03
2019-04-02,'000632,三木集团,4.93,5.01,4.89,4.92,4.9,0.03,0.6122,7672127,37866936.28
2019-04-01,'000632,三木集团,4.9,4.96,4.82,4.83,4.79,0.11,2.2965,8335820,40882111.95
2019-03-29,'000632,三木集团,4.79,4.84,4.58,4.7,4.7,0.09,1.9149,9400720,44371230.05
2019-03-28,'000632,三木集团,4.7,4.92,4.68,4.86,4.89,-0.19,-3.8855,8583810,41430874.95
2019-03-27,'000632,三木集团,4.89,4.98,4.75,4.9,4.93,-0.04,-0.8114,8057809,39010774.83
2019-03-26,'000632,三木集团,4.93,5.04,4.87,4.96,4.89,0.04,0.818,11067181,54863053.94
2019-03-25,'000632,三木集团,4.89,4.96,4.83,4.85,4.97,-0.08,-1.6097,7852101,38505848.88
2019-03-22,'000632,三木集团,4.97,4.99,4.81,4.94,4.98,-0.01,-0.2008,12172750,59975007.57
2019-03-21,'000632,三木集团,4.98,5.15,4.95,4.97,4.99,-0.01,-0.2004,20997266,105253639.51
2019-03-20,'000632,三木集团,4.99,5.11,4.84,5.07,5.19,-0.2,-3.8536,31330946,156026453.33
2019-03-19,'000632,三木集团,5.19,5.19,4.67,4.72,4.72,0.47,9.9576,34639486,176544169.83
2019-03-18,'000632,三木集团,4.72,4.72,4.63,4.72,4.72,0.0,0.0,10361194,48458903.06
2019-03-15,'000632,三木集团,4.72,4.73,4.51,4.52,4.51,0.21,4.6563,7770552,35972282.49
2019-03-14,'000632,三木集团,4.51,4.77,4.45,4.66,4.62,-0.11,-2.381,7910338,36499092.82
2019-03-13,'000632,三木集团,4.62,4.82,4.61,4.75,4.68,-0.06,-1.2821,9956255,46953407.61
2019-03-12,'000632,三木集团,4.68,4.83,4.62,4.78,4.68,0.0,0.0,9720131,45918288.02
2019-03-11,'000632,三木集团,4.68,4.71,4.49,4.49,4.4,0.28,6.3636,9872870,45640639.6
2019-03-08,'000632,三木集团,4.4,4.71,4.39,4.71,4.74,-0.34,-7.173,10372562,47537407.29
2019-03-07,'000632,三木集团,4.74,4.77,4.63,4.66,4.69,0.05,1.0661,9969443,46918621.89
2019-03-06,'000632,三木集团,4.69,4.73,4.57,4.6,4.58,0.11,2.4017,10552672,49176184.41
2019-03-05,'000632,三木集团,4.58,4.58,4.43,4.47,4.48,0.1,2.2321,7824547,35383016.93
2019-03-04,'000632,三木集团,4.48,4.54,4.43,4.45,4.46,0.02,0.4484,9168927,41192481.21
2019-03-01,'000632,三木集团,4.46,4.49,4.38,4.42,4.41,0.05,1.1338,7641510,33899829.66
2019-02-28,'000632,三木集团,4.41,4.51,4.37,4.48,4.48,-0.07,-1.5625,8667271,38412130.62
2019-02-27,'000632,三木集团,4.48,4.54,4.33,4.35,4.35,0.13,2.9885,13785411,61401593.37
2019-02-26,'000632,三木集团,4.35,4.5,4.27,4.32,4.32,0.03,0.6944,13194934,58006723.1
2019-02-25,'000632,三木集团,4.32,4.33,4.14,4.16,4.16,0.16,3.8462,12440894,52876460.94
2019-02-22,'000632,三木集团,4.16,4.21,3.97,4.07,4.07,0.09,2.2113,12820237,52678727.26
2019-02-21,'000632,三木集团,4.07,4.22,4.04,4.07,4.07,0.0,0.0,10550858,43566448.76
2019-02-20,'000632,三木集团,4.07,4.08,3.99,4.06,4.06,0.01,0.2463,4574116,18487582.7
2019-02-19,'000632,三木集团,4.06,4.09,3.98,4.02,4.02,0.04,0.995,5875457,23737483.01
2019-02-18,'000632,三木集团,4.02,4.03,3.95,3.97,3.93,0.09,2.2901,5250551,21001144.75
2019-02-15,'000632,三木集团,3.93,4.02,3.9,3.93,3.93,0.0,0.0,5205513,20556168.11
2019-02-14,'000632,三木集团,3.93,3.99,3.9,3.92,3.93,0.0,0.0,2839000,11174613.0
2019-02-13,'000632,三木集团,3.93,3.95,3.84,3.86,3.85,0.08,2.0779,3560172,13848258.06
2019-02-12,'000632,三木集团,3.85,3.89,3.76,3.78,3.79,0.06,1.5831,3978937,15320675.53
2019-02-11,'000632,三木集团,3.79,3.8,3.68,3.72,3.72,0.07,1.8817,2913066,10941949.91
2019-02-01,'000632,三木集团,3.72,3.73,3.6,3.6,3.6,0.12,3.3333,3059821,11244347.49
2019-01-31,'000632,三木集团,3.6,3.75,3.56,3.71,3.67,-0.07,-1.9074,3282500,11985952.0
2019-01-30,'000632,三木集团,3.67,3.76,3.67,3.72,3.72,-0.05,-1.3441,2116747,7853615.85
2019-01-29,'000632,三木集团,3.72,3.79,3.66,3.78,3.81,-0.09,-2.3622,3233400,12050058.0
2019-01-28,'000632,三木集团,3.81,3.89,3.73,3.87,3.85,-0.04,-1.039,3145308,12016839.01
2019-01-25,'000632,三木集团,3.85,3.94,3.84,3.93,3.92,-0.07,-1.7857,2645563,10319457.6
2019-01-24,'000632,三木集团,3.92,3.95,3.87,3.91,3.91,0.01,0.2558,2617400,10255401.0
2019-01-23,'000632,三木集团,3.91,3.94,3.83,3.93,3.93,-0.02,-0.5089,3971501,15423386.87
2019-01-22,'000632,三木集团,3.93,4.05,3.89,4.03,4.03,-0.1,-2.4814,5075500,20116668.0
2019-01-21,'000632,三木集团,4.03,4.09,3.96,4.0,3.98,0.05,1.2563,5781401,23303939.02
2019-01-18,'000632,三木集团,3.98,4.01,3.94,3.99,3.99,-0.01,-0.2506,2821453,11210535.88
2019-01-17,'000632,三木集团,3.99,4.02,3.95,3.99,3.99,0.0,0.0,2896845,11555240.55
2019-01-16,'000632,三木集团,3.99,4.05,3.97,4.01,4.04,-0.05,-1.2376,4055947,16235738.59
2019-01-15,'000632,三木集团,4.04,4.05,3.95,4.03,4.05,-0.01,-0.2469,4980999,19907406.58
2019-01-14,'000632,三木集团,4.05,4.05,3.99,4.02,4.02,0.03,0.7463,3812257,15345790.99
2019-01-11,'000632,三木集团,4.02,4.03,3.96,3.98,3.96,0.06,1.5152,4175358,16722496.59
2019-01-10,'000632,三木集团,3.96,4.01,3.94,3.97,3.98,-0.02,-0.5025,4558063,18119505.11
2019-01-09,'000632,三木集团,3.98,4.06,3.97,3.99,4.0,-0.02,-0.5,6771309,27238944.77
2019-01-08,'000632,三木集团,4.0,4.07,3.99,4.07,4.09,-0.09,-2.2005,5384199,21648920.3
2019-01-07,'000632,三木集团,4.09,4.12,4.0,4.06,4.05,0.04,0.9877,8945400,36385426.73
2019-01-04,'000632,三木集团,4.05,4.11,3.87,3.88,3.97,0.08,2.0151,10852704,43560927.81
2019-01-03,'000632,三木集团,3.97,4.06,3.73,3.87,3.92,0.05,1.2755,9916778,38888547.24
2019-01-02,'000632,三木集团,3.92,4.04,3.85,3.91,3.86,0.06,1.5544,7746811,30640444.48
2018-12-28,'000632,三木集团,3.86,3.86,3.73,3.73,3.72,0.14,3.7634,3715461,14137831.55
2018-12-27,'000632,三木集团,3.72,3.93,3.72,3.91,3.84,-0.12,-3.125,3707535,14232523.8
2018-12-26,'000632,三木集团,3.84,3.92,3.82,3.82,3.82,0.02,0.5236,4714798,18257421.51
2018-12-25,'000632,三木集团,3.82,3.85,3.71,3.81,3.87,-0.05,-1.292,4931610,18643672.1
2018-12-24,'000632,三木集团,3.87,3.9,3.83,3.85,3.86,0.01,0.2591,3593119,13911036.34
2018-12-21,'000632,三木集团,3.86,3.94,3.85,3.94,3.94,-0.08,-2.0305,3723400,14453274.87
2018-12-20,'000632,三木集团,3.94,3.97,3.89,3.92,3.92,0.02,0.5102,3208713,12604063.09
2018-12-19,'000632,三木集团,3.92,3.99,3.92,3.95,3.94,-0.02,-0.5076,3914010,15480729.6
2018-12-18,'000632,三木集团,3.94,3.99,3.89,3.92,3.93,0.01,0.2545,4411588,17353996.32
2018-12-17,'000632,三木集团,3.93,4.05,3.84,4.02,4.03,-0.1,-2.4814,6623948,25966095.67
2018-12-14,'000632,三木集团,4.03,4.19,4.03,4.16,4.17,-0.14,-3.3573,5857802,24057909.05
2018-12-13,'000632,三木集团,4.17,4.23,4.12,4.18,4.18,-0.01,-0.2392,4807112,20117680.56
2018-12-12,'000632,三木集团,4.18,4.25,4.13,4.21,4.21,-0.03,-0.7126,7993063,33440745.19
2018-12-11,'000632,三木集团,4.21,4.23,4.15,4.21,4.16,0.05,1.2019,4306301,18041239.18
2018-12-10,'000632,三木集团,4.16,4.24,4.13,4.24,4.26,-0.1,-2.3474,5413510,22533346.5
2018-12-07,'000632,三木集团,4.26,4.36,4.18,4.3,4.3,-0.04,-0.9302,7833611,33262568.22
2018-12-06,'000632,三木集团,4.3,4.43,4.28,4.32,4.38,-0.08,-1.8265,12252412,53376374.96
2018-12-05,'000632,三木集团,4.38,4.43,4.28,4.43,4.54,-0.16,-3.5242,16386299,71340987.45
2018-12-04,'000632,三木集团,4.54,4.68,4.47,4.54,4.65,-0.11,-2.3656,21629598,98132664.58
2018-12-03,'000632,三木集团,4.65,4.78,4.08,4.28,4.39,0.26,5.9226,40572431,182869725.01
