日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000633,合金投资,5.17,5.18,5.09,5.13,5.05,0.12,2.3762,5511710,28391693.5
2019-06-28,'000633,合金投资,5.05,5.2,5.01,5.19,5.19,-0.14,-2.6975,5470370,27736513.6
2019-06-27,'000633,合金投资,5.19,5.3,5.15,5.23,5.22,-0.03,-0.5747,4995430,26067302.9
2019-06-26,'000633,合金投资,5.22,5.28,5.16,5.18,5.19,0.03,0.578,3625009,18950839.22
2019-06-25,'000633,合金投资,5.19,5.32,5.12,5.3,5.31,-0.12,-2.2599,5868678,30563057.76
2019-06-24,'000633,合金投资,5.31,5.38,5.25,5.35,5.31,0.0,0.0,8326134,44285539.91
2019-06-21,'000633,合金投资,5.31,5.44,5.28,5.39,5.27,0.04,0.759,10016093,53584756.02
2019-06-20,'000633,合金投资,5.27,5.29,5.05,5.17,5.22,0.05,0.9579,9021130,46709952.72
2019-06-19,'000633,合金投资,5.22,5.37,5.18,5.31,5.2,0.02,0.3846,7612461,39961629.69
2019-06-18,'000633,合金投资,5.2,5.31,5.12,5.3,5.35,-0.15,-2.8037,9811475,50903912.35
2019-06-17,'000633,合金投资,5.35,5.59,5.02,5.12,5.13,0.22,4.2885,14527126,77179432.32
2019-06-14,'000633,合金投资,5.13,5.42,5.11,5.33,5.45,-0.32,-5.8716,15713937,82238558.5
2019-06-13,'000633,合金投资,5.45,5.98,5.44,5.77,5.56,-0.11,-1.9784,29537589,167913284.14
2019-06-12,'000633,合金投资,5.56,5.56,5.0,5.08,5.05,0.51,10.099,12821902,70667158.15
2019-06-11,'000633,合金投资,5.05,5.07,4.77,4.81,4.82,0.23,4.7718,5016057,24923815.77
2019-06-10,'000633,合金投资,4.82,4.9,4.7,4.9,4.88,-0.06,-1.2295,3645726,17548751.21
2019-06-06,'000633,合金投资,4.88,4.99,4.83,4.91,4.93,-0.05,-1.0142,3126639,15313641.46
2019-06-05,'000633,合金投资,4.93,5.06,4.91,5.05,4.96,-0.03,-0.6048,2833400,14106530.0
2019-06-04,'000633,合金投资,4.96,5.13,4.85,5.12,5.11,-0.15,-2.9354,5004778,24811466.13
2019-06-03,'000633,合金投资,5.11,5.31,5.08,5.23,5.23,-0.12,-2.2945,4157993,21538091.57
2019-05-31,'000633,合金投资,5.23,5.31,5.18,5.18,5.23,0.0,0.0,4013740,21139232.68
2019-05-30,'000633,合金投资,5.23,5.27,5.12,5.22,5.24,-0.01,-0.1908,4336440,22541239.61
2019-05-29,'000633,合金投资,5.24,5.35,5.16,5.25,5.2,0.04,0.7692,4984524,26215632.12
2019-05-28,'000633,合金投资,5.2,5.35,5.14,5.3,5.2,0.0,0.0,4830238,25343760.84
2019-05-27,'000633,合金投资,5.2,5.21,4.95,5.0,5.06,0.14,2.7668,6023341,30807169.97
2019-05-24,'000633,合金投资,5.06,5.26,4.99,5.18,5.1,-0.04,-0.7843,6176310,31430282.4
2019-05-23,'000633,合金投资,5.1,5.3,5.05,5.3,5.21,-0.11,-2.1113,4844400,24996210.9
2019-05-22,'000633,合金投资,5.21,5.38,5.2,5.29,5.29,-0.08,-1.5123,6347465,33486932.9
2019-05-21,'000633,合金投资,5.29,5.33,4.82,4.9,4.91,0.38,7.7393,10789368,55397178.62
2019-05-20,'000633,合金投资,4.91,5.26,4.75,5.24,5.14,-0.23,-4.4747,7728467,37800187.32
2019-05-17,'000633,合金投资,5.14,5.48,5.12,5.37,5.45,-0.31,-5.6881,8258097,43745582.32
2019-05-16,'000633,合金投资,5.45,5.65,5.42,5.42,5.35,0.1,1.8692,9503063,52197444.47
2019-05-15,'000633,合金投资,5.35,5.4,5.29,5.37,5.32,0.03,0.5639,5887500,31502162.0
2019-05-14,'000633,合金投资,5.32,5.38,5.13,5.16,5.21,0.11,2.1113,6059391,32115514.03
2019-05-13,'000633,合金投资,5.21,5.36,5.17,5.33,5.35,-0.14,-2.6168,5831941,30681231.6
2019-05-10,'000633,合金投资,5.35,5.37,5.12,5.21,5.21,0.14,2.6871,7863355,41650693.5
2019-05-09,'000633,合金投资,5.21,5.35,5.19,5.29,5.29,-0.08,-1.5123,4427700,23280795.8
2019-05-08,'000633,合金投资,5.29,5.37,5.12,5.15,5.29,0.0,0.0,5909474,31280876.2
2019-05-07,'000633,合金投资,5.29,5.39,5.12,5.2,5.18,0.11,2.1236,6321482,33220385.72
2019-05-06,'000633,合金投资,5.18,5.6,5.18,5.6,5.75,-0.57,-9.913,8222274,43939684.43
2019-04-30,'000633,合金投资,5.75,5.8,5.48,5.55,5.52,0.23,4.1667,6389866,36005508.92
2019-04-29,'000633,合金投资,5.52,5.99,5.44,5.88,5.87,-0.35,-5.9625,10633974,59801920.3
2019-04-26,'000633,合金投资,5.87,6.07,5.83,5.83,5.95,-0.08,-1.3445,6844000,40924825.0
2019-04-25,'000633,合金投资,5.95,6.47,5.92,6.3,6.3,-0.35,-5.5556,10514675,65741869.02
2019-04-24,'000633,合金投资,6.3,6.33,6.1,6.2,6.16,0.14,2.2727,7176327,44579815.48
