日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000635,英 力 特,8.88,8.92,8.72,8.72,8.63,0.25,2.8969,2433526,21531181.84
2019-06-28,'000635,英 力 特,8.63,8.8,8.55,8.72,8.79,-0.16,-1.8203,1731900,14965867.0
2019-06-27,'000635,英 力 特,8.79,8.93,8.77,8.88,8.86,-0.07,-0.7901,1401491,12383003.07
2019-06-26,'000635,英 力 特,8.86,8.93,8.77,8.83,8.83,0.03,0.3398,1132088,10028296.56
2019-06-25,'000635,英 力 特,8.83,8.98,8.75,8.98,8.95,-0.12,-1.3408,1702576,15038154.01
2019-06-24,'000635,英 力 特,8.95,9.0,8.82,8.9,8.9,0.05,0.5618,1832861,16358231.94
2019-06-21,'000635,英 力 特,8.9,8.95,8.85,8.89,8.78,0.12,1.3667,2571061,22875753.28
2019-06-20,'000635,英 力 特,8.78,8.81,8.63,8.69,8.69,0.09,1.0357,1899790,16617650.62
2019-06-19,'000635,英 力 特,8.69,8.76,8.66,8.74,8.6,0.09,1.0465,1993160,17350341.82
2019-06-18,'000635,英 力 特,8.6,8.76,8.51,8.74,8.8,-0.2,-2.2727,1788387,15378374.45
2019-06-17,'000635,英 力 特,8.8,8.99,8.44,8.51,8.51,0.29,3.4078,2507052,21951866.47
2019-06-14,'000635,英 力 特,8.51,8.8,8.48,8.8,8.78,-0.27,-3.0752,1647784,14223028.24
2019-06-13,'000635,英 力 特,8.78,8.87,8.62,8.64,8.68,0.1,1.1521,1557600,13622117.23
2019-06-12,'000635,英 力 特,8.68,8.81,8.64,8.71,8.68,0.0,0.0,1342093,11682342.21
2019-06-11,'000635,英 力 特,8.68,8.71,8.35,8.38,8.35,0.33,3.9521,2089011,17938679.36
2019-06-10,'000635,英 力 特,8.35,8.45,8.31,8.45,8.32,0.03,0.3606,1014102,8488197.66
2019-06-06,'000635,英 力 特,8.32,8.63,8.23,8.57,8.56,-0.24,-2.8037,1609210,13548253.1
2019-06-05,'000635,英 力 特,8.56,8.76,8.56,8.68,8.65,-0.09,-1.0405,1215446,10518489.82
2019-06-04,'000635,英 力 特,8.65,8.83,8.61,8.83,8.79,-0.14,-1.5927,1321801,11531967.62
2019-06-03,'000635,英 力 特,8.79,8.85,8.67,8.72,8.75,0.04,0.4571,1592801,13956187.67
