日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000636,风华高科,12.67,12.69,12.31,12.41,12.1,0.57,4.7107,55443538,694977509.38
2019-06-28,'000636,风华高科,12.1,12.33,12.01,12.32,12.34,-0.24,-1.9449,24271457,294024445.98
2019-06-27,'000636,风华高科,12.34,12.48,12.08,12.09,12.05,0.29,2.4066,35142800,433025100.35
2019-06-26,'000636,风华高科,12.05,12.16,11.88,12.0,12.1,-0.05,-0.4132,14069731,169522585.92
2019-06-25,'000636,风华高科,12.1,12.31,11.95,12.29,12.28,-0.18,-1.4658,22484500,271461452.79
2019-06-24,'000636,风华高科,12.28,12.44,12.17,12.4,12.42,-0.14,-1.1272,23179551,284939718.3
2019-06-21,'000636,风华高科,12.42,12.68,12.22,12.25,12.19,0.23,1.8868,39290618,488268055.06
2019-06-20,'000636,风华高科,12.19,12.29,11.92,12.0,12.05,0.14,1.1618,31583615,383455389.5
2019-06-19,'000636,风华高科,12.05,12.36,12.03,12.28,11.95,0.1,0.8368,27459300,335283801.9
2019-06-18,'000636,风华高科,11.95,11.98,11.79,11.93,11.98,-0.03,-0.2504,13662148,162437642.45
2019-06-17,'000636,风华高科,11.98,12.09,11.83,11.9,11.97,0.01,0.0835,15372200,184021945.0
2019-06-14,'000636,风华高科,11.97,12.44,11.95,12.35,12.43,-0.46,-3.7007,38917771,471481164.18
2019-06-13,'000636,风华高科,12.43,12.58,12.26,12.49,12.64,-0.21,-1.6614,43923630,544468463.8
2019-06-12,'000636,风华高科,12.64,13.16,12.43,12.48,12.57,0.07,0.5569,73286548,938884762.15
2019-06-11,'000636,风华高科,12.57,12.69,11.8,11.83,11.96,0.61,5.1003,53841658,666378784.16
2019-06-10,'000636,风华高科,11.96,12.07,11.71,11.79,11.68,0.28,2.3973,24158713,287384620.11
2019-06-06,'000636,风华高科,11.68,12.0,11.55,12.0,12.03,-0.35,-2.9094,27238867,318615842.86
2019-06-05,'000636,风华高科,12.03,12.24,11.96,12.18,12.01,0.02,0.1665,23438259,283346988.37
2019-06-04,'000636,风华高科,12.01,12.25,11.9,12.1,12.05,-0.04,-0.332,25484416,307931087.8
2019-06-03,'000636,风华高科,12.05,12.36,11.92,12.3,12.4,-0.35,-2.8226,37644424,455434894.51
2019-05-31,'000636,风华高科,12.4,12.7,12.24,12.29,12.47,-0.07,-0.5613,35133019,439131615.33
2019-05-30,'000636,风华高科,12.47,12.88,12.1,12.88,13.02,-0.55,-4.2243,59331754,741206523.35
2019-05-29,'000636,风华高科,13.02,13.2,12.42,12.42,12.35,0.67,5.4251,68155212,873966238.12
2019-05-28,'000636,风华高科,12.35,12.57,12.28,12.44,12.39,-0.04,-0.3228,33503028,415858893.93
2019-05-27,'000636,风华高科,12.39,12.47,11.92,12.03,11.95,0.44,3.682,36934218,455184350.2
2019-05-24,'000636,风华高科,11.95,12.33,11.92,12.16,12.33,-0.38,-3.0819,31324421,378328424.35
2019-05-23,'000636,风华高科,12.33,12.91,12.3,12.85,12.83,-0.5,-3.8971,43238011,542599062.71
2019-05-22,'000636,风华高科,12.83,13.36,12.71,13.0,13.14,-0.31,-2.3592,57652196,749137806.87
2019-05-21,'000636,风华高科,13.14,13.59,12.33,12.5,12.63,0.51,4.038,85496974,1104669982.89
2019-05-20,'000636,风华高科,12.93,12.96,12.13,12.33,12.21,0.72,5.8968,60763417,766358007.52
2019-05-17,'000636,风华高科,12.21,12.88,12.15,12.58,12.67,-0.46,-3.6306,46612012,581297593.57
2019-05-16,'000636,风华高科,12.67,12.95,12.04,12.09,12.16,0.51,4.1941,66500714,839113774.26
2019-05-15,'000636,风华高科,12.16,12.19,12.02,12.1,11.97,0.19,1.5873,29950900,362579923.0
2019-05-14,'000636,风华高科,11.97,12.14,11.83,11.85,12.15,-0.18,-1.4815,22081160,265235053.4
2019-05-13,'000636,风华高科,12.15,12.44,12.0,12.44,12.49,-0.34,-2.7222,35069277,428169273.09
2019-05-10,'000636,风华高科,12.49,12.57,11.68,12.12,11.92,0.57,4.7819,48340591,593258919.19
2019-05-09,'000636,风华高科,11.92,12.3,11.85,11.85,12.02,-0.1,-0.8319,24128792,290874356.1
2019-05-08,'000636,风华高科,12.02,12.35,11.51,11.63,12.01,0.01,0.0833,31954854,385112850.2
2019-05-07,'000636,风华高科,12.01,12.27,11.77,12.11,12.11,-0.1,-0.8258,34205295,411333764.12
2019-05-06,'000636,风华高科,12.11,12.7,12.11,12.7,13.45,-1.34,-9.9628,44941252,551566602.9
2019-04-30,'000636,风华高科,13.45,13.53,13.26,13.3,13.26,0.19,1.4329,24593522,329809545.96
2019-04-29,'000636,风华高科,13.26,14.09,13.12,14.02,14.02,-0.76,-5.4208,43457183,587670206.6
2019-04-26,'000636,风华高科,14.02,14.49,14.02,14.48,14.66,-0.64,-4.3656,43694813,621323884.63
2019-04-25,'000636,风华高科,14.66,15.25,14.66,15.08,15.35,-0.69,-4.4951,43198240,646809246.73
2019-04-24,'000636,风华高科,15.35,15.47,15.05,15.24,15.16,0.19,1.2533,27422116,418844590.79
2019-04-23,'000636,风华高科,15.16,15.64,15.13,15.64,15.62,-0.46,-2.9449,32978908,505533481.38
2019-04-22,'000636,风华高科,15.62,15.95,15.38,15.91,15.89,-0.27,-1.6992,43524454,678730947.63
2019-04-19,'000636,风华高科,15.89,16.06,15.63,15.91,16.09,-0.2,-1.243,40482203,641303652.57
2019-04-18,'000636,风华高科,16.09,16.35,15.35,15.6,15.71,0.38,2.4188,70484896,1116342866.94
2019-04-17,'000636,风华高科,15.71,16.09,15.6,15.79,15.81,-0.1,-0.6325,45743282,723795349.02
2019-04-16,'000636,风华高科,15.81,15.89,14.82,15.0,15.23,0.58,3.8083,53824856,831703471.86
2019-04-15,'000636,风华高科,15.23,15.83,15.21,15.6,15.53,-0.3,-1.9317,42469297,661602254.81
2019-04-12,'000636,风华高科,15.53,15.56,15.16,15.22,15.35,0.18,1.1726,32624175,501200544.71
2019-04-11,'000636,风华高科,15.35,16.23,15.31,16.12,16.4,-1.05,-6.4024,75773951,1190246979.21
2019-04-10,'000636,风华高科,16.4,16.68,16.05,16.4,16.55,-0.15,-0.9063,45067106,735614168.9
2019-04-09,'000636,风华高科,16.55,16.76,16.1,16.3,16.4,0.15,0.9146,45327413,750123896.78
2019-04-08,'000636,风华高科,16.4,17.18,16.14,17.06,16.95,-0.55,-3.2448,71039630,1179466640.42
2019-04-04,'000636,风华高科,16.95,17.36,16.76,17.14,17.13,-0.18,-1.0508,77250046,1313412194.26
2019-04-03,'000636,风华高科,17.13,17.69,16.21,16.3,16.3,0.83,5.092,115721810,1979717701.07
2019-04-02,'000636,风华高科,16.3,16.66,15.8,16.19,16.12,0.18,1.1166,96698475,1566358501.3
2019-04-01,'000636,风华高科,16.12,16.2,15.56,15.57,15.56,0.56,3.599,71783541,1147090207.84
2019-03-29,'000636,风华高科,15.56,15.62,14.77,15.11,15.2,0.36,2.3684,60718565,929756925.31
2019-03-28,'000636,风华高科,15.2,15.69,14.88,15.01,15.19,0.01,0.0658,54740819,842217935.12
2019-03-27,'000636,风华高科,15.19,15.48,14.5,15.17,15.1,0.09,0.596,58548235,880198493.22
2019-03-26,'000636,风华高科,15.1,16.48,15.01,16.28,16.07,-0.97,-6.0361,79746138,1239007798.79
2019-03-25,'000636,风华高科,16.07,16.45,16.02,16.16,16.52,-0.45,-2.724,67087507,1084993804.66
2019-03-22,'000636,风华高科,16.52,16.88,15.5,15.63,15.58,0.94,6.0334,109798613,1772689002.69
2019-03-21,'000636,风华高科,15.58,15.75,15.29,15.29,15.27,0.31,2.0301,62241453,968704354.18
2019-03-20,'000636,风华高科,15.27,15.74,15.0,15.55,15.68,-0.41,-2.6148,54721598,835827311.26
2019-03-19,'000636,风华高科,15.68,15.96,15.26,15.27,15.4,0.28,1.8182,64208305,1007201797.8
2019-03-18,'000636,风华高科,15.4,15.44,14.82,15.21,15.27,0.13,0.8513,56528121,855140319.69
2019-03-15,'000636,风华高科,15.27,15.59,15.08,15.39,15.38,-0.11,-0.7152,53944371,827864875.61
2019-03-14,'000636,风华高科,15.38,15.38,14.83,15.2,15.46,-0.08,-0.5175,59960228,903703150.85
2019-03-13,'000636,风华高科,15.46,16.15,15.3,16.14,16.35,-0.89,-5.4434,86667336,1365211660.63
2019-03-12,'000636,风华高科,16.35,16.47,16.0,16.47,16.61,-0.26,-1.5653,129096016,2099416986.73
2019-03-11,'000636,风华高科,16.61,16.85,15.46,15.69,15.32,1.29,8.4204,131927891,2127609666.61
2019-03-08,'000636,风华高科,15.32,16.5,14.72,14.96,15.41,-0.09,-0.584,144979153,2291581201.08
2019-03-07,'000636,风华高科,15.41,15.65,15.0,15.3,15.53,-0.12,-0.7727,105905636,1621878793.61
2019-03-06,'000636,风华高科,15.53,16.08,15.02,15.9,15.51,0.02,0.1289,146989621,2284281180.94
2019-03-05,'000636,风华高科,15.51,15.51,13.87,14.0,14.1,1.41,10.0,149881157,2221341505.83
2019-03-04,'000636,风华高科,14.1,14.5,13.79,14.08,13.91,0.19,1.3659,97248349,1383172224.89
2019-03-01,'000636,风华高科,13.91,14.16,13.59,13.97,13.93,-0.02,-0.1436,61553963,856621716.79
2019-02-28,'000636,风华高科,13.93,14.5,13.66,14.35,14.47,-0.54,-3.7319,86810629,1223704078.61
2019-02-27,'000636,风华高科,14.47,14.95,14.21,14.39,14.53,-0.06,-0.4129,83214397,1211430226.92
2019-02-26,'000636,风华高科,14.53,15.07,14.21,14.9,15.14,-0.61,-4.0291,128783422,1881140769.04
2019-02-25,'000636,风华高科,15.14,15.6,14.49,15.11,14.84,0.3,2.0216,164887928,2483323719.9
2019-02-22,'000636,风华高科,14.84,14.97,14.19,14.51,14.77,0.07,0.4739,110119384,1601271284.26
2019-02-21,'000636,风华高科,14.77,15.45,14.2,14.3,14.35,0.42,2.9268,125230867,1865076548.32
2019-02-20,'000636,风华高科,14.35,14.84,14.03,14.48,14.75,-0.4,-2.7119,99390856,1429570900.08
2019-02-19,'000636,风华高科,14.75,14.87,13.39,13.59,13.52,1.23,9.0976,139259730,1955827951.39
2019-02-18,'000636,风华高科,13.52,13.75,12.81,12.88,12.55,0.97,7.7291,120043348,1589231754.77
2019-02-15,'000636,风华高科,12.55,13.16,12.11,12.27,12.24,0.31,2.5327,117540683,1486471374.08
2019-02-14,'000636,风华高科,12.24,12.78,12.07,12.45,12.32,-0.08,-0.6494,119700195,1484460117.89
2019-02-13,'000636,风华高科,12.32,12.32,11.42,11.65,11.2,1.12,10.0,140353544,1683381122.6
