日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000637,茂化实华,4.79,4.81,4.7,4.76,4.65,0.14,3.0108,9010601,42989837.79
2019-06-28,'000637,茂化实华,4.65,4.8,4.58,4.77,4.79,-0.14,-2.9228,8012400,37372959.0
2019-06-27,'000637,茂化实华,4.79,4.86,4.75,4.86,4.87,-0.08,-1.6427,12928301,62078596.79
2019-06-26,'000637,茂化实华,4.87,4.93,4.72,4.8,4.83,0.04,0.8282,9300500,45139734.0
2019-06-25,'000637,茂化实华,4.83,4.88,4.72,4.88,4.92,-0.09,-1.8293,11524537,55307870.56
2019-06-24,'000637,茂化实华,4.92,4.94,4.76,4.87,4.83,0.09,1.8634,15051101,72872308.84
2019-06-21,'000637,茂化实华,4.83,4.9,4.74,4.75,4.68,0.15,3.2051,15542744,75193791.18
2019-06-20,'000637,茂化实华,4.68,4.71,4.55,4.58,4.58,0.1,2.1834,10262000,47722658.0
2019-06-19,'000637,茂化实华,4.58,4.68,4.58,4.61,4.52,0.06,1.3274,8893234,41173307.04
2019-06-18,'000637,茂化实华,4.52,4.58,4.5,4.5,4.53,-0.01,-0.2208,5404500,24532741.0
2019-06-17,'000637,茂化实华,4.53,4.57,4.46,4.56,4.57,-0.04,-0.8753,7073559,31987362.46
2019-06-14,'000637,茂化实华,4.57,4.75,4.54,4.74,4.84,-0.27,-5.5785,16474578,76387266.11
2019-06-13,'000637,茂化实华,4.84,4.85,4.48,4.5,4.52,0.32,7.0796,21908922,103040689.27
2019-06-12,'000637,茂化实华,4.52,4.64,4.5,4.63,4.61,-0.09,-1.9523,8739600,40037692.0
2019-06-11,'000637,茂化实华,4.61,4.65,4.48,4.5,4.49,0.12,2.6726,9353034,42976999.28
2019-06-10,'000637,茂化实华,4.49,4.55,4.38,4.39,4.37,0.12,2.746,8518200,38051573.0
2019-06-06,'000637,茂化实华,4.37,4.65,4.3,4.63,4.61,-0.24,-5.2061,12315724,54468621.65
