日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000638,万方发展,5.58,5.63,5.48,5.53,5.42,0.16,2.952,4600902,25694537.08
2019-06-28,'000638,万方发展,5.42,5.59,5.35,5.53,5.56,-0.14,-2.518,2736435,14853728.85
2019-06-27,'000638,万方发展,5.56,5.59,5.5,5.52,5.53,0.03,0.5425,3114100,17260481.0
2019-06-26,'000638,万方发展,5.53,5.61,5.5,5.52,5.57,-0.04,-0.7181,2596611,14433866.16
2019-06-25,'000638,万方发展,5.57,5.6,5.46,5.55,5.55,0.02,0.3604,3396139,18767033.21
2019-06-24,'000638,万方发展,5.55,5.64,5.51,5.55,5.55,0.0,0.0,3630211,20170732.98
2019-06-21,'000638,万方发展,5.55,5.66,5.49,5.66,5.41,0.14,2.5878,5902114,32702830.08
2019-06-20,'000638,万方发展,5.41,5.44,5.31,5.35,5.34,0.07,1.3109,3860861,20769786.23
2019-06-19,'000638,万方发展,5.34,5.54,5.31,5.31,5.23,0.11,2.1033,3892028,21078170.92
2019-06-18,'000638,万方发展,5.23,5.28,5.15,5.22,5.21,0.02,0.3839,2494636,13052255.29
2019-06-17,'000638,万方发展,5.21,5.26,5.12,5.21,5.2,0.01,0.1923,2498400,13011670.0
2019-06-14,'000638,万方发展,5.2,5.48,5.2,5.48,5.48,-0.28,-5.1095,5118076,27321399.84
2019-06-13,'000638,万方发展,5.48,5.8,5.32,5.32,5.27,0.21,3.9848,8418079,46879694.29
2019-06-12,'000638,万方发展,5.27,5.41,5.27,5.34,5.34,-0.07,-1.3109,2829932,15089753.24
2019-06-11,'000638,万方发展,5.34,5.34,5.14,5.17,5.17,0.17,3.2882,3294252,17379807.5
2019-06-10,'000638,万方发展,5.17,5.18,4.92,5.04,5.01,0.16,3.1936,2758556,14002327.93
2019-06-06,'000638,万方发展,5.01,5.24,4.98,5.13,5.19,-0.18,-3.4682,2894004,14693601.1
2019-06-05,'000638,万方发展,5.19,5.33,5.19,5.33,5.25,-0.06,-1.1429,2081267,10948793.45
2019-06-04,'000638,万方发展,5.25,5.43,5.21,5.39,5.39,-0.14,-2.5974,2594703,13732904.06
2019-06-03,'000638,万方发展,5.39,5.64,5.35,5.59,5.55,-0.16,-2.8829,3044800,16640448.0
2019-05-31,'000638,万方发展,5.55,5.59,5.48,5.55,5.5,0.05,0.9091,2951683,16399884.42
2019-05-30,'000638,万方发展,5.5,5.62,5.42,5.59,5.62,-0.12,-2.1352,3099500,17022333.0
2019-05-29,'000638,万方发展,5.62,5.66,5.5,5.56,5.57,0.05,0.8977,2528600,14180833.0
2019-05-28,'000638,万方发展,5.57,5.68,5.54,5.6,5.57,0.0,0.0,3404267,19119991.27
2019-05-27,'000638,万方发展,5.57,5.58,5.33,5.45,5.42,0.15,2.7675,3689859,20244328.66
2019-05-24,'000638,万方发展,5.42,5.55,5.39,5.45,5.41,0.01,0.1848,2366300,12936099.0
2019-05-23,'000638,万方发展,5.41,5.68,5.4,5.62,5.69,-0.28,-4.9209,4215393,23161945.05
2019-05-22,'000638,万方发展,5.69,5.75,5.59,5.67,5.62,0.07,1.2456,3912600,22152230.0
2019-05-21,'000638,万方发展,5.62,5.66,5.46,5.53,5.5,0.12,2.1818,4302802,24089007.24
2019-05-20,'000638,万方发展,5.5,5.53,5.26,5.51,5.44,0.06,1.1029,4369367,23769199.8
2019-05-17,'000638,万方发展,5.44,5.83,5.39,5.83,5.81,-0.37,-6.3683,5555340,31137217.72
2019-05-16,'000638,万方发展,5.81,5.85,5.71,5.76,5.75,0.06,1.0435,3420159,19833100.93
2019-05-15,'000638,万方发展,5.75,5.76,5.65,5.65,5.61,0.14,2.4955,3635957,20818357.64
2019-05-14,'000638,万方发展,5.61,5.69,5.5,5.6,5.69,-0.08,-1.406,4381414,24557718.61
2019-05-13,'000638,万方发展,5.69,5.78,5.65,5.7,5.81,-0.12,-2.0654,4003712,22801822.24
2019-05-10,'000638,万方发展,5.81,5.86,5.54,5.74,5.71,0.1,1.7513,7768060,44537058.6
2019-05-09,'000638,万方发展,5.71,6.08,5.43,5.46,5.53,0.18,3.255,10437660,60521535.39
2019-05-08,'000638,万方发展,5.53,5.63,5.32,5.33,5.46,0.07,1.2821,4820474,26596540.66
2019-05-07,'000638,万方发展,5.46,5.54,5.36,5.54,5.35,0.11,2.0561,4659254,25460559.58
2019-05-06,'000638,万方发展,5.35,5.69,5.23,5.66,5.79,-0.44,-7.5993,6630404,36164168.5
2019-04-30,'000638,万方发展,5.79,5.84,5.55,5.57,5.56,0.23,4.1367,5841478,33551010.82
2019-04-29,'000638,万方发展,5.56,6.17,5.53,6.1,6.14,-0.58,-9.4463,9355000,53524407.0
2019-04-26,'000638,万方发展,6.14,6.27,6.14,6.18,6.14,0.0,0.0,3849010,23827505.6
2019-04-25,'000638,万方发展,6.14,6.5,6.09,6.5,6.53,-0.39,-5.9724,6334610,39984808.83
2019-04-24,'000638,万方发展,6.53,6.54,6.38,6.39,6.45,0.08,1.2403,4331400,28077577.0
2019-04-23,'000638,万方发展,6.45,6.58,6.39,6.58,6.6,-0.15,-2.2727,6139065,39761367.2
2019-04-22,'000638,万方发展,6.6,6.84,6.58,6.78,6.79,-0.19,-2.7982,6408602,42788699.34
2019-04-19,'000638,万方发展,6.79,6.85,6.66,6.66,6.81,-0.02,-0.2937,7084503,47713433.26
2019-04-18,'000638,万方发展,6.81,7.06,6.8,6.94,6.88,-0.07,-1.0174,6738700,46579736.0
2019-04-17,'000638,万方发展,6.88,6.96,6.79,6.85,6.89,-0.01,-0.1451,6609795,45623914.52
2019-04-16,'000638,万方发展,6.89,6.9,6.49,6.81,6.91,-0.02,-0.2894,12296704,82273063.75
