日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000639,西王食品,8.96,9.0,8.6,8.65,8.54,0.42,4.918,10207911,89766258.61
2019-06-28,'000639,西王食品,8.54,8.67,8.39,8.66,8.64,-0.1,-1.1574,4591571,38911268.33
2019-06-27,'000639,西王食品,8.64,8.68,8.53,8.56,8.6,0.04,0.4651,5580431,47956466.94
2019-06-26,'000639,西王食品,8.6,8.75,8.35,8.45,8.47,0.13,1.5348,8711603,74720296.34
2019-06-25,'000639,西王食品,8.47,8.55,8.31,8.51,8.52,-0.05,-0.5869,5413780,45542800.8
2019-06-24,'000639,西王食品,8.52,8.61,8.4,8.46,8.4,0.12,1.4286,7635068,64935076.43
2019-06-21,'000639,西王食品,8.4,8.48,8.29,8.35,8.29,0.11,1.3269,7735207,64888083.65
2019-06-20,'000639,西王食品,8.29,8.33,7.96,8.0,8.08,0.21,2.599,8045882,65944715.52
2019-06-19,'000639,西王食品,8.08,8.13,7.99,8.04,7.9,0.18,2.2785,5565543,44832524.62
2019-06-18,'000639,西王食品,7.9,8.05,7.81,7.89,7.9,0.0,0.0,3188165,25156312.49
2019-06-17,'000639,西王食品,7.9,7.92,7.81,7.88,7.88,0.02,0.2538,2620640,20612357.91
2019-06-14,'000639,西王食品,7.88,8.13,7.84,8.05,8.12,-0.24,-2.9557,4828907,38523517.62
2019-06-13,'000639,西王食品,8.12,8.13,7.93,7.97,8.02,0.1,1.2469,5394725,43433585.4
2019-06-12,'000639,西王食品,8.02,8.15,7.86,7.92,8.03,-0.01,-0.1245,7767061,62235524.06
2019-06-11,'000639,西王食品,8.03,8.18,7.59,7.61,7.59,0.44,5.7971,10162554,80777217.78
2019-06-10,'000639,西王食品,7.59,7.72,7.43,7.61,7.57,0.02,0.2642,4866300,36940967.94
2019-06-06,'000639,西王食品,7.57,7.91,7.5,7.8,7.8,-0.23,-2.9487,5804799,44490573.11
2019-06-05,'000639,西王食品,7.8,7.93,7.67,7.78,7.78,0.02,0.2571,7224814,56447459.03
2019-06-04,'000639,西王食品,7.78,7.79,7.43,7.68,7.68,0.1,1.3021,8667698,66216088.15
2019-06-03,'000639,西王食品,7.68,8.2,7.53,8.15,8.2,-0.52,-6.3415,13256567,103115171.95
2019-05-31,'000639,西王食品,8.2,8.39,8.05,8.15,8.18,0.02,0.2445,4725908,38890937.45
2019-05-30,'000639,西王食品,8.18,8.38,8.09,8.35,8.39,-0.21,-2.503,5880779,48173588.65
2019-05-29,'000639,西王食品,8.39,8.41,8.24,8.3,8.33,0.06,0.7203,4259107,35551941.26
2019-05-28,'000639,西王食品,8.33,8.43,8.25,8.33,8.32,0.01,0.1202,4933162,41131401.23
2019-05-27,'000639,西王食品,8.32,8.33,8.02,8.15,8.11,0.21,2.5894,5501791,45209242.57
2019-05-24,'000639,西王食品,8.11,8.33,8.09,8.16,8.25,-0.14,-1.697,4932209,40239187.23
2019-05-23,'000639,西王食品,8.25,8.48,8.14,8.48,8.5,-0.25,-2.9412,5692793,47269388.99
2019-05-22,'000639,西王食品,8.5,8.68,8.45,8.6,8.6,-0.1,-1.1628,6501879,55658733.62
2019-05-21,'000639,西王食品,8.6,8.73,8.46,8.46,8.5,0.1,1.1765,7563424,65002884.35
2019-05-20,'000639,西王食品,8.5,9.06,8.33,9.03,9.01,-0.51,-5.6604,12773826,108811583.57
2019-05-17,'000639,西王食品,9.01,9.45,8.82,9.05,9.13,-0.12,-1.3143,15671849,143695319.78
2019-05-16,'000639,西王食品,9.13,9.37,9.1,9.2,9.23,-0.1,-1.0834,12138508,111661807.03
2019-05-15,'000639,西王食品,9.23,9.29,8.53,8.58,8.49,0.74,8.7161,18364684,165663112.88
2019-05-14,'000639,西王食品,8.49,8.78,8.46,8.6,8.7,-0.21,-2.4138,7796380,67100413.54
2019-05-13,'000639,西王食品,8.7,8.85,8.38,8.55,8.66,0.04,0.4619,9991665,86139654.05
2019-05-10,'000639,西王食品,8.66,8.81,8.33,8.44,8.42,0.24,2.8504,9969503,85613076.19
2019-05-09,'000639,西王食品,8.42,8.62,8.3,8.6,8.85,-0.43,-4.8588,9377590,79350628.03
2019-05-08,'000639,西王食品,8.85,9.06,8.48,8.53,8.78,0.07,0.7973,13838558,123307821.45
2019-05-07,'000639,西王食品,8.78,8.78,8.18,8.23,8.1,0.68,8.3951,14456719,123199034.83
2019-05-06,'000639,西王食品,8.1,8.88,8.07,8.71,8.97,-0.87,-9.699,8900863,74792841.2
2019-04-30,'000639,西王食品,8.97,9.01,8.78,8.83,8.77,0.2,2.2805,5093770,45374494.13
2019-04-29,'000639,西王食品,8.77,9.18,8.71,9.02,9.1,-0.33,-3.6264,7158011,64145055.99
2019-04-26,'000639,西王食品,9.1,9.35,8.93,9.27,9.32,-0.22,-2.3605,8217030,74863821.97
2019-04-25,'000639,西王食品,9.32,9.78,9.2,9.68,9.65,-0.33,-3.4197,8309451,78820577.07
2019-04-24,'000639,西王食品,9.65,9.74,9.52,9.67,9.6,0.05,0.5208,3920100,37720402.28
2019-04-23,'000639,西王食品,9.6,9.8,9.55,9.64,9.64,-0.04,-0.4149,5427423,52402474.68
2019-04-22,'000639,西王食品,9.64,9.99,9.5,9.89,9.88,-0.24,-2.4291,5966696,58374748.84
2019-04-19,'000639,西王食品,9.88,10.07,9.7,10.06,10.04,-0.16,-1.5936,7240111,71149932.83
2019-04-18,'000639,西王食品,10.04,10.22,9.84,9.9,9.88,0.16,1.6194,7851703,79285766.54
2019-04-17,'000639,西王食品,9.88,10.04,9.81,9.86,9.86,0.02,0.2028,6283486,62242763.22
2019-04-16,'000639,西王食品,9.86,9.93,9.5,9.71,9.72,0.14,1.4403,6564844,63637796.62
2019-04-15,'000639,西王食品,9.72,10.25,9.65,10.07,10.0,-0.28,-2.8,9376821,93916770.96
2019-04-12,'000639,西王食品,10.0,10.15,9.92,9.99,9.95,0.05,0.5025,5410848,54252366.78
2019-04-11,'000639,西王食品,9.95,10.21,9.86,10.2,10.15,-0.2,-1.9704,6765075,67912639.85
2019-04-10,'000639,西王食品,10.15,10.25,9.95,10.06,10.23,-0.08,-0.782,6663372,67542941.69
2019-04-09,'000639,西王食品,10.23,10.49,10.04,10.39,10.27,-0.04,-0.3895,7707880,78693811.28
2019-04-08,'000639,西王食品,10.27,10.42,9.95,10.32,10.33,-0.06,-0.5808,14465519,146521990.26
2019-04-04,'000639,西王食品,10.33,10.58,10.26,10.44,10.42,-0.09,-0.8637,8672135,89790145.42
2019-04-03,'000639,西王食品,10.42,10.47,10.13,10.25,10.39,0.03,0.2887,7545420,78231192.57
2019-04-02,'000639,西王食品,10.39,10.71,10.26,10.71,10.71,-0.32,-2.9879,13834367,144748904.7
2019-04-01,'000639,西王食品,10.71,10.86,10.3,10.5,10.34,0.37,3.5783,15662437,165827331.18
2019-03-29,'000639,西王食品,10.34,10.49,9.97,10.1,10.15,0.19,1.8719,15865549,162115069.02
2019-03-28,'000639,西王食品,10.15,11.08,10.13,10.8,10.82,-0.67,-6.1922,24710415,262088300.96
2019-03-27,'000639,西王食品,10.82,10.82,9.85,9.85,9.84,0.98,9.9593,26817903,280583002.91
2019-03-26,'000639,西王食品,9.84,10.2,9.6,9.65,9.6,0.24,2.5,15981148,158135020.24
2019-03-25,'000639,西王食品,9.6,9.93,9.31,9.47,9.52,0.08,0.8403,15524817,149712732.59
2019-03-22,'000639,西王食品,9.52,9.54,9.08,9.16,9.14,0.38,4.1575,12671276,118189903.42
2019-03-21,'000639,西王食品,9.14,9.25,8.99,9.14,9.16,-0.02,-0.2183,7760679,70805655.38
2019-03-20,'000639,西王食品,9.16,9.32,8.93,9.11,9.11,0.05,0.5488,8814466,80155767.28
2019-03-19,'000639,西王食品,9.11,9.21,9.0,9.2,9.2,-0.09,-0.9783,12221281,111116518.06
2019-03-18,'000639,西王食品,9.2,9.38,8.75,8.97,8.81,0.39,4.4268,18251202,165809431.73
2019-03-15,'000639,西王食品,8.81,9.12,8.54,8.56,8.47,0.34,4.0142,14028657,123709875.22
2019-03-14,'000639,西王食品,8.47,8.87,8.36,8.83,8.83,-0.36,-4.077,7783535,66848001.28
2019-03-13,'000639,西王食品,8.83,9.12,8.76,9.07,9.05,-0.22,-2.4309,9241418,82961949.42
2019-03-12,'000639,西王食品,9.05,9.29,8.72,8.77,8.77,0.28,3.1927,10730127,96672863.85
2019-03-11,'000639,西王食品,8.77,8.77,8.48,8.55,8.49,0.28,3.298,7900162,68291155.47
2019-03-08,'000639,西王食品,8.49,9.04,8.48,8.76,8.96,-0.47,-5.2455,9986671,87441435.08
2019-03-07,'000639,西王食品,8.96,9.16,8.83,9.02,9.04,-0.08,-0.885,11663710,104580705.87
2019-03-06,'000639,西王食品,9.04,9.1,8.61,8.71,8.73,0.31,3.551,13789956,122881942.84
2019-03-05,'000639,西王食品,8.73,8.74,8.4,8.41,8.49,0.24,2.8269,10523876,89921196.21
2019-03-04,'000639,西王食品,8.49,8.75,8.4,8.53,8.48,0.01,0.1179,9515821,81563513.48
2019-03-01,'000639,西王食品,8.48,8.6,8.35,8.57,8.53,-0.05,-0.5862,9191132,77840081.44
2019-02-28,'000639,西王食品,8.53,8.66,8.48,8.5,8.5,0.03,0.3529,5909197,50466763.27
2019-02-27,'000639,西王食品,8.5,8.7,8.42,8.65,8.68,-0.18,-2.0737,6275340,53807052.2
2019-02-26,'000639,西王食品,8.68,8.85,8.4,8.51,8.49,0.19,2.2379,11513781,100146190.15
2019-02-25,'000639,西王食品,8.49,8.54,8.2,8.2,8.2,0.29,3.5366,10574652,88911125.34
2019-02-22,'000639,西王食品,8.2,8.23,8.01,8.03,8.06,0.14,1.737,5097198,41530289.24
2019-02-21,'000639,西王食品,8.06,8.3,8.02,8.16,8.16,-0.1,-1.2255,9684133,78917623.82
2019-02-20,'000639,西王食品,8.16,8.48,7.97,8.2,8.19,-0.03,-0.3663,8905737,72695243.39
2019-02-19,'000639,西王食品,8.19,8.59,8.07,8.31,8.27,-0.08,-0.9674,9123451,75488945.54
2019-02-18,'000639,西王食品,8.27,8.32,8.02,8.02,7.98,0.29,3.6341,7163142,58716816.65
2019-02-15,'000639,西王食品,7.98,8.08,7.85,7.9,7.97,0.01,0.1255,5343983,42627783.1
2019-02-14,'000639,西王食品,7.97,8.02,7.68,7.8,7.83,0.14,1.788,7425960,58438773.86
2019-02-13,'000639,西王食品,7.83,8.27,7.55,7.6,7.62,0.21,2.7559,14979458,118151334.04
2019-02-12,'000639,西王食品,7.62,7.65,7.29,7.4,7.42,0.2,2.6954,7021617,52582789.68
2019-02-11,'000639,西王食品,7.42,7.49,7.14,7.42,7.47,-0.05,-0.6693,8408816,61575838.91
2019-02-01,'000639,西王食品,7.47,7.49,7.28,7.36,7.29,0.18,2.4691,4972324,36763717.12
2019-01-31,'000639,西王食品,7.29,7.47,7.22,7.22,7.23,0.06,0.8299,4852414,35691456.97
2019-01-30,'000639,西王食品,7.23,7.5,7.2,7.3,7.36,-0.13,-1.7663,3885269,28485181.2
2019-01-29,'000639,西王食品,7.36,7.58,7.19,7.56,7.6,-0.24,-3.1579,8145163,59899665.97
2019-01-28,'000639,西王食品,7.6,7.77,7.51,7.7,7.64,-0.04,-0.5236,5171817,39269820.38
2019-01-25,'000639,西王食品,7.64,7.69,7.52,7.67,7.67,-0.03,-0.3911,5092663,38786653.83
