日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000650,仁和药业,7.5,7.54,7.32,7.35,7.21,0.29,4.0222,65760379,489355364.75
2019-06-28,'000650,仁和药业,7.21,7.36,7.18,7.31,7.34,-0.13,-1.7711,33431982,242555638.98
2019-06-27,'000650,仁和药业,7.34,7.43,7.26,7.29,7.27,0.07,0.9629,34337154,252119911.12
2019-06-26,'000650,仁和药业,7.27,7.32,7.19,7.2,7.27,0.0,0.0,22291215,162270390.94
2019-06-25,'000650,仁和药业,7.27,7.46,7.21,7.43,7.4,-0.13,-1.7568,41964091,305522590.43
2019-06-24,'000650,仁和药业,7.4,7.46,7.34,7.42,7.58,-0.18,-2.3747,50098538,370404617.27
2019-06-21,'000650,仁和药业,7.58,7.66,7.51,7.59,7.61,-0.03,-0.3942,67845330,514057792.15
2019-06-20,'000650,仁和药业,7.61,7.75,7.34,7.38,7.38,0.23,3.1165,94131715,712674735.0
2019-06-19,'000650,仁和药业,7.38,7.59,7.33,7.44,7.22,0.16,2.2161,80787251,601196027.03
2019-06-18,'000650,仁和药业,7.22,7.31,7.12,7.3,7.29,-0.07,-0.9602,34630511,249765647.36
2019-06-17,'000650,仁和药业,7.29,7.51,7.25,7.25,7.24,0.05,0.6906,43572712,320836399.05
2019-06-14,'000650,仁和药业,7.24,7.58,7.21,7.51,7.56,-0.32,-4.2328,63697512,469411151.77
2019-06-13,'000650,仁和药业,7.56,7.76,7.31,7.41,7.38,0.18,2.439,81272704,613836335.07
2019-06-12,'000650,仁和药业,7.48,7.68,7.41,7.64,7.74,-0.26,-3.3592,73682916,556291606.09
2019-06-11,'000650,仁和药业,7.74,7.82,7.33,7.36,7.32,0.42,5.7377,95779621,731664774.48
2019-06-10,'000650,仁和药业,7.32,7.46,7.19,7.42,7.39,-0.07,-0.9472,56601647,413500518.29
2019-06-06,'000650,仁和药业,7.39,7.75,7.32,7.75,7.71,-0.32,-4.1505,77102515,574734408.98
2019-06-05,'000650,仁和药业,7.71,7.93,7.66,7.88,7.75,-0.04,-0.5161,68603114,534584222.12
2019-06-04,'000650,仁和药业,7.75,8.07,7.71,7.94,8.0,-0.25,-3.125,74552584,584800864.51
2019-06-03,'000650,仁和药业,8.0,8.58,7.86,8.51,8.71,-0.71,-8.1515,132771835,1078185188.1
2019-05-31,'000650,仁和药业,8.71,9.06,8.68,8.92,9.0,-0.29,-3.2222,103813317,915896828.21
2019-05-30,'000650,仁和药业,9.0,9.13,8.71,9.02,9.2,-0.2,-2.1739,106164556,947730646.15
2019-05-29,'000650,仁和药业,9.2,9.28,9.0,9.1,9.34,-0.14,-1.4989,109922383,1005507214.21
2019-05-28,'000650,仁和药业,9.34,9.82,9.25,9.37,9.51,-0.17,-1.7876,159905205,1513039526.99
2019-05-27,'000650,仁和药业,9.51,9.8,8.82,9.02,8.97,0.54,6.0201,159202061,1488688079.68
2019-05-24,'000650,仁和药业,8.97,9.36,8.76,9.28,9.26,-0.29,-3.1317,121855201,1096898670.16
2019-05-23,'000650,仁和药业,9.26,9.74,9.03,9.24,9.5,-0.24,-2.5263,146996055,1379325593.68
2019-05-22,'000650,仁和药业,9.5,10.08,9.33,9.95,9.74,-0.24,-2.4641,168868591,1618413850.89
2019-05-21,'000650,仁和药业,9.74,9.74,8.64,8.7,8.85,0.89,10.0565,186550616,1725108519.84
2019-05-20,'000650,仁和药业,8.85,9.5,8.7,9.45,9.67,-0.82,-8.4798,182900155,1627447646.74
2019-05-17,'000650,仁和药业,9.67,10.11,9.45,9.8,9.62,0.05,0.5198,215742667,2111403996.5
2019-05-16,'000650,仁和药业,9.62,10.35,9.53,9.8,9.53,0.09,0.9444,317258015,3146009480.32
2019-05-15,'000650,仁和药业,9.53,9.53,8.68,8.87,8.66,0.87,10.0462,226472935,2094403459.93
2019-05-14,'000650,仁和药业,8.66,8.98,8.61,8.85,9.04,-0.38,-4.2035,121412256,1066884422.32
2019-05-13,'000650,仁和药业,9.04,9.07,8.67,8.92,9.16,-0.12,-1.31,158681406,1400087791.03
2019-05-10,'000650,仁和药业,9.16,9.35,8.38,9.02,8.73,0.43,4.9255,229250915,2074573513.67
2019-05-09,'000650,仁和药业,8.73,9.15,8.45,8.85,9.39,-0.66,-7.0288,223315578,1951504779.18
2019-05-08,'000650,仁和药业,9.39,10.01,9.18,9.3,9.1,0.29,3.1868,309960002,3005740315.32
2019-05-07,'000650,仁和药业,9.1,9.1,8.55,8.68,8.27,0.83,10.0363,71204841,633559159.2
2019-05-06,'000650,仁和药业,8.27,9.22,8.2,8.7,8.98,-0.71,-7.9065,221591164,1956007228.34
2019-04-30,'000650,仁和药业,8.98,8.98,7.96,7.96,8.16,0.82,10.049,183102645,1603084660.4
2019-04-29,'000650,仁和药业,8.16,9.56,7.93,9.0,8.81,-0.65,-7.378,193487687,1715453792.87
2019-04-26,'000650,仁和药业,8.81,8.98,8.45,8.45,8.53,0.28,3.2825,135140291,1182814228.28
2019-04-25,'000650,仁和药业,8.53,9.09,8.22,8.69,8.56,-0.03,-0.3505,115920363,1009020130.57
2019-04-24,'000650,仁和药业,8.56,8.91,8.2,8.74,8.83,-0.27,-3.0578,127844163,1096046179.34
2019-04-23,'000650,仁和药业,8.83,9.72,8.72,9.53,8.84,-0.01,-0.1131,232915769,2158856793.88
2019-04-22,'000650,仁和药业,8.84,9.02,8.18,8.34,8.2,0.64,7.8049,125622084,1106287661.37
2019-04-19,'000650,仁和药业,8.2,8.35,7.85,8.25,7.99,0.21,2.6283,91892960,746193556.35
2019-04-18,'000650,仁和药业,7.99,7.99,7.1,7.3,7.26,0.73,10.0551,52355272,399687119.24
2019-04-17,'000650,仁和药业,7.26,7.36,7.17,7.22,7.24,0.02,0.2762,23079050,167426061.03
2019-04-16,'000650,仁和药业,7.24,7.25,6.85,6.87,6.95,0.29,4.1727,25238063,179168211.33
2019-04-15,'000650,仁和药业,6.95,7.24,6.93,7.15,7.07,-0.12,-1.6973,19205653,136311431.28
2019-04-12,'000650,仁和药业,7.07,7.24,6.98,7.16,7.16,-0.09,-1.257,21519228,152642664.2
2019-04-11,'000650,仁和药业,7.16,7.42,7.15,7.41,7.46,-0.3,-4.0214,35137896,255627016.37
2019-04-10,'000650,仁和药业,7.46,7.56,7.18,7.21,7.17,0.29,4.0446,53470230,397326098.55
2019-04-09,'000650,仁和药业,7.17,7.25,6.96,7.11,7.12,0.05,0.7022,31828688,226347257.98
2019-04-08,'000650,仁和药业,7.12,7.22,6.95,7.16,7.12,0.0,0.0,34434472,244316289.78
2019-04-04,'000650,仁和药业,7.12,7.23,7.02,7.14,7.13,-0.01,-0.1403,41292264,294067577.36
2019-04-03,'000650,仁和药业,7.13,7.22,6.77,6.82,6.86,0.27,3.9359,49517266,349836955.78
2019-04-02,'000650,仁和药业,6.86,6.95,6.77,6.85,6.82,0.04,0.5865,38289699,263423427.32
2019-04-01,'000650,仁和药业,6.82,6.89,6.68,6.69,6.63,0.19,2.8658,53842373,365402516.43
2019-03-29,'000650,仁和药业,6.63,6.65,6.36,6.36,6.38,0.25,3.9185,34901188,227498013.69
2019-03-28,'000650,仁和药业,6.38,6.52,6.36,6.45,6.44,-0.06,-0.9317,28740105,185453875.99
2019-03-27,'000650,仁和药业,6.44,6.47,6.29,6.35,6.29,0.15,2.3847,29451981,188372594.93
2019-03-26,'000650,仁和药业,6.29,6.64,6.23,6.61,6.59,-0.3,-4.5524,41789468,268135718.28
2019-03-25,'000650,仁和药业,6.59,6.74,6.58,6.65,6.78,-0.19,-2.8024,35606026,237170973.45
2019-03-22,'000650,仁和药业,6.78,6.79,6.6,6.72,6.73,0.05,0.7429,32951250,220753602.07
2019-03-21,'000650,仁和药业,6.73,6.81,6.68,6.74,6.77,-0.04,-0.5908,40551884,273515492.06
2019-03-20,'000650,仁和药业,6.77,6.77,6.51,6.6,6.64,0.13,1.9578,47067452,313356624.06
2019-03-19,'000650,仁和药业,6.64,6.77,6.57,6.69,6.74,-0.1,-1.4837,39989604,265734512.71
2019-03-18,'000650,仁和药业,6.74,6.83,6.36,6.43,6.41,0.33,5.1482,56899117,377835745.2
2019-03-15,'000650,仁和药业,6.41,6.55,6.36,6.38,6.38,0.03,0.4702,31523997,203266957.88
2019-03-14,'000650,仁和药业,6.38,6.55,6.28,6.42,6.47,-0.09,-1.391,29544232,188279876.16
2019-03-13,'000650,仁和药业,6.47,6.72,6.4,6.66,6.65,-0.18,-2.7068,43351104,285225694.17
2019-03-12,'000650,仁和药业,6.65,6.75,6.46,6.5,6.5,0.15,2.3077,61608688,408208457.88
2019-03-11,'000650,仁和药业,6.5,6.51,6.19,6.21,6.2,0.3,4.8387,38778531,246657419.21
2019-03-08,'000650,仁和药业,6.2,6.58,6.19,6.44,6.53,-0.33,-5.0536,56104117,358057393.9
2019-03-07,'000650,仁和药业,6.53,6.61,6.41,6.49,6.57,-0.04,-0.6088,56304444,367510527.08
2019-03-06,'000650,仁和药业,6.57,6.64,6.25,6.34,6.3,0.27,4.2857,73332442,471313426.42
2019-03-05,'000650,仁和药业,6.3,6.3,6.14,6.2,6.22,0.08,1.2862,40672372,253405853.4
2019-03-04,'000650,仁和药业,6.22,6.34,6.12,6.16,6.12,0.1,1.634,56470888,350974180.94
2019-03-01,'000650,仁和药业,6.12,6.2,6.03,6.17,6.16,-0.04,-0.6494,31001687,188863880.31
2019-02-28,'000650,仁和药业,6.16,6.22,6.07,6.07,6.09,0.07,1.1494,32919751,202423115.54
2019-02-27,'000650,仁和药业,6.09,6.22,6.03,6.1,6.11,-0.02,-0.3273,44423104,272261735.79
2019-02-26,'000650,仁和药业,6.11,6.32,6.02,6.12,6.14,-0.03,-0.4886,72226779,447325413.72
2019-02-25,'000650,仁和药业,6.14,6.16,5.85,5.91,5.9,0.24,4.0678,75175467,451156904.29
2019-02-22,'000650,仁和药业,5.9,5.99,5.86,5.95,6.0,-0.1,-1.6667,36655341,216605342.56
2019-02-21,'000650,仁和药业,6.0,6.01,5.84,5.88,5.88,0.12,2.0408,30690885,181683105.13
2019-02-20,'000650,仁和药业,5.88,5.98,5.79,5.97,5.99,-0.11,-1.8364,24600985,143921774.55
2019-02-19,'000650,仁和药业,5.99,6.12,5.94,6.01,6.02,-0.03,-0.4983,24177773,145390910.54
2019-02-18,'000650,仁和药业,6.02,6.04,5.82,5.85,5.85,0.17,2.906,25411451,151942090.94
2019-02-15,'000650,仁和药业,5.85,6.04,5.84,5.86,5.88,-0.03,-0.5102,20458277,121138369.37
2019-02-14,'000650,仁和药业,5.88,5.93,5.82,5.87,5.91,-0.03,-0.5076,14649021,85960145.7
2019-02-13,'000650,仁和药业,5.91,5.95,5.76,5.89,5.92,-0.01,-0.1689,26257943,154186957.07
2019-02-12,'000650,仁和药业,5.92,5.93,5.59,5.6,5.6,0.32,5.7143,33445391,193971616.71
2019-02-11,'000650,仁和药业,5.6,5.61,5.46,5.47,5.47,0.13,2.3766,18924174,105348165.38
2019-02-01,'000650,仁和药业,5.47,5.53,5.26,5.27,5.27,0.2,3.7951,15986886,87157961.74
2019-01-31,'000650,仁和药业,5.27,5.43,5.26,5.42,5.41,-0.14,-2.5878,11556259,61816350.85
2019-01-30,'000650,仁和药业,5.41,5.5,5.36,5.43,5.42,-0.01,-0.1845,12152285,65761566.08
2019-01-29,'000650,仁和药业,5.42,5.55,5.32,5.52,5.57,-0.15,-2.693,11110234,60236327.22
2019-01-28,'000650,仁和药业,5.57,5.71,5.5,5.65,5.64,-0.07,-1.2411,11255823,62980901.73
2019-01-25,'000650,仁和药业,5.64,5.69,5.49,5.57,5.55,0.09,1.6216,15763939,88645130.7
2019-01-24,'000650,仁和药业,5.55,5.58,5.43,5.5,5.53,0.02,0.3617,10531157,58064274.83
2019-01-23,'000650,仁和药业,5.53,5.66,5.42,5.61,5.67,-0.14,-2.4691,20446805,113059085.02
2019-01-22,'000650,仁和药业,5.67,5.8,5.64,5.8,5.83,-0.16,-2.7444,12207486,69584801.59
2019-01-21,'000650,仁和药业,5.83,5.85,5.69,5.7,5.7,0.13,2.2807,23966544,138653066.99
2019-01-18,'000650,仁和药业,5.7,5.72,5.52,5.52,5.52,0.18,3.2609,19070067,107391175.38
2019-01-17,'000650,仁和药业,5.52,5.58,5.5,5.57,5.56,-0.04,-0.7194,10862989,60184953.75
2019-01-16,'000650,仁和药业,5.56,5.63,5.51,5.57,5.56,0.0,0.0,13652797,76062809.51
2019-01-15,'000650,仁和药业,5.56,5.57,5.38,5.42,5.42,0.14,2.583,14104986,77302495.73
2019-01-14,'000650,仁和药业,5.42,5.44,5.38,5.43,5.45,-0.03,-0.5505,7848086,42431574.4
2019-01-11,'000650,仁和药业,5.45,5.46,5.38,5.44,5.44,0.01,0.1838,10215417,55363560.81
2019-01-10,'000650,仁和药业,5.44,5.54,5.42,5.54,5.52,-0.08,-1.4493,11578000,63300875.66
2019-01-09,'000650,仁和药业,5.52,5.65,5.46,5.49,5.47,0.05,0.9141,18162109,101196905.53
2019-01-08,'000650,仁和药业,5.47,5.52,5.44,5.52,5.53,-0.06,-1.085,12768214,69821006.26
2019-01-07,'000650,仁和药业,5.53,5.57,5.46,5.57,5.55,-0.02,-0.3604,16997576,93933057.04
2019-01-04,'000650,仁和药业,5.55,5.56,5.24,5.26,5.32,0.23,4.3233,18952047,102923937.51
2019-01-03,'000650,仁和药业,5.32,5.48,5.31,5.43,5.46,-0.14,-2.5641,12627246,67887620.02
2019-01-02,'000650,仁和药业,5.46,5.51,5.43,5.48,5.48,-0.02,-0.365,13573964,74262010.93
2018-12-28,'000650,仁和药业,5.48,5.83,5.42,5.81,5.78,-0.3,-5.1903,29253738,161873363.51
2018-12-27,'000650,仁和药业,5.78,6.0,5.78,6.0,5.89,-0.11,-1.8676,9032595,53330266.19
2018-12-26,'000650,仁和药业,5.89,5.98,5.84,5.9,5.93,-0.04,-0.6745,6929167,40978057.15
2018-12-25,'000650,仁和药业,5.93,6.03,5.78,6.01,6.06,-0.13,-2.1452,12910210,76081739.26
2018-12-24,'000650,仁和药业,6.06,6.1,5.93,5.96,5.98,0.08,1.3378,9944384,60106671.5
2018-12-21,'000650,仁和药业,5.98,5.98,5.9,5.93,5.98,0.0,0.0,7631924,45300186.55
2018-12-20,'000650,仁和药业,5.98,5.99,5.85,5.92,5.95,0.03,0.5042,8641842,51324156.42
2018-12-19,'000650,仁和药业,5.95,6.08,5.91,6.08,6.06,-0.11,-1.8152,15809581,94532043.2
