日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000651,格力电器,58.59,59.0,56.18,56.24,55.0,3.59,6.5273,87895488,5087684513.9
2019-06-28,'000651,格力电器,55.0,55.36,54.32,55.15,54.99,0.01,0.0182,26937806,1481403139.68
2019-06-27,'000651,格力电器,54.99,55.5,54.5,54.7,54.47,0.52,0.9547,41458493,2283645213.84
2019-06-26,'000651,格力电器,54.47,54.6,53.53,53.56,54.1,0.37,0.6839,30717055,1668305220.75
2019-06-25,'000651,格力电器,54.1,54.66,53.19,54.35,54.35,-0.25,-0.46,41615080,2244694468.63
2019-06-24,'000651,格力电器,54.35,54.87,53.3,53.8,53.31,1.04,1.9509,50235311,2731804701.68
2019-06-21,'000651,格力电器,53.31,54.8,53.21,54.35,54.0,-0.69,-1.2778,54778165,2942997861.26
2019-06-20,'000651,格力电器,54.0,54.26,52.02,52.11,52.11,1.89,3.6269,72059196,3858013749.79
2019-06-19,'000651,格力电器,52.11,52.98,52.01,52.25,51.03,1.08,2.1164,57329404,3006518737.47
2019-06-18,'000651,格力电器,51.03,51.21,50.41,50.86,50.74,0.29,0.5715,28522558,1450253455.39
2019-06-17,'000651,格力电器,50.74,51.65,50.57,51.2,51.16,-0.42,-0.821,38691309,1971143608.08
2019-06-14,'000651,格力电器,51.16,51.94,51.08,51.28,51.27,-0.11,-0.2146,32945834,1694156126.35
2019-06-13,'000651,格力电器,51.27,52.41,50.77,52.4,52.78,-1.51,-2.8609,68976808,3531723069.22
2019-06-12,'000651,格力电器,52.78,53.83,52.51,53.82,53.95,-1.17,-2.1687,48630704,2579947892.66
2019-06-11,'000651,格力电器,53.95,54.07,52.37,52.9,53.04,0.91,1.7157,70345156,3761480350.45
2019-06-10,'000651,格力电器,53.04,53.25,52.42,53.1,52.6,0.44,0.8365,35932314,1904413905.31
2019-06-06,'000651,格力电器,52.6,53.1,51.99,52.35,52.35,0.25,0.4776,28839261,1516494956.95
