日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000652,泰达股份,4.04,4.11,3.99,4.0,3.92,0.12,3.0612,16163703,65463618.62
2019-06-28,'000652,泰达股份,3.92,4.0,3.87,4.0,4.01,-0.09,-2.2444,15473178,60691540.51
2019-06-27,'000652,泰达股份,4.01,4.11,3.99,4.03,3.99,0.02,0.5013,14707446,59473021.54
2019-06-26,'000652,泰达股份,3.99,4.11,3.97,4.04,4.06,-0.07,-1.7241,14760845,59364478.19
2019-06-25,'000652,泰达股份,4.06,4.16,4.02,4.15,4.21,-0.15,-3.5629,22991044,93681401.22
2019-06-24,'000652,泰达股份,4.21,4.22,4.03,4.08,4.07,0.14,3.4398,42840624,177375226.15
2019-06-21,'000652,泰达股份,4.07,4.07,3.93,3.96,4.0,0.07,1.75,31287070,125836737.49
2019-06-20,'000652,泰达股份,4.0,4.04,3.77,3.79,3.77,0.23,6.1008,32191609,127410250.59
2019-06-19,'000652,泰达股份,3.77,3.82,3.76,3.78,3.7,0.07,1.8919,9313921,35243364.39
2019-06-18,'000652,泰达股份,3.7,3.73,3.68,3.71,3.7,0.0,0.0,3472040,12857301.6
2019-06-17,'000652,泰达股份,3.7,3.76,3.69,3.73,3.73,-0.03,-0.8043,5354600,19914893.0
2019-06-14,'000652,泰达股份,3.73,3.84,3.71,3.79,3.8,-0.07,-1.8421,7120501,26924225.8
2019-06-13,'000652,泰达股份,3.8,3.84,3.73,3.77,3.75,0.05,1.3333,8395042,31835704.99
2019-06-12,'000652,泰达股份,3.79,3.86,3.77,3.79,3.81,-0.02,-0.5249,7609393,28995604.93
2019-06-11,'000652,泰达股份,3.81,3.82,3.66,3.68,3.67,0.14,3.8147,9741754,36654241.07
2019-06-10,'000652,泰达股份,3.67,3.7,3.64,3.65,3.65,0.02,0.5479,6473766,23757566.96
2019-06-06,'000652,泰达股份,3.65,3.8,3.62,3.8,3.78,-0.13,-3.4392,9887491,36584756.15
2019-06-05,'000652,泰达股份,3.78,3.84,3.78,3.83,3.79,-0.01,-0.2639,7465420,28435874.0
2019-06-04,'000652,泰达股份,3.79,3.91,3.76,3.91,3.9,-0.11,-2.8205,13280802,50581287.93
2019-06-03,'000652,泰达股份,3.9,4.0,3.89,3.93,3.99,-0.09,-2.2556,12745561,50064615.03
2019-05-31,'000652,泰达股份,3.99,4.1,3.94,4.07,4.12,-0.13,-3.1553,21818020,87674778.2
2019-05-30,'000652,泰达股份,4.12,4.14,3.87,3.99,4.05,0.07,1.7284,30189839,121152395.46
2019-05-29,'000652,泰达股份,4.05,4.2,4.04,4.18,4.05,0.0,0.0,21131832,86461254.73
2019-05-28,'000652,泰达股份,4.05,4.21,4.02,4.06,4.02,0.03,0.7463,36643754,151204651.6
2019-05-27,'000652,泰达股份,4.02,4.03,3.84,3.84,3.95,0.07,1.7722,30117710,119002101.85
2019-05-24,'000652,泰达股份,3.95,4.21,3.91,4.1,4.08,-0.13,-3.1863,64189622,262374830.62
2019-05-23,'000652,泰达股份,4.08,4.08,3.65,3.69,3.71,0.37,9.973,32152148,128882438.39
2019-05-22,'000652,泰达股份,3.71,3.8,3.67,3.79,3.8,-0.09,-2.3684,9847046,36757748.16
2019-05-21,'000652,泰达股份,3.8,3.81,3.63,3.65,3.65,0.15,4.1096,9974493,37362875.67
2019-05-20,'000652,泰达股份,3.65,3.7,3.57,3.7,3.66,-0.01,-0.2732,7195814,26110804.38
2019-05-17,'000652,泰达股份,3.66,3.88,3.64,3.88,3.87,-0.21,-5.4264,12803869,48107225.23
2019-05-16,'000652,泰达股份,3.87,3.91,3.81,3.85,3.85,0.02,0.5195,11580372,44631598.36
2019-05-15,'000652,泰达股份,3.85,3.88,3.78,3.83,3.78,0.07,1.8519,10602477,40751829.08
2019-05-14,'000652,泰达股份,3.78,3.87,3.7,3.72,3.76,0.02,0.5319,14105244,53515040.88
2019-05-13,'000652,泰达股份,3.76,3.8,3.71,3.73,3.8,-0.04,-1.0526,9134958,34354957.28
2019-05-10,'000652,泰达股份,3.8,3.8,3.61,3.72,3.69,0.11,2.981,14286808,53562937.85
2019-05-09,'000652,泰达股份,3.69,3.74,3.67,3.7,3.7,-0.01,-0.2703,8386490,31109279.3
2019-05-08,'000652,泰达股份,3.7,3.8,3.55,3.62,3.67,0.03,0.8174,14535352,54127359.91
2019-05-07,'000652,泰达股份,3.67,3.71,3.6,3.65,3.63,0.04,1.1019,11259806,41272745.36
2019-05-06,'000652,泰达股份,3.63,3.86,3.6,3.79,3.97,-0.34,-8.5642,21738162,80812096.41
2019-04-30,'000652,泰达股份,3.97,4.02,3.89,3.9,3.88,0.09,2.3196,11013002,43618169.86
2019-04-29,'000652,泰达股份,3.88,4.14,3.85,4.11,4.11,-0.23,-5.5961,21563950,85746794.5
2019-04-26,'000652,泰达股份,4.11,4.23,4.11,4.16,4.19,-0.08,-1.9093,11050361,46135566.96
2019-04-25,'000652,泰达股份,4.19,4.42,4.16,4.41,4.39,-0.2,-4.5558,18455752,79270489.44
2019-04-24,'000652,泰达股份,4.39,4.42,4.3,4.39,4.35,0.04,0.9195,13031691,56977250.69
2019-04-23,'000652,泰达股份,4.35,4.52,4.33,4.5,4.5,-0.15,-3.3333,17623721,77676443.0
2019-04-22,'000652,泰达股份,4.5,4.58,4.48,4.5,4.51,-0.01,-0.2217,17465942,78972361.96
2019-04-19,'000652,泰达股份,4.51,4.51,4.39,4.44,4.43,0.08,1.8059,15553332,69064336.05
2019-04-18,'000652,泰达股份,4.43,4.49,4.4,4.48,4.49,-0.06,-1.3363,16265445,72201472.71
2019-04-17,'000652,泰达股份,4.49,4.55,4.45,4.48,4.47,0.02,0.4474,19361371,87165816.48
2019-04-16,'000652,泰达股份,4.47,4.49,4.29,4.38,4.42,0.05,1.1312,20928992,91704720.04
2019-04-15,'000652,泰达股份,4.42,4.56,4.42,4.5,4.44,-0.02,-0.4505,20941624,94043480.15
2019-04-12,'000652,泰达股份,4.44,4.55,4.38,4.51,4.51,-0.07,-1.5521,24566815,109521316.89
2019-04-11,'000652,泰达股份,4.51,4.68,4.51,4.68,4.68,-0.17,-3.6325,24925914,114295534.4
2019-04-10,'000652,泰达股份,4.68,4.71,4.55,4.62,4.6,0.08,1.7391,30410016,141053856.74
2019-04-09,'000652,泰达股份,4.6,4.62,4.51,4.59,4.59,0.01,0.2179,21859492,99901136.54
2019-04-08,'000652,泰达股份,4.59,4.75,4.51,4.73,4.68,-0.09,-1.9231,34798132,160617785.4
2019-04-04,'000652,泰达股份,4.68,4.76,4.64,4.71,4.73,-0.05,-1.0571,32973782,154910519.56
2019-04-03,'000652,泰达股份,4.73,4.73,4.6,4.66,4.71,0.02,0.4246,39887546,186362774.75
2019-04-02,'000652,泰达股份,4.71,4.8,4.59,4.68,4.66,0.05,1.073,54608808,257177000.45
2019-04-01,'000652,泰达股份,4.66,4.68,4.51,4.54,4.55,0.11,2.4176,53649836,248042438.5
2019-03-29,'000652,泰达股份,4.55,4.58,4.31,4.42,4.46,0.09,2.0179,55492302,247284800.3
2019-03-28,'000652,泰达股份,4.46,4.76,4.45,4.76,4.8,-0.34,-7.0833,70536943,322842972.2
2019-03-27,'000652,泰达股份,4.8,4.92,4.59,4.8,4.99,-0.19,-3.8076,90264587,430770064.25
2019-03-26,'000652,泰达股份,4.99,5.79,4.92,5.6,5.34,-0.35,-6.5543,173364055,930061385.42
2019-03-25,'000652,泰达股份,5.34,5.34,5.11,5.34,4.85,0.49,10.1031,77173714,410982698.89
2019-03-22,'000652,泰达股份,4.85,4.92,4.5,4.63,4.66,0.19,4.0773,74115698,347201048.11
2019-03-21,'000652,泰达股份,4.66,4.78,4.47,4.57,4.54,0.12,2.6432,73282489,337296437.16
2019-03-20,'000652,泰达股份,4.54,4.68,4.38,4.42,4.38,0.16,3.653,68756092,310995383.02
2019-03-19,'000652,泰达股份,4.38,4.49,4.25,4.36,4.3,0.08,1.8605,41409560,181146502.8
2019-03-18,'000652,泰达股份,4.3,4.39,4.22,4.35,4.25,0.05,1.1765,33862858,145077628.82
2019-03-15,'000652,泰达股份,4.25,4.39,4.13,4.15,4.12,0.13,3.1553,45207858,193562647.34
2019-03-14,'000652,泰达股份,4.12,4.36,4.03,4.25,4.3,-0.18,-4.186,39026455,162278949.32
2019-03-13,'000652,泰达股份,4.3,4.56,4.25,4.36,4.32,-0.02,-0.463,62919980,277532509.43
2019-03-12,'000652,泰达股份,4.32,4.37,4.17,4.2,4.18,0.14,3.3493,53793167,229837730.32
2019-03-11,'000652,泰达股份,4.18,4.18,4.0,4.01,3.99,0.19,4.7619,34744329,142812776.95
2019-03-08,'000652,泰达股份,3.99,4.24,3.98,4.15,4.29,-0.3,-6.993,49066094,202234425.03
2019-03-07,'000652,泰达股份,4.29,4.37,4.18,4.25,4.25,0.04,0.9412,50614326,216149006.59
2019-03-06,'000652,泰达股份,4.25,4.27,4.12,4.23,4.25,0.0,0.0,56431193,236883917.98
2019-03-05,'000652,泰达股份,4.25,4.28,3.95,3.99,4.04,0.21,5.198,64080334,265993680.44
2019-03-04,'000652,泰达股份,4.04,4.15,3.94,4.03,3.93,0.11,2.799,54336321,218534188.72
2019-03-01,'000652,泰达股份,3.93,4.03,3.84,3.86,3.89,0.04,1.0283,32561315,127748948.78
2019-02-28,'000652,泰达股份,3.89,4.04,3.79,4.04,4.08,-0.19,-4.6569,57629144,224257932.26
2019-02-27,'000652,泰达股份,4.08,4.25,3.97,4.07,3.86,0.22,5.6995,77736421,322328911.1
2019-02-26,'000652,泰达股份,3.86,4.02,3.83,4.0,4.04,-0.18,-4.4554,56420301,222062300.69
2019-02-25,'000652,泰达股份,4.04,4.09,3.6,3.79,3.72,0.32,8.6022,68610690,266327060.13
2019-02-22,'000652,泰达股份,3.72,3.8,3.44,3.46,3.45,0.27,7.8261,55444743,202352026.65
2019-02-21,'000652,泰达股份,3.45,3.56,3.42,3.49,3.48,-0.03,-0.8621,22157071,77314729.01
2019-02-20,'000652,泰达股份,3.48,3.54,3.44,3.52,3.55,-0.07,-1.9718,19246880,67013659.5
2019-02-19,'000652,泰达股份,3.55,3.57,3.42,3.46,3.45,0.1,2.8986,30603983,107144326.0
2019-02-18,'000652,泰达股份,3.45,3.48,3.38,3.38,3.36,0.09,2.6786,18944837,64797968.71
2019-02-15,'000652,泰达股份,3.36,3.42,3.32,3.34,3.35,0.01,0.2985,15620019,52585606.84
2019-02-14,'000652,泰达股份,3.35,3.43,3.34,3.34,3.35,0.0,0.0,18244453,61675728.42
2019-02-13,'000652,泰达股份,3.35,3.37,3.27,3.3,3.29,0.06,1.8237,15597564,51896273.56
2019-02-12,'000652,泰达股份,3.29,3.3,3.2,3.21,3.22,0.07,2.1739,11171801,36499799.67
2019-02-11,'000652,泰达股份,3.22,3.23,3.16,3.18,3.16,0.06,1.8987,7963923,25588134.06
2019-02-01,'000652,泰达股份,3.16,3.19,3.12,3.13,3.1,0.06,1.9355,8467401,26737862.16
2019-01-31,'000652,泰达股份,3.1,3.24,3.06,3.08,3.29,-0.19,-5.7751,21338997,67192096.89
2019-01-30,'000652,泰达股份,3.29,3.48,3.27,3.36,3.26,0.03,0.9202,33586503,113732412.56
2019-01-29,'000652,泰达股份,3.26,3.33,3.04,3.29,3.28,-0.02,-0.6098,15587442,49896758.98
2019-01-28,'000652,泰达股份,3.28,3.38,3.26,3.3,3.31,-0.03,-0.9063,11559921,38298283.88
2019-01-25,'000652,泰达股份,3.31,3.49,3.31,3.45,3.34,-0.03,-0.8982,15629400,52984358.87
2019-01-24,'000652,泰达股份,3.34,3.43,3.28,3.32,3.29,0.05,1.5198,17528993,58868222.57
2019-01-23,'000652,泰达股份,3.29,3.35,3.21,3.22,3.23,0.06,1.8576,9743270,31788142.96
2019-01-22,'000652,泰达股份,3.23,3.29,3.22,3.27,3.25,-0.02,-0.6154,7107466,23100538.48
2019-01-21,'000652,泰达股份,3.25,3.36,3.25,3.34,3.33,-0.08,-2.4024,11098200,36432415.96
2019-01-18,'000652,泰达股份,3.33,3.4,3.32,3.4,3.4,-0.07,-2.0588,14839936,49604405.86
2019-01-17,'000652,泰达股份,3.4,3.45,3.33,3.38,3.39,0.01,0.295,21469073,72564232.57
2019-01-16,'000652,泰达股份,3.39,3.54,3.25,3.28,3.31,0.08,2.4169,38369685,130614189.18
2019-01-15,'000652,泰达股份,3.31,3.34,3.17,3.19,3.2,0.11,3.4375,16657082,54590203.69
2019-01-14,'000652,泰达股份,3.2,3.27,3.18,3.22,3.24,-0.04,-1.2346,9495826,30576392.79
2019-01-11,'000652,泰达股份,3.24,3.29,3.18,3.21,3.21,0.03,0.9346,9847380,31711163.28
2019-01-10,'000652,泰达股份,3.21,3.31,3.2,3.3,3.33,-0.12,-3.6036,14335112,46776618.12
2019-01-09,'000652,泰达股份,3.33,3.46,3.21,3.23,3.25,0.08,2.4615,25126603,83140645.32
2019-01-08,'000652,泰达股份,3.25,3.27,3.15,3.19,3.18,0.07,2.2013,16482545,53069749.62
2019-01-07,'000652,泰达股份,3.18,3.19,3.12,3.15,3.14,0.04,1.2739,13846370,43789074.05
2019-01-04,'000652,泰达股份,3.14,3.18,2.94,2.98,3.0,0.14,4.6667,15637338,48346942.14
2019-01-03,'000652,泰达股份,3.0,3.08,3.0,3.04,3.02,-0.02,-0.6623,7036824,21326966.96
2019-01-02,'000652,泰达股份,3.02,3.06,3.0,3.04,3.01,0.01,0.3322,5250600,15896660.0
2018-12-28,'000652,泰达股份,3.01,3.03,2.97,2.97,2.98,0.03,1.0067,7320840,22011857.6
2018-12-27,'000652,泰达股份,2.98,3.15,2.98,3.14,3.1,-0.12,-3.871,9706504,29681858.36
2018-12-26,'000652,泰达股份,3.1,3.13,3.02,3.04,3.04,0.06,1.9737,10929141,33602060.0
2018-12-25,'000652,泰达股份,3.04,3.11,2.95,3.1,3.12,-0.08,-2.5641,13157800,39719829.94
2018-12-24,'000652,泰达股份,3.12,3.13,3.09,3.11,3.14,-0.02,-0.6369,7981294,24825398.08
