日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000655,金岭矿业,6.69,6.86,6.32,6.55,6.25,0.44,7.04,39270593,258149245.33
2019-06-28,'000655,金岭矿业,6.25,6.5,6.11,6.37,6.3,-0.05,-0.7937,25049085,158348041.14
2019-06-27,'000655,金岭矿业,6.3,6.5,5.95,6.02,5.93,0.37,6.2395,35366355,221092863.64
2019-06-26,'000655,金岭矿业,5.93,5.99,5.71,5.83,5.96,-0.03,-0.5034,17286908,100867848.53
2019-06-25,'000655,金岭矿业,5.96,6.1,5.86,6.1,6.17,-0.21,-3.4036,21271825,126966432.41
2019-06-24,'000655,金岭矿业,6.17,6.3,6.06,6.17,6.32,-0.15,-2.3734,21738924,133828398.72
2019-06-21,'000655,金岭矿业,6.32,6.5,6.21,6.4,6.58,-0.26,-3.9514,36085609,229609666.67
2019-06-20,'000655,金岭矿业,6.58,6.66,6.12,6.29,6.11,0.47,7.6923,44942391,287227335.67
2019-06-19,'000655,金岭矿业,6.11,6.47,6.08,6.37,5.89,0.22,3.7351,45995716,289491715.49
2019-06-18,'000655,金岭矿业,5.89,5.89,5.56,5.67,5.55,0.34,6.1261,23926461,136724818.03
2019-06-17,'000655,金岭矿业,5.55,5.78,5.44,5.44,5.68,-0.13,-2.2887,17948216,100361806.36
2019-06-14,'000655,金岭矿业,5.68,6.1,5.67,5.99,5.7,-0.02,-0.3509,30906306,181397212.93
2019-06-13,'000655,金岭矿业,5.7,5.7,5.38,5.57,5.55,0.15,2.7027,21066996,116934927.48
2019-06-12,'000655,金岭矿业,5.55,5.85,5.52,5.52,5.51,0.04,0.726,30498541,172530765.49
2019-06-11,'000655,金岭矿业,5.51,5.51,5.17,5.26,5.01,0.5,9.98,19377666,103677859.16
2019-06-10,'000655,金岭矿业,5.01,5.03,4.81,4.87,4.83,0.18,3.7267,9854402,48489827.56
2019-06-06,'000655,金岭矿业,4.83,5.14,4.76,5.14,5.14,-0.31,-6.0311,14199600,69267690.02
2019-06-05,'000655,金岭矿业,5.14,5.29,5.08,5.25,5.15,-0.01,-0.1942,12226233,63354564.91
2019-06-04,'000655,金岭矿业,5.15,5.45,5.1,5.44,5.38,-0.23,-4.2751,15982769,83932152.7
2019-06-03,'000655,金岭矿业,5.38,5.66,5.33,5.58,5.62,-0.24,-4.2705,15024209,82181147.09
2019-05-31,'000655,金岭矿业,5.62,5.93,5.53,5.88,5.81,-0.19,-3.2702,21008143,119976873.58
2019-05-30,'000655,金岭矿业,5.81,6.02,5.6,5.88,6.06,-0.25,-4.1254,23953424,139998880.57
2019-05-29,'000655,金岭矿业,6.06,6.15,5.72,5.8,6.02,0.04,0.6645,30245983,179329674.52
2019-05-28,'000655,金岭矿业,6.02,6.33,5.85,6.15,5.85,0.17,2.906,43151240,261849009.77
2019-05-27,'000655,金岭矿业,5.85,5.85,5.45,5.58,5.32,0.53,9.9624,24065360,137771122.05
