日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000656,金科股份,6.16,6.19,6.07,6.11,6.03,0.13,2.1559,16949966,104158886.06
2019-06-28,'000656,金科股份,6.03,6.11,6.02,6.1,6.11,-0.08,-1.3093,9414089,56862500.78
2019-06-27,'000656,金科股份,6.11,6.15,6.07,6.11,6.1,0.01,0.1639,12268996,74942849.49
2019-06-26,'000656,金科股份,6.1,6.14,6.06,6.13,6.09,0.01,0.1642,11254322,68706732.4
2019-06-25,'000656,金科股份,6.09,6.18,6.05,6.16,6.15,-0.06,-0.9756,10287804,62793373.4
2019-06-24,'000656,金科股份,6.15,6.21,6.12,6.16,6.17,-0.02,-0.3241,14141263,87018692.08
2019-06-21,'000656,金科股份,6.17,6.31,6.13,6.22,6.24,-0.07,-1.1218,21812699,135248162.89
2019-06-20,'000656,金科股份,6.24,6.28,6.05,6.17,6.19,0.05,0.8078,22266416,137648313.78
2019-06-19,'000656,金科股份,6.19,6.35,6.15,6.3,6.19,0.0,0.0,21880086,135944095.49
2019-06-18,'000656,金科股份,6.19,6.3,6.17,6.25,6.28,-0.09,-1.4331,16044706,99724277.98
2019-06-17,'000656,金科股份,6.28,6.35,6.21,6.3,6.39,-0.11,-1.7214,25170627,158545413.58
2019-06-14,'000656,金科股份,6.39,6.39,6.09,6.12,6.09,0.3,4.9261,53180798,331390048.8
2019-06-13,'000656,金科股份,6.45,6.55,6.38,6.53,6.56,-0.11,-1.6768,30517984,196249405.21
2019-06-12,'000656,金科股份,6.56,6.6,6.5,6.6,6.57,-0.01,-0.1522,21023465,137444807.84
2019-06-11,'000656,金科股份,6.57,6.62,6.35,6.37,6.35,0.22,3.4646,22579469,147852811.5
2019-06-10,'000656,金科股份,6.35,6.39,6.25,6.29,6.25,0.1,1.6,14944777,94807682.31
2019-06-06,'000656,金科股份,6.25,6.43,6.22,6.38,6.32,-0.07,-1.1076,14664220,92729223.53
2019-06-05,'000656,金科股份,6.32,6.42,6.21,6.32,6.26,0.06,0.9585,20188196,127669583.1
2019-06-04,'000656,金科股份,6.26,6.4,6.19,6.4,6.4,-0.14,-2.1875,16686136,104736152.95
2019-06-03,'000656,金科股份,6.4,6.54,6.29,6.53,6.5,-0.1,-1.5385,14832698,94691116.79
2019-05-31,'000656,金科股份,6.5,6.51,6.34,6.35,6.35,0.15,2.3622,15636641,100789132.97
2019-05-30,'000656,金科股份,6.35,6.38,6.22,6.3,6.3,0.05,0.7937,15828100,99864771.12
2019-05-29,'000656,金科股份,6.3,6.52,6.3,6.52,6.52,-0.22,-3.3742,17506705,111248022.03
2019-05-28,'000656,金科股份,6.52,6.57,6.39,6.52,6.52,0.0,0.0,17698751,114643073.25
2019-05-27,'000656,金科股份,6.52,6.56,6.35,6.44,6.46,0.06,0.9288,13781499,89261451.48
2019-05-24,'000656,金科股份,6.46,6.53,6.26,6.26,6.23,0.23,3.6918,17932925,115263657.67
2019-05-23,'000656,金科股份,6.23,6.4,6.15,6.39,6.45,-0.22,-3.4109,14782081,92982863.63
2019-05-22,'000656,金科股份,6.45,6.5,6.32,6.49,6.42,0.03,0.4673,9873117,63247391.48
2019-05-21,'000656,金科股份,6.42,6.55,6.29,6.29,6.26,0.16,2.5559,17192601,110309256.06
2019-05-20,'000656,金科股份,6.26,6.47,6.14,6.41,6.43,-0.17,-2.6439,19422216,122074644.52
2019-05-17,'000656,金科股份,6.43,6.63,6.42,6.61,6.58,-0.15,-2.2796,15395557,99973243.37
2019-05-16,'000656,金科股份,6.58,6.62,6.54,6.6,6.65,-0.07,-1.0526,14157762,93080864.46
2019-05-15,'000656,金科股份,6.65,6.65,6.48,6.59,6.58,0.07,1.0638,18798553,123630628.03
2019-05-14,'000656,金科股份,6.58,6.58,6.4,6.45,6.54,0.04,0.6116,16667669,108170763.16
2019-05-13,'000656,金科股份,6.54,6.66,6.51,6.61,6.71,-0.17,-2.5335,13441641,88175143.84
2019-05-10,'000656,金科股份,6.71,6.83,6.28,6.42,6.41,0.3,4.6802,23539212,154684604.42
2019-05-09,'000656,金科股份,6.41,6.68,6.38,6.6,6.67,-0.26,-3.8981,19154914,124399643.99
2019-05-08,'000656,金科股份,6.67,6.8,6.6,6.65,6.72,-0.05,-0.744,24858617,166167203.87
2019-05-07,'000656,金科股份,6.72,7.03,6.58,6.91,6.92,-0.2,-2.8902,45367854,307503408.68
2019-05-06,'000656,金科股份,6.92,7.5,6.85,7.36,7.61,-0.69,-9.067,42465060,300037040.59
2019-04-30,'000656,金科股份,7.61,7.91,7.53,7.73,7.79,-0.18,-2.3107,21715025,166195781.79
2019-04-29,'000656,金科股份,7.79,7.94,7.52,7.52,7.55,0.24,3.1788,26188331,204382094.48
2019-04-26,'000656,金科股份,7.55,7.74,7.51,7.6,7.73,-0.18,-2.3286,22218927,169404627.57
2019-04-25,'000656,金科股份,7.73,7.89,7.67,7.76,7.79,-0.06,-0.7702,19898792,154543001.81
2019-04-24,'000656,金科股份,7.79,7.91,7.65,7.82,7.82,-0.03,-0.3836,17778610,138237655.36
2019-04-23,'000656,金科股份,7.82,7.97,7.58,7.6,7.63,0.19,2.4902,33097562,257939659.94
2019-04-22,'000656,金科股份,7.63,7.88,7.3,7.88,7.91,-0.28,-3.5398,42898392,325200753.41
2019-04-19,'000656,金科股份,7.91,7.99,7.83,7.87,7.88,0.03,0.3807,18008562,141982228.95
2019-04-18,'000656,金科股份,7.88,7.97,7.86,7.93,7.97,-0.09,-1.1292,18125965,143324276.92
2019-04-17,'000656,金科股份,7.97,8.14,7.94,8.07,7.99,-0.02,-0.2503,27431198,220379459.96
2019-04-16,'000656,金科股份,7.99,8.05,7.72,7.82,7.98,0.01,0.1253,38778680,307416138.76
2019-04-15,'000656,金科股份,7.98,8.29,7.96,8.22,8.13,-0.15,-1.845,39139288,315068844.64
2019-04-12,'000656,金科股份,8.13,8.17,7.87,7.95,7.95,0.18,2.2642,42223138,338863415.31
2019-04-11,'000656,金科股份,7.95,8.13,7.92,8.01,8.06,-0.11,-1.3648,58869626,470295873.25
2019-04-10,'000656,金科股份,8.06,8.4,8.03,8.13,8.19,-0.13,-1.5873,63529525,519533901.38
2019-04-09,'000656,金科股份,8.19,8.55,7.8,7.94,7.94,0.25,3.1486,82588571,675894743.74
2019-04-08,'000656,金科股份,7.94,8.03,7.66,7.74,7.68,0.26,3.3854,69026517,541798448.89
2019-04-04,'000656,金科股份,7.68,7.74,7.43,7.43,7.49,0.19,2.5367,48038169,365936861.32
2019-04-03,'000656,金科股份,7.49,7.64,7.25,7.42,7.48,0.01,0.1337,54313417,405623552.47
2019-04-02,'000656,金科股份,7.48,7.56,7.42,7.45,7.47,0.01,0.1339,57010644,426458400.23
2019-04-01,'000656,金科股份,7.47,7.76,7.22,7.31,7.3,0.17,2.3288,90538749,677663483.56
2019-03-29,'000656,金科股份,7.3,7.42,6.86,7.0,7.01,0.29,4.1369,101861287,732998771.7
2019-03-28,'000656,金科股份,7.01,7.3,6.91,7.13,7.08,-0.07,-0.9887,78114364,553229345.19
2019-03-27,'000656,金科股份,7.08,7.08,6.44,6.46,6.44,0.64,9.9379,123553085,859474690.23
2019-03-26,'000656,金科股份,6.44,6.72,6.35,6.64,6.57,-0.13,-1.9787,37783379,245359365.02
2019-03-25,'000656,金科股份,6.57,6.79,6.5,6.65,6.64,-0.07,-1.0542,45240000,299429120.75
2019-03-22,'000656,金科股份,6.64,6.66,6.4,6.49,6.43,0.21,3.2659,51295879,336169268.01
2019-03-21,'000656,金科股份,6.43,6.63,6.41,6.42,6.42,0.01,0.1558,50562459,328777393.1
2019-03-20,'000656,金科股份,6.42,6.51,6.33,6.41,6.41,0.01,0.156,40258010,257997788.29
2019-03-19,'000656,金科股份,6.41,6.51,6.28,6.33,6.33,0.08,1.2638,50456393,322913145.76
2019-03-18,'000656,金科股份,6.33,6.4,5.94,5.94,5.94,0.39,6.5657,57033479,354000187.19
2019-03-15,'000656,金科股份,5.94,5.99,5.89,5.91,5.91,0.03,0.5076,17721152,105293546.46
2019-03-14,'000656,金科股份,5.91,6.01,5.86,5.99,6.0,-0.09,-1.5,28587220,169330523.25
2019-03-13,'000656,金科股份,6.0,6.06,5.86,5.94,5.97,0.03,0.5025,33385492,199164081.36
2019-03-12,'000656,金科股份,5.97,6.05,5.92,5.98,5.98,-0.01,-0.1672,31226774,187111379.42
2019-03-11,'000656,金科股份,5.98,6.03,5.9,5.9,6.0,-0.02,-0.3333,27185156,161882563.45
2019-03-08,'000656,金科股份,6.0,6.32,5.95,6.31,6.38,-0.38,-5.9561,49519498,301611532.69
2019-03-07,'000656,金科股份,6.38,6.5,6.27,6.35,6.31,0.07,1.1094,40645549,259038953.05
2019-03-06,'000656,金科股份,6.31,6.33,6.21,6.32,6.34,-0.03,-0.4732,29781719,186742262.12
2019-03-05,'000656,金科股份,6.34,6.35,6.09,6.19,6.17,0.17,2.7553,38058422,237032029.24
2019-03-04,'000656,金科股份,6.17,6.36,6.09,6.14,6.09,0.08,1.3136,46850356,290681815.31
2019-03-01,'000656,金科股份,6.09,6.09,5.99,6.05,6.03,0.06,0.995,18327725,110721950.0
2019-02-28,'000656,金科股份,6.03,6.1,5.95,5.98,6.0,0.03,0.5,15632965,94343525.02
2019-02-27,'000656,金科股份,6.0,6.12,5.97,6.06,6.09,-0.09,-1.4778,26877733,161927751.08
2019-02-26,'000656,金科股份,6.09,6.22,6.04,6.15,6.14,-0.05,-0.8143,30886995,188673163.3
2019-02-25,'000656,金科股份,6.14,6.15,5.97,5.98,5.97,0.17,2.8476,30339068,184360243.8
2019-02-22,'000656,金科股份,5.97,5.98,5.89,5.92,5.95,0.02,0.3361,10261129,60971405.1
2019-02-21,'000656,金科股份,5.95,6.02,5.85,6.02,5.99,-0.04,-0.6678,12484584,74212907.16
2019-02-20,'000656,金科股份,5.99,6.04,5.95,6.01,5.98,0.01,0.1672,9165430,54906321.12
2019-02-19,'000656,金科股份,5.98,6.11,5.97,6.1,6.11,-0.13,-2.1277,14140659,85425244.72
2019-02-18,'000656,金科股份,6.11,6.15,5.92,5.92,5.93,0.18,3.0354,20130670,121919607.02
2019-02-15,'000656,金科股份,5.93,6.0,5.93,5.99,6.0,-0.07,-1.1667,9141900,54472738.56
2019-02-14,'000656,金科股份,6.0,6.05,5.95,6.03,6.0,0.0,0.0,11932303,71615003.06
2019-02-13,'000656,金科股份,6.0,6.1,5.97,6.02,5.99,0.01,0.1669,16164826,97232580.97
2019-02-12,'000656,金科股份,5.99,6.2,5.96,6.0,5.99,0.0,0.0,17860060,108592090.0
2019-02-11,'000656,金科股份,5.99,6.0,5.86,5.89,5.89,0.1,1.6978,10454215,62453329.18
2019-02-01,'000656,金科股份,5.89,5.9,5.71,5.77,5.72,0.17,2.972,15714869,91466165.54
2019-01-31,'000656,金科股份,5.72,5.78,5.64,5.7,5.67,0.05,0.8818,9126264,52161949.06
2019-01-30,'000656,金科股份,5.67,5.74,5.58,5.65,5.64,0.03,0.5319,10010591,56896574.36
2019-01-29,'000656,金科股份,5.64,5.75,5.52,5.69,5.69,-0.05,-0.8787,10963299,61681416.71
2019-01-28,'000656,金科股份,5.69,5.78,5.55,5.56,5.57,0.12,2.1544,16274189,92357403.91
2019-01-25,'000656,金科股份,5.57,5.67,5.5,5.56,5.56,0.01,0.1799,22281644,124112028.76
2019-01-24,'000656,金科股份,5.56,5.87,5.42,5.86,5.87,-0.31,-5.2811,38879548,216980893.99
2019-01-23,'000656,金科股份,5.87,5.96,5.79,5.96,5.96,-0.09,-1.5101,12017447,70402146.34
2019-01-22,'000656,金科股份,5.96,5.99,5.89,5.96,5.9,0.06,1.0169,12912084,76882702.03
2019-01-21,'000656,金科股份,5.9,5.97,5.86,5.87,5.86,0.04,0.6826,10215698,60650910.6
2019-01-18,'000656,金科股份,5.86,5.87,5.75,5.85,5.78,0.08,1.3841,13804131,80720777.94
2019-01-17,'000656,金科股份,5.78,5.95,5.66,5.94,5.96,-0.18,-3.0201,25468535,147910955.72
2019-01-16,'000656,金科股份,5.96,6.01,5.88,6.01,5.99,-0.03,-0.5008,10932846,64856941.39
2019-01-15,'000656,金科股份,5.99,6.0,5.88,5.99,5.94,0.05,0.8418,9891571,58746052.91
2019-01-14,'000656,金科股份,5.94,6.05,5.91,6.0,5.97,-0.03,-0.5025,6647372,39691376.4
2019-01-11,'000656,金科股份,5.97,6.13,5.95,6.08,6.09,-0.12,-1.9704,12776883,76693547.27
2019-01-10,'000656,金科股份,6.09,6.12,5.94,5.94,5.92,0.17,2.8716,15577144,94374330.35
2019-01-09,'000656,金科股份,5.92,6.06,5.91,5.96,5.94,-0.02,-0.3367,17083633,102438184.49
2019-01-08,'000656,金科股份,5.94,6.02,5.93,6.0,6.0,-0.06,-1.0,11886218,71119974.47
2019-01-07,'000656,金科股份,6.0,6.18,5.99,6.17,6.16,-0.16,-2.5974,18152096,109658600.42
2019-01-04,'000656,金科股份,6.16,6.18,6.07,6.08,6.16,0.0,0.0,13869071,85035879.14
2019-01-03,'000656,金科股份,6.16,6.21,5.94,6.05,6.09,0.07,1.1494,15434455,94412344.82
2019-01-02,'000656,金科股份,6.09,6.19,5.77,6.19,6.19,-0.1,-1.6155,24401045,146898148.94
2018-12-28,'000656,金科股份,6.19,6.25,6.06,6.13,6.17,0.02,0.3241,12903021,79543768.7
2018-12-27,'000656,金科股份,6.17,6.35,6.13,6.32,6.26,-0.09,-1.4377,13462200,83580881.22
2018-12-26,'000656,金科股份,6.26,6.33,6.21,6.21,6.21,0.05,0.8052,16731477,104991777.55
2018-12-25,'000656,金科股份,6.21,6.25,6.06,6.19,6.24,-0.03,-0.4808,15407131,95065940.88
2018-12-24,'000656,金科股份,6.24,6.29,6.16,6.2,6.19,0.05,0.8078,16081346,100226936.15
2018-12-21,'000656,金科股份,6.19,6.21,6.06,6.13,6.12,0.07,1.1438,13910257,85984084.95
2018-12-20,'000656,金科股份,6.12,6.16,6.06,6.08,6.09,0.03,0.4926,12407633,75796781.16
2018-12-19,'000656,金科股份,6.09,6.17,6.08,6.16,6.14,-0.05,-0.8143,9891871,60561804.4
2018-12-18,'000656,金科股份,6.14,6.16,6.03,6.14,6.15,-0.01,-0.1626,13733401,83848854.84
2018-12-17,'000656,金科股份,6.15,6.26,6.11,6.2,6.2,-0.05,-0.8065,12140715,74990443.51
2018-12-14,'000656,金科股份,6.2,6.45,6.15,6.15,6.21,-0.01,-0.161,24610669,154238846.76
2018-12-13,'000656,金科股份,6.21,6.26,6.1,6.12,6.13,0.08,1.3051,25260310,156465415.29
2018-12-12,'000656,金科股份,6.13,6.17,6.05,6.09,6.05,0.08,1.3223,20434954,125259330.69
2018-12-11,'000656,金科股份,6.05,6.07,5.88,5.91,5.85,0.2,3.4188,27567986,165296863.46
