日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000657,中钨高新,6.96,6.99,6.71,6.97,7.0,-0.04,-0.5714,13464465,92542274.38
2019-06-28,'000657,中钨高新,7.0,7.1,6.86,7.1,7.14,-0.14,-1.9608,14606383,101689486.59
2019-06-27,'000657,中钨高新,7.14,7.19,7.11,7.16,7.16,-0.02,-0.2793,7525124,53741667.4
2019-06-26,'000657,中钨高新,7.16,7.25,7.08,7.15,7.18,-0.02,-0.2786,8248864,59044474.66
2019-06-25,'000657,中钨高新,7.18,7.46,7.07,7.45,7.48,-0.3,-4.0107,17200134,123901179.11
2019-06-24,'000657,中钨高新,7.48,7.6,7.4,7.5,7.49,-0.01,-0.1335,13248459,99038703.94
2019-06-21,'000657,中钨高新,7.49,7.67,7.42,7.45,7.6,-0.11,-1.4474,21250563,160140151.75
2019-06-20,'000657,中钨高新,7.6,7.75,7.25,7.56,7.5,0.1,1.3333,28566575,213713988.47
2019-06-19,'000657,中钨高新,7.5,7.96,7.5,7.78,7.66,-0.16,-2.0888,26733137,206108472.88
2019-06-18,'000657,中钨高新,7.66,7.84,7.42,7.65,7.9,-0.24,-3.038,29367174,224252770.18
2019-06-17,'000657,中钨高新,7.9,8.54,7.88,7.94,8.18,-0.28,-3.423,41967301,344358086.81
2019-06-14,'000657,中钨高新,8.18,8.28,7.45,7.6,7.65,0.53,6.9281,47654180,377139649.75
2019-06-13,'000657,中钨高新,7.65,7.95,7.55,7.84,7.81,-0.16,-2.0487,32392474,249574746.02
2019-06-12,'000657,中钨高新,7.81,8.58,7.68,8.06,7.99,-0.18,-2.2528,62752112,513045496.97
2019-06-11,'000657,中钨高新,7.99,8.0,7.31,7.35,7.33,0.66,9.0041,53017378,410246274.42
2019-06-10,'000657,中钨高新,7.33,7.33,6.69,6.7,6.66,0.67,10.0601,30207762,217048898.2
2019-06-06,'000657,中钨高新,6.66,6.89,6.62,6.75,6.75,-0.09,-1.3333,9638614,65061201.4
2019-06-05,'000657,中钨高新,6.75,7.0,6.66,6.93,6.74,0.01,0.1484,12368156,84238722.72
2019-06-04,'000657,中钨高新,6.74,7.19,6.66,7.14,7.04,-0.3,-4.2614,13420174,92465671.64
2019-06-03,'000657,中钨高新,7.04,7.4,7.0,7.4,7.44,-0.4,-5.3763,20861336,149818138.68
2019-05-31,'000657,中钨高新,7.44,7.98,7.02,7.14,7.46,-0.02,-0.2681,39245832,294562691.82
2019-05-30,'000657,中钨高新,7.46,7.5,6.88,6.91,6.82,0.64,9.3842,39069506,285369205.78
2019-05-29,'000657,中钨高新,6.82,7.03,6.68,6.7,6.56,0.26,3.9634,12522637,85841092.31
2019-05-28,'000657,中钨高新,6.56,6.69,6.51,6.56,6.61,-0.05,-0.7564,5053523,33270972.96
2019-05-27,'000657,中钨高新,6.61,6.63,6.27,6.38,6.38,0.23,3.605,5486002,35662313.64
2019-05-24,'000657,中钨高新,6.38,6.73,6.32,6.46,6.56,-0.18,-2.7439,5520225,35711578.72
2019-05-23,'000657,中钨高新,6.56,6.94,6.5,6.79,6.79,-0.23,-3.3873,7675569,51353874.28
2019-05-22,'000657,中钨高新,6.79,6.92,6.51,6.62,6.74,0.05,0.7418,13155110,88085455.18
2019-05-21,'000657,中钨高新,6.74,6.85,6.16,6.25,6.34,0.4,6.3091,12988118,86034990.98
2019-05-20,'000657,中钨高新,6.34,6.42,5.93,6.28,6.21,0.13,2.0934,5505950,33924237.32
2019-05-17,'000657,中钨高新,6.21,6.46,6.2,6.42,6.46,-0.25,-3.87,6056102,38069372.01
2019-05-16,'000657,中钨高新,6.46,6.5,6.15,6.15,6.15,0.31,5.0407,7642016,48811497.72
2019-05-15,'000657,中钨高新,6.15,6.18,6.05,6.08,6.08,0.07,1.1513,3584123,21943627.27
2019-05-14,'000657,中钨高新,6.08,6.2,6.0,6.0,6.11,-0.03,-0.491,3208690,19569380.5
2019-05-13,'000657,中钨高新,6.11,6.15,5.95,6.0,6.05,0.06,0.9917,3293248,19998024.44
2019-05-10,'000657,中钨高新,6.05,6.09,5.85,5.94,5.88,0.17,2.8912,3617352,21655933.96
2019-05-09,'000657,中钨高新,5.88,6.02,5.82,5.82,5.87,0.01,0.1704,3231102,19133502.89
2019-05-08,'000657,中钨高新,5.87,5.95,5.71,5.74,5.89,-0.02,-0.3396,2750449,16143096.66
2019-05-07,'000657,中钨高新,5.89,6.01,5.8,5.85,5.85,0.04,0.6838,3327260,19606703.4
2019-05-06,'000657,中钨高新,5.85,6.27,5.81,6.2,6.38,-0.53,-8.3072,4980580,30130076.8
2019-04-30,'000657,中钨高新,6.38,6.51,6.33,6.33,6.33,0.05,0.7899,2875538,18417980.12
2019-04-29,'000657,中钨高新,6.33,6.7,6.26,6.6,6.6,-0.27,-4.0909,5832705,37376928.2
2019-04-26,'000657,中钨高新,6.6,6.77,6.6,6.72,6.72,-0.12,-1.7857,4691328,31312858.43
2019-04-25,'000657,中钨高新,6.72,7.08,6.72,7.04,7.06,-0.34,-4.8159,7090895,49037902.26
2019-04-24,'000657,中钨高新,7.06,7.1,6.93,7.07,7.06,0.0,0.0,5350792,37601347.88
2019-04-23,'000657,中钨高新,7.06,7.19,6.95,7.14,7.12,-0.06,-0.8427,8319352,58936696.66
2019-04-22,'000657,中钨高新,7.12,7.47,7.1,7.47,7.49,-0.37,-4.9399,12488721,91059955.12
2019-04-19,'000657,中钨高新,7.49,7.59,7.08,7.08,7.15,0.34,4.7552,19243342,141154482.97
2019-04-18,'000657,中钨高新,7.15,7.24,7.08,7.09,7.11,0.04,0.5626,9368438,66908114.56
2019-04-17,'000657,中钨高新,7.11,7.17,7.04,7.11,7.13,-0.02,-0.2805,9217722,65472494.84
2019-04-16,'000657,中钨高新,7.13,7.16,6.7,6.84,6.87,0.26,3.7846,14246121,99841141.75
2019-04-15,'000657,中钨高新,6.87,7.06,6.87,6.99,6.91,-0.04,-0.5789,7262181,50780032.99
2019-04-12,'000657,中钨高新,6.91,6.99,6.83,6.87,6.85,0.06,0.8759,4902395,33833652.48
2019-04-11,'000657,中钨高新,6.85,7.03,6.83,7.0,7.01,-0.16,-2.2825,6858240,47473713.52
2019-04-10,'000657,中钨高新,7.01,7.05,6.85,6.97,7.03,-0.02,-0.2845,6917621,48077726.01
2019-04-09,'000657,中钨高新,7.03,7.13,6.96,7.11,7.15,-0.12,-1.6783,8445000,59249968.4
2019-04-08,'000657,中钨高新,7.15,7.26,6.97,7.09,7.02,0.13,1.8519,15020069,106755256.65
2019-04-04,'000657,中钨高新,7.02,7.15,6.95,7.11,7.06,-0.04,-0.5666,9384880,66106910.8
2019-04-03,'000657,中钨高新,7.06,7.06,6.94,6.95,7.04,0.02,0.2841,9696877,67997222.07
2019-04-02,'000657,中钨高新,7.04,7.1,6.9,7.0,6.97,0.07,1.0043,13305650,93029224.7
2019-04-01,'000657,中钨高新,6.97,7.07,6.7,6.73,6.68,0.29,4.3413,11260867,77792460.16
2019-03-29,'000657,中钨高新,6.68,6.68,6.34,6.57,6.51,0.17,2.6114,6411595,42151482.05
2019-03-28,'000657,中钨高新,6.51,6.75,6.5,6.67,6.7,-0.19,-2.8358,5345446,35429915.0
2019-03-27,'000657,中钨高新,6.7,6.8,6.54,6.8,6.71,-0.01,-0.149,5613890,37350509.5
2019-03-26,'000657,中钨高新,6.71,7.0,6.67,6.96,6.92,-0.21,-3.0347,8310974,56654367.36
2019-03-25,'000657,中钨高新,6.92,7.06,6.9,6.9,7.07,-0.15,-2.1216,8229509,57433293.68
2019-03-22,'000657,中钨高新,7.07,7.16,6.99,7.1,7.16,-0.09,-1.257,9986704,70405657.67
2019-03-21,'000657,中钨高新,7.16,7.24,7.05,7.16,7.11,0.05,0.7032,12969080,92654949.38
2019-03-20,'000657,中钨高新,7.11,7.27,6.94,7.2,7.25,-0.14,-1.931,17395186,123568215.0
2019-03-19,'000657,中钨高新,7.25,7.37,6.83,6.92,6.97,0.28,4.0172,21551704,153529932.42
2019-03-18,'000657,中钨高新,6.97,7.18,6.84,6.98,6.88,0.09,1.3081,14684425,102457284.53
2019-03-15,'000657,中钨高新,6.88,6.9,6.54,6.54,6.59,0.29,4.4006,12956074,87611939.69
2019-03-14,'000657,中钨高新,6.59,6.93,6.51,6.64,6.71,-0.12,-1.7884,11125634,74526822.8
2019-03-13,'000657,中钨高新,6.71,6.94,6.66,6.76,6.84,-0.13,-1.9006,11586804,79016613.72
2019-03-12,'000657,中钨高新,6.84,6.97,6.7,6.78,6.71,0.13,1.9374,14262375,97407143.33
2019-03-11,'000657,中钨高新,6.71,6.73,6.5,6.5,6.47,0.24,3.7094,9213648,61056957.3
2019-03-08,'000657,中钨高新,6.47,6.88,6.43,6.69,6.94,-0.47,-6.7723,14640199,97713249.72
