日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2002-04-12,'000658,ST 海 洋,4.24,4.5,4.1,4.4,4.31,-0.07,-1.6241,11783779,51211990.23
2002-04-11,'000658,ST 海 洋,4.31,4.4,4.1,4.2,4.2,0.11,2.619,8680266,37141352.24
2002-04-10,'000658,ST 海 洋,4.2,4.2,4.0,4.0,4.0,0.2,5.0,7942526,33083635.93
2002-04-09,'000658,ST 海 洋,4.0,4.14,3.89,3.89,4.09,-0.09,-2.2005,11704126,46409201.34
2002-04-08,'000658,ST 海 洋,4.09,4.09,4.09,4.09,4.31,-0.22,-5.1044,1749200,7154228.0
2002-04-05,'000658,ST 海 洋,4.31,4.5,4.31,4.48,4.54,-0.23,-5.0661,5429864,23824113.26
2002-04-04,'000658,ST 海 洋,4.54,4.54,4.4,4.54,4.32,0.22,5.0926,5481026,24790444.84
2002-04-03,'000658,ST 海 洋,4.32,4.32,4.16,4.17,4.11,0.21,5.1095,5009793,21415105.69
2002-04-02,'000658,ST 海 洋,4.11,4.11,3.96,3.96,3.91,0.2,5.1151,5777007,23675090.75
2002-04-01,'000658,ST 海 洋,3.91,3.99,3.8,3.85,3.89,0.02,0.5141,3620815,14180977.2
2002-03-29,'000658,ST 海 洋,3.89,4.15,3.89,4.06,4.09,-0.2,-4.89,4923254,19398046.83
2002-03-28,'000658,ST 海 洋,4.09,4.22,4.02,4.05,4.07,0.02,0.4914,3852419,15825381.95
2002-03-27,'000658,ST 海 洋,4.07,4.25,4.01,4.22,4.22,-0.15,-3.5545,4386913,18023270.6
2002-03-26,'000658,ST 海 洋,4.22,4.22,3.95,4.0,4.02,0.2,4.9751,9879939,41344458.55
2002-03-25,'000658,ST 海 洋,4.02,4.1,3.76,3.78,3.96,0.06,1.5152,8528216,33464263.84
2002-03-22,'000658,ST 海 洋,3.96,4.15,3.96,3.97,4.17,-0.21,-5.036,6228585,25030914.16
2002-03-21,'000658,ST 海 洋,4.17,4.31,4.14,4.21,4.36,-0.19,-4.3578,10754323,45010404.17
2002-03-20,'000658,ST 海 洋,4.36,4.47,4.09,4.09,4.3,0.06,1.3953,17766342,74739808.39
2002-03-19,'000658,ST 海 洋,4.3,4.3,4.3,4.3,4.53,-0.23,-5.0773,1469300,6317990.0
2002-03-18,'000658,ST 海 洋,4.53,4.99,4.53,4.78,4.77,-0.24,-5.0314,9307962,43135948.01
2002-03-15,'000658,ST 海 洋,4.77,4.83,4.61,4.63,4.6,0.17,3.6957,13432670,64550200.29
2002-03-14,'000658,ST 海 洋,4.6,4.7,4.37,4.37,4.59,0.01,0.2179,10565245,47725605.29
2002-03-13,'000658,ST 海 洋,4.59,5.07,4.59,5.07,4.83,-0.24,-4.9689,17296880,82555184.27
2002-03-12,'000658,ST 海 洋,4.83,4.83,4.83,4.83,4.6,0.23,5.0,1884719,9103192.77
2002-03-11,'000658,ST 海 洋,4.6,4.6,4.45,4.48,4.38,0.22,5.0228,6094537,27930476.24
2002-03-08,'000658,ST 海 洋,4.38,4.38,4.17,4.17,4.17,0.21,5.036,12375179,53697724.57
2002-03-07,'000658,ST 海 洋,4.17,4.33,4.15,4.24,4.29,-0.12,-2.7972,11862246,50018450.45
2002-03-06,'000658,ST 海 洋,4.29,4.37,3.97,4.0,4.18,0.11,2.6316,18477469,75953207.75
2002-03-05,'000658,ST 海 洋,4.18,4.45,4.13,4.16,4.35,-0.17,-3.908,15590404,66211825.29
2002-03-04,'000658,ST 海 洋,4.35,4.57,4.35,4.35,4.58,-0.23,-5.0218,18500678,81096527.71
2002-03-01,'000658,ST 海 洋,4.58,5.06,4.58,5.06,4.82,-0.24,-4.9793,12644639,59950252.92
2002-02-28,'000658,ST 海 洋,4.82,4.82,4.82,4.82,4.59,0.23,5.0109,1089748,5252585.36
2002-02-27,'000658,ST 海 洋,4.59,4.59,4.54,4.59,4.37,0.22,5.0343,1992527,9144020.11
2002-02-26,'000658,ST 海 洋,4.37,4.37,4.26,4.37,4.16,0.21,5.0481,4113482,17938067.73
2002-02-25,'000658,ST 海 洋,4.16,4.16,4.02,4.16,3.96,0.2,5.0505,3603607,14856647.99
2002-02-08,'000658,ST 海 洋,3.96,3.96,3.7,3.77,3.77,0.19,5.0398,7303354,28705596.23
2002-02-07,'000658,ST 海 洋,3.77,3.77,3.41,3.76,3.59,0.18,5.0139,18245021,66234862.55
2002-02-06,'000658,ST 海 洋,3.59,3.59,3.59,3.59,3.42,0.17,4.9708,1962954,7047004.86
2002-02-05,'000658,ST 海 洋,3.42,3.42,3.38,3.42,3.26,0.16,4.908,3563932,12178579.56
2002-02-04,'000658,ST 海 洋,3.26,3.26,3.11,3.16,3.1,0.16,5.1613,9178871,29692642.69
2002-02-01,'000658,ST 海 洋,3.1,3.1,2.9,2.98,2.95,0.15,5.0847,9363333,28306188.24
2002-01-31,'000658,ST 海 洋,2.95,2.98,2.88,2.88,2.84,0.11,3.8732,8021156,23637085.44
2002-01-30,'000658,ST 海 洋,2.84,2.88,2.66,2.67,2.8,0.04,1.4286,8685335,24046281.73
2002-01-29,'000658,ST 海 洋,2.8,2.95,2.8,2.8,2.95,-0.15,-5.0847,8576926,24193413.43
2002-01-28,'000658,ST 海 洋,2.95,3.24,2.95,3.24,3.1,-0.15,-4.8387,15303395,46546742.0
2002-01-25,'000658,ST 海 洋,3.1,3.1,2.8,2.8,2.95,0.15,5.0847,16800310,51327061.95
2002-01-24,'000658,ST 海 洋,2.95,3.2,2.95,2.95,3.1,-0.15,-4.8387,24584935,74024230.47
2002-01-23,'000658,ST 海 洋,3.1,3.1,3.1,3.1,3.26,-0.16,-4.908,731900,2268890.0
2002-01-22,'000658,ST 海 洋,3.26,3.26,3.26,3.26,3.43,-0.17,-4.9563,39600,129096.0
2002-01-21,'000658,ST 海 洋,3.43,3.43,3.43,3.43,3.61,-0.18,-4.9861,52600,180418.0
2002-01-18,'000658,ST 海 洋,3.61,3.61,3.61,3.61,3.8,-0.19,-5.0,50800,183388.0
2002-01-17,'000658,ST 海 洋,3.8,3.8,3.8,3.8,4.0,-0.2,-5.0,66100,251180.0
2002-01-16,'000658,ST 海 洋,4.0,4.0,4.0,4.0,4.21,-0.21,-4.9881,71400,285600.0
2002-01-15,'000658,ST 海 洋,4.21,4.21,4.21,4.21,4.43,-0.22,-4.9661,37900,159559.0
2002-01-14,'000658,ST 海 洋,4.43,4.43,4.43,4.43,4.66,-0.23,-4.9356,35300,156379.0
2002-01-11,'000658,ST 海 洋,4.66,4.66,4.66,4.66,4.91,-0.25,-5.0916,131100,610926.0
2002-01-10,'000658,ST 海 洋,4.91,4.91,4.91,4.91,5.17,-0.26,-5.029,63500,311785.0
2002-01-09,'000658,ST 海 洋,5.17,5.17,5.17,5.17,5.44,-0.27,-4.9632,107400,555258.0
2002-01-08,'000658,ST 海 洋,5.44,5.44,5.44,5.44,5.73,-0.29,-5.0611,200400,1090176.0
2002-01-07,'000658,ST 海 洋,5.73,5.73,5.73,5.73,6.03,-0.3,-4.9751,2744500,15725985.0
2002-01-04,'000658,ST 海 洋,6.03,6.03,6.03,6.03,6.35,-0.32,-5.0394,2838900,17118567.0
2001-12-31,'000658,ST海洋,6.35,6.35,6.35,6.35,6.68,-0.33,-4.9401,25200,160020.0
2001-12-28,'000658,ST海洋,6.68,6.68,6.68,6.68,7.03,-0.35,-4.9787,76800,513024.0
2001-12-27,'000658,ST海洋,7.03,7.03,7.03,7.03,7.4,-0.37,-5.0,69700,489991.0
2001-12-26,'000658,ST海洋,7.4,7.4,7.4,7.4,7.79,-0.39,-5.0064,66000,488400.0
2001-12-25,'000658,ST海洋,7.79,7.79,7.79,7.79,8.2,-0.41,-5.0,41700,324843.0
2001-12-24,'000658,ST海洋,8.2,8.2,8.2,8.2,8.63,-0.43,-4.9826,124600,1021720.0
2001-12-21,'000658,ST海洋,0.0,0.0,0.0,0.0,8.63,None,None,0,0.0
2001-12-20,'000658,ST海洋,0.0,0.0,0.0,0.0,8.63,None,None,0,0.0
2001-12-19,'000658,ST海洋,0.0,0.0,0.0,0.0,8.63,None,None,0,0.0
2001-12-18,'000658,ST海洋,0.0,0.0,0.0,0.0,8.63,None,None,0,0.0
2001-12-17,'000658,ST海洋,8.63,9.0,8.63,8.63,9.08,-0.45,-4.9559,7469225,64878294.03
2001-12-14,'000658,ST海洋,9.08,9.4,9.08,9.11,9.56,-0.48,-5.0209,9071194,82965956.13
2001-12-13,'000658,ST海洋,9.56,10.12,9.56,10.04,10.06,-0.5,-4.9702,7729640,74642058.94
2001-12-12,'000658,ST海洋,10.06,10.2,9.95,10.03,10.09,-0.03,-0.2973,2641269,26603018.78
2001-12-11,'000658,ST海洋,10.09,10.35,10.06,10.08,10.07,0.02,0.1986,3312998,33747659.13
2001-12-10,'000658,ST海洋,10.07,10.19,9.94,10.18,10.26,-0.19,-1.8519,3167086,31819815.21
2001-12-07,'000658,ST海洋,10.26,10.44,10.1,10.27,10.23,0.03,0.2933,3358736,34384713.45
2001-12-06,'000658,ST海洋,10.23,10.45,9.87,9.94,9.95,0.28,2.8141,7296960,74744023.87
2001-12-05,'000658,ST海洋,9.95,10.28,9.93,10.0,10.45,-0.5,-4.7847,11827697,118890484.46
2001-12-04,'000658,ST海洋,10.45,10.56,10.31,10.4,10.59,-0.14,-1.322,5135633,53437228.48
2001-12-03,'000658,ST海洋,10.59,10.64,10.15,10.42,10.63,-0.04,-0.3763,5885836,61463514.48
2001-11-30,'000658,ST海洋,10.63,10.83,10.44,10.5,10.52,0.11,1.0456,2629274,27985431.97
2001-11-29,'000658,ST海洋,10.52,10.77,10.5,10.58,10.58,-0.06,-0.5671,1997454,21209210.45
2001-11-28,'000658,ST海洋,10.58,10.65,10.3,10.36,10.36,0.22,2.1236,2544546,26584711.13
2001-11-27,'000658,ST海洋,10.36,10.49,10.06,10.12,10.12,0.24,2.3715,2448365,25315838.44
