日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000659,珠海中富,3.12,3.12,3.08,3.11,3.07,0.05,1.6287,5377180,16674487.18
2019-06-28,'000659,珠海中富,3.07,3.15,3.06,3.12,3.12,-0.05,-1.6026,4694878,14550006.02
2019-06-27,'000659,珠海中富,3.12,3.14,3.11,3.13,3.12,0.0,0.0,3260447,10190875.11
2019-06-26,'000659,珠海中富,3.12,3.15,3.12,3.15,3.13,-0.01,-0.3195,2721101,8519478.12
2019-06-25,'000659,珠海中富,3.13,3.2,3.12,3.19,3.2,-0.07,-2.1875,5101779,16068053.84
2019-06-24,'000659,珠海中富,3.2,3.2,3.17,3.19,3.19,0.01,0.3135,3401083,10836532.11
2019-06-21,'000659,珠海中富,3.19,3.24,3.15,3.16,3.15,0.04,1.2698,6120302,19523761.34
2019-06-20,'000659,珠海中富,3.15,3.18,3.12,3.16,3.15,0.0,0.0,4905158,15436171.2
2019-06-19,'000659,珠海中富,3.15,3.22,3.15,3.19,3.16,-0.01,-0.3165,3921768,12410209.2
2019-06-18,'000659,珠海中富,3.16,3.31,3.04,3.13,3.12,0.04,1.2821,9708973,30711936.77
2019-06-17,'000659,珠海中富,3.12,3.21,3.12,3.18,3.18,-0.06,-1.8868,4842070,15296165.6
2019-06-14,'000659,珠海中富,3.18,3.25,3.18,3.23,3.22,-0.04,-1.2422,3616990,11574181.2
2019-06-13,'000659,珠海中富,3.22,3.24,3.19,3.24,3.24,-0.02,-0.6173,4020804,12934939.66
2019-06-12,'000659,珠海中富,3.24,3.3,3.23,3.25,3.24,0.0,0.0,4825901,15721871.48
2019-06-11,'000659,珠海中富,3.24,3.27,3.18,3.19,3.19,0.05,1.5674,6993290,22650046.9
2019-06-10,'000659,珠海中富,3.19,3.22,3.16,3.2,3.2,-0.01,-0.3125,4049106,12881079.64
2019-06-06,'000659,珠海中富,3.2,3.34,3.19,3.29,3.29,-0.09,-2.7356,7485950,24391088.0
2019-06-05,'000659,珠海中富,3.29,3.38,3.23,3.33,3.34,-0.05,-1.497,7920160,26284658.78
2019-06-04,'000659,珠海中富,3.34,3.48,3.33,3.36,3.36,-0.02,-0.5952,7416200,25252280.67
2019-06-03,'000659,珠海中富,3.36,3.39,3.22,3.33,3.34,0.02,0.5988,10725974,35491870.02
2019-05-31,'000659,珠海中富,3.34,3.4,3.33,3.38,3.37,-0.03,-0.8902,5061800,16976575.0
2019-05-30,'000659,珠海中富,3.37,3.43,3.35,3.39,3.4,-0.03,-0.8824,5434190,18369354.4
2019-05-29,'000659,珠海中富,3.4,3.41,3.36,3.41,3.41,-0.01,-0.2933,3545200,12027140.0
2019-05-28,'000659,珠海中富,3.41,3.47,3.4,3.45,3.44,-0.03,-0.8721,7124414,24425701.61
2019-05-27,'000659,珠海中富,3.44,3.46,3.38,3.4,3.42,0.02,0.5848,4848071,16636038.22
2019-05-24,'000659,珠海中富,3.42,3.52,3.35,3.37,3.39,0.03,0.885,13113272,45133461.72
2019-05-23,'000659,珠海中富,3.39,3.49,3.3,3.48,3.48,-0.09,-2.5862,19874800,67313126.2
