日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2004-04-28,'000660,*ST 南华,0.0,0.0,0.0,0.0,2.38,None,None,0,0.0
2004-04-27,'000660,*ST 南华,0.0,0.0,0.0,0.0,2.38,None,None,0,0.0
2004-04-26,'000660,*ST 南华,0.0,0.0,0.0,0.0,2.38,None,None,0,0.0
2004-04-23,'000660,*ST 南华,0.0,0.0,0.0,0.0,2.38,None,None,0,0.0
2004-04-22,'000660,*ST 南华,0.0,0.0,0.0,0.0,2.38,None,None,0,0.0
2004-04-21,'000660,*ST 南华,2.38,2.4,2.3,2.34,2.34,0.04,1.7094,1396524,3312515.13
2004-04-20,'000660,*ST 南华,2.34,2.43,2.33,2.35,2.45,-0.11,-4.4898,1177242,2781753.13
2004-04-19,'000660,*ST 南华,2.45,2.58,2.45,2.58,2.58,-0.13,-5.0388,1124325,2775364.02
2004-04-16,'000660,*ST 南华,2.58,2.72,2.58,2.69,2.72,-0.14,-5.1471,1087540,2851701.05
2004-04-15,'000660,*ST 南华,2.72,2.79,2.68,2.72,2.78,-0.06,-2.1583,753191,2051786.01
2004-04-14,'000660,*ST 南华,2.78,2.88,2.77,2.88,2.92,-0.14,-4.7945,1149377,3207145.32
2004-04-13,'000660,*ST 南华,2.92,3.1,2.91,3.05,3.05,-0.13,-4.2623,1215732,3640738.99
2004-04-12,'000660,*ST 南华,3.05,3.14,2.95,3.04,3.1,-0.05,-1.6129,1995133,6123756.37
2004-04-09,'000660,*ST 南华,3.1,3.15,2.87,3.01,3.02,0.08,2.649,3314409,9799144.26
2004-04-08,'000660,*ST 南华,3.02,3.02,2.94,3.02,2.88,0.14,4.8611,3780161,11380283.16
2004-04-07,'000660,*ST 南华,2.88,2.88,2.74,2.74,2.74,0.14,5.1095,1218865,3470898.29
2004-04-06,'000660,*ST 南华,2.74,2.79,2.7,2.73,2.78,-0.04,-1.4388,1052533,2870210.23
2004-04-05,'000660,*ST 南华,0.0,0.0,0.0,0.0,2.78,None,None,0,0.0
2004-04-02,'000660,*ST 南华,2.78,2.81,2.74,2.78,2.76,0.02,0.7246,871951,2424202.67
2004-04-01,'000660,*ST 南华,2.76,2.76,2.7,2.7,2.72,0.04,1.4706,765026,2091899.66
2004-03-31,'000660,*ST 南华,2.72,2.78,2.68,2.75,2.75,-0.03,-1.0909,947419,2581953.4
2004-03-30,'000660,*ST 南华,2.75,2.84,2.73,2.81,2.81,-0.06,-2.1352,417993,1158612.9
2004-03-29,'000660,*ST 南华,2.81,2.87,2.76,2.82,2.82,-0.01,-0.3546,426567,1204367.92
2004-03-26,'000660,*ST 南华,2.82,2.89,2.81,2.85,2.85,-0.03,-1.0526,516863,1470817.71
2004-03-25,'000660,*ST 南华,2.85,2.92,2.8,2.89,2.9,-0.05,-1.7241,526661,1496077.56
2004-03-24,'000660,*ST 南华,2.9,2.96,2.87,2.91,2.91,-0.01,-0.3436,745905,2171825.23
2004-03-23,'000660,*ST 南华,2.91,2.92,2.82,2.86,2.84,0.07,2.4648,878533,2539505.15
2004-03-22,'000660,*ST 南华,2.84,2.84,2.76,2.78,2.78,0.06,2.1583,495879,1397648.69
2004-03-19,'000660,*ST 南华,2.78,2.83,2.68,2.74,2.76,0.02,0.7246,490401,1370658.05
2004-03-18,'000660,*ST 南华,2.76,2.89,2.76,2.89,2.9,-0.14,-4.8276,897780,2515563.32
2004-03-17,'000660,*ST 南华,2.9,2.98,2.89,2.93,2.96,-0.06,-2.027,626650,1827684.0
2004-03-16,'000660,*ST 南华,2.96,2.99,2.91,2.94,2.94,0.02,0.6803,596415,1765935.7
2004-03-15,'000660,*ST 南华,2.94,2.94,2.83,2.85,2.9,0.04,1.3793,463216,1338542.58
2004-03-12,'000660,*ST 南华,2.9,3.0,2.8,2.96,2.92,-0.02,-0.6849,806486,2329399.08
2004-03-11,'000660,*ST 南华,2.92,2.92,2.81,2.86,2.78,0.14,5.036,872939,2538170.08
2004-03-10,'000660,*ST 南华,2.78,2.8,2.68,2.73,2.74,0.04,1.4599,448071,1231092.12
2004-03-09,'000660,*ST 南华,2.74,2.77,2.6,2.7,2.74,0.0,0.0,1075200,2888299.72
2004-03-08,'000660,*ST 南华,2.74,2.88,2.74,2.86,2.88,-0.14,-4.8611,759514,2116725.48
2004-03-05,'000660,*ST 南华,2.88,2.95,2.76,2.88,2.91,-0.03,-1.0309,1164855,3315027.98
