日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000661,长春高新,350.6,354.5,341.44,343.01,338.0,12.6,3.7278,1887510,657175402.0
2019-06-28,'000661,长春高新,338.0,340.0,335.68,339.9,334.55,3.45,1.0312,1155951,390711864.66
2019-06-27,'000661,长春高新,334.55,341.4,332.15,332.8,333.14,1.41,0.4232,1712480,577232988.52
2019-06-26,'000661,长春高新,333.14,336.7,323.14,327.0,327.0,6.14,1.8777,1746644,578773601.01
2019-06-25,'000661,长春高新,327.0,327.45,318.25,323.1,324.8,2.2,0.6773,1161619,374491211.72
2019-06-24,'000661,长春高新,324.8,328.32,317.2,318.88,318.61,6.19,1.9428,1383199,448212436.66
2019-06-21,'000661,长春高新,318.61,325.7,317.2,324.09,324.0,-5.39,-1.6636,1820856,582115973.24
2019-06-20,'000661,长春高新,324.0,325.15,306.5,306.5,307.85,16.15,5.2461,2810362,894425260.5
2019-06-19,'000661,长春高新,307.85,311.82,306.11,308.0,301.9,5.95,1.9709,1824520,563622009.16
2019-06-18,'000661,长春高新,301.9,302.21,297.0,301.89,302.1,-0.2,-0.0662,980763,294789869.54
2019-06-17,'000661,长春高新,302.1,305.99,297.68,301.99,303.95,-1.85,-0.6087,1243645,376092060.92
2019-06-14,'000661,长春高新,303.95,309.94,300.0,301.8,298.99,4.96,1.6589,2187885,666850023.46
2019-06-13,'000661,长春高新,298.99,301.9,289.88,296.01,296.0,2.99,1.0101,1766128,522750159.56
2019-06-12,'000661,长春高新,296.0,298.78,293.01,297.99,298.71,-2.71,-0.9072,1384630,408947653.54
2019-06-11,'000661,长春高新,298.71,300.98,290.6,290.81,292.88,5.83,1.9906,2244499,666395287.66
2019-06-10,'000661,长春高新,292.88,299.99,285.02,292.93,292.65,0.23,0.0786,1785724,523809838.63
2019-06-06,'000661,长春高新,292.65,301.98,268.01,297.78,292.88,-0.23,-0.0785,2975176,870608856.42
2019-06-05,'000661,长春高新,292.88,307.67,291.16,306.67,304.16,-11.28,-3.7086,3079388,910769955.05
2019-06-04,'000661,长春高新,304.16,316.17,299.0,315.13,316.22,-12.06,-3.8138,2790720,851140189.79
2019-06-03,'000661,长春高新,316.22,317.75,310.85,315.0,315.85,0.37,0.1171,1719990,541384217.4
