日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000662,天夏智慧,4.89,4.93,4.72,4.8,4.65,0.24,5.1613,17011346,82646485.44
2019-06-28,'000662,天夏智慧,4.65,4.92,4.61,4.92,4.86,-0.21,-4.321,13368662,63034419.04
2019-06-27,'000662,天夏智慧,4.86,5.0,4.83,4.93,4.88,-0.02,-0.4098,12809847,62838570.03
2019-06-26,'000662,天夏智慧,4.88,5.05,4.87,5.04,5.0,-0.12,-2.4,11846404,58400983.9
2019-06-25,'000662,天夏智慧,5.0,5.11,4.9,5.03,5.08,-0.08,-1.5748,9907232,49592967.36
2019-06-24,'000662,天夏智慧,5.08,5.23,5.03,5.14,5.21,-0.13,-2.4952,12878030,65682892.88
2019-06-21,'000662,天夏智慧,5.21,5.29,5.1,5.14,5.05,0.16,3.1683,14374931,74489211.42
2019-06-20,'000662,天夏智慧,5.05,5.15,4.86,4.94,4.91,0.14,2.8513,16647038,83263102.9
2019-06-19,'000662,天夏智慧,4.91,5.1,4.91,5.01,4.91,0.0,0.0,13075971,65245742.82
2019-06-18,'000662,天夏智慧,4.91,5.04,4.84,4.96,4.84,0.07,1.4463,12746849,62980215.69
2019-06-17,'000662,天夏智慧,4.84,5.03,4.81,4.95,4.98,-0.14,-2.8112,13973189,68277210.99
2019-06-14,'000662,天夏智慧,4.98,5.26,4.9,5.05,5.19,-0.21,-4.0462,18555822,94065173.0
2019-06-13,'000662,天夏智慧,5.19,5.36,4.95,5.01,4.87,0.32,6.5708,29907937,155299040.7
2019-06-12,'000662,天夏智慧,4.87,5.23,4.85,4.97,4.93,-0.06,-1.217,20132372,101114317.54
2019-06-11,'000662,天夏智慧,4.93,5.05,4.8,4.81,4.68,0.25,5.3419,21072878,103556950.02
2019-06-10,'000662,天夏智慧,4.68,4.75,4.32,4.41,4.4,0.28,6.3636,22702261,103641505.07
2019-06-06,'000662,天夏智慧,4.4,4.59,4.39,4.46,4.88,-0.48,-9.8361,25764535,113891199.18
2019-06-05,'000662,天夏智慧,4.88,4.98,4.85,4.86,4.82,0.06,1.2448,10562417,51929838.91
2019-06-04,'000662,天夏智慧,4.82,5.1,4.75,5.07,5.16,-0.34,-6.5891,19867788,97323350.11
2019-06-03,'000662,天夏智慧,5.16,5.46,5.16,5.3,5.73,-0.57,-9.9476,17049230,88423492.45
2019-05-31,'000662,天夏智慧,5.73,5.85,5.57,5.68,5.7,0.03,0.5263,12689818,72719892.38
2019-05-30,'000662,天夏智慧,5.7,6.1,5.67,6.0,5.88,-0.18,-3.0612,17420130,101605007.52
2019-05-29,'000662,天夏智慧,5.88,5.96,5.82,5.83,5.85,0.03,0.5128,7867596,46556891.45
2019-05-28,'000662,天夏智慧,5.85,6.02,5.81,5.92,5.91,-0.06,-1.0152,8850739,52331855.53
2019-05-27,'000662,天夏智慧,5.91,5.93,5.62,5.66,5.65,0.26,4.6018,9118252,53210772.6
2019-05-24,'000662,天夏智慧,5.65,5.88,5.6,5.76,5.84,-0.19,-3.2534,8980443,51498675.17
2019-05-23,'000662,天夏智慧,5.84,6.06,5.76,5.85,5.85,-0.01,-0.1709,13667916,80775712.62
2019-05-22,'000662,天夏智慧,5.85,5.95,5.73,5.84,5.81,0.04,0.6885,7632817,44436641.72
2019-05-21,'000662,天夏智慧,5.81,5.86,5.58,5.67,5.67,0.14,2.4691,7330123,42107234.77
2019-05-20,'000662,天夏智慧,5.67,5.77,5.47,5.77,5.73,-0.06,-1.0471,7480468,41802532.91
2019-05-17,'000662,天夏智慧,5.73,6.09,5.69,6.06,6.05,-0.32,-5.2893,9383521,54961442.22
2019-05-16,'000662,天夏智慧,6.05,6.07,5.94,6.01,6.0,0.05,0.8333,6278671,37773882.72
2019-05-15,'000662,天夏智慧,6.0,6.03,5.85,5.95,5.9,0.1,1.6949,6412682,38200110.77
2019-05-14,'000662,天夏智慧,5.9,6.02,5.76,5.76,5.88,0.02,0.3401,8110997,47874000.91
2019-05-13,'000662,天夏智慧,5.88,6.04,5.84,5.99,6.06,-0.18,-2.9703,7339915,43621767.84
2019-05-10,'000662,天夏智慧,6.06,6.1,5.84,5.97,5.91,0.15,2.5381,8089339,48693948.38
2019-05-09,'000662,天夏智慧,5.91,6.07,5.87,5.96,6.0,-0.09,-1.5,8261367,49382555.2
2019-05-08,'000662,天夏智慧,6.0,6.1,5.72,5.82,5.9,0.1,1.6949,7660254,45677774.07
2019-05-07,'000662,天夏智慧,5.9,5.95,5.7,5.7,5.7,0.2,3.5088,8926133,52283423.64
2019-05-06,'000662,天夏智慧,5.7,6.09,5.65,5.91,6.01,-0.31,-5.1581,12683051,74187026.8
2019-04-30,'000662,天夏智慧,6.01,6.06,5.7,5.7,5.89,0.12,2.0374,10269028,61130826.56
2019-04-29,'000662,天夏智慧,5.89,6.51,5.89,6.51,6.54,-0.65,-9.9388,16703456,100027681.06
2019-04-26,'000662,天夏智慧,6.54,6.76,6.5,6.5,6.66,-0.12,-1.8018,10317440,68651174.45
2019-04-25,'000662,天夏智慧,6.66,7.15,6.65,7.0,7.07,-0.41,-5.7992,11232915,77367237.43
2019-04-24,'000662,天夏智慧,7.07,7.07,6.84,6.95,6.97,0.1,1.4347,9302134,65062595.66
2019-04-23,'000662,天夏智慧,6.97,7.14,6.93,7.14,7.14,-0.17,-2.381,9091101,63869996.08
2019-04-22,'000662,天夏智慧,7.14,7.54,7.1,7.53,7.42,-0.28,-3.7736,12263067,89267340.74
2019-04-19,'000662,天夏智慧,7.42,7.43,7.15,7.28,7.29,0.13,1.7833,13447732,98319536.8
2019-04-18,'000662,天夏智慧,7.29,7.34,7.16,7.18,7.24,0.05,0.6906,10143661,73619579.54
2019-04-17,'000662,天夏智慧,7.24,7.32,7.16,7.24,7.22,0.02,0.277,8252735,59694438.68
2019-04-16,'000662,天夏智慧,7.22,7.26,6.75,6.89,6.95,0.27,3.8849,12859809,90659459.39
2019-04-15,'000662,天夏智慧,6.95,7.38,6.93,7.21,7.15,-0.2,-2.7972,11869676,85091342.1
2019-04-12,'000662,天夏智慧,7.15,7.22,7.06,7.11,7.14,0.01,0.1401,6872072,48952547.73
2019-04-11,'000662,天夏智慧,7.14,7.36,7.1,7.29,7.26,-0.12,-1.6529,8273954,59810015.64
2019-04-10,'000662,天夏智慧,7.26,7.37,7.16,7.25,7.33,-0.07,-0.955,10909416,79206744.53
2019-04-09,'000662,天夏智慧,7.33,7.47,7.08,7.13,7.21,0.12,1.6644,11060535,80954652.35
2019-04-08,'000662,天夏智慧,7.21,7.54,7.05,7.49,7.49,-0.28,-3.7383,16790005,122073045.81
2019-04-04,'000662,天夏智慧,7.49,7.67,7.45,7.59,7.63,-0.14,-1.8349,13653545,102941143.45
