日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000663,永安林业,7.69,7.78,7.5,7.58,7.57,0.12,1.5852,4409769,33769135.22
2019-06-28,'000663,永安林业,7.57,7.66,7.33,7.6,7.7,-0.13,-1.6883,3261200,24484246.0
2019-06-27,'000663,永安林业,7.7,7.93,7.48,7.81,7.99,-0.29,-3.6295,8368952,64267560.79
2019-06-26,'000663,永安林业,7.99,8.06,7.25,7.32,7.33,0.66,9.0041,7193697,55509085.18
2019-06-25,'000663,永安林业,7.33,7.44,7.07,7.37,7.34,-0.01,-0.1362,5002243,36577899.08
2019-06-24,'000663,永安林业,7.34,7.5,6.93,7.01,7.0,0.34,4.8571,5515647,40172611.47
2019-06-21,'000663,永安林业,7.0,7.03,6.78,6.79,6.79,0.21,3.0928,3249788,22638917.12
2019-06-20,'000663,永安林业,6.79,6.89,6.63,6.71,6.67,0.12,1.7991,2572834,17445788.38
2019-06-19,'000663,永安林业,6.67,6.83,6.66,6.72,6.68,-0.01,-0.1497,1559101,10498715.76
2019-06-18,'000663,永安林业,6.68,6.74,6.58,6.6,6.62,0.06,0.9063,1871079,12492458.09
2019-06-17,'000663,永安林业,6.62,6.69,6.48,6.48,6.54,0.08,1.2232,2073701,13744032.63
2019-06-14,'000663,永安林业,6.54,6.63,6.4,6.56,6.53,0.01,0.1531,2591456,16905075.01
2019-06-13,'000663,永安林业,6.53,6.59,6.24,6.41,6.42,0.11,1.7134,3464808,22136304.84
2019-06-12,'000663,永安林业,6.42,6.49,6.26,6.39,6.39,0.03,0.4695,2632600,16866621.0
2019-06-11,'000663,永安林业,6.39,6.39,6.1,6.1,6.08,0.31,5.0987,2823300,17782964.0
2019-06-10,'000663,永安林业,6.08,6.1,5.83,5.84,5.81,0.27,4.6472,2104463,12578066.89
2019-06-06,'000663,永安林业,5.81,6.05,5.72,6.05,6.03,-0.22,-3.6484,2534131,14807949.49
2019-06-05,'000663,永安林业,6.03,6.27,5.98,6.2,6.17,-0.14,-2.269,3081466,18769502.38
2019-06-04,'000663,永安林业,6.17,6.52,6.13,6.45,6.47,-0.3,-4.6368,3178255,19993953.5
2019-06-03,'000663,永安林业,6.47,6.59,6.38,6.55,6.62,-0.15,-2.2659,3308500,21370969.0
2019-05-31,'000663,永安林业,6.62,6.78,6.59,6.7,6.7,-0.08,-1.194,1580815,10547409.97
2019-05-30,'000663,永安林业,6.7,6.71,6.55,6.6,6.61,0.09,1.3616,2634800,17530789.0
2019-05-29,'000663,永安林业,6.61,6.74,6.53,6.54,6.54,0.07,1.0703,2501000,16617772.0
2019-05-28,'000663,永安林业,6.54,6.7,6.53,6.7,6.64,-0.1,-1.506,3099361,20544426.38
2019-05-27,'000663,永安林业,6.64,6.72,6.35,6.47,6.47,0.17,2.6275,2787222,18188755.01
2019-05-24,'000663,永安林业,6.47,6.53,6.39,6.41,6.41,0.06,0.936,1417099,9146932.54
2019-05-23,'000663,永安林业,6.41,6.64,6.4,6.63,6.67,-0.26,-3.8981,2583002,16721932.0
2019-05-22,'000663,永安林业,6.67,6.81,6.54,6.75,6.85,-0.18,-2.6277,5385508,36005205.76
2019-05-21,'000663,永安林业,6.85,7.04,6.39,6.39,6.4,0.45,7.0313,8883301,59810255.8
2019-05-20,'000663,永安林业,6.4,6.89,6.31,6.89,6.8,-0.4,-5.8824,5267500,34305058.0
2019-05-17,'000663,永安林业,6.8,6.95,6.51,6.95,7.0,-0.2,-2.8571,6040408,40431105.32
2019-05-16,'000663,永安林业,7.0,7.06,6.54,6.55,6.54,0.46,7.0336,6462166,44234409.02
2019-05-15,'000663,永安林业,6.54,6.56,6.48,6.48,6.46,0.08,1.2384,1883440,12268113.0
2019-05-14,'000663,永安林业,6.46,6.57,6.41,6.47,6.48,-0.02,-0.3086,1392100,9034146.0
2019-05-13,'000663,永安林业,6.48,6.56,6.42,6.56,6.59,-0.11,-1.6692,1586602,10266030.91
2019-05-10,'000663,永安林业,6.59,6.68,6.39,6.44,6.45,0.14,2.1705,2458600,16149549.0
2019-05-09,'000663,永安林业,6.45,6.56,6.38,6.5,6.52,-0.07,-1.0736,1737280,11203753.6
2019-05-08,'000663,永安林业,6.52,6.62,6.34,6.41,6.42,0.1,1.5576,2147017,13995749.63
2019-05-07,'000663,永安林业,6.42,6.6,6.24,6.24,6.18,0.24,3.8835,3136903,20168086.27
2019-05-06,'000663,永安林业,6.18,6.83,6.12,6.51,6.6,-0.42,-6.3636,4830310,31348321.9
2019-04-30,'000663,永安林业,6.6,6.87,6.44,6.44,6.45,0.15,2.3256,2791503,18569835.55
2019-04-29,'000663,永安林业,6.45,7.11,6.43,7.1,7.1,-0.65,-9.1549,4210951,28228881.93
2019-04-26,'000663,永安林业,7.1,7.28,7.06,7.18,7.23,-0.13,-1.7981,2239711,16027236.94
2019-04-25,'000663,永安林业,7.23,7.67,7.1,7.67,7.69,-0.46,-5.9818,4605081,34022429.35
2019-04-24,'000663,永安林业,7.69,7.8,7.68,7.7,7.71,-0.02,-0.2594,1953701,15104890.7
2019-04-23,'000663,永安林业,7.71,7.87,7.62,7.79,7.79,-0.08,-1.027,2153900,16655363.0
2019-04-22,'000663,永安林业,7.79,7.97,7.79,7.93,7.96,-0.17,-2.1357,4547100,35642062.0
2019-04-19,'000663,永安林业,7.96,8.03,7.76,7.87,7.96,0.0,0.0,2830866,22364693.05
2019-04-18,'000663,永安林业,7.96,8.26,7.95,8.11,8.01,-0.05,-0.6242,5297465,42939528.08
2019-04-17,'000663,永安林业,8.01,8.05,7.78,7.95,7.9,0.11,1.3924,5701515,45159785.38
2019-04-16,'000663,永安林业,7.9,8.1,7.75,8.0,7.98,-0.08,-1.0025,7010673,55411424.12
2019-04-15,'000663,永安林业,7.98,8.5,7.81,7.88,7.74,0.24,3.1008,8997190,72836755.96
2019-04-12,'000663,永安林业,7.74,8.04,7.72,7.99,8.07,-0.33,-4.0892,4626398,36212282.74
2019-04-11,'000663,永安林业,8.07,8.33,7.9,8.18,8.28,-0.21,-2.5362,8604461,69376976.98
2019-04-10,'000663,永安林业,8.28,8.78,7.8,8.05,8.15,0.13,1.5951,16017575,132471948.58
2019-04-09,'000663,永安林业,8.15,8.15,7.3,7.46,7.41,0.74,9.9865,16669121,130549567.35
2019-04-08,'000663,永安林业,7.41,7.65,7.32,7.53,7.52,-0.11,-1.4628,5045162,37973748.21
2019-04-04,'000663,永安林业,7.52,7.74,7.45,7.65,7.63,-0.11,-1.4417,6947701,52579375.49
2019-04-03,'000663,永安林业,7.63,7.66,7.27,7.37,7.38,0.25,3.3875,5597653,41697448.71
2019-04-02,'000663,永安林业,7.38,7.43,7.3,7.38,7.36,0.02,0.2717,4477702,33035039.38
2019-04-01,'000663,永安林业,7.36,7.4,7.12,7.16,7.18,0.18,2.507,6757226,49229300.63
2019-03-29,'000663,永安林业,7.18,7.43,6.98,7.39,7.4,-0.22,-2.973,9245208,65921760.17
2019-03-28,'000663,永安林业,7.4,7.72,7.29,7.32,7.4,0.0,0.0,3106005,23169402.0
2019-03-27,'000663,永安林业,7.4,7.65,7.25,7.6,7.56,-0.16,-2.1164,2563425,18958237.0
2019-03-26,'000663,永安林业,7.56,8.02,7.55,7.74,7.75,-0.19,-2.4516,3562900,27579831.0
2019-03-25,'000663,永安林业,7.75,7.92,7.52,7.56,7.75,0.0,0.0,3399800,26454606.0
2019-03-22,'000663,永安林业,7.75,7.84,7.58,7.84,7.84,-0.09,-1.148,4269324,32842034.8
2019-03-21,'000663,永安林业,7.84,8.14,7.55,7.7,7.7,0.14,1.8182,7647407,60025444.08
2019-03-20,'000663,永安林业,7.7,7.8,7.29,7.41,7.42,0.28,3.7736,7110705,54003442.23
2019-03-19,'000663,永安林业,7.42,7.57,7.34,7.57,7.59,-0.17,-2.2398,3676819,27421007.61
2019-03-18,'000663,永安林业,7.59,7.66,7.09,7.19,7.17,0.42,5.8577,6824267,50129142.36
2019-03-15,'000663,永安林业,7.17,7.35,7.14,7.15,7.15,0.02,0.2797,3558902,25746608.2
2019-03-14,'000663,永安林业,7.15,7.96,7.06,7.55,7.66,-0.51,-6.658,7351044,55213625.64
2019-03-13,'000663,永安林业,7.66,7.8,7.22,7.43,7.42,0.24,3.2345,8293614,61854080.73
2019-03-12,'000663,永安林业,7.42,7.73,7.3,7.5,7.52,-0.1,-1.3298,8225827,61398330.74
2019-03-11,'000663,永安林业,7.52,7.66,6.9,6.94,6.96,0.56,8.046,10006586,73798865.62
2019-03-08,'000663,永安林业,6.96,7.29,6.8,7.21,7.3,-0.34,-4.6575,9394072,66240885.9
2019-03-07,'000663,永安林业,7.3,7.3,6.6,6.66,6.64,0.66,9.9398,8815371,60664606.99
2019-03-06,'000663,永安林业,6.64,6.64,6.46,6.51,6.51,0.13,1.9969,6863254,44985294.28
2019-03-05,'000663,永安林业,6.51,6.51,6.39,6.46,6.46,0.05,0.774,4172941,26839490.27
2019-03-04,'000663,永安林业,6.46,6.46,6.3,6.32,6.3,0.16,2.5397,5905447,37724781.5
2019-03-01,'000663,永安林业,6.3,6.43,6.2,6.4,6.41,-0.11,-1.7161,4777273,30046982.0
2019-02-28,'000663,永安林业,6.41,6.46,6.09,6.11,6.11,0.3,4.91,8133663,51444631.7
2019-02-27,'000663,永安林业,6.11,6.22,5.97,6.03,6.03,0.08,1.3267,5432868,33172925.82
2019-02-26,'000663,永安林业,6.03,6.23,5.88,6.03,6.02,0.01,0.1661,7838711,47554500.57
2019-02-25,'000663,永安林业,6.02,6.06,5.79,5.8,5.8,0.22,3.7931,7293385,43195676.17
2019-02-22,'000663,永安林业,5.8,5.8,5.68,5.77,5.77,0.03,0.5199,4078801,23445186.74
2019-02-21,'000663,永安林业,5.77,5.87,5.72,5.8,5.84,-0.07,-1.1986,2938704,17021228.23
2019-02-20,'000663,永安林业,5.84,5.93,5.78,5.8,5.73,0.11,1.9197,4709933,27469554.17
2019-02-19,'000663,永安林业,5.73,5.81,5.64,5.79,5.8,-0.07,-1.2069,3404912,19530690.97
2019-02-18,'000663,永安林业,5.8,5.86,5.57,5.61,5.72,0.08,1.3986,5149584,29425906.67
2019-02-15,'000663,永安林业,5.72,6.03,5.69,5.76,5.48,0.24,4.3796,7774119,45441106.01
2019-02-14,'000663,永安林业,5.48,5.49,5.34,5.41,5.41,0.07,1.2939,2053764,11148354.14
2019-02-13,'000663,永安林业,5.41,5.43,5.33,5.39,5.36,0.05,0.9328,2065719,11148868.63
2019-02-12,'000663,永安林业,5.36,5.38,5.22,5.22,5.18,0.18,3.4749,2439254,12937754.46
2019-02-11,'000663,永安林业,5.18,5.26,5.05,5.09,5.07,0.11,2.1696,2430494,12566469.29
2019-02-01,'000663,永安林业,5.07,5.1,4.92,4.95,4.93,0.14,2.8398,2399556,12051464.32
2019-01-31,'000663,永安林业,4.93,4.98,4.82,4.85,4.96,-0.03,-0.6048,3659798,17957480.08
2019-01-30,'000663,永安林业,4.96,5.19,4.86,4.86,5.4,-0.44,-8.1481,8670389,42952060.71
