日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000665,湖北广电,8.55,8.57,8.42,8.44,8.32,0.23,2.7644,8055269,68418672.95
2019-06-28,'000665,湖北广电,8.32,8.57,8.22,8.57,8.57,-0.25,-2.9172,7185203,60057277.89
2019-06-27,'000665,湖北广电,8.57,8.63,8.51,8.56,8.54,0.03,0.3513,5880656,50408891.76
2019-06-26,'000665,湖北广电,8.54,8.67,8.46,8.49,8.53,0.01,0.1172,4882777,41846584.08
2019-06-25,'000665,湖北广电,8.53,8.68,8.41,8.68,8.7,-0.17,-1.954,7348159,62482820.22
2019-06-24,'000665,湖北广电,8.7,8.76,8.64,8.74,8.77,-0.07,-0.7982,6850018,59475240.2
2019-06-21,'000665,湖北广电,8.77,8.85,8.61,8.68,8.66,0.11,1.2702,11691234,102283475.48
2019-06-20,'000665,湖北广电,8.66,8.69,8.45,8.53,8.53,0.13,1.524,9113044,78333976.57
2019-06-19,'000665,湖北广电,8.53,8.67,8.52,8.6,8.46,0.07,0.8274,9984708,85708568.83
2019-06-18,'000665,湖北广电,8.46,8.64,8.38,8.46,8.52,-0.06,-0.7042,7661306,65111707.64
2019-06-17,'000665,湖北广电,8.52,8.63,8.27,8.38,8.32,0.2,2.4038,10152901,86105044.66
2019-06-14,'000665,湖北广电,8.32,8.61,8.24,8.6,8.59,-0.27,-3.1432,8534313,71945705.16
2019-06-13,'000665,湖北广电,8.59,8.64,8.48,8.57,8.63,-0.04,-0.4635,9977108,85424296.15
2019-06-12,'000665,湖北广电,8.63,8.85,8.43,8.48,8.53,0.1,1.1723,17514551,151593023.17
2019-06-11,'000665,湖北广电,8.53,8.55,8.19,8.3,8.25,0.28,3.3939,13825505,116268460.07
2019-06-10,'000665,湖北广电,8.25,8.36,8.08,8.18,8.2,0.05,0.6098,9735216,80180386.53
2019-06-06,'000665,湖北广电,8.2,8.59,8.13,8.59,8.79,-0.59,-6.7122,20792868,173369901.49
2019-06-05,'000665,湖北广电,8.79,8.88,8.21,8.3,8.26,0.53,6.4165,24878626,214809369.07
2019-06-04,'000665,湖北广电,8.26,8.66,8.18,8.47,8.45,-0.19,-2.2485,13372810,113344219.3
2019-06-03,'000665,湖北广电,8.45,8.59,8.03,8.2,8.24,0.21,2.5485,14418498,120574199.38
2019-05-31,'000665,湖北广电,8.24,8.34,8.06,8.12,8.12,0.12,1.4778,8823700,72658499.63
2019-05-30,'000665,湖北广电,8.12,8.16,8.04,8.13,8.17,-0.05,-0.612,4391362,35495263.85
2019-05-29,'000665,湖北广电,8.17,8.24,8.06,8.13,8.18,-0.01,-0.1222,5542808,45288472.04
2019-05-28,'000665,湖北广电,8.18,8.36,8.11,8.18,8.14,0.04,0.4914,8975864,74056782.13
2019-05-27,'000665,湖北广电,8.14,8.16,7.85,7.93,7.89,0.25,3.1686,7170907,57642399.23
2019-05-24,'000665,湖北广电,7.89,8.11,7.87,8.04,8.04,-0.15,-1.8657,6974874,55669068.8
2019-05-23,'000665,湖北广电,8.04,8.32,7.99,8.31,8.37,-0.33,-3.9427,9461045,76777012.84
2019-05-22,'000665,湖北广电,8.37,8.63,8.28,8.52,8.53,-0.16,-1.8757,7535987,63789211.47
2019-05-21,'000665,湖北广电,8.53,8.7,8.44,8.51,8.58,-0.05,-0.5828,9533023,81684974.65
2019-05-20,'000665,湖北广电,8.58,8.72,8.09,8.36,8.44,0.14,1.6588,11276288,95260924.81
2019-05-17,'000665,湖北广电,8.44,8.8,8.26,8.77,8.77,-0.33,-3.7628,12665907,107950598.47
2019-05-16,'000665,湖北广电,8.77,8.84,8.6,8.78,8.98,-0.21,-2.3385,16095476,140041151.39
2019-05-15,'000665,湖北广电,8.98,9.0,8.43,8.49,8.4,0.58,6.9048,26911382,234601989.83
2019-05-14,'000665,湖北广电,8.4,8.68,8.03,8.05,8.17,0.23,2.8152,17005167,142689722.46
2019-05-13,'000665,湖北广电,8.17,8.21,8.04,8.19,8.25,-0.08,-0.9697,9377569,76100722.2
2019-05-10,'000665,湖北广电,8.25,8.25,7.91,8.03,7.98,0.27,3.3835,12559154,101892955.11
2019-05-09,'000665,湖北广电,7.98,8.06,7.91,7.91,8.01,-0.03,-0.3745,5810573,46476270.84
