日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000666,经纬纺机,12.82,12.85,12.65,12.76,12.45,0.37,2.9719,5370295,68630598.54
2019-06-28,'000666,经纬纺机,12.45,12.73,12.35,12.67,12.68,-0.23,-1.8139,4274682,53351657.3
2019-06-27,'000666,经纬纺机,12.68,13.07,12.56,12.89,12.79,-0.11,-0.86,7696586,98249149.45
2019-06-26,'000666,经纬纺机,12.79,13.1,12.77,12.98,13.0,-0.21,-1.6154,4183501,53958602.79
2019-06-25,'000666,经纬纺机,13.0,13.2,12.85,13.16,13.17,-0.17,-1.2908,5191395,67470098.95
2019-06-24,'000666,经纬纺机,13.17,13.37,13.08,13.16,13.26,-0.09,-0.6787,4906854,64695033.56
2019-06-21,'000666,经纬纺机,13.26,13.33,12.85,12.9,12.86,0.4,3.1104,10500987,138238241.86
2019-06-20,'000666,经纬纺机,12.86,13.09,12.29,12.36,12.39,0.47,3.7934,8048727,102918611.37
2019-06-19,'000666,经纬纺机,12.39,12.62,12.39,12.61,12.28,0.11,0.8958,4037200,50452213.0
2019-06-18,'000666,经纬纺机,12.28,12.43,12.08,12.37,12.37,-0.09,-0.7276,3367100,41359777.0
2019-06-17,'000666,经纬纺机,12.37,12.43,12.25,12.37,12.5,-0.13,-1.04,2293801,28356452.61
2019-06-14,'000666,经纬纺机,12.5,12.76,12.5,12.74,12.77,-0.27,-2.1143,3039230,38326537.5
2019-06-13,'000666,经纬纺机,12.77,12.77,12.56,12.77,12.74,0.03,0.2355,3674240,46507933.8
2019-06-12,'000666,经纬纺机,12.74,12.9,12.71,12.9,12.95,-0.21,-1.6216,3900089,49822327.42
2019-06-11,'000666,经纬纺机,12.95,12.99,12.27,12.37,12.38,0.57,4.6042,6084668,77182166.5
2019-06-10,'000666,经纬纺机,12.38,12.48,12.19,12.31,12.31,0.07,0.5686,3131177,38614487.87
2019-06-06,'000666,经纬纺机,12.31,12.97,12.2,12.92,12.93,-0.62,-4.7951,5203526,65093964.48
2019-06-05,'000666,经纬纺机,12.93,13.26,12.66,12.66,12.58,0.35,2.7822,6354174,82405780.19
2019-06-04,'000666,经纬纺机,12.58,12.77,12.41,12.47,12.51,0.07,0.5596,3723845,46975890.86
2019-06-03,'000666,经纬纺机,12.51,12.88,12.45,12.7,12.83,-0.32,-2.4942,4118500,52002565.0
2019-05-31,'000666,经纬纺机,12.83,12.94,12.62,12.77,12.75,0.08,0.6275,3190621,40849916.77
2019-05-30,'000666,经纬纺机,12.75,12.89,12.64,12.89,12.9,-0.15,-1.1628,3559953,45323908.55
2019-05-29,'000666,经纬纺机,12.9,13.04,12.7,12.84,12.8,0.1,0.7813,3269796,42207584.24
2019-05-28,'000666,经纬纺机,12.8,13.0,12.72,12.77,12.71,0.09,0.7081,4132925,53230587.1
2019-05-27,'000666,经纬纺机,12.71,12.77,12.24,12.28,12.35,0.36,2.915,4345142,54546814.88
