日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000667,美好置业,2.66,2.67,2.62,2.65,2.63,0.03,1.1407,17876354,47253013.26
2019-06-28,'000667,美好置业,2.63,2.65,2.61,2.65,2.65,-0.02,-0.7547,12527310,32850829.53
2019-06-27,'000667,美好置业,2.65,2.67,2.63,2.67,2.66,-0.01,-0.3759,13218000,35031270.0
2019-06-26,'000667,美好置业,2.66,2.67,2.64,2.65,2.66,0.0,0.0,14325600,38103852.0
2019-06-25,'000667,美好置业,2.66,2.68,2.65,2.68,2.68,-0.02,-0.7463,14074100,37480381.0
2019-06-24,'000667,美好置业,2.68,2.7,2.67,2.67,2.69,-0.01,-0.3717,15552198,41711488.04
2019-06-21,'000667,美好置业,2.69,2.73,2.67,2.69,2.69,0.0,0.0,18218282,49085549.9
2019-06-20,'000667,美好置业,2.69,2.69,2.62,2.63,2.64,0.05,1.8939,29133665,77119187.31
2019-06-19,'000667,美好置业,2.64,2.66,2.62,2.65,2.63,0.01,0.3802,12653035,33429256.96
2019-06-18,'000667,美好置业,2.63,2.64,2.59,2.62,2.63,0.0,0.0,22230025,58052703.36
2019-06-17,'000667,美好置业,2.63,2.7,2.61,2.7,2.7,-0.07,-2.5926,23231243,61453855.22
2019-06-14,'000667,美好置业,2.7,2.71,2.7,2.71,2.71,-0.01,-0.369,21451800,57981391.0
2019-06-13,'000667,美好置业,2.71,2.72,2.7,2.71,2.72,-0.01,-0.3676,22924594,62020758.8
2019-06-12,'000667,美好置业,2.72,2.73,2.7,2.73,2.74,-0.02,-0.7299,24802136,67233201.2
2019-06-11,'000667,美好置业,2.74,2.75,2.7,2.71,2.72,0.02,0.7353,24583562,66938107.64
2019-06-10,'000667,美好置业,2.72,2.72,2.7,2.71,2.72,0.0,0.0,9043400,24507188.0
2019-06-06,'000667,美好置业,2.72,2.72,2.69,2.71,2.72,0.0,0.0,25663514,69338272.8
2019-06-05,'000667,美好置业,2.72,2.72,2.69,2.71,2.72,0.0,0.0,16516800,44762394.0
2019-06-04,'000667,美好置业,2.72,2.73,2.7,2.73,2.73,-0.01,-0.3663,14937902,40457647.4
2019-06-03,'000667,美好置业,2.73,2.74,2.7,2.73,2.73,0.0,0.0,12310050,33421940.6
2019-05-31,'000667,美好置业,2.73,2.74,2.71,2.73,2.73,0.0,0.0,9105095,24774924.45
2019-05-30,'000667,美好置业,2.73,2.73,2.7,2.71,2.72,0.01,0.3676,8896996,24107120.44
2019-05-29,'000667,美好置业,2.72,2.73,2.71,2.72,2.73,-0.01,-0.3663,11893831,32307147.01
2019-05-28,'000667,美好置业,2.73,2.74,2.71,2.74,2.74,-0.01,-0.365,10613869,28910678.34
2019-05-27,'000667,美好置业,2.74,2.74,2.71,2.71,2.73,0.01,0.3663,20459781,55684103.11
2019-05-24,'000667,美好置业,2.73,2.73,2.71,2.72,2.72,0.01,0.3676,14463835,39355608.23
2019-05-23,'000667,美好置业,2.72,2.73,2.7,2.72,2.73,-0.01,-0.3663,11984303,32575468.22
2019-05-22,'000667,美好置业,2.73,2.74,2.71,2.74,2.74,-0.01,-0.365,6752123,18372554.2
2019-05-21,'000667,美好置业,2.74,2.76,2.72,2.73,2.73,0.01,0.3663,13696563,37485118.99
2019-05-20,'000667,美好置业,2.73,2.74,2.7,2.73,2.74,-0.01,-0.365,24048185,65251775.79
2019-05-17,'000667,美好置业,2.74,2.77,2.72,2.76,2.77,-0.03,-1.083,17421550,47775298.0
2019-05-16,'000667,美好置业,2.77,2.78,2.73,2.74,2.75,0.02,0.7273,26917692,74073053.82
2019-05-15,'000667,美好置业,2.75,2.75,2.71,2.72,2.72,0.03,1.1029,14558584,39660079.06
2019-05-14,'000667,美好置业,2.72,2.73,2.69,2.7,2.71,0.01,0.369,11470064,31135438.54
2019-05-13,'000667,美好置业,2.71,2.75,2.69,2.75,2.76,-0.05,-1.8116,16382994,44411975.8
2019-05-10,'000667,美好置业,2.76,2.76,2.71,2.71,2.72,0.04,1.4706,30623306,83704241.04
2019-05-09,'000667,美好置业,2.72,2.76,2.67,2.73,2.74,-0.02,-0.7299,31679300,85696954.0
