»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,≥…Ωª¡ø,≥…ΩªΩ∂Ó
2019-07-01,'000668,»Ÿ∑·øÿπ…,16.25,16.44,16.18,16.18,16.16,0.09,0.5569,1351400,22026914.0
2019-06-28,'000668,»Ÿ∑·øÿπ…,16.16,16.36,15.97,16.26,16.26,-0.1,-0.615,903600,14527062.0
2019-06-27,'000668,»Ÿ∑·øÿπ…,16.3,16.33,15.56,15.58,15.58,0.72,4.6213,1708001,27488476.08
2019-06-26,'000668,»Ÿ∑·øÿπ…,15.58,15.79,15.4,15.45,15.49,0.09,0.581,1461133,22740475.1
2019-06-25,'000668,»Ÿ∑·øÿπ…,15.49,16.2,15.38,16.01,16.06,-0.57,-3.5492,1607669,25048037.57
2019-06-24,'000668,»Ÿ∑·øÿπ…,16.06,16.66,15.92,16.66,16.66,-0.6,-3.6014,1723360,27809707.31
2019-06-21,'000668,»Ÿ∑·øÿπ…,16.66,16.82,16.31,16.45,16.45,0.21,1.2766,2746300,45444519.0
2019-06-20,'000668,»Ÿ∑·øÿπ…,16.45,16.73,15.97,16.5,16.56,-0.11,-0.6643,4097301,66873691.8
2019-06-19,'000668,»Ÿ∑·øÿπ…,16.56,16.7,15.49,15.5,15.75,0.81,5.1429,5074500,82516510.56
2019-06-18,'000668,»Ÿ∑·øÿπ…,15.75,17.5,15.75,17.5,17.5,-1.75,-10.0,5306376,86328418.24
2019-06-17,'000668,»Ÿ∑·øÿπ…,17.5,17.67,17.22,17.5,17.48,0.02,0.1144,1720631,30042734.88
2019-06-14,'000668,»Ÿ∑·øÿπ…,17.48,17.7,17.21,17.31,17.31,0.17,0.9821,1705394,29944253.7
2019-06-13,'000668,»Ÿ∑·øÿπ…,17.31,17.85,17.31,17.49,17.5,-0.19,-1.0857,1375500,24058331.8
2019-06-12,'000668,»Ÿ∑·øÿπ…,17.5,17.75,17.08,17.24,17.33,0.17,0.981,1041884,18230738.52
2019-06-11,'000668,»Ÿ∑·øÿπ…,17.33,17.43,16.92,17.05,17.18,0.15,0.8731,1252179,21496524.52
2019-06-10,'000668,»Ÿ∑·øÿπ…,17.18,17.27,16.81,16.88,17.2,-0.02,-0.1163,1493612,25526423.58
2019-06-06,'000668,»Ÿ∑·øÿπ…,17.2,17.36,16.66,17.25,17.45,-0.25,-1.4327,2669986,45235000.64
2019-06-05,'000668,»Ÿ∑·øÿπ…,17.45,17.49,16.26,16.37,16.26,1.19,7.3186,3258012,55236962.28
2019-06-04,'000668,»Ÿ∑·øÿπ…,16.26,16.5,16.01,16.5,16.48,-0.22,-1.335,1601131,25925170.92
2019-06-03,'000668,»Ÿ∑·øÿπ…,16.48,16.48,16.1,16.16,16.28,0.2,1.2285,1501200,24421702.0
2019-05-31,'000668,»Ÿ∑·øÿπ…,16.28,16.38,16.01,16.01,16.16,0.12,0.7426,1571200,25486001.9
2019-05-30,'000668,»Ÿ∑·øÿπ…,16.16,16.25,15.93,16.11,16.12,0.04,0.2481,874900,14049666.76
2019-05-29,'000668,»Ÿ∑·øÿπ…,16.12,16.21,15.91,15.99,16.06,0.06,0.3736,1000100,16103726.0
2019-05-28,'000668,»Ÿ∑·øÿπ…,16.06,16.23,15.86,16.16,16.16,-0.1,-0.6188,874174,14008113.4
2019-05-27,'000668,»Ÿ∑·øÿπ…,16.16,16.16,15.71,15.85,15.85,0.31,1.9558,989000,15804663.0
2019-05-24,'000668,»Ÿ∑·øÿπ…,15.85,16.07,15.65,15.87,15.86,-0.01,-0.0631,1152302,18238945.78
2019-05-23,'000668,»Ÿ∑·øÿπ…,15.86,16.05,15.81,15.9,16.1,-0.24,-1.4907,944930,15048155.51
2019-05-22,'000668,»Ÿ∑·øÿπ…,16.1,16.14,15.7,15.98,15.9,0.2,1.2579,1541104,24663997.04
2019-05-21,'000668,»Ÿ∑·øÿπ…,15.9,15.9,15.3,15.3,15.37,0.53,3.4483,1192337,18628006.86
2019-05-20,'000668,»Ÿ∑·øÿπ…,15.37,15.82,15.16,15.82,15.7,-0.33,-2.1019,1214078,18638936.72
2019-05-17,'000668,»Ÿ∑·øÿπ…,15.7,16.55,15.39,16.4,16.4,-0.7,-4.2683,1874147,29751823.59
