日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000669,金鸿控股,4.89,4.93,4.69,4.74,4.63,0.26,5.6156,14032570,67870326.0
2019-06-28,'000669,金鸿控股,4.63,4.8,4.56,4.8,4.81,-0.18,-3.7422,10709190,49918189.4
2019-06-27,'000669,金鸿控股,4.81,4.96,4.76,4.82,4.83,-0.02,-0.4141,11535335,56067044.6
2019-06-26,'000669,金鸿控股,4.83,4.87,4.71,4.85,4.84,-0.01,-0.2066,8839903,42502925.2
2019-06-25,'000669,金鸿控股,4.84,4.96,4.78,4.86,4.89,-0.05,-1.0225,11154660,54007214.6
2019-06-24,'000669,金鸿控股,4.89,5.01,4.87,4.97,4.94,-0.05,-1.0121,10407699,51223858.52
2019-06-21,'000669,金鸿控股,4.94,5.01,4.87,4.9,4.87,0.07,1.4374,16524606,81589223.98
2019-06-20,'000669,金鸿控股,4.87,4.88,4.67,4.7,4.72,0.15,3.178,15713775,75637694.05
2019-06-19,'000669,金鸿控股,4.72,4.91,4.72,4.78,4.68,0.04,0.8547,13630190,65304114.29
2019-06-18,'000669,金鸿控股,4.68,4.84,4.65,4.74,4.74,-0.06,-1.2658,10519640,49917464.2
2019-06-17,'000669,金鸿控股,4.74,5.06,4.69,5.06,4.99,-0.25,-5.01,18809568,90273045.4
2019-06-14,'000669,金鸿控股,4.99,5.39,4.94,5.16,5.1,-0.11,-2.1569,37986342,195674920.94
2019-06-13,'000669,金鸿控股,5.1,5.1,4.54,4.7,4.64,0.46,9.9138,20924038,100867702.92
2019-06-12,'000669,金鸿控股,4.64,4.74,4.48,4.7,4.54,0.1,2.2026,18812752,86785690.03
2019-06-11,'000669,金鸿控股,4.54,4.54,4.3,4.34,4.34,0.2,4.6083,13309852,59109060.59
2019-06-10,'000669,金鸿控股,4.34,4.47,4.27,4.46,4.46,-0.12,-2.6906,12084970,52495293.48
2019-06-06,'000669,金鸿控股,4.46,4.63,4.43,4.53,4.48,-0.02,-0.4464,9378328,42332039.12
2019-06-05,'000669,金鸿控股,4.48,4.77,4.41,4.77,4.7,-0.22,-4.6809,15110488,68640119.84
2019-06-04,'000669,金鸿控股,4.7,4.84,4.62,4.79,4.7,0.0,0.0,8239930,38949318.9
2019-06-03,'000669,金鸿控股,4.7,4.95,4.53,4.94,4.93,-0.23,-4.6653,14688662,69430890.9
2019-05-31,'000669,金鸿控股,4.93,5.01,4.91,4.97,5.0,-0.07,-1.4,11127008,55191009.96
2019-05-30,'000669,金鸿控股,5.0,5.05,4.92,4.96,4.96,0.04,0.8065,13866859,69162821.94
2019-05-29,'000669,金鸿控股,4.96,5.06,4.9,4.93,4.94,0.02,0.4049,10584280,52767210.0
2019-05-28,'000669,金鸿控股,4.94,5.04,4.9,5.0,5.01,-0.07,-1.3972,12478376,62256330.88
2019-05-27,'000669,金鸿控股,5.01,5.02,4.78,4.94,4.96,0.05,1.0081,16798631,82812529.62
2019-05-24,'000669,金鸿控股,4.96,5.02,4.84,4.86,4.8,0.16,3.3333,15155374,74630938.03
2019-05-23,'000669,金鸿控股,4.8,4.97,4.8,4.94,4.9,-0.1,-2.0408,12870018,62938447.79
2019-05-22,'000669,金鸿控股,4.9,5.05,4.86,5.02,4.92,-0.02,-0.4065,13730093,68072215.01
2019-05-21,'000669,金鸿控股,4.92,5.01,4.81,4.81,4.73,0.19,4.0169,16206811,79490813.28
2019-05-20,'000669,金鸿控股,4.73,4.87,4.4,4.83,4.83,-0.1,-2.0704,18551854,86163275.6
2019-05-17,'000669,金鸿控股,4.83,5.27,4.76,5.25,5.29,-0.46,-8.6957,26736800,133633504.39
2019-05-16,'000669,金鸿控股,5.29,5.4,5.19,5.26,5.22,0.07,1.341,19769483,104470538.34
2019-05-15,'000669,金鸿控股,5.22,5.24,5.14,5.17,5.14,0.08,1.5564,15299470,79549699.7
2019-05-14,'000669,金鸿控股,5.14,5.26,5.11,5.16,5.25,-0.11,-2.0952,14257531,73739884.88
2019-05-13,'000669,金鸿控股,5.25,5.36,5.02,5.1,5.12,0.13,2.5391,27548004,144124630.11
2019-05-10,'000669,金鸿控股,5.12,5.15,4.8,4.98,4.94,0.18,3.6437,20697898,104385292.62
2019-05-09,'000669,金鸿控股,4.94,5.04,4.91,4.94,5.0,-0.06,-1.2,12348802,61581416.77
2019-05-08,'000669,金鸿控股,5.0,5.07,4.75,4.9,5.04,-0.04,-0.7937,16981425,84098408.69
2019-05-07,'000669,金鸿控股,5.04,5.14,4.9,4.99,5.0,0.04,0.8,20144714,101209906.09
2019-05-06,'000669,金鸿控股,5.0,5.3,5.0,5.3,5.55,-0.55,-9.9099,24406320,124270932.59
2019-04-30,'000669,金鸿控股,5.55,5.72,5.32,5.4,5.9,-0.35,-5.9322,33487293,184440240.54
2019-04-29,'000669,金鸿控股,5.9,6.31,5.9,6.29,6.56,-0.66,-10.061,19471990,116709196.98
2019-04-26,'000669,金鸿控股,6.56,7.28,6.55,7.28,7.28,-0.72,-9.8901,42742880,290282102.55
2019-04-25,'000669,金鸿控股,7.28,7.96,7.28,7.88,8.09,-0.81,-10.0124,50206062,381829740.34
2019-04-24,'000669,金鸿控股,8.09,8.15,7.53,7.66,7.66,0.43,5.6136,56066459,443889384.09
2019-04-23,'000669,金鸿控股,7.66,7.96,7.41,7.96,8.04,-0.38,-4.7264,49817044,382155628.91
2019-04-22,'000669,金鸿控股,8.04,8.25,7.6,7.74,7.8,0.24,3.0769,72989084,577324306.16
2019-04-19,'000669,金鸿控股,7.8,8.0,7.06,7.26,7.38,0.42,5.6911,75206763,571539493.62
2019-04-18,'000669,金鸿控股,7.38,7.65,7.26,7.4,7.5,-0.12,-1.6,50248012,372795480.93
2019-04-17,'000669,金鸿控股,7.5,7.8,7.25,7.36,7.18,0.32,4.4568,70863281,531851605.0
2019-04-16,'000669,金鸿控股,7.18,7.22,6.77,6.81,6.9,0.28,4.058,36774114,259446594.34
2019-04-15,'000669,金鸿控股,6.9,7.12,6.78,6.95,7.22,-0.32,-4.4321,46644892,323615087.02
