日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000670,*ST盈方,2.33,2.34,2.28,2.34,2.28,0.05,2.193,20611700,47590195.0
2019-06-28,'000670,*ST盈方,2.28,2.36,2.23,2.31,2.35,-0.07,-2.9787,25585610,58484010.2
2019-06-27,'000670,*ST盈方,2.35,2.45,2.35,2.37,2.37,-0.02,-0.8439,33109163,79315387.1
2019-06-26,'000670,*ST盈方,2.37,2.37,2.21,2.22,2.26,0.11,4.8673,33392485,77772471.29
2019-06-25,'000670,*ST盈方,2.26,2.3,2.18,2.22,2.24,0.02,0.8929,22755500,51081955.0
2019-06-24,'000670,*ST盈方,2.24,2.29,2.2,2.26,2.18,0.06,2.7523,34032800,76524053.0
2019-06-21,'000670,*ST盈方,2.18,2.18,2.18,2.18,2.08,0.1,4.8077,10810000,23565800.0
2019-06-20,'000670,*ST盈方,2.08,2.14,2.06,2.13,2.13,-0.05,-2.3474,19790900,41317318.98
2019-06-19,'000670,*ST盈方,2.13,2.21,2.11,2.21,2.14,-0.01,-0.4673,20631503,44407929.45
2019-06-18,'000670,*ST盈方,2.14,2.16,2.04,2.04,2.06,0.08,3.8835,23439800,49666263.0
2019-06-17,'000670,*ST盈方,2.06,2.11,2.06,2.06,2.17,-0.11,-5.0691,33650720,69567475.6
2019-06-14,'000670,*ST盈方,2.17,2.32,2.12,2.27,2.21,-0.04,-1.81,48246001,108631747.03
2019-06-13,'000670,*ST盈方,2.21,2.21,2.1,2.13,2.1,0.11,5.2381,27323200,59375100.0
2019-06-12,'000670,*ST盈方,2.1,2.1,1.93,1.96,2.0,0.1,5.0,33748137,69618334.8
2019-06-11,'000670,*ST盈方,2.0,2.03,1.87,1.87,1.97,0.03,1.5228,36818701,72057247.94
2019-06-10,'000670,*ST盈方,1.97,2.0,1.97,1.99,2.07,-0.1,-4.8309,14074100,27776892.0
2019-06-06,'000670,*ST盈方,2.07,2.13,2.07,2.11,2.18,-0.11,-5.0459,15923629,33050624.03
2019-06-05,'000670,*ST盈方,2.18,2.32,2.18,2.29,2.29,-0.11,-4.8035,22704601,50174313.18
