日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000672,上峰水泥,12.57,12.59,12.32,12.55,12.27,0.3,2.445,24295199,303055565.51
2019-06-28,'000672,上峰水泥,12.27,12.49,12.07,12.2,12.16,0.11,0.9046,23495722,289107271.88
2019-06-27,'000672,上峰水泥,12.16,12.25,11.95,11.96,11.94,0.22,1.8425,10722200,130017287.7
2019-06-26,'000672,上峰水泥,11.94,12.11,11.81,11.84,11.97,-0.03,-0.2506,5286400,63337750.67
2019-06-25,'000672,上峰水泥,11.97,12.26,11.78,12.22,12.21,-0.24,-1.9656,9638760,115373971.92
2019-06-24,'000672,上峰水泥,12.21,12.21,12.07,12.15,12.23,-0.02,-0.1635,7748600,94123027.0
2019-06-21,'000672,上峰水泥,12.23,12.31,12.07,12.28,12.17,0.06,0.493,14618556,178189141.92
2019-06-20,'000672,上峰水泥,12.17,12.26,11.71,11.81,11.82,0.35,2.9611,19530240,235567706.87
2019-06-19,'000672,上峰水泥,11.82,12.12,11.79,12.05,11.77,0.05,0.4248,10214328,122062499.86
2019-06-18,'000672,上峰水泥,11.77,11.83,11.67,11.73,11.72,0.05,0.4266,5501860,64602667.2
2019-06-17,'000672,上峰水泥,11.72,11.85,11.65,11.75,11.76,-0.04,-0.3401,6889746,80900640.48
2019-06-14,'000672,上峰水泥,11.76,12.18,11.72,12.15,12.18,-0.42,-3.4483,12202946,145755178.9
2019-06-13,'000672,上峰水泥,12.18,12.2,11.94,12.1,12.1,0.08,0.6612,11840784,143064771.56
2019-06-12,'000672,上峰水泥,12.1,12.48,12.03,12.28,12.41,-0.31,-2.498,22321023,272583230.56
2019-06-11,'000672,上峰水泥,12.41,12.44,11.4,11.4,11.31,1.1,9.7259,30764749,370486802.41
2019-06-10,'000672,上峰水泥,11.31,11.34,11.14,11.25,11.17,0.14,1.2534,5191176,58525261.31
2019-06-06,'000672,上峰水泥,11.17,11.32,11.11,11.17,11.2,-0.03,-0.2679,6137494,68891796.76
2019-06-05,'000672,上峰水泥,11.2,11.44,11.2,11.36,11.26,-0.06,-0.5329,6717200,76074442.85
2019-06-04,'000672,上峰水泥,11.26,11.81,11.21,11.76,11.83,-0.57,-4.8183,14469523,164474234.11
2019-06-03,'000672,上峰水泥,11.83,11.96,11.78,11.87,11.8,0.03,0.2542,7592615,90133723.82
2019-05-31,'000672,上峰水泥,11.8,11.96,11.78,11.88,11.9,-0.1,-0.8403,7696620,91189759.67
2019-05-30,'000672,上峰水泥,11.9,12.2,11.66,12.2,12.34,-0.44,-3.5656,15656805,186311579.19
2019-05-29,'000672,上峰水泥,12.34,12.49,12.12,12.15,12.27,0.07,0.5705,13904960,171961220.81
2019-05-28,'000672,上峰水泥,12.27,12.55,12.13,12.21,12.23,0.04,0.3271,16315428,201875355.16
2019-05-27,'000672,上峰水泥,12.23,12.27,11.73,11.89,11.88,0.35,2.9461,14985719,180279832.63
2019-05-24,'000672,上峰水泥,11.88,11.99,11.72,11.78,11.88,0.0,0.0,7035353,83434686.89
2019-05-23,'000672,上峰水泥,11.88,12.13,11.82,12.0,12.01,-0.13,-1.0824,9718700,116351207.0
2019-05-22,'000672,上峰水泥,12.01,12.22,11.9,12.0,12.22,-0.21,-1.7185,12473571,150364384.99
