日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000673,当代东方,3.93,3.96,3.88,3.93,3.84,0.09,2.3438,11065342,43456631.03
2019-06-28,'000673,当代东方,3.84,3.97,3.81,3.97,3.94,-0.1,-2.5381,10218564,39511341.57
2019-06-27,'000673,当代东方,3.94,4.01,3.9,3.9,3.9,0.04,1.0256,9732598,38523065.12
2019-06-26,'000673,当代东方,3.9,4.0,3.89,3.91,3.94,-0.04,-1.0152,11233232,44222899.07
2019-06-25,'000673,当代东方,3.94,4.06,3.94,4.02,4.01,-0.07,-1.7456,13955967,55543152.58
2019-06-24,'000673,当代东方,4.01,4.1,3.97,4.07,4.01,0.0,0.0,16831948,67843480.37
2019-06-21,'000673,当代东方,4.01,4.1,3.84,3.92,3.89,0.12,3.0848,30460692,121070742.61
2019-06-20,'000673,当代东方,3.89,4.03,3.71,3.98,4.09,-0.2,-4.89,41713444,160946097.92
2019-06-19,'000673,当代东方,4.09,4.26,3.9,3.9,3.87,0.22,5.6848,41836166,172699305.97
2019-06-18,'000673,当代东方,3.87,3.91,3.83,3.91,3.86,0.01,0.2591,6766857,26225988.59
2019-06-17,'000673,当代东方,3.86,3.92,3.81,3.86,3.91,-0.05,-1.2788,9606067,37128198.46
2019-06-14,'000673,当代东方,3.91,4.09,3.86,4.03,4.02,-0.11,-2.7363,15259287,60141498.21
2019-06-13,'000673,当代东方,4.02,4.06,3.86,3.9,3.91,0.11,2.8133,17843324,70682038.06
2019-06-12,'000673,当代东方,3.91,4.02,3.85,3.88,3.86,0.05,1.2953,15571392,61059499.44
2019-06-11,'000673,当代东方,3.86,3.9,3.67,3.69,3.68,0.18,4.8913,15336898,58380443.57
2019-06-10,'000673,当代东方,3.68,3.8,3.62,3.67,3.64,0.04,1.0989,7643400,28180198.0
2019-06-06,'000673,当代东方,3.64,3.84,3.58,3.83,3.79,-0.15,-3.9578,13100204,47977839.54
2019-06-05,'000673,当代东方,3.79,3.92,3.75,3.75,3.77,0.02,0.5305,13231485,50592989.14
2019-06-04,'000673,当代东方,3.77,3.92,3.66,3.87,3.87,-0.1,-2.584,15265000,57717423.0
2019-06-03,'000673,当代东方,3.87,4.12,3.85,4.1,4.09,-0.22,-5.379,19620806,77135391.84
2019-05-31,'000673,当代东方,4.09,4.2,4.03,4.06,4.01,0.08,1.995,17313626,71212297.05
2019-05-30,'000673,当代东方,4.01,4.17,3.95,4.14,4.13,-0.12,-2.9056,16637712,67187167.62
2019-05-29,'000673,当代东方,4.13,4.24,4.12,4.16,4.19,-0.06,-1.432,12617550,52525541.0
2019-05-28,'000673,当代东方,4.19,4.36,4.15,4.22,4.21,-0.02,-0.4751,21117096,89944020.16
2019-05-27,'000673,当代东方,4.21,4.23,4.03,4.18,4.17,0.04,0.9592,16664537,69101890.96
2019-05-24,'000673,当代东方,4.17,4.3,4.12,4.2,4.15,0.02,0.4819,12823608,53698876.6
2019-05-23,'000673,当代东方,4.15,4.35,4.14,4.27,4.23,-0.08,-1.8913,19543324,82963229.1
2019-05-22,'000673,当代东方,4.23,4.45,4.2,4.34,4.31,-0.08,-1.8561,21794745,94207446.91
2019-05-21,'000673,当代东方,4.31,4.5,4.13,4.14,4.1,0.21,5.122,23067832,99457711.79
2019-05-20,'000673,当代东方,4.1,4.28,4.01,4.19,4.43,-0.33,-7.4492,24075185,99025596.87
2019-05-17,'000673,当代东方,4.43,4.8,4.38,4.78,4.78,-0.35,-7.3222,27316897,124246956.93
2019-05-16,'000673,当代东方,4.78,4.92,4.66,4.72,4.71,0.07,1.4862,23347260,111579430.31
2019-05-15,'000673,当代东方,4.71,4.75,4.62,4.72,4.64,0.07,1.5086,12554655,58850907.75
2019-05-14,'000673,当代东方,4.64,4.77,4.6,4.63,4.69,-0.05,-1.0661,15998392,74841037.6
2019-05-13,'000673,当代东方,4.69,4.84,4.55,4.74,4.75,-0.06,-1.2632,19053900,90021193.98
2019-05-10,'000673,当代东方,4.75,4.85,4.46,4.77,4.69,0.06,1.2793,25593437,121558430.96
2019-05-09,'000673,当代东方,4.69,4.91,4.59,4.65,4.88,-0.19,-3.8934,28547879,135679840.16
2019-05-08,'000673,当代东方,4.88,5.16,4.7,4.82,4.82,0.06,1.2448,50015121,248734558.12
2019-05-07,'000673,当代东方,4.82,4.82,4.51,4.52,4.38,0.44,10.0457,10091625,48053613.5
2019-05-06,'000673,当代东方,4.38,4.75,4.36,4.57,4.81,-0.43,-8.9397,24905923,113568508.26
2019-04-30,'000673,当代东方,4.81,4.98,4.38,4.38,4.59,0.22,4.793,26734853,127317246.98
2019-04-29,'000673,当代东方,4.59,5.16,4.59,5.07,5.1,-0.51,-10.0,32806979,157788293.72
