日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000676,智度股份,9.29,9.32,9.08,9.23,9.02,0.27,2.9933,8156642,75289687.61
2019-06-28,'000676,智度股份,9.02,9.2,8.93,9.15,9.26,-0.24,-2.5918,7580207,68467701.9
2019-06-27,'000676,智度股份,9.26,9.66,9.21,9.56,9.22,0.04,0.4338,13622400,127833147.49
2019-06-26,'000676,智度股份,9.22,9.45,8.91,8.97,8.95,0.27,3.0168,9086412,83379048.48
2019-06-25,'000676,智度股份,8.95,9.13,8.88,9.13,9.14,-0.19,-2.0788,5444407,48834177.18
2019-06-24,'000676,智度股份,9.14,9.45,9.12,9.3,9.11,0.03,0.3293,9034566,83824927.8
2019-06-21,'000676,智度股份,9.11,9.16,8.89,8.94,8.89,0.22,2.4747,8058494,72947541.83
2019-06-20,'000676,智度股份,8.89,8.93,8.7,8.76,8.8,0.09,1.0227,5062922,44772295.96
2019-06-19,'000676,智度股份,8.8,9.0,8.76,8.94,8.79,0.01,0.1138,6139100,54362229.22
2019-06-18,'000676,智度股份,8.79,8.83,8.55,8.56,8.58,0.21,2.4476,5489401,47754116.58
2019-06-17,'000676,智度股份,8.58,8.69,8.52,8.62,8.59,-0.01,-0.1164,2714200,23344135.0
2019-06-14,'000676,智度股份,8.59,8.9,8.54,8.9,8.88,-0.29,-3.2658,3828581,33441977.7
2019-06-13,'000676,智度股份,8.88,8.94,8.75,8.84,8.79,0.09,1.0239,3046338,26987508.68
2019-06-12,'000676,智度股份,8.79,8.92,8.79,8.88,8.91,-0.12,-1.3468,3850900,34027926.0
2019-06-11,'000676,智度股份,8.91,8.95,8.55,8.63,8.6,0.31,3.6047,5426669,47828894.48
2019-06-10,'000676,智度股份,8.6,8.67,8.49,8.49,8.51,0.09,1.0576,2589488,22294643.04
2019-06-06,'000676,智度股份,8.51,8.73,8.45,8.68,8.66,-0.15,-1.7321,2911740,24976297.5
2019-06-05,'000676,智度股份,8.66,8.76,8.65,8.73,8.61,0.05,0.5807,3377485,29395633.05
2019-06-04,'000676,智度股份,8.61,8.73,8.43,8.61,8.56,0.05,0.5841,4346816,37423365.1
2019-06-03,'000676,智度股份,8.56,8.85,8.55,8.76,8.79,-0.23,-2.6166,4376501,37837226.71
2019-05-31,'000676,智度股份,8.79,8.86,8.72,8.77,8.75,0.04,0.4571,3238432,28542971.18
2019-05-30,'000676,智度股份,8.75,8.98,8.69,8.95,8.99,-0.24,-2.6696,5246950,46081631.72
2019-05-29,'000676,智度股份,8.99,9.04,8.92,8.99,9.04,-0.05,-0.5531,3210947,28847471.48
2019-05-28,'000676,智度股份,9.04,9.1,8.88,9.06,9.12,-0.08,-0.8772,5790610,52234204.89
2019-05-27,'000676,智度股份,9.12,9.14,8.87,8.98,8.92,0.2,2.2422,3529472,31910100.58
2019-05-24,'000676,智度股份,8.92,9.02,8.88,8.93,8.94,-0.02,-0.2237,2534082,22646327.67
2019-05-23,'000676,智度股份,8.94,9.14,8.9,9.11,9.15,-0.21,-2.2951,4448458,40027484.87
2019-05-22,'000676,智度股份,9.15,9.28,9.09,9.24,9.25,-0.1,-1.0811,3336135,30647283.97
2019-05-21,'000676,智度股份,9.25,9.27,9.06,9.1,9.12,0.13,1.4254,3937500,36157128.42
