日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000677,恒天海龙,3.36,3.42,3.31,3.37,3.28,0.08,2.439,18599667,62514249.69
2019-06-28,'000677,恒天海龙,3.28,3.47,3.23,3.46,3.44,-0.16,-4.6512,25026624,82716666.32
2019-06-27,'000677,恒天海龙,3.44,3.52,3.41,3.45,3.47,-0.03,-0.8646,18996143,65535007.14
2019-06-26,'000677,恒天海龙,3.47,3.54,3.4,3.47,3.5,-0.03,-0.8571,18517315,64410260.56
2019-06-25,'000677,恒天海龙,3.5,3.62,3.45,3.6,3.64,-0.14,-3.8462,26679703,93719776.84
2019-06-24,'000677,恒天海龙,3.64,3.68,3.48,3.62,3.61,0.03,0.831,36481534,130707635.71
2019-06-21,'000677,恒天海龙,3.61,3.73,3.58,3.65,3.65,-0.04,-1.0959,37225300,135733122.85
2019-06-20,'000677,恒天海龙,3.65,3.75,3.57,3.59,3.67,-0.02,-0.545,47285686,172315002.38
2019-06-19,'000677,恒天海龙,3.67,3.97,3.63,3.88,3.71,-0.04,-1.0782,82381263,313319580.34
2019-06-18,'000677,恒天海龙,3.71,3.71,3.41,3.43,3.37,0.34,10.089,39024235,141729551.87
2019-06-17,'000677,恒天海龙,3.37,3.63,3.33,3.4,3.47,-0.1,-2.8818,37520407,128922851.28
2019-06-14,'000677,恒天海龙,3.47,3.69,3.4,3.43,3.35,0.12,3.5821,60519512,214917171.26
2019-06-13,'000677,恒天海龙,3.35,3.47,3.3,3.43,3.4,-0.05,-1.4706,36134037,122233760.29
2019-06-12,'000677,恒天海龙,3.4,3.7,3.37,3.48,3.52,-0.12,-3.4091,62003173,215983212.51
2019-06-11,'000677,恒天海龙,3.52,3.52,3.27,3.28,3.2,0.32,10.0,43964951,150592883.62
2019-06-10,'000677,恒天海龙,3.2,3.2,2.97,2.99,2.91,0.29,9.9656,26538764,82517777.46
2019-06-06,'000677,恒天海龙,2.91,3.09,2.9,3.06,3.06,-0.15,-4.902,13880913,41203225.66
2019-06-05,'000677,恒天海龙,3.06,3.15,3.05,3.12,3.09,-0.03,-0.9709,11421569,35516347.06
2019-06-04,'000677,恒天海龙,3.09,3.19,3.04,3.16,3.16,-0.07,-2.2152,13989291,43654810.08
2019-06-03,'000677,恒天海龙,3.16,3.37,3.12,3.36,3.34,-0.18,-5.3892,21329701,68103878.4
2019-05-31,'000677,恒天海龙,3.34,3.42,3.33,3.39,3.38,-0.04,-1.1834,14727126,49451089.1
2019-05-30,'000677,恒天海龙,3.38,3.48,3.32,3.4,3.39,-0.01,-0.295,18840067,64120059.57
2019-05-29,'000677,恒天海龙,3.39,3.45,3.37,3.38,3.42,-0.03,-0.8772,12866791,43923819.97
2019-05-28,'000677,恒天海龙,3.42,3.54,3.37,3.42,3.45,-0.03,-0.8696,22283926,77174631.71
2019-05-27,'000677,恒天海龙,3.45,3.5,3.23,3.38,3.35,0.1,2.9851,19972264,67464507.56
