»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,≥…Ωª¡ø,≥…ΩªΩ∂Ó
2019-07-01,'000678,œÂ—Ù÷·≥–,7.6,7.76,7.5,7.7,7.72,-0.12,-1.5544,4995023,38178018.78
2019-06-28,'000678,œÂ—Ù÷·≥–,7.72,7.75,7.45,7.75,7.7,0.02,0.2597,3328203,25154533.54
2019-06-27,'000678,œÂ—Ù÷·≥–,7.7,7.82,7.62,7.73,7.73,-0.03,-0.3881,2673646,20661932.04
2019-06-26,'000678,œÂ—Ù÷·≥–,7.73,7.85,7.61,7.66,7.66,0.07,0.9138,4412100,34098864.0
2019-06-25,'000678,œÂ—Ù÷·≥–,7.66,7.98,7.52,7.88,7.85,-0.19,-2.4204,5749762,44227812.34
2019-06-24,'000678,œÂ—Ù÷·≥–,7.85,7.98,7.7,7.98,7.89,-0.04,-0.507,3434300,26819787.32
2019-06-21,'000678,œÂ—Ù÷·≥–,7.89,8.18,7.8,7.96,7.9,-0.01,-0.1266,5976462,47864012.44
2019-06-20,'000678,œÂ—Ù÷·≥–,7.9,7.98,7.75,7.78,7.82,0.08,1.023,2447066,19232913.11
2019-06-19,'000678,œÂ—Ù÷·≥–,7.82,7.91,7.79,7.82,7.74,0.08,1.0336,1837300,14397465.0
2019-06-18,'000678,œÂ—Ù÷·≥–,7.74,7.89,7.62,7.68,7.75,-0.01,-0.129,1549864,11947783.52
2019-06-17,'000678,œÂ—Ù÷·≥–,7.75,7.89,7.48,7.89,7.9,-0.15,-1.8987,2614000,20014254.0
2019-06-14,'000678,œÂ—Ù÷·≥–,7.9,8.05,7.68,8.0,7.9,0.0,0.0,3482100,27401290.0
2019-06-13,'000678,œÂ—Ù÷·≥–,7.9,8.2,7.63,7.77,7.77,0.13,1.6731,4084102,32577543.96
2019-06-12,'000678,œÂ—Ù÷·≥–,7.77,8.47,7.58,7.7,7.7,0.07,0.9091,6016500,47706216.16
2019-06-11,'000678,œÂ—Ù÷·≥–,7.7,7.7,7.36,7.36,7.4,0.3,4.0541,8118700,61575503.45
2019-06-10,'000678,œÂ—Ù÷·≥–,7.4,7.45,7.01,7.23,7.19,0.21,2.9207,3982085,28989691.02
2019-06-06,'000678,œÂ—Ù÷·≥–,7.19,7.31,6.85,7.15,7.15,0.04,0.5594,4771841,34085596.15
2019-06-05,'000678,œÂ—Ù÷·≥–,7.15,8.1,7.15,8.02,7.94,-0.79,-9.9496,9747764,71437438.32
2019-06-04,'000678,œÂ—Ù÷·≥–,7.94,8.2,7.81,8.2,8.06,-0.12,-1.4888,2735442,21681608.8
2019-06-03,'000678,œÂ—Ù÷·≥–,8.06,8.4,7.91,8.3,8.31,-0.25,-3.0084,1982800,16134283.0
2019-05-31,'000678,œÂ—Ù÷·≥–,8.31,8.45,8.22,8.36,8.31,0.0,0.0,2144300,17884764.0
2019-05-30,'000678,œÂ—Ù÷·≥–,8.31,8.67,8.13,8.6,8.65,-0.34,-3.9306,3919538,32588143.9
2019-05-29,'000678,œÂ—Ù÷·≥–,8.65,8.8,8.55,8.77,8.72,-0.07,-0.8028,2797299,24183468.13
2019-05-28,'000678,œÂ—Ù÷·≥–,8.72,9.05,8.68,8.87,8.88,-0.16,-1.8018,3327000,29430753.46
2019-05-27,'000678,œÂ—Ù÷·≥–,8.88,8.9,8.65,8.72,8.7,0.18,2.069,2131509,18730490.3
2019-05-24,'000678,œÂ—Ù÷·≥–,8.7,8.84,8.6,8.76,8.83,-0.13,-1.4723,2234009,19446887.85
2019-05-23,'000678,œÂ—Ù÷·≥–,8.83,8.94,8.75,8.9,8.89,-0.06,-0.6749,2196309,19395600.38
2019-05-22,'000678,œÂ—Ù÷·≥–,8.89,9.1,8.86,9.06,9.06,-0.17,-1.8764,2002984,17938114.72
2019-05-21,'000678,œÂ—Ù÷·≥–,9.06,9.15,8.88,9.05,8.99,0.07,0.7786,4644800,41848763.0
2019-05-20,'000678,œÂ—Ù÷·≥–,8.99,9.17,8.85,9.1,9.05,-0.06,-0.663,2187709,19568024.64
2019-05-17,'000678,œÂ—Ù÷·≥–,9.05,9.27,8.82,9.11,9.12,-0.07,-0.7675,5856550,52992010.11
2019-05-16,'000678,œÂ—Ù÷·≥–,9.12,9.27,8.66,8.75,8.75,0.37,4.2286,6213384,55914475.72
2019-05-15,'000678,œÂ—Ù÷·≥–,8.75,8.88,8.26,8.34,8.3,0.45,5.4217,6380854,54787154.8
2019-05-14,'000678,œÂ—Ù÷·≥–,8.3,8.43,8.17,8.32,8.34,-0.04,-0.4796,4178188,34525971.96
2019-05-13,'000678,œÂ—Ù÷·≥–,8.34,8.47,8.2,8.34,8.36,-0.02,-0.2392,4542567,38059431.46
2019-05-10,'000678,œÂ—Ù÷·≥–,8.36,8.5,7.95,8.28,8.22,0.14,1.7032,7557588,62775898.22
2019-05-09,'000678,œÂ—Ù÷·≥–,8.22,8.31,7.88,8.19,8.37,-0.15,-1.7921,7103412,57648938.3
2019-05-08,'000678,œÂ—Ù÷·≥–,8.37,8.43,8.12,8.2,8.38,-0.01,-0.1193,7253229,60464349.39
2019-05-07,'000678,œÂ—Ù÷·≥–,8.38,8.46,8.1,8.15,8.27,0.11,1.3301,10697810,88396261.5
2019-05-06,'000678,œÂ—Ù÷·≥–,8.27,9.16,8.27,9.16,9.19,-0.92,-10.0109,7877574,66542337.98
2019-04-30,'000678,œÂ—Ù÷·≥–,9.19,9.46,8.91,9.46,9.38,-0.19,-2.0256,10204650,93549274.78
2019-04-29,'000678,œÂ—Ù÷·≥–,9.38,9.9,9.16,9.52,9.39,-0.01,-0.1065,11278346,105992383.18
2019-04-26,'000678,œÂ—Ù÷·≥–,9.39,9.56,9.26,9.4,9.34,0.05,0.5353,7067306,66489924.9
2019-04-25,'000678,œÂ—Ù÷·≥–,9.34,10.15,9.05,10.12,10.05,-0.71,-7.0647,13228894,126524005.37
2019-04-24,'000678,œÂ—Ù÷·≥–,10.05,10.22,9.89,10.0,9.95,0.1,1.005,7678200,77073992.78
2019-04-23,'000678,œÂ—Ù÷·≥–,9.95,10.55,9.8,10.55,10.48,-0.53,-5.0573,10908539,109904457.43
2019-04-22,'000678,œÂ—Ù÷·≥–,10.48,11.03,10.23,10.52,10.6,-0.12,-1.1321,11925838,126779216.0
2019-04-19,'000678,œÂ—Ù÷·≥–,10.6,10.87,10.43,10.71,10.71,-0.11,-1.0271,7765140,82280924.66
2019-04-18,'000678,œÂ—Ù÷·≥–,10.71,11.3,10.63,10.94,11.03,-0.32,-2.9012,11629840,126472416.11
2019-04-17,'000678,œÂ—Ù÷·≥–,11.03,11.22,10.29,10.29,10.25,0.78,7.6098,17645771,192315423.56
2019-04-16,'000678,œÂ—Ù÷·≥–,10.25,10.5,10.08,10.5,10.64,-0.39,-3.6654,17629293,181624979.25
2019-04-15,'000678,œÂ—Ù÷·≥–,10.64,11.2,10.39,11.11,11.0,-0.36,-3.2727,17622338,190968036.7
2019-04-12,'000678,œÂ—Ù÷·≥–,11.0,11.02,10.7,10.89,10.9,0.1,0.9174,8026247,87444918.86
2019-04-11,'000678,œÂ—Ù÷·≥–,10.9,11.2,10.78,10.99,10.9,0.0,0.0,8348500,91513067.0
2019-04-10,'000678,œÂ—Ù÷·≥–,10.9,10.97,10.66,10.8,10.79,0.11,1.0195,8821103,95120691.27
2019-04-09,'000678,œÂ—Ù÷·≥–,10.79,11.06,10.3,10.98,10.62,0.17,1.6008,12874277,137720909.84
2019-04-08,'000678,œÂ—Ù÷·≥–,10.62,11.07,10.11,10.62,10.63,-0.01,-0.0941,18063593,190036821.55
2019-04-04,'000678,œÂ—Ù÷·≥–,10.63,10.81,10.1,10.26,10.26,0.37,3.6062,13094961,137013306.37
2019-04-03,'000678,œÂ—Ù÷·≥–,10.26,10.53,9.7,9.89,9.89,0.37,3.7412,12084700,123475270.48
2019-04-02,'000678,œÂ—Ù÷·≥–,9.89,10.01,9.23,9.29,9.27,0.62,6.6882,13639384,132483778.01
2019-04-01,'000678,œÂ—Ù÷·≥–,9.27,9.3,8.85,8.86,8.79,0.48,5.4608,12827903,117433520.97
2019-03-29,'000678,œÂ—Ù÷·≥–,8.79,8.82,8.5,8.76,8.68,0.11,1.2673,5314218,46298747.61
2019-03-28,'000678,œÂ—Ù÷·≥–,8.68,8.88,8.56,8.8,8.79,-0.11,-1.2514,6600600,57420483.0
2019-03-27,'000678,œÂ—Ù÷·≥–,8.79,9.09,8.62,9.06,8.86,-0.07,-0.7901,10003367,88125397.7
2019-03-26,'000678,œÂ—Ù÷·≥–,8.86,9.18,8.65,9.01,9.0,-0.14,-1.5556,7743543,68738817.96
2019-03-25,'000678,œÂ—Ù÷·≥–,9.0,9.35,8.9,9.0,9.15,-0.15,-1.6393,10186706,92376219.37
2019-03-22,'000678,œÂ—Ù÷·≥–,9.15,9.35,8.8,9.17,9.2,-0.05,-0.5435,9065935,81900924.95
2019-03-21,'000678,œÂ—Ù÷·≥–,9.2,9.84,9.18,9.21,9.3,-0.1,-1.0753,13197064,126030220.04
2019-03-20,'000678,œÂ—Ù÷·≥–,9.3,9.5,8.94,8.94,9.08,0.22,2.4229,8430963,77661393.16
2019-03-19,'000678,œÂ—Ù÷·≥–,9.08,9.29,8.89,9.17,9.24,-0.16,-1.7316,7799238,70668877.48
2019-03-18,'000678,œÂ—Ù÷·≥–,9.24,9.3,8.4,8.4,8.46,0.78,9.2199,9483140,85488921.79
2019-03-15,'000678,œÂ—Ù÷·≥–,8.46,8.59,8.23,8.44,8.45,0.01,0.1183,6666501,56068463.37
2019-03-14,'000678,œÂ—Ù÷·≥–,8.45,8.6,8.25,8.47,8.43,0.02,0.2372,5992725,50303863.18
2019-03-13,'000678,œÂ—Ù÷·≥–,8.43,8.64,8.35,8.44,8.42,0.01,0.1188,7072494,59902137.98
2019-03-12,'000678,œÂ—Ù÷·≥–,8.42,8.65,8.03,8.03,7.99,0.43,5.3817,9499135,79990145.07
2019-03-11,'000678,œÂ—Ù÷·≥–,7.99,8.04,7.4,7.4,7.4,0.59,7.973,8955515,69615152.93
2019-03-08,'000678,œÂ—Ù÷·≥–,7.4,7.83,7.4,7.65,7.72,-0.32,-4.1451,6278100,47773910.05
2019-03-07,'000678,œÂ—Ù÷·≥–,7.72,8.08,7.59,8.0,7.96,-0.24,-3.0151,9660648,75218425.29
2019-03-06,'000678,œÂ—Ù÷·≥–,7.96,7.98,7.29,7.33,7.35,0.61,8.2993,8322260,63872322.46
2019-03-05,'000678,œÂ—Ù÷·≥–,7.35,7.37,7.17,7.17,7.24,0.11,1.5193,5735524,41737692.32
2019-03-04,'000678,œÂ—Ù÷·≥–,7.24,7.46,7.1,7.18,7.18,0.06,0.8357,6270991,45884171.07
2019-03-01,'000678,œÂ—Ù÷·≥–,7.18,7.29,7.08,7.26,7.27,-0.09,-1.238,4863900,34887238.0
2019-02-28,'000678,œÂ—Ù÷·≥–,7.27,7.34,6.92,7.12,7.12,0.15,2.1067,7061603,50452606.46
2019-02-27,'000678,œÂ—Ù÷·≥–,7.12,7.21,6.79,6.85,6.81,0.31,4.5521,8349192,58848622.36
2019-02-26,'000678,œÂ—Ù÷·≥–,6.81,6.93,6.5,6.63,6.63,0.18,2.7149,5833469,39605221.75
2019-02-25,'000678,œÂ—Ù÷·≥–,6.63,6.7,6.45,6.46,6.43,0.2,3.1104,5599675,36933192.51
2019-02-22,'000678,œÂ—Ù÷·≥–,6.43,6.44,6.38,6.38,6.41,0.02,0.312,2820500,18076828.0
2019-02-21,'000678,œÂ—Ù÷·≥–,6.41,6.53,6.34,6.45,6.39,0.02,0.313,4928301,31610307.28
2019-02-20,'000678,œÂ—Ù÷·≥–,6.39,6.63,6.23,6.33,6.32,0.07,1.1076,6591725,42469142.61
2019-02-19,'000678,œÂ—Ù÷·≥–,6.32,6.35,6.05,6.11,6.08,0.24,3.9474,7389430,45960251.41
2019-02-18,'000678,œÂ—Ù÷·≥–,6.08,6.08,5.95,5.95,5.95,0.13,2.1849,4349515,26222948.76
2019-02-15,'000678,œÂ—Ù÷·≥–,5.95,6.05,5.88,5.92,5.98,-0.03,-0.5017,2674525,16016408.72
2019-02-14,'000678,œÂ—Ù÷·≥–,5.98,6.16,5.87,6.16,6.13,-0.15,-2.447,4587713,27452868.73
2019-02-13,'000678,œÂ—Ù÷·≥–,6.13,6.25,6.07,6.13,6.16,-0.03,-0.487,3787505,23241505.23
2019-02-12,'000678,œÂ—Ù÷·≥–,6.16,6.2,6.0,6.03,5.99,0.17,2.8381,3754970,22998856.28
2019-02-11,'000678,œÂ—Ù÷·≥–,5.99,6.08,5.92,5.99,5.94,0.05,0.8418,3213780,19268925.83
2019-02-01,'000678,œÂ—Ù÷·≥–,5.94,5.96,5.8,5.8,5.9,0.04,0.678,1961900,11574934.0
2019-01-31,'000678,œÂ—Ù÷·≥–,5.9,6.13,5.9,5.98,6.0,-0.1,-1.6667,3859500,23249573.0
2019-01-30,'000678,œÂ—Ù÷·≥–,6.0,6.13,5.73,5.73,5.81,0.19,3.2702,5194399,30823823.24
2019-01-29,'000678,œÂ—Ù÷·≥–,5.81,5.93,5.6,5.86,6.02,-0.21,-3.4884,6195612,35723247.6
2019-01-28,'000678,œÂ—Ù÷·≥–,6.02,6.35,5.94,6.05,6.18,-0.16,-2.589,11954040,73049651.94
2019-01-25,'000678,œÂ—Ù÷·≥–,6.18,6.31,5.57,5.75,5.74,0.44,7.6655,20617099,126621785.84
2019-01-24,'000678,œÂ—Ù÷·≥–,5.74,5.83,5.65,5.69,5.7,0.04,0.7018,3608752,20643798.97
2019-01-23,'000678,œÂ—Ù÷·≥–,5.7,5.76,5.4,5.46,5.46,0.24,4.3956,4598851,25928845.71
2019-01-22,'000678,œÂ—Ù÷·≥–,5.46,5.55,5.4,5.42,5.45,0.01,0.1835,1704377,9336786.88
2019-01-21,'000678,œÂ—Ù÷·≥–,5.45,5.53,5.41,5.47,5.5,-0.05,-0.9091,2188727,11958375.51
2019-01-18,'000678,œÂ—Ù÷·≥–,5.5,5.59,5.45,5.53,5.57,-0.07,-1.2567,3375601,18566315.45
2019-01-17,'000678,œÂ—Ù÷·≥–,5.57,5.75,5.55,5.7,5.75,-0.18,-3.1304,6072577,34092405.74
2019-01-16,'000678,œÂ—Ù÷·≥–,5.75,5.85,5.63,5.77,5.89,-0.14,-2.3769,8400172,48416502.27
2019-01-15,'000678,œÂ—Ù÷·≥–,5.89,6.0,5.51,5.59,5.63,0.26,4.6181,11359692,66305303.63
2019-01-14,'000678,œÂ—Ù÷·≥–,5.63,6.01,5.49,5.49,5.46,0.17,3.1136,9330783,53713367.13
