日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000679,大连友谊,4.12,4.12,3.99,4.0,3.93,0.19,4.8346,5372303,21836418.0
2019-06-28,'000679,大连友谊,3.93,4.02,3.89,4.02,4.01,-0.08,-1.995,2552231,10051777.49
2019-06-27,'000679,大连友谊,4.01,4.04,3.95,3.99,3.99,0.02,0.5013,3365616,13490896.7
2019-06-26,'000679,大连友谊,3.99,4.1,3.97,4.06,4.06,-0.07,-1.7241,4597314,18506582.12
2019-06-25,'000679,大连友谊,4.06,4.14,3.95,4.12,4.11,-0.05,-1.2165,4339383,17480576.62
2019-06-24,'000679,大连友谊,4.11,4.24,4.08,4.23,4.23,-0.12,-2.8369,6551816,27082371.44
2019-06-21,'000679,大连友谊,4.23,4.35,4.14,4.16,3.96,0.27,6.8182,11998096,50744826.52
2019-06-20,'000679,大连友谊,3.96,4.01,3.85,3.94,3.95,0.01,0.2532,4074729,16028043.55
2019-06-19,'000679,大连友谊,3.95,4.01,3.84,3.84,3.85,0.1,2.5974,5067336,20006069.89
2019-06-18,'000679,大连友谊,3.85,4.17,3.83,4.0,3.89,-0.04,-1.0283,5552649,22065137.72
2019-06-17,'000679,大连友谊,3.89,3.9,3.75,3.82,3.79,0.1,2.6385,3268056,12595525.47
2019-06-14,'000679,大连友谊,3.79,3.97,3.78,3.89,3.93,-0.14,-3.5623,2387488,9197938.68
2019-06-13,'000679,大连友谊,3.93,3.94,3.83,3.91,3.86,0.07,1.8135,2705826,10537806.52
2019-06-12,'000679,大连友谊,3.86,3.92,3.83,3.83,3.88,-0.02,-0.5155,2061695,7980055.71
2019-06-11,'000679,大连友谊,3.88,3.91,3.7,3.71,3.7,0.18,4.8649,3819082,14645032.72
2019-06-10,'000679,大连友谊,3.7,3.79,3.62,3.62,3.64,0.06,1.6484,1889409,7017858.67
2019-06-06,'000679,大连友谊,3.64,3.76,3.64,3.73,3.75,-0.11,-2.9333,2361359,8702643.48
2019-06-05,'000679,大连友谊,3.75,3.82,3.73,3.78,3.73,0.02,0.5362,2036150,7681422.1
2019-06-04,'000679,大连友谊,3.73,3.85,3.73,3.84,3.82,-0.09,-2.356,2202540,8345531.9
2019-06-03,'000679,大连友谊,3.82,3.99,3.81,3.95,3.93,-0.11,-2.799,3072069,11961330.93
2019-05-31,'000679,大连友谊,3.93,4.03,3.91,3.94,3.93,0.0,0.0,2120100,8434653.0
2019-05-30,'000679,大连友谊,3.93,4.03,3.88,4.02,4.01,-0.08,-1.995,2493301,9825785.93
2019-05-29,'000679,大连友谊,4.01,4.06,3.94,3.98,3.99,0.02,0.5013,2440992,9828725.81
2019-05-28,'000679,大连友谊,3.99,4.11,3.98,4.01,4.03,-0.04,-0.9926,3374994,13683139.0
2019-05-27,'000679,大连友谊,4.03,4.06,3.78,3.88,3.91,0.12,3.0691,3571975,14136476.27
2019-05-24,'000679,大连友谊,3.91,3.97,3.85,3.89,3.89,0.02,0.5141,2400616,9368865.04
2019-05-23,'000679,大连友谊,3.89,4.01,3.86,4.01,3.99,-0.1,-2.5063,3426600,13434120.0
2019-05-22,'000679,大连友谊,3.99,4.13,3.94,4.1,4.07,-0.08,-1.9656,3551350,14343037.5
2019-05-21,'000679,大连友谊,4.07,4.14,3.96,3.97,3.97,0.1,2.5189,4089350,16603325.5
2019-05-20,'000679,大连友谊,3.97,4.08,3.9,3.97,4.05,-0.08,-1.9753,3593519,14270439.27
2019-05-17,'000679,大连友谊,4.05,4.32,4.01,4.3,4.29,-0.24,-5.5944,4959009,20670689.5
2019-05-16,'000679,大连友谊,4.29,4.3,4.22,4.23,4.22,0.07,1.6588,3250137,13860458.49
2019-05-15,'000679,大连友谊,4.22,4.25,4.11,4.13,4.08,0.14,3.4314,4398900,18428266.0
2019-05-14,'000679,大连友谊,4.08,4.22,4.08,4.17,4.2,-0.12,-2.8571,4059497,16857358.5
2019-05-13,'000679,大连友谊,4.2,4.28,4.15,4.21,4.22,-0.02,-0.4739,2831150,11922324.0
2019-05-10,'000679,大连友谊,4.22,4.24,4.08,4.09,4.09,0.13,3.1785,3920537,16413471.81
2019-05-09,'000679,大连友谊,4.09,4.19,4.05,4.08,4.14,-0.05,-1.2077,2690747,11054211.47
2019-05-08,'000679,大连友谊,4.14,4.18,3.98,4.02,4.12,0.02,0.4854,3685800,15203626.0
2019-05-07,'000679,大连友谊,4.12,4.15,4.0,4.03,4.05,0.07,1.7284,4150222,16884137.6
2019-05-06,'000679,大连友谊,4.05,4.45,4.05,4.44,4.5,-0.45,-10.0,7097500,29209749.0
2019-04-30,'000679,大连友谊,4.5,4.59,4.47,4.48,4.48,0.02,0.4464,2027144,9159014.0
2019-04-29,'000679,大连友谊,4.48,4.72,4.48,4.69,4.72,-0.24,-5.0847,4212000,19211609.0
2019-04-26,'000679,大连友谊,4.72,4.75,4.55,4.65,4.66,0.06,1.2876,3425820,16102733.23
2019-04-25,'000679,大连友谊,4.66,4.92,4.64,4.85,4.87,-0.21,-4.3121,4123749,19709359.3
2019-04-24,'000679,大连友谊,4.87,4.91,4.8,4.83,4.85,0.02,0.4124,2508900,12164081.0
2019-04-23,'000679,大连友谊,4.85,4.96,4.82,4.96,4.97,-0.12,-2.4145,3502600,17093674.28
2019-04-22,'000679,大连友谊,4.97,5.06,4.91,5.06,5.04,-0.07,-1.3889,4553446,22706496.36
