日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000680,山推股份,4.25,4.29,4.15,4.22,4.14,0.11,2.657,47159069,199354485.21
2019-06-28,'000680,山推股份,4.14,4.23,4.08,4.14,4.14,0.0,0.0,33411860,138447313.35
2019-06-27,'000680,山推股份,4.14,4.25,4.12,4.24,4.19,-0.05,-1.1933,44084186,183614039.0
2019-06-26,'000680,山推股份,4.19,4.34,4.07,4.2,4.46,-0.27,-6.0538,70945341,298965978.88
2019-06-25,'000680,山推股份,4.46,4.65,4.32,4.4,4.27,0.19,4.4496,140107591,630121736.84
2019-06-24,'000680,山推股份,4.27,4.27,3.88,3.93,3.88,0.39,10.0515,56959300,233670515.35
2019-06-21,'000680,山推股份,3.88,3.88,3.8,3.83,3.83,0.05,1.3055,23439001,90111050.04
2019-06-20,'000680,山推股份,3.83,3.85,3.72,3.76,3.74,0.09,2.4064,22275016,84500832.32
2019-06-19,'000680,山推股份,3.74,3.83,3.73,3.8,3.71,0.03,0.8086,13188687,49592843.96
2019-06-18,'000680,山推股份,3.71,3.78,3.68,3.78,3.74,-0.03,-0.8021,10182666,37754046.67
2019-06-17,'000680,山推股份,3.74,3.76,3.67,3.67,3.69,0.05,1.355,6329527,23586314.45
2019-06-14,'000680,山推股份,3.69,3.85,3.67,3.77,3.77,-0.08,-2.122,11676674,43878484.32
2019-06-13,'000680,山推股份,3.77,3.79,3.73,3.74,3.77,0.0,0.0,13576839,51061992.77
2019-06-12,'000680,山推股份,3.77,3.84,3.7,3.73,3.73,0.04,1.0724,21130050,79835754.3
2019-06-11,'000680,山推股份,3.73,3.85,3.53,3.54,3.51,0.22,6.2678,27222957,100533640.49
2019-06-10,'000680,山推股份,3.51,3.52,3.44,3.47,3.46,0.05,1.4451,7096415,24787122.13
2019-06-06,'000680,山推股份,3.46,3.57,3.44,3.55,3.57,-0.11,-3.0812,11135302,38812855.38
2019-06-05,'000680,山推股份,3.57,3.62,3.55,3.6,3.56,0.01,0.2809,9152728,32770593.46
2019-06-04,'000680,山推股份,3.56,3.7,3.48,3.68,3.68,-0.12,-3.2609,15413003,55412016.3
2019-06-03,'000680,山推股份,3.68,3.76,3.68,3.73,3.73,-0.05,-1.3405,10170706,37687609.07
2019-05-31,'000680,山推股份,3.73,3.84,3.7,3.82,3.82,-0.09,-2.356,15190745,57265594.4
2019-05-30,'000680,山推股份,3.82,3.83,3.77,3.83,3.86,-0.04,-1.0363,8095960,30779425.03
2019-05-29,'000680,山推股份,3.86,3.89,3.79,3.8,3.83,0.03,0.7833,11400967,43935043.94
2019-05-28,'000680,山推股份,3.83,3.87,3.79,3.81,3.81,0.02,0.5249,11838595,45435756.9
2019-05-27,'000680,山推股份,3.81,3.84,3.7,3.7,3.69,0.12,3.252,12482251,47084776.71
2019-05-24,'000680,山推股份,3.69,3.74,3.67,3.68,3.71,-0.02,-0.5391,7921915,29331439.05
2019-05-23,'000680,山推股份,3.71,3.81,3.71,3.81,3.81,-0.1,-2.6247,11679550,43745570.5
2019-05-22,'000680,山推股份,3.81,3.92,3.8,3.88,3.86,-0.05,-1.2953,13603885,52418873.88
2019-05-21,'000680,山推股份,3.86,3.89,3.75,3.78,3.8,0.06,1.5789,12861522,49420963.3
2019-05-20,'000680,山推股份,3.8,3.82,3.63,3.75,3.83,-0.03,-0.7833,17781239,66499275.42
2019-05-17,'000680,山推股份,3.83,4.06,3.8,4.02,4.05,-0.22,-5.4321,27175675,106595622.17
2019-05-16,'000680,山推股份,4.05,4.1,3.97,3.99,4.02,0.03,0.7463,24916140,100646390.16
2019-05-15,'000680,山推股份,4.02,4.08,3.92,3.97,3.92,0.1,2.551,27799128,111311625.63
2019-05-14,'000680,山推股份,3.92,3.98,3.9,3.93,3.99,-0.07,-1.7544,15218024,59925612.79
2019-05-13,'000680,山推股份,3.99,4.04,3.89,3.92,3.97,0.02,0.5038,25914899,102711533.07
2019-05-10,'000680,山推股份,3.97,4.03,3.75,3.87,3.81,0.16,4.1995,34322396,134321113.1
2019-05-09,'000680,山推股份,3.81,3.87,3.78,3.8,3.84,-0.03,-0.7813,12131003,46438193.43
