日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000681,视觉中国,20.28,20.35,19.69,19.86,19.38,0.9,4.644,12721799,255718614.52
2019-06-28,'000681,视觉中国,19.38,19.92,19.0,19.0,19.64,-0.26,-1.3238,7007156,136312885.43
2019-06-27,'000681,视觉中国,19.64,20.0,19.3,19.6,19.39,0.25,1.2893,11083062,218167555.34
2019-06-26,'000681,视觉中国,19.39,19.46,18.22,18.51,18.66,0.73,3.9121,11292392,216803306.49
2019-06-25,'000681,视觉中国,18.66,18.88,18.21,18.88,18.86,-0.2,-1.0604,7017265,129662131.83
2019-06-24,'000681,视觉中国,18.86,19.35,18.78,19.35,19.36,-0.5,-2.5826,9902827,187733038.72
2019-06-21,'000681,视觉中国,19.36,19.88,18.0,18.22,18.22,1.14,6.2569,18460161,353152848.1
2019-06-20,'000681,视觉中国,18.22,18.49,17.7,17.91,18.22,0.0,0.0,10454954,189114869.07
2019-06-19,'000681,视觉中国,18.22,18.54,17.26,17.53,17.06,1.16,6.7995,18542813,333127603.4
2019-06-18,'000681,视觉中国,17.06,17.15,16.85,17.05,17.07,-0.01,-0.0586,4152316,70497529.12
2019-06-17,'000681,视觉中国,17.07,17.3,16.81,16.95,17.16,-0.09,-0.5245,4774505,81413848.36
2019-06-14,'000681,视觉中国,17.16,17.41,16.75,17.41,17.33,-0.17,-0.981,8762356,149093154.33
2019-06-13,'000681,视觉中国,17.33,17.44,17.12,17.35,17.29,0.04,0.2313,5133385,88756135.23
2019-06-12,'000681,视觉中国,17.29,17.65,17.23,17.65,17.64,-0.35,-1.9841,7179758,124707102.7
2019-06-11,'000681,视觉中国,17.64,17.65,16.65,16.82,16.87,0.77,4.5643,11593712,202402463.01
2019-06-10,'000681,视觉中国,16.87,17.16,16.6,16.99,16.99,-0.12,-0.7063,7057242,119100206.13
2019-06-06,'000681,视觉中国,16.99,17.57,16.9,17.57,17.58,-0.59,-3.3561,6584986,112654498.19
2019-06-05,'000681,视觉中国,17.58,17.76,17.18,17.24,17.16,0.42,2.4476,7702234,135082481.68
2019-06-04,'000681,视觉中国,17.16,17.64,16.8,17.64,17.63,-0.47,-2.6659,9043392,154665801.88
2019-06-03,'000681,视觉中国,17.63,18.27,17.47,18.18,18.19,-0.56,-3.0786,9360520,166141758.47
2019-05-31,'000681,视觉中国,18.19,18.49,18.11,18.3,18.47,-0.28,-1.516,6301637,114977353.3
2019-05-30,'000681,视觉中国,18.47,18.76,18.08,18.76,18.8,-0.33,-1.7553,10098835,184585744.81
2019-05-29,'000681,视觉中国,18.8,18.96,18.31,18.66,18.62,0.18,0.9667,7325678,136743788.48
