日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000682,东方电子,4.89,4.9,4.75,4.8,4.7,0.19,4.0426,14602886,70378357.72
2019-06-28,'000682,东方电子,4.7,4.83,4.68,4.83,4.83,-0.13,-2.6915,9304064,43940118.41
2019-06-27,'000682,东方电子,4.83,4.84,4.78,4.79,4.78,0.05,1.046,7697571,37114214.81
2019-06-26,'000682,东方电子,4.78,4.84,4.76,4.81,4.81,-0.03,-0.6237,5954984,28550702.84
2019-06-25,'000682,东方电子,4.81,4.96,4.77,4.94,4.93,-0.12,-2.4341,10621356,51323727.92
2019-06-24,'000682,东方电子,4.93,5.0,4.9,4.98,4.98,-0.05,-1.004,9272541,45824239.73
2019-06-21,'000682,东方电子,4.98,5.02,4.91,4.97,4.87,0.11,2.2587,18767951,93392586.09
2019-06-20,'000682,东方电子,4.87,4.88,4.7,4.78,4.78,0.09,1.8828,14248046,68649854.12
2019-06-19,'000682,东方电子,4.78,4.86,4.76,4.83,4.7,0.08,1.7021,9233999,44285012.74
2019-06-18,'000682,东方电子,4.7,4.79,4.63,4.79,4.79,-0.09,-1.8789,7757954,36521766.18
2019-06-17,'000682,东方电子,4.79,4.86,4.73,4.78,4.75,0.04,0.8421,5930525,28408317.75
2019-06-14,'000682,东方电子,4.75,4.91,4.73,4.91,4.88,-0.13,-2.6639,8988576,43500616.42
2019-06-13,'000682,东方电子,4.88,4.92,4.78,4.85,4.85,0.03,0.6186,9000305,43741235.45
2019-06-12,'000682,东方电子,4.85,4.94,4.82,4.85,4.88,-0.03,-0.6148,10843000,52817283.79
2019-06-11,'000682,东方电子,4.88,4.9,4.68,4.75,4.72,0.16,3.3898,14220201,68436852.98
2019-06-10,'000682,东方电子,4.72,4.75,4.65,4.7,4.59,0.13,2.8322,9880798,46439369.93
2019-06-06,'000682,东方电子,4.59,4.88,4.51,4.84,4.85,-0.26,-5.3608,13198116,61445267.6
2019-06-05,'000682,东方电子,4.85,4.97,4.83,4.95,4.89,-0.04,-0.818,8750974,42814022.64
2019-06-04,'000682,东方电子,4.89,4.97,4.85,4.96,4.97,-0.08,-1.6097,9631540,47323345.49
2019-06-03,'000682,东方电子,4.97,5.05,4.92,5.02,5.0,-0.03,-0.6,10519438,52250345.72
2019-05-31,'000682,东方电子,5.0,5.09,5.0,5.04,5.02,-0.02,-0.3984,9278478,46804949.46
2019-05-30,'000682,东方电子,5.02,5.13,4.97,5.11,5.1,-0.08,-1.5686,12535786,63004142.7
2019-05-29,'000682,东方电子,5.1,5.17,5.08,5.1,5.13,-0.03,-0.5848,14044734,71953641.63
2019-05-28,'000682,东方电子,5.13,5.24,4.99,4.99,4.99,0.14,2.8056,25716285,132070329.48
