日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000683,远兴能源,2.67,2.67,2.63,2.64,2.61,0.06,2.2989,35817696,95117904.34
2019-06-28,'000683,远兴能源,2.61,2.63,2.59,2.63,2.63,-0.02,-0.7605,21051720,54828949.8
2019-06-27,'000683,远兴能源,2.63,2.65,2.61,2.62,2.62,0.01,0.3817,20256415,53421215.1
2019-06-26,'000683,远兴能源,2.62,2.64,2.61,2.62,2.63,-0.01,-0.3802,17013499,44593691.16
2019-06-25,'000683,远兴能源,2.63,2.67,2.59,2.67,2.67,-0.04,-1.4981,37430787,98125965.3
2019-06-24,'000683,远兴能源,2.67,2.7,2.66,2.68,2.68,-0.01,-0.3731,26760963,71653731.77
2019-06-21,'000683,远兴能源,2.68,2.7,2.65,2.66,2.65,0.03,1.1321,44661820,119657912.4
2019-06-20,'000683,远兴能源,2.65,2.66,2.59,2.61,2.61,0.04,1.5326,36924155,97326861.65
2019-06-19,'000683,远兴能源,2.61,2.65,2.6,2.62,2.59,0.02,0.7722,28694600,75218258.0
2019-06-18,'000683,远兴能源,2.59,2.6,2.56,2.58,2.57,0.02,0.7782,21655188,55940805.62
2019-06-17,'000683,远兴能源,2.57,2.65,2.56,2.64,2.66,-0.09,-3.3835,48232288,125247497.76
2019-06-14,'000683,远兴能源,2.66,2.72,2.65,2.7,2.7,-0.04,-1.4815,27612420,74106101.22
2019-06-13,'000683,远兴能源,2.7,2.71,2.66,2.68,2.69,0.01,0.3717,34998950,93976098.4
2019-06-12,'000683,远兴能源,2.69,2.74,2.67,2.73,2.73,-0.04,-1.4652,35203160,95313061.8
2019-06-11,'000683,远兴能源,2.73,2.74,2.66,2.66,2.65,0.08,3.0189,35262597,95627550.39
2019-06-10,'000683,远兴能源,2.65,2.68,2.64,2.67,2.66,-0.01,-0.3759,30142443,80112856.15
2019-06-06,'000683,远兴能源,2.66,2.73,2.64,2.73,2.73,-0.07,-2.5641,29271140,78292530.4
