日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000685,中山公用,8.79,8.83,8.68,8.69,8.54,0.25,2.9274,6979540,61267433.8
2019-06-28,'000685,中山公用,8.54,8.69,8.52,8.63,8.64,-0.1,-1.1574,3695440,31700380.13
2019-06-27,'000685,中山公用,8.64,8.76,8.59,8.61,8.61,0.03,0.3484,5270040,45721263.96
2019-06-26,'000685,中山公用,8.61,8.73,8.58,8.68,8.72,-0.11,-1.2615,4480622,38765948.76
2019-06-25,'000685,中山公用,8.72,8.85,8.63,8.84,8.86,-0.14,-1.5801,6234664,54488110.0
2019-06-24,'000685,中山公用,8.86,9.02,8.83,8.92,8.96,-0.1,-1.1161,7181974,64008482.81
2019-06-21,'000685,中山公用,8.96,9.2,8.89,8.95,8.9,0.06,0.6742,12942868,116816746.69
2019-06-20,'000685,中山公用,8.9,8.97,8.49,8.57,8.52,0.38,4.4601,11731335,103386776.62
2019-06-19,'000685,中山公用,8.52,8.69,8.52,8.54,8.36,0.16,1.9139,5724936,49305864.6
2019-06-18,'000685,中山公用,8.36,8.53,8.35,8.49,8.52,-0.16,-1.8779,3823554,32172720.3
2019-06-17,'000685,中山公用,8.52,8.53,8.36,8.46,8.43,0.09,1.0676,4627838,39285163.57
2019-06-14,'000685,中山公用,8.43,8.71,8.4,8.66,8.63,-0.2,-2.3175,5479289,46702360.04
2019-06-13,'000685,中山公用,8.63,8.73,8.55,8.73,8.74,-0.11,-1.2586,3318290,28655396.12
2019-06-12,'000685,中山公用,8.74,8.82,8.66,8.73,8.75,-0.01,-0.1143,3824039,33376766.45
2019-06-11,'000685,中山公用,8.75,8.78,8.48,8.5,8.5,0.25,2.9412,5017779,43535178.47
2019-06-10,'000685,中山公用,8.5,8.56,8.33,8.39,8.41,0.09,1.0702,3729989,31585743.9
2019-06-06,'000685,中山公用,8.41,8.57,8.41,8.52,8.52,-0.11,-1.2911,3097479,26238614.05
2019-06-05,'000685,中山公用,8.52,8.68,8.52,8.66,8.62,-0.1,-1.1601,3138010,26925376.92
2019-06-04,'000685,中山公用,8.62,8.67,8.48,8.49,8.51,0.11,1.2926,4513727,38820186.71
2019-06-03,'000685,中山公用,8.51,8.66,8.45,8.45,8.47,0.04,0.4723,5336279,45783581.73
2019-05-31,'000685,中山公用,8.47,8.58,8.45,8.51,8.5,-0.03,-0.3529,2483579,21128637.22
2019-05-30,'000685,中山公用,8.5,8.5,8.38,8.5,8.48,0.02,0.2358,3480046,29413334.7
2019-05-29,'000685,中山公用,8.48,8.58,8.47,8.53,8.53,-0.05,-0.5862,2818368,24018353.2
2019-05-28,'000685,中山公用,8.53,8.59,8.49,8.51,8.52,0.01,0.1174,4350840,37167932.0
2019-05-27,'000685,中山公用,8.52,8.59,8.36,8.38,8.41,0.11,1.308,6539100,55539316.0
2019-05-24,'000685,中山公用,8.41,8.44,8.35,8.37,8.34,0.07,0.8393,2743262,23051114.56
2019-05-23,'000685,中山公用,8.34,8.47,8.33,8.41,8.47,-0.13,-1.5348,3718880,31195945.44
2019-05-22,'000685,中山公用,8.47,8.5,8.37,8.5,8.42,0.05,0.5938,3699653,31255273.4
2019-05-21,'000685,中山公用,8.42,8.57,8.35,8.38,8.34,0.08,0.9592,4249805,35960874.25
2019-05-20,'000685,中山公用,8.34,8.38,8.18,8.31,8.37,-0.03,-0.3584,4921072,40851824.37
2019-05-17,'000685,中山公用,8.37,8.54,8.32,8.5,8.52,-0.15,-1.7606,5414536,45751075.48
2019-05-16,'000685,中山公用,8.52,8.68,8.44,8.55,8.51,0.01,0.1175,7488916,63834888.55
2019-05-15,'000685,中山公用,8.51,8.55,8.3,8.3,8.25,0.26,3.1515,6559907,55632820.69
2019-05-14,'000685,中山公用,8.25,8.39,8.16,8.24,8.36,-0.11,-1.3158,7006446,58376232.97
2019-05-13,'000685,中山公用,8.36,8.48,8.15,8.22,8.22,0.14,1.7032,7201231,59865919.74
2019-05-10,'000685,中山公用,8.22,8.28,8.03,8.03,8.0,0.22,2.75,6718005,54939014.19
2019-05-09,'000685,中山公用,8.0,8.09,7.98,7.98,8.04,-0.04,-0.4975,4975800,40016828.46
2019-05-08,'000685,中山公用,8.04,8.11,7.9,7.91,8.06,-0.02,-0.2481,4620892,37170635.55
2019-05-07,'000685,中山公用,8.06,8.11,7.98,8.03,8.0,0.06,0.75,7332477,59000294.13
2019-05-06,'000685,中山公用,8.0,8.28,8.0,8.0,8.61,-0.61,-7.0848,11602637,94038924.29
2019-04-30,'000685,中山公用,8.61,8.7,8.54,8.55,8.52,0.09,1.0563,6116545,52771212.8
2019-04-29,'000685,中山公用,8.52,8.68,8.46,8.63,8.62,-0.1,-1.1601,7490110,64057957.67
2019-04-26,'000685,中山公用,8.62,8.76,8.61,8.69,8.69,-0.07,-0.8055,6575382,57059609.71
