日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000686,东北证券,9.02,9.15,8.93,9.09,8.81,0.21,2.3837,40250692,363514392.08
2019-06-28,'000686,东北证券,8.81,8.87,8.76,8.87,8.87,-0.06,-0.6764,21607782,190239748.81
2019-06-27,'000686,东北证券,8.87,9.05,8.76,8.8,8.74,0.13,1.4874,32348617,288234834.31
2019-06-26,'000686,东北证券,8.84,8.91,8.76,8.83,9.02,-0.18,-1.9956,25525601,225334377.84
2019-06-25,'000686,东北证券,9.02,9.06,8.75,8.99,8.99,0.03,0.3337,36112914,322175707.2
2019-06-24,'000686,东北证券,8.99,9.17,8.9,9.08,9.02,-0.03,-0.3326,33094915,298718814.64
2019-06-21,'000686,东北证券,9.02,9.15,8.86,8.9,8.91,0.11,1.2346,54696681,493161292.65
2019-06-20,'000686,东北证券,8.91,9.18,8.42,8.43,8.47,0.44,5.1948,80492134,709831349.88
2019-06-19,'000686,东北证券,8.47,8.83,8.46,8.77,8.32,0.15,1.8029,45022809,388392427.37
2019-06-18,'000686,东北证券,8.32,8.46,8.24,8.42,8.4,-0.08,-0.9524,16945830,140854892.13
2019-06-17,'000686,东北证券,8.4,8.45,8.34,8.38,8.33,0.07,0.8403,17342907,145463505.69
2019-06-14,'000686,东北证券,8.33,8.58,8.3,8.51,8.5,-0.17,-2.0,26234791,221681796.75
2019-06-13,'000686,东北证券,8.5,8.67,8.44,8.51,8.48,0.02,0.2358,39528337,338513100.56
2019-06-12,'000686,东北证券,8.48,8.86,8.47,8.79,8.83,-0.35,-3.9638,48911154,422936506.45
2019-06-11,'000686,东北证券,8.83,8.86,8.24,8.24,8.29,0.54,6.5139,53822233,463265391.34
2019-06-10,'000686,东北证券,8.29,8.55,7.95,8.55,8.68,-0.39,-4.4931,54708842,450965242.11
2019-06-06,'000686,东北证券,8.68,8.75,8.61,8.67,8.64,0.04,0.463,27985985,243337668.8
2019-06-05,'000686,东北证券,8.64,8.8,8.63,8.69,8.6,0.04,0.4651,30761570,267986766.27
