日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000687,华讯方舟,7.22,7.24,7.13,7.15,7.06,0.16,2.2663,5662401,40767273.22
2019-06-28,'000687,华讯方舟,7.06,7.18,6.98,7.18,7.21,-0.15,-2.0804,4480492,31643439.66
2019-06-27,'000687,华讯方舟,7.21,7.28,7.13,7.19,7.17,0.04,0.5579,5273591,37961306.12
2019-06-26,'000687,华讯方舟,7.17,7.22,7.07,7.12,7.15,0.02,0.2797,3464173,24753597.49
2019-06-25,'000687,华讯方舟,7.15,7.23,7.05,7.2,7.23,-0.08,-1.1065,4448554,31656051.55
2019-06-24,'000687,华讯方舟,7.23,7.37,7.2,7.27,7.25,-0.02,-0.2759,5953918,43283596.78
2019-06-21,'000687,华讯方舟,7.25,7.29,7.15,7.15,7.15,0.1,1.3986,6511227,47056077.66
2019-06-20,'000687,华讯方舟,7.15,7.17,6.95,7.1,7.04,0.11,1.5625,5143639,36523510.89
2019-06-19,'000687,华讯方舟,7.04,7.19,7.02,7.1,6.96,0.08,1.1494,3841627,27254255.11
2019-06-18,'000687,华讯方舟,6.96,7.05,6.9,7.01,7.02,-0.06,-0.8547,2894122,20147161.04
2019-06-17,'000687,华讯方舟,7.02,7.19,6.96,7.15,7.14,-0.12,-1.6807,4513803,31780553.98
2019-06-14,'000687,华讯方舟,7.14,7.45,7.1,7.11,7.09,0.05,0.7052,8669787,62787600.68
2019-06-13,'000687,华讯方舟,7.09,7.12,7.02,7.09,7.07,0.02,0.2829,3340403,23665368.97
2019-06-12,'000687,华讯方舟,7.07,7.18,7.05,7.11,7.14,-0.07,-0.9804,5038498,35796550.92
2019-06-11,'000687,华讯方舟,7.14,7.15,6.83,6.88,6.88,0.26,3.7791,4863935,34167020.49
2019-06-10,'000687,华讯方舟,6.88,6.92,6.78,6.88,6.79,0.09,1.3255,2344019,16081281.97
2019-06-06,'000687,华讯方舟,6.79,7.08,6.78,7.08,7.08,-0.29,-4.096,3953734,27279818.19
2019-06-05,'000687,华讯方舟,7.08,7.17,7.06,7.14,7.1,-0.02,-0.2817,3597700,25605315.36
2019-06-04,'000687,华讯方舟,7.1,7.15,6.96,7.02,7.04,0.06,0.8523,4741705,33497003.89
2019-06-03,'000687,华讯方舟,7.04,7.23,6.95,7.16,7.16,-0.12,-1.676,5205800,36856644.0
2019-05-31,'000687,华讯方舟,7.16,7.2,7.06,7.12,7.11,0.05,0.7032,4529377,32360344.7
2019-05-30,'000687,华讯方舟,7.11,7.17,7.01,7.12,7.2,-0.09,-1.25,4115828,29165109.84
2019-05-29,'000687,华讯方舟,7.2,7.24,7.05,7.14,7.12,0.08,1.1236,4645084,33395239.96
2019-05-28,'000687,华讯方舟,7.12,7.27,7.09,7.13,7.17,-0.05,-0.6974,5175408,37207781.04
2019-05-27,'000687,华讯方舟,7.17,7.22,6.92,6.96,6.94,0.23,3.3141,5491679,39025606.06
2019-05-24,'000687,华讯方舟,6.94,7.13,6.9,6.98,7.06,-0.12,-1.6997,4307500,30074927.0
2019-05-23,'000687,华讯方舟,7.06,7.38,6.99,7.33,7.39,-0.33,-4.4655,8674210,61820204.03
2019-05-22,'000687,华讯方舟,7.39,7.55,7.25,7.41,7.43,-0.04,-0.5384,6738801,49877881.27
2019-05-21,'000687,华讯方舟,7.43,7.54,7.31,7.31,7.42,0.01,0.1348,6266708,46569544.4
2019-05-20,'000687,华讯方舟,7.42,7.47,7.03,7.4,7.33,0.09,1.2278,7368100,53789380.0
2019-05-17,'000687,华讯方舟,7.33,7.77,7.22,7.72,7.8,-0.47,-6.0256,11910408,89500976.62
2019-05-16,'000687,华讯方舟,7.8,7.89,7.61,7.64,7.64,0.16,2.0942,12883498,100471029.47
