日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000688,国城矿业,10.69,10.79,10.61,10.78,10.66,0.03,0.2814,2290415,24501782.86
2019-06-28,'000688,国城矿业,10.66,10.83,10.56,10.83,10.89,-0.23,-2.112,1503774,16058506.84
2019-06-27,'000688,国城矿业,10.89,11.0,10.71,11.0,10.93,-0.04,-0.366,5985200,64942518.95
2019-06-26,'000688,国城矿业,10.93,10.95,10.82,10.95,10.85,0.08,0.7373,769260,8393181.04
2019-06-25,'000688,国城矿业,10.85,11.02,10.81,11.0,10.92,-0.07,-0.641,3044752,33258368.24
2019-06-24,'000688,国城矿业,10.92,11.06,10.91,11.01,11.02,-0.1,-0.9074,2704451,29698313.83
2019-06-21,'000688,国城矿业,11.02,11.08,11.0,11.0,11.04,-0.02,-0.1812,1971241,21756526.82
2019-06-20,'000688,国城矿业,11.04,11.1,10.9,10.9,11.0,0.04,0.3636,2070137,22787698.12
2019-06-19,'000688,国城矿业,11.0,11.16,10.93,11.1,11.0,0.0,0.0,1549697,17097211.29
2019-06-18,'000688,国城矿业,11.0,11.12,10.9,11.12,11.06,-0.06,-0.5425,1384373,15187633.9
2019-06-17,'000688,国城矿业,11.06,11.16,10.75,10.99,10.81,0.25,2.3127,1503390,16560132.78
2019-06-14,'000688,国城矿业,10.81,11.06,10.81,10.88,10.91,-0.1,-0.9166,1239638,13597455.63
2019-06-13,'000688,国城矿业,10.91,11.06,10.83,10.91,11.07,-0.16,-1.4453,1147201,12549957.93
2019-06-12,'000688,国城矿业,11.07,11.23,10.98,11.2,11.15,-0.08,-0.7175,3274519,36234302.81
2019-06-11,'000688,国城矿业,11.15,11.16,10.88,10.89,10.85,0.3,2.765,1177654,13031534.06
2019-06-10,'000688,国城矿业,10.85,11.02,10.75,10.92,10.92,-0.07,-0.641,1206635,13128542.15
2019-06-06,'000688,国城矿业,10.92,11.13,10.25,10.99,11.1,-0.18,-1.6216,2336967,25332152.57
2019-06-05,'000688,国城矿业,11.1,11.15,10.85,11.0,10.92,0.18,1.6484,980978,10859652.32
2019-06-04,'000688,国城矿业,10.92,11.21,10.9,10.99,11.0,-0.08,-0.7273,991591,10908069.22
2019-06-03,'000688,国城矿业,11.0,11.35,10.6,11.31,11.13,-0.13,-1.168,1289361,14271647.66
2019-05-31,'000688,国城矿业,11.13,11.44,11.08,11.08,11.13,0.0,0.0,1431558,16089797.81
2019-05-30,'000688,国城矿业,11.13,11.17,11.04,11.15,11.14,-0.01,-0.0898,930282,10341667.02
2019-05-29,'000688,国城矿业,11.14,11.18,11.06,11.06,11.09,0.05,0.4509,899171,10016915.52
2019-05-28,'000688,国城矿业,11.09,11.16,10.91,11.0,11.0,0.09,0.8182,1480881,16354402.11
2019-05-27,'000688,国城矿业,11.0,11.08,10.71,11.08,11.03,-0.03,-0.272,1991542,21726039.42
2019-05-24,'000688,国城矿业,11.03,11.13,10.85,11.1,11.04,-0.01,-0.0906,2168675,23852096.73
2019-05-23,'000688,国城矿业,11.04,11.16,10.91,11.09,11.12,-0.08,-0.7194,1382831,15260810.76
2019-05-22,'000688,国城矿业,11.12,11.2,11.01,11.18,11.11,0.01,0.09,1259351,13969759.89
2019-05-21,'000688,国城矿业,11.11,11.2,10.57,10.69,10.71,0.4,3.7348,3904837,43170735.58
2019-05-20,'000688,国城矿业,10.71,11.0,10.0,11.0,11.03,-0.32,-2.9012,4768854,50381722.67
2019-05-17,'000688,国城矿业,11.03,11.21,10.91,11.21,11.21,-0.18,-1.6057,3872949,42709069.96
2019-05-16,'000688,国城矿业,11.21,11.4,11.1,11.16,11.17,0.04,0.3581,2608894,29357079.38
2019-05-15,'000688,国城矿业,11.17,11.24,10.97,11.03,10.99,0.18,1.6379,5115322,56788338.46
2019-05-14,'000688,国城矿业,10.99,11.19,10.92,11.06,11.19,-0.2,-1.7873,2833127,31268268.81
2019-05-13,'000688,国城矿业,11.19,11.35,10.99,11.3,11.56,-0.37,-3.2007,4493580,50085532.87
2019-05-10,'000688,国城矿业,11.56,11.62,11.11,11.52,11.8,-0.24,-2.0339,5486442,62434068.98
2019-05-09,'000688,国城矿业,11.8,12.29,10.98,12.1,12.2,-0.4,-3.2787,8142762,92624235.27
2019-05-08,'000688,国城矿业,12.2,13.16,11.95,13.16,13.28,-1.08,-8.1325,9614828,119389098.33
2019-05-07,'000688,国城矿业,13.28,13.61,13.02,13.02,13.2,0.08,0.6061,4453360,59432255.69
