日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2002-04-18,'000689,ST 宏 业,4.88,5.07,4.79,4.89,4.88,0.0,0.0,6187349,30567640.76
2002-04-17,'000689,ST 宏 业,4.88,5.08,4.85,4.93,4.93,-0.05,-1.0142,3130976,15537652.1
2002-04-16,'000689,ST 宏 业,4.93,4.98,4.73,4.76,4.76,0.17,3.5714,2503869,12140431.93
2002-04-15,'000689,ST 宏 业,4.76,4.87,4.7,4.8,4.87,-0.11,-2.2587,1911141,9073524.8
2002-04-12,'000689,ST 宏 业,4.87,4.94,4.82,4.87,4.86,0.01,0.2058,1694150,8289226.05
2002-04-11,'000689,ST 宏 业,4.86,4.99,4.79,4.9,4.92,-0.06,-1.2195,1622662,7893674.87
2002-04-10,'000689,ST 宏 业,4.92,4.94,4.71,4.75,4.7,0.22,4.6809,2429971,11832213.41
2002-04-09,'000689,ST 宏 业,4.7,4.8,4.54,4.7,4.74,-0.04,-0.8439,2066661,9679037.44
2002-04-08,'000689,ST 宏 业,4.74,4.88,4.68,4.76,4.82,-0.08,-1.6598,1232870,5883758.98
2002-04-05,'000689,ST 宏 业,4.82,5.09,4.76,5.01,5.01,-0.19,-3.7924,3053054,14889749.33
2002-04-04,'000689,ST 宏 业,5.01,5.25,4.99,5.0,5.09,-0.08,-1.5717,4179209,21339830.61
2002-04-03,'000689,ST 宏 业,5.09,5.09,4.81,4.9,4.85,0.24,4.9485,3646736,18328152.52
2002-04-02,'000689,ST 宏 业,4.85,5.0,4.65,4.9,4.8,0.05,1.0417,1725098,8392346.44
2002-04-01,'000689,ST 宏 业,4.8,4.88,4.48,4.54,4.72,0.08,1.6949,2239908,10468988.72
2002-03-29,'000689,ST 宏 业,4.72,4.9,4.72,4.9,4.97,-0.25,-5.0302,3549614,16911486.85
2002-03-28,'000689,ST 宏 业,4.97,5.2,4.94,5.04,5.2,-0.23,-4.4231,4693494,23561540.12
2002-03-27,'000689,ST 宏 业,5.2,5.55,5.1,5.48,5.29,-0.09,-1.7013,7517571,40552752.95
2002-03-26,'000689,ST 宏 业,5.29,5.29,5.18,5.25,5.04,0.25,4.9603,1818866,9559423.24
2002-03-25,'000689,ST 宏 业,5.04,5.04,4.7,4.79,4.8,0.24,5.0,2280392,11340619.3
2002-03-22,'000689,ST 宏 业,4.8,5.04,4.69,4.93,4.94,-0.14,-2.834,2147253,10334600.49
2002-03-21,'000689,ST 宏 业,4.94,5.15,4.88,4.95,4.92,0.02,0.4065,2127538,10659227.63
2002-03-20,'000689,ST 宏 业,4.92,4.98,4.82,4.82,4.74,0.18,3.7975,2147030,10547017.61
2002-03-19,'000689,ST 宏 业,4.74,4.9,4.45,4.6,4.68,0.06,1.2821,3078129,14160477.58
2002-03-18,'000689,ST 宏 业,4.68,5.07,4.66,4.92,4.91,-0.23,-4.6843,2446309,11644954.82
2002-03-15,'000689,ST 宏 业,4.91,5.16,4.88,4.92,4.91,0.0,0.0,3120491,15782861.87
2002-03-14,'000689,ST 宏 业,4.91,4.97,4.7,4.75,4.9,0.01,0.2041,3799111,18437078.97
2002-03-13,'000689,ST 宏 业,4.9,5.26,4.9,5.08,5.16,-0.26,-5.0388,4438320,22089277.69
2002-03-12,'000689,ST 宏 业,5.16,5.16,5.1,5.1,4.91,0.25,5.0916,4539203,23404903.17
2002-03-11,'000689,ST 宏 业,4.91,4.91,4.72,4.72,4.68,0.23,4.9145,2306987,11288109.9
2002-03-08,'000689,ST 宏 业,4.68,4.68,4.49,4.5,4.46,0.22,4.9327,3591712,16612371.96
2002-03-07,'000689,ST 宏 业,4.46,4.54,4.4,4.5,4.48,-0.02,-0.4464,2401653,10728268.84
2002-03-06,'000689,ST 宏 业,4.48,4.49,4.24,4.26,4.31,0.17,3.9443,3714289,16135456.44
2002-03-05,'000689,ST 宏 业,4.31,4.5,4.16,4.16,4.36,-0.05,-1.1468,3769519,16305417.82
2002-03-04,'000689,ST 宏 业,4.36,4.59,4.36,4.36,4.59,-0.23,-5.0109,5086565,22322503.53
2002-03-01,'000689,ST 宏 业,4.59,4.82,4.59,4.82,4.83,-0.24,-4.9689,3452100,15933677.0
2002-02-28,'000689,ST 宏 业,4.83,4.83,4.45,4.73,4.6,0.23,5.0,8343350,39354152.01
2002-02-27,'000689,ST 宏 业,4.6,4.6,4.4,4.5,4.38,0.22,5.0228,1451737,6621659.26
2002-02-26,'000689,ST 宏 业,4.38,4.38,4.25,4.38,4.17,0.21,5.036,2572562,11236640.54
2002-02-25,'000689,ST 宏 业,4.17,4.17,4.02,4.11,3.97,0.2,5.0378,1003363,4133570.3
2002-02-08,'000689,ST 宏 业,3.97,3.97,3.78,3.8,3.78,0.19,5.0265,2916311,11497182.2
2002-02-07,'000689,ST 宏 业,3.78,3.9,3.6,3.6,3.73,0.05,1.3405,2010692,7660428.69
2002-02-06,'000689,ST 宏 业,3.73,4.13,3.73,4.08,3.93,-0.2,-5.0891,4246220,16688035.67
2002-02-05,'000689,ST 宏 业,3.93,3.93,3.8,3.8,3.74,0.19,5.0802,2484209,9720118.89
2002-02-04,'000689,ST 宏 业,3.74,3.74,3.58,3.72,3.56,0.18,5.0562,1805445,6655455.39
2002-02-01,'000689,ST 宏 业,3.56,3.56,3.4,3.48,3.39,0.17,5.0147,1840816,6472017.16
2002-01-31,'000689,ST 宏 业,3.39,3.39,3.27,3.29,3.23,0.16,4.9536,1811342,6101644.92
2002-01-30,'000689,ST 宏 业,3.23,3.23,3.02,3.08,3.08,0.15,4.8701,2113409,6741125.65
2002-01-29,'000689,ST 宏 业,3.08,3.25,3.06,3.07,3.21,-0.13,-4.0498,1916238,5990710.97
2002-01-28,'000689,ST 宏 业,3.21,3.54,3.21,3.49,3.38,-0.17,-5.0296,3792187,12520087.3
2002-01-25,'000689,ST 宏 业,3.38,3.38,3.2,3.2,3.22,0.16,4.9689,1678004,5648762.08
2002-01-24,'000689,ST 宏 业,3.22,3.35,3.05,3.05,3.19,0.03,0.9404,3985390,12926534.95
2002-01-23,'000689,ST 宏 业,3.19,3.27,3.19,3.19,3.36,-0.17,-5.0595,4676857,14952255.31
2002-01-22,'000689,ST 宏 业,3.36,3.36,3.36,3.36,3.54,-0.18,-5.0847,32200,108192.0
2002-01-21,'000689,ST 宏 业,3.54,3.54,3.54,3.54,3.73,-0.19,-5.0938,63800,225852.0
2002-01-18,'000689,ST 宏 业,3.73,3.73,3.73,3.73,3.93,-0.2,-5.0891,201900,753087.0
2002-01-17,'000689,ST 宏 业,3.93,3.93,3.93,3.93,4.14,-0.21,-5.0725,181300,712509.0
2002-01-16,'000689,ST 宏 业,4.14,4.14,4.14,4.14,4.36,-0.22,-5.0459,166000,687240.0
2002-01-15,'000689,ST 宏 业,4.36,4.45,4.36,4.36,4.59,-0.23,-5.0109,1320500,5765155.0
2002-01-14,'000689,ST 宏 业,4.59,4.8,4.59,4.8,4.83,-0.24,-4.9689,964400,4470460.16
2002-01-11,'000689,ST 宏 业,4.83,5.07,4.83,4.83,5.08,-0.25,-4.9213,2415124,11806088.72
2002-01-10,'000689,ST 宏 业,0.0,0.0,0.0,0.0,5.08,None,None,0,0.0
2002-01-09,'000689,ST 宏 业,5.08,5.28,4.99,4.99,5.25,-0.17,-3.2381,1794504,9126654.87
2002-01-08,'000689,ST 宏 业,5.25,5.57,5.25,5.48,5.53,-0.28,-5.0633,2141756,11434530.39
2002-01-07,'000689,ST 宏 业,5.53,5.68,5.16,5.38,5.41,0.12,2.2181,3575138,19639966.46
2002-01-04,'000689,ST 宏 业,5.41,5.41,4.89,4.89,5.15,0.26,5.0485,4512462,23552966.38
2001-12-31,'000689,ST宏业,5.15,5.15,5.15,5.15,5.42,-0.27,-4.9815,646300,3328445.0
2001-12-28,'000689,ST宏业,5.42,5.68,5.42,5.68,5.71,-0.29,-5.0788,2469944,13531735.26
2001-12-27,'000689,ST宏业,5.71,5.73,5.31,5.51,5.53,0.18,3.255,3765230,20778991.99
2001-12-26,'000689,ST宏业,5.53,5.86,5.38,5.38,5.61,-0.08,-1.426,3136582,17812440.85
2001-12-25,'000689,ST宏业,5.61,5.79,5.61,5.7,5.91,-0.3,-5.0761,3954900,22231177.27
2001-12-24,'000689,ST宏业,5.91,6.16,5.91,6.05,6.22,-0.31,-4.9839,2260873,13469757.4
2001-12-21,'000689,ST宏业,6.22,6.58,6.18,6.5,6.51,-0.29,-4.4547,2700412,16912336.19
2001-12-20,'000689,ST宏业,6.51,6.72,6.4,6.46,6.52,-0.01,-0.1534,2627810,17285071.15
2001-12-19,'000689,ST宏业,6.52,6.74,6.38,6.38,6.72,-0.2,-2.9762,4734047,30645579.02
2001-12-18,'000689,ST宏业,6.72,6.89,6.72,6.72,7.07,-0.35,-4.9505,762300,5145931.5
2001-12-17,'000689,ST宏业,0.0,0.0,0.0,0.0,7.07,None,None,0,0.0
2001-12-14,'000689,ST宏业,7.07,7.4,6.9,6.9,7.26,-0.19,-2.6171,5504676,38589551.22
2001-12-13,'000689,ST宏业,7.26,7.4,7.26,7.3,7.64,-0.38,-4.9738,1128140,8240131.0
2001-12-12,'000689,ST宏业,7.64,8.01,7.64,8.01,8.04,-0.4,-4.9751,1953800,15036293.67
2001-12-11,'000689,ST宏业,8.04,8.37,8.01,8.28,8.32,-0.28,-3.3654,2501514,20424655.61
2001-12-10,'000689,ST宏业,8.32,8.37,8.07,8.07,8.49,-0.17,-2.0024,6167994,50282833.68
2001-12-07,'000689,ST宏业,8.49,8.49,8.49,8.49,8.94,-0.45,-5.0336,837100,7106979.0
2001-12-06,'000689,ST宏业,8.94,8.94,8.94,8.94,9.41,-0.47,-4.9947,140400,1255176.0
2001-12-05,'000689,ST宏业,9.41,9.41,9.41,9.41,9.9,-0.49,-4.9495,210300,1978923.0
2001-12-04,'000689,ST宏业,9.9,10.05,9.7,9.97,10.0,-0.1,-1.0,739692,7270675.13
2001-12-03,'000689,ST宏业,10.0,10.28,9.97,10.28,9.91,0.09,0.9082,1115144,11227543.75
2001-11-30,'000689,ST宏业,0.0,0.0,0.0,0.0,9.91,None,None,0,0.0
2001-11-29,'000689,ST宏业,9.91,9.97,9.68,9.8,9.77,0.14,1.433,1002749,9851403.06
2001-11-28,'000689,ST宏业,9.77,9.9,9.66,9.66,9.6,0.17,1.7708,712284,6980136.31
2001-11-27,'000689,ST宏业,9.6,9.64,9.37,9.4,9.47,0.13,1.3728,624596,5935300.26
2001-11-26,'000689,ST宏业,9.47,9.55,9.35,9.4,9.39,0.08,0.852,405725,3830716.64
2001-11-23,'000689,ST宏业,9.39,9.55,9.31,9.41,9.41,-0.02,-0.2125,397968,3740650.25
2001-11-22,'000689,ST宏业,9.41,9.5,9.26,9.48,9.5,-0.09,-0.9474,578020,5405017.13
2001-11-21,'000689,ST宏业,9.5,9.7,9.3,9.35,9.31,0.19,2.0408,493840,4672412.7
2001-11-20,'000689,ST宏业,0.0,0.0,0.0,0.0,9.31,None,None,290339,2693793.47
2001-11-19,'000689,ST宏业,9.31,9.4,9.04,9.23,9.17,0.14,1.5267,302915,2801941.09
2001-11-16,'000689,ST宏业,9.17,9.47,9.08,9.47,9.02,0.15,1.663,302915,2801941.09
2001-11-15,'000689,ST宏业,9.02,9.15,8.99,9.08,9.05,-0.03,-0.3315,89860,814644.11
2001-11-14,'000689,ST宏业,9.05,9.2,9.0,9.2,9.0,0.05,0.5556,113273,1030885.96
2001-11-13,'000689,ST宏业,0.0,0.0,0.0,0.0,9.0,None,None,0,0.0
2001-11-12,'000689,ST宏业,9.0,9.2,8.9,9.1,8.84,0.16,1.81,171300,1553548.3
2001-11-09,'000689,ST宏业,8.84,8.98,8.5,8.88,8.79,0.05,0.5688,241290,2121943.4
2001-11-08,'000689,ST宏业,8.79,8.8,8.44,8.44,8.88,-0.09,-1.0135,474729,4098881.64
2001-11-07,'000689,ST宏业,8.88,9.3,8.88,9.3,9.35,-0.47,-5.0267,398500,3566427.25
2001-11-06,'000689,ST宏业,9.35,9.5,9.25,9.48,9.34,0.01,0.1071,212183,1993725.18
2001-11-05,'000689,ST宏业,9.34,9.4,9.05,9.34,9.34,0.0,0.0,250900,2310952.48
2001-11-02,'000689,ST宏业,9.34,9.5,9.3,9.35,9.36,-0.02,-0.2137,309657,2906610.42
2001-11-01,'000689,ST宏业,9.36,9.6,9.3,9.35,9.35,0.01,0.107,361984,3413562.7
2001-10-31,'000689,ST宏业,9.35,9.39,9.15,9.2,9.3,0.05,0.5376,384884,3576721.31
2001-10-30,'000689,ST宏业,9.3,9.6,9.25,9.41,9.49,-0.19,-2.0021,583300,5506746.01
2001-10-29,'000689,ST宏业,9.49,9.58,9.1,9.21,9.2,0.29,3.1522,1360258,12739376.23
2001-10-26,'000689,ST宏业,9.2,9.21,8.61,8.71,8.77,0.43,4.9031,2218753,20282220.0
2001-10-25,'000689,ST宏业,8.77,9.11,8.68,8.89,8.89,-0.12,-1.3498,700738,6274409.0
2001-10-24,'000689,ST宏业,8.89,8.89,8.73,8.89,8.47,0.42,4.9587,964385,8565754.0
2001-10-23,'000689,ST宏业,8.47,8.47,8.47,8.47,8.07,0.4,4.9566,214234,1814561.0
2001-10-22,'000689,ST宏业,8.07,8.48,8.07,8.3,8.49,-0.42,-4.947,472250,3858189.0
2001-10-19,'000689,ST宏业,8.49,8.77,8.27,8.59,8.7,-0.21,-2.4138,595529,4997142.0
2001-10-18,'000689,ST宏业,8.7,9.1,8.64,9.05,9.02,-0.32,-3.5477,324954,2854653.0
2001-10-17,'000689,ST宏业,9.02,9.29,9.0,9.17,9.17,-0.15,-1.6358,368500,3355326.9
2001-10-16,'000689,ST宏业,9.17,9.68,9.11,9.55,9.26,-0.09,-0.9719,538817,5031627.0
2001-10-15,'000689,ST宏业,9.26,9.36,9.0,9.15,9.14,0.12,1.3129,616338,5699543.0
2001-10-12,'000689,ST宏业,9.14,9.26,8.58,8.98,8.99,0.15,1.6685,904206,8156032.0
2001-10-11,'000689,ST宏业,8.99,9.01,8.5,8.58,8.58,0.41,4.7786,1200880,10688664.0
2001-10-10,'000689,ST宏业,8.58,8.93,8.46,8.87,8.88,-0.3,-3.3784,532841,4652902.0
2001-10-09,'000689,ST宏业,8.88,8.88,8.5,8.57,8.57,0.31,3.6173,482030,4201258.0
2001-10-08,'000689,ST宏业,8.57,8.7,8.42,8.42,8.45,0.12,1.4201,386189,3322812.0
2001-09-28,'000689,ST宏业,8.45,8.6,8.2,8.41,8.44,0.01,0.1185,410024,3456974.0
2001-09-27,'000689,ST宏业,8.44,8.65,8.2,8.21,8.35,0.09,1.0778,462797,3921718.0
2001-09-26,'000689,ST宏业,8.35,8.7,8.22,8.61,8.65,-0.3,-3.4682,987701,8263213.0
2001-09-25,'000689,ST宏业,8.65,9.18,8.63,9.15,9.07,-0.42,-4.6307,405192,3589191.0
2001-09-24,'000689,ST宏业,9.07,9.23,9.03,9.03,9.09,-0.02,-0.22,184716,1683512.0
2001-09-21,'000689,ST宏业,9.09,9.28,8.95,9.07,9.2,-0.11,-1.1957,485943,4438105.0
2001-09-20,'000689,ST宏业,9.06,9.33,8.74,8.8,9.2,-0.14,-1.5217,1300028,11626950.0
2001-09-19,'000689,ST宏业,9.2,9.54,9.04,9.52,9.52,-0.32,-3.3613,822808,7582961.0
2001-09-18,'000689,ST宏业,9.52,9.6,9.18,9.18,9.17,0.35,3.8168,1171369,11050529.0
2001-09-17,'000689,ST宏业,9.17,9.42,9.02,9.02,9.49,-0.32,-3.372,2543710,23176214.0
2001-09-14,'000689,ST宏业,9.49,9.95,9.49,9.87,9.99,-0.5,-5.005,1011000,9708428.0
2001-09-13,'000689,ST宏业,9.99,10.55,9.98,10.52,10.5,-0.51,-4.8571,1396777,14291124.0
2001-09-12,'000689,ST宏业,10.5,10.79,10.36,10.36,10.9,-0.4,-3.6697,1058285,11160875.0
2001-09-11,'000689,ST宏业,10.9,11.09,10.78,10.78,10.95,-0.05,-0.4566,291886,3185668.0
2001-09-10,'000689,ST宏业,10.95,11.1,10.5,10.7,10.83,0.12,1.108,467685,5098153.0
2001-09-07,'000689,ST宏业,10.83,11.33,10.8,11.03,11.09,-0.26,-2.3445,501852,5544717.0
2001-09-06,'000689,ST宏业,11.09,11.3,11.06,11.29,11.3,-0.21,-1.8584,334577,3725694.0
2001-09-05,'000689,ST宏业,11.3,11.4,11.2,11.4,11.27,0.03,0.2662,244547,2766675.0
2001-09-04,'000689,ST宏业,11.27,11.3,11.02,11.05,11.06,0.21,1.8987,310479,3463954.0
2001-09-03,'000689,ST宏业,11.06,11.4,11.01,11.26,11.32,-0.26,-2.2968,415022,4608963.0
2001-08-31,'000689,ST宏业,11.26,11.5,11.21,11.38,11.32,-0.06,-0.53,205599,2326286.0
2001-08-30,'000689,ST宏业,11.32,11.56,11.2,11.38,11.57,-0.25,-2.1608,389552,4424879.0
2001-08-29,'000689,ST宏业,11.57,11.72,11.3,11.53,11.55,0.02,0.1732,365149,4216489.0
2001-08-28,'000689,ST宏业,11.55,11.58,10.92,11.0,11.32,0.23,2.0318,734556,8221059.0
2001-08-27,'000689,ST宏业,11.32,11.88,11.31,11.88,11.91,-0.59,-4.9538,1066127,12246793.0
2001-08-24,'000689,ST宏业,11.91,12.16,11.89,12.06,12.08,-0.17,-1.4073,769844,9267752.0
2001-08-23,'000689,ST宏业,12.08,12.3,11.57,11.72,11.82,0.26,2.1997,1304136,15718972.0
2001-08-22,'000689,ST宏业,11.82,11.9,11.51,11.88,11.9,-0.08,-0.6723,980160,11523359.0
2001-08-21,'000689,ST宏业,11.9,11.93,11.6,11.6,11.6,0.3,2.5862,797246,9398480.0
2001-08-20,'000689,ST宏业,11.6,11.65,11.4,11.41,11.46,0.14,1.2216,177387,2044225.0
2001-08-17,'000689,ST宏业,11.46,11.6,11.31,11.38,11.52,-0.06,-0.5208,370178,4236287.0
2001-08-16,'000689,ST宏业,11.52,11.92,11.51,11.68,11.66,-0.14,-1.2007,841979,9856897.0
2001-08-15,'000689,ST宏业,11.66,11.8,11.36,11.36,11.42,0.24,2.1016,490805,5727121.0
2001-08-14,'000689,ST宏业,11.42,11.78,11.3,11.71,11.71,-0.29,-2.4765,620024,7147732.0
2001-08-13,'000689,ST宏业,11.71,11.8,11.56,11.72,11.74,-0.03,-0.2555,458782,5360777.0
2001-08-10,'000689,ST宏业,11.74,11.8,11.51,11.65,11.7,0.04,0.3419,804352,9386359.0
2001-08-09,'000689,ST宏业,11.7,11.73,11.4,11.5,11.5,0.2,1.7391,588844,6840476.0
2001-08-08,'000689,ST宏业,11.5,11.63,11.18,11.18,11.3,0.2,1.7699,701986,8070144.0
2001-08-07,'000689,ST宏业,11.3,11.4,10.96,10.96,10.93,0.37,3.3852,677135,7632267.0
2001-08-06,'000689,ST宏业,10.93,11.3,10.74,11.3,11.31,-0.38,-3.3599,735366,8041943.0
2001-08-03,'000689,ST宏业,11.31,11.43,11.03,11.1,11.09,0.22,1.9838,624342,7015049.0
