日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000690,宝新能源,6.56,6.59,6.47,6.5,6.44,0.12,1.8634,8629487,56491233.51
2019-06-28,'000690,宝新能源,6.44,6.51,6.38,6.51,6.51,-0.07,-1.0753,7421935,47823742.02
2019-06-27,'000690,宝新能源,6.51,6.69,6.45,6.64,6.62,-0.11,-1.6616,14390040,94265091.35
2019-06-26,'000690,宝新能源,6.62,6.68,6.61,6.65,6.65,-0.03,-0.4511,4529010,30086673.2
2019-06-25,'000690,宝新能源,6.65,6.78,6.6,6.76,6.75,-0.1,-1.4815,6318785,42155236.9
2019-06-24,'000690,宝新能源,6.75,6.83,6.68,6.72,6.73,0.02,0.2972,6430501,43534110.07
2019-06-21,'000690,宝新能源,6.73,6.77,6.6,6.6,6.61,0.12,1.8154,8658034,58213578.65
2019-06-20,'000690,宝新能源,6.61,6.68,6.51,6.59,6.57,0.04,0.6088,7489074,49508909.86
2019-06-19,'000690,宝新能源,6.57,6.72,6.57,6.59,6.52,0.05,0.7669,6753607,44847226.13
2019-06-18,'000690,宝新能源,6.52,6.54,6.46,6.46,6.49,0.03,0.4622,3055427,19884811.38
2019-06-17,'000690,宝新能源,6.49,6.55,6.46,6.52,6.51,-0.02,-0.3072,3415948,22185534.89
2019-06-14,'000690,宝新能源,6.51,6.59,6.46,6.56,6.56,-0.05,-0.7622,6279717,40870981.78
2019-06-13,'000690,宝新能源,6.56,6.6,6.51,6.59,6.59,-0.03,-0.4552,5382954,35252437.62
2019-06-12,'000690,宝新能源,6.59,6.7,6.58,6.7,6.69,-0.1,-1.4948,4955683,32865251.97
2019-06-11,'000690,宝新能源,6.69,6.7,6.51,6.59,6.54,0.15,2.2936,7828830,51761410.39
2019-06-10,'000690,宝新能源,6.54,6.65,6.5,6.59,6.59,-0.05,-0.7587,4221877,27733079.65
2019-06-06,'000690,宝新能源,6.59,6.7,6.5,6.66,6.66,-0.07,-1.0511,7723431,50742507.66
2019-06-05,'000690,宝新能源,6.66,6.85,6.65,6.82,6.71,-0.05,-0.7452,5101966,34444620.4
2019-06-04,'000690,宝新能源,6.81,6.84,6.7,6.79,6.79,0.02,0.2946,5539733,37463081.48
2019-06-03,'000690,宝新能源,6.79,6.88,6.75,6.84,6.84,-0.05,-0.731,4713749,32056092.78
