日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000691,亚太实业,4.14,4.17,4.08,4.12,4.02,0.12,2.9851,5605561,23186320.13
2019-06-28,'000691,亚太实业,4.02,4.16,4.01,4.13,4.14,-0.12,-2.8986,3591296,14548597.11
2019-06-27,'000691,亚太实业,4.14,4.16,4.08,4.11,4.09,0.05,1.2225,4273559,17626184.49
2019-06-26,'000691,亚太实业,4.09,4.17,4.04,4.12,4.13,-0.04,-0.9685,4848959,19971051.49
2019-06-25,'000691,亚太实业,4.13,4.33,4.07,4.23,4.25,-0.12,-2.8235,9708585,40019288.82
2019-06-24,'000691,亚太实业,4.25,4.77,4.25,4.58,4.49,-0.24,-5.3452,15184370,67185922.94
2019-06-21,'000691,亚太实业,4.49,4.49,4.37,4.37,4.08,0.41,10.049,6279307,28096773.15
2019-06-20,'000691,亚太实业,4.08,4.12,3.99,4.06,4.06,0.02,0.4926,3015100,12233302.0
2019-06-19,'000691,亚太实业,4.06,4.14,4.03,4.12,4.04,0.02,0.495,3381020,13881218.6
2019-06-18,'000691,亚太实业,4.04,4.08,3.93,3.93,3.94,0.1,2.5381,3008616,12105949.14
2019-06-17,'000691,亚太实业,3.94,3.99,3.89,3.92,3.95,-0.01,-0.2532,2595114,10243606.88
2019-06-14,'000691,亚太实业,3.95,4.11,3.91,4.06,4.03,-0.08,-1.9851,3371502,13516686.26
2019-06-13,'000691,亚太实业,4.03,4.08,3.95,3.96,3.96,0.07,1.7677,3462078,13947056.13
2019-06-12,'000691,亚太实业,3.96,4.07,3.94,4.03,3.99,-0.03,-0.7519,3396202,13564641.9
2019-06-11,'000691,亚太实业,3.99,4.02,3.82,3.86,3.87,0.12,3.1008,3666892,14487182.56
2019-06-10,'000691,亚太实业,3.87,3.9,3.64,3.64,3.67,0.2,5.4496,4775202,18156448.56
2019-06-06,'000691,亚太实业,3.67,3.85,3.6,3.83,3.86,-0.19,-4.9223,3492500,13037189.0
2019-06-05,'000691,亚太实业,3.86,3.9,3.8,3.85,3.83,0.03,0.7833,2894800,11134227.0
2019-06-04,'000691,亚太实业,3.83,3.92,3.79,3.89,3.89,-0.06,-1.5424,3472600,13323062.0
2019-06-03,'000691,亚太实业,3.89,4.11,3.85,4.09,4.09,-0.2,-4.89,4851600,19187798.96
2019-05-31,'000691,亚太实业,4.09,4.16,4.02,4.08,4.08,0.01,0.2451,3012400,12363361.0
2019-05-30,'000691,亚太实业,4.08,4.16,3.98,4.15,4.16,-0.08,-1.9231,3718300,15094021.0
2019-05-29,'000691,亚太实业,4.16,4.24,4.12,4.15,4.16,0.0,0.0,4797000,20036443.0
2019-05-28,'000691,亚太实业,4.16,4.34,4.13,4.28,4.26,-0.1,-2.3474,5744620,24412431.18
2019-05-27,'000691,亚太实业,4.26,4.3,4.07,4.2,4.23,0.03,0.7092,5269757,22109420.73
2019-05-24,'000691,亚太实业,4.23,4.23,4.08,4.15,4.2,0.03,0.7143,2900401,12000377.51
2019-05-23,'000691,亚太实业,4.2,4.3,4.07,4.3,4.28,-0.08,-1.8692,4016243,16763902.04
2019-05-22,'000691,亚太实业,4.28,4.42,4.2,4.24,4.23,0.05,1.182,6194591,26607380.9
2019-05-21,'000691,亚太实业,4.23,4.24,4.03,4.03,4.08,0.15,3.6765,3459154,14418053.08
2019-05-20,'000691,亚太实业,4.08,4.11,3.93,4.1,4.11,-0.03,-0.7299,3773590,15204852.4
2019-05-17,'000691,亚太实业,4.11,4.41,4.08,4.36,4.35,-0.24,-5.5172,5599244,23726564.48
2019-05-16,'000691,亚太实业,4.35,4.35,4.29,4.3,4.28,0.07,1.6355,3364962,14544301.44
2019-05-15,'000691,亚太实业,4.28,4.3,4.22,4.22,4.2,0.08,1.9048,3318000,14158618.0
2019-05-14,'000691,亚太实业,4.2,4.26,4.16,4.2,4.22,-0.02,-0.4739,3608602,15208296.38
2019-05-13,'000691,亚太实业,4.22,4.3,4.19,4.25,4.3,-0.08,-1.8605,3860328,16382622.86
2019-05-10,'000691,亚太实业,4.3,4.33,4.14,4.3,4.16,0.14,3.3654,5499603,23279214.79
2019-05-09,'000691,亚太实业,4.16,4.35,4.13,4.17,4.2,-0.04,-0.9524,3235000,13619807.0
2019-05-08,'000691,亚太实业,4.2,4.3,4.06,4.11,4.14,0.06,1.4493,3984102,16755919.3
2019-05-07,'000691,亚太实业,4.14,4.21,4.04,4.09,4.05,0.09,2.2222,5325502,21942803.28
2019-05-06,'000691,亚太实业,4.05,4.38,3.99,4.38,4.43,-0.38,-8.5779,5832757,24113805.72
2019-04-30,'000691,亚太实业,4.43,4.44,4.18,4.25,4.26,0.17,3.9906,5062598,22144050.09
2019-04-29,'000691,亚太实业,4.26,4.71,4.26,4.71,4.73,-0.47,-9.9366,9721000,42334224.99
2019-04-26,'000691,亚太实业,4.73,4.96,4.72,4.96,4.94,-0.21,-4.251,4519600,21645401.5
2019-04-25,'000691,亚太实业,4.94,5.17,4.84,5.15,5.18,-0.24,-4.6332,4891700,24449773.0
2019-04-24,'000691,亚太实业,5.18,5.2,5.02,5.15,5.15,0.03,0.5825,4453672,22751920.92
