日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000692,惠天热电,3.17,3.19,3.11,3.14,3.08,0.09,2.9221,5180506,16356738.66
2019-06-28,'000692,惠天热电,3.08,3.14,3.04,3.12,3.12,-0.04,-1.2821,3202062,9887031.86
2019-06-27,'000692,惠天热电,3.12,3.14,3.09,3.1,3.09,0.03,0.9709,2971406,9278027.66
2019-06-26,'000692,惠天热电,3.09,3.15,3.09,3.1,3.11,-0.02,-0.6431,2813000,8750471.0
2019-06-25,'000692,惠天热电,3.11,3.15,3.08,3.15,3.12,-0.01,-0.3205,3689106,11445032.44
2019-06-24,'000692,惠天热电,3.12,3.16,3.09,3.13,3.14,-0.02,-0.6369,4016400,12535537.0
2019-06-21,'000692,惠天热电,3.14,3.15,3.07,3.08,3.04,0.1,3.2895,6525985,20369033.05
2019-06-20,'000692,惠天热电,3.04,3.05,2.99,3.01,3.01,0.03,0.9967,3638700,11011598.0
2019-06-19,'000692,惠天热电,3.01,3.05,3.0,3.0,2.96,0.05,1.6892,2920833,8818834.0
2019-06-18,'000692,惠天热电,2.96,3.0,2.94,2.97,2.97,-0.01,-0.3367,1994991,5914654.36
2019-06-17,'000692,惠天热电,2.97,3.0,2.95,2.98,2.96,0.01,0.3378,1705585,5067932.45
2019-06-14,'000692,惠天热电,2.96,3.06,2.94,3.03,3.04,-0.08,-2.6316,3092018,9268178.52
2019-06-13,'000692,惠天热电,3.04,3.07,3.0,3.07,3.0,0.04,1.3333,3023134,9171066.02
2019-06-12,'000692,惠天热电,3.0,3.06,2.99,3.04,3.04,-0.04,-1.3158,2518000,7609117.0
2019-06-11,'000692,惠天热电,3.04,3.04,2.89,2.9,2.89,0.15,5.1903,3563971,10615148.27
2019-06-10,'000692,惠天热电,2.89,2.92,2.85,2.85,2.86,0.03,1.049,1745500,5030713.0
2019-06-06,'000692,惠天热电,2.86,2.94,2.86,2.94,2.94,-0.08,-2.7211,2812100,8135221.69
2019-06-05,'000692,惠天热电,2.94,2.98,2.93,2.95,2.92,0.02,0.6849,1923033,5673609.02
2019-06-04,'000692,惠天热电,2.92,2.99,2.92,2.99,2.98,-0.06,-2.0134,2450633,7210858.69
2019-06-03,'000692,惠天热电,2.98,3.08,2.97,3.04,3.08,-0.1,-3.2468,4809826,14489982.12
2019-05-31,'000692,惠天热电,3.08,3.25,3.07,3.24,3.05,0.03,0.9836,6313824,19905721.02
2019-05-30,'000692,惠天热电,3.05,3.08,3.0,3.05,3.06,-0.01,-0.3268,3933302,11939018.74
2019-05-29,'000692,惠天热电,3.06,3.09,3.02,3.04,3.07,-0.01,-0.3257,2679727,8213478.54
2019-05-28,'000692,惠天热电,3.07,3.12,3.02,3.08,3.07,0.0,0.0,3541628,10933970.4
2019-05-27,'000692,惠天热电,3.07,3.08,2.95,2.99,2.99,0.08,2.6756,3605441,10924851.37
2019-05-24,'000692,惠天热电,2.99,3.09,2.98,3.05,3.05,-0.06,-1.9672,3326809,10018671.11
2019-05-23,'000692,惠天热电,3.05,3.1,3.01,3.06,3.1,-0.05,-1.6129,3726932,11350273.64
2019-05-22,'000692,惠天热电,3.1,3.15,3.07,3.13,3.13,-0.03,-0.9585,2766423,8605530.53
2019-05-21,'000692,惠天热电,3.13,3.16,3.06,3.11,3.08,0.05,1.6234,3284200,10251998.0
2019-05-20,'000692,惠天热电,3.08,3.16,3.01,3.1,3.13,-0.05,-1.5974,4237300,13006421.0
2019-05-17,'000692,惠天热电,3.13,3.32,3.07,3.26,3.28,-0.15,-4.5732,6189870,19961780.74
2019-05-16,'000692,惠天热电,3.28,3.3,3.22,3.24,3.22,0.06,1.8634,4368060,14238288.6
2019-05-15,'000692,惠天热电,3.22,3.25,3.16,3.16,3.16,0.06,1.8987,3294562,10601097.02
2019-05-14,'000692,惠天热电,3.16,3.23,3.15,3.17,3.19,-0.03,-0.9404,3724400,11864579.0
2019-05-13,'000692,惠天热电,3.19,3.26,3.17,3.21,3.23,-0.04,-1.2384,4135001,13264786.57
2019-05-10,'000692,惠天热电,3.23,3.24,3.09,3.15,3.16,0.07,2.2152,6950240,22097818.06
2019-05-09,'000692,惠天热电,3.16,3.23,3.01,3.01,3.09,0.07,2.2654,9427984,29928454.35
2019-05-08,'000692,惠天热电,3.09,3.13,2.97,3.05,3.09,0.0,0.0,3611311,11095451.22
2019-05-07,'000692,惠天热电,3.09,3.14,3.02,3.09,3.04,0.05,1.6447,5055533,15586439.53
2019-05-06,'000692,惠天热电,3.04,3.22,3.0,3.2,3.25,-0.21,-6.4615,7071752,21934134.56
2019-04-30,'000692,惠天热电,3.25,3.31,3.12,3.12,3.13,0.12,3.8339,6457559,21007220.65
2019-04-29,'000692,惠天热电,3.13,3.4,3.1,3.38,3.38,-0.25,-7.3964,8456679,27032242.06
2019-04-26,'000692,惠天热电,3.38,3.5,3.34,3.45,3.48,-0.1,-2.8736,5751741,19535700.72
2019-04-25,'000692,惠天热电,3.48,3.68,3.48,3.66,3.7,-0.22,-5.9459,7602542,27179422.1
2019-04-24,'000692,惠天热电,3.7,3.73,3.63,3.68,3.68,0.02,0.5435,4002702,14734886.36
2019-04-23,'000692,惠天热电,3.68,3.77,3.66,3.73,3.71,-0.03,-0.8086,5256780,19497065.22
