хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,Ёи╫╩а©,Ёи╫╩╫П╤Н
2019-07-01,'000693,╩╙тСмк,0.39,0.4,0.36,0.38,0.38,0.01,2.6316,18189227,6906842.86
2019-06-28,'000693,╩╙тСмк,0.38,0.39,0.36,0.38,0.39,-0.01,-2.5641,19910847,7517444.39
2019-06-27,'000693,╩╙тСмк,0.39,0.41,0.37,0.4,0.4,-0.01,-2.5,30231862,11760559.56
2019-06-26,'000693,╩╙тСмк,0.4,0.44,0.39,0.41,0.43,-0.03,-6.9767,55759702,22974790.8
2019-06-25,'000693,╩╙тСмк,0.43,0.45,0.37,0.37,0.41,0.02,4.878,81417533,31705590.65
2019-06-24,'000693,╩╙тСмк,0.41,0.41,0.41,0.41,0.45,-0.04,-8.8889,2303500,944435.0
2019-06-21,'000693,╩╙тСмк,0.45,0.45,0.45,0.45,0.5,-0.05,-10.0,313400,141030.0
2019-06-20,'000693,╩╙тСмк,0.5,0.5,0.5,0.5,0.56,-0.06,-10.7143,545700,272850.0
2019-06-19,'000693,╩╙тСмк,0.56,0.56,0.56,0.56,0.62,-0.06,-9.6774,332900,186424.0
2019-06-18,'000693,╩╙тСмк,0.62,0.62,0.62,0.62,0.69,-0.07,-10.1449,148100,91822.0
2019-06-17,'000693,╩╙тСмк,0.69,0.69,0.69,0.69,0.77,-0.08,-10.3896,94300,65067.0
2019-06-14,'000693,╩╙тСмк,0.77,0.77,0.77,0.77,0.85,-0.08,-9.4118,67900,52283.0
2019-06-13,'000693,╩╙тСмк,0.85,0.85,0.85,0.85,0.94,-0.09,-9.5745,25400,21590.0
2019-06-12,'000693,╩╙тСмк,0.94,0.94,0.94,0.94,1.04,-0.1,-9.6154,37200,34968.0
2019-06-11,'000693,╩╙тСмк,1.04,1.04,1.04,1.04,1.15,-0.11,-9.5652,2600,2704.0
2019-06-10,'000693,╩╙тСмк,1.15,1.15,1.15,1.15,1.28,-0.13,-10.1563,12600,14490.0
2019-06-06,'000693,╩╙тСмк,1.28,1.28,1.28,1.28,1.42,-0.14,-9.8592,4400,5632.0
2019-06-05,'000693,╩╙тСмк,1.42,1.42,1.42,1.42,1.58,-0.16,-10.1266,900,1278.0
2019-06-04,'000693,╩╙тСмк,1.58,1.58,1.58,1.58,1.76,-0.18,-10.2273,700,1106.0
2019-06-03,'000693,╩╙тСмк,1.76,1.76,1.76,1.76,1.95,-0.19,-9.7436,2300,4048.0
2019-05-31,'000693,╩╙тСмк,1.95,1.95,1.95,1.95,2.17,-0.22,-10.1382,200,390.0
2019-05-30,'000693,╩╙тСмк,2.17,2.17,2.17,2.17,2.41,-0.24,-9.9585,1100,2387.0
2019-05-29,'000693,╩╙тСмк,2.41,2.41,2.41,2.41,2.68,-0.27,-10.0746,400,964.0
2019-05-28,'000693,╩╙тСмк,2.68,2.68,2.68,2.68,2.98,-0.3,-10.0671,300,804.0
2019-05-27,'000693,╩╙тСмк,2.98,2.98,2.98,2.98,3.31,-0.33,-9.9698,300,894.0
2018-07-12,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-07-11,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-07-10,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-07-09,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-07-06,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-07-05,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-07-04,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-07-03,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-07-02,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-29,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-28,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-27,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-26,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-25,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-22,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-21,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-20,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-19,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-15,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-14,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-13,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-12,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-11,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-08,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-07,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-06,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-05,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-04,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-06-01,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-31,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-30,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-29,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-28,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-25,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-24,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-23,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-22,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-21,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-18,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-17,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-16,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-15,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-14,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-11,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-10,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-09,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-08,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-07,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-04,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-03,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-05-02,'000693,*ST╩╙тС,0.0,0.0,0.0,0.0,3.31,None,None,0,0.0
2018-04-27,'000693,*ST╩╙тС,3.31,3.31,3.31,3.31,3.48,-0.17,-4.8851,3038300,10056773.0
2018-04-26,'000693,*ST╩╙тС,3.48,3.48,3.48,3.48,3.66,-0.18,-4.918,111600,388368.0
2018-04-25,'000693,*ST╩╙тС,3.66,3.66,3.66,3.66,3.85,-0.19,-4.9351,166300,608658.0
2018-04-24,'000693,*ST╩╙тС,3.85,3.85,3.85,3.85,4.05,-0.2,-4.9383,189300,728805.0
2018-04-23,'000693,*ST╩╙тС,4.05,4.05,4.05,4.05,4.26,-0.21,-4.9296,80000,324000.0
2018-04-20,'000693,*ST╩╙тС,4.26,4.26,4.26,4.26,4.48,-0.22,-4.9107,137900,587454.0
2018-04-19,'000693,*ST╩╙тС,4.48,4.48,4.48,4.48,4.72,-0.24,-5.0847,217500,974400.0
2018-04-18,'000693,*ST╩╙тС,4.72,4.72,4.72,4.72,4.97,-0.25,-5.0302,39300,185496.0
2018-04-17,'000693,*ST╩╙тС,4.97,4.97,4.97,4.97,5.23,-0.26,-4.9713,55100,273847.0
2018-04-16,'000693,*ST╩╙тС,5.23,5.23,5.23,5.23,5.51,-0.28,-5.0817,54500,285035.0
2018-04-13,'000693,*ST╩╙тС,5.51,5.51,5.51,5.51,5.8,-0.29,-5.0,75800,417658.0
2018-04-12,'000693,*ST╩╙тС,5.8,5.8,5.8,5.8,6.11,-0.31,-5.0736,483800,2806040.0
2018-04-11,'000693,*ST╩╙тС,6.11,6.11,6.11,6.11,6.43,-0.32,-4.9767,86600,529126.0
2018-04-10,'000693,*ST╩╙тС,6.43,6.43,6.43,6.43,6.77,-0.34,-5.0222,54800,352364.0
2018-04-09,'000693,*ST╩╙тС,6.77,6.77,6.77,6.77,7.13,-0.36,-5.0491,217600,1473152.0
2018-04-04,'000693,*ST╩╙тС,7.13,7.13,7.13,7.13,7.5,-0.37,-4.9333,44200,315146.0
2018-04-03,'000693,*ST╩╙тС,7.5,7.5,7.5,7.5,7.89,-0.39,-4.943,69400,520500.0
2018-04-02,'000693,*ST╩╙тС,7.89,7.89,7.89,7.89,8.3,-0.41,-4.9398,119600,943644.0
2018-03-30,'000693,*ST╩╙тС,8.3,8.3,8.3,8.3,8.74,-0.44,-5.0343,106600,884780.0
2018-03-29,'000693,*ST╩╙тС,8.74,8.74,8.74,8.74,9.2,-0.46,-5.0,64900,567226.0
2018-03-28,'000693,*ST╩╙тС,9.2,9.2,9.2,9.2,9.68,-0.48,-4.9587,84200,774640.0
2018-03-27,'000693,*ST╩╙тС,9.68,9.68,9.68,9.68,10.19,-0.51,-5.0049,94100,910888.0
2018-03-26,'000693,*ST╩╙тС,10.19,10.19,10.19,10.19,10.73,-0.54,-5.0326,57800,588982.0
2018-03-23,'000693,*ST╩╙тС,10.73,10.73,10.73,10.73,11.29,-0.56,-4.9601,39900,428127.0
2018-03-22,'000693,*ST╩╙тС,11.29,11.29,11.29,11.29,11.88,-0.59,-4.9663,90900,1026261.0
2018-03-21,'000693,*ST╩╙тС,11.88,11.88,11.88,11.88,12.5,-0.62,-4.96,186000,2209680.0
