日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000695,滨海能源,8.96,9.05,8.7,8.85,8.75,0.21,2.4,1739510,15492660.43
2019-06-28,'000695,滨海能源,8.75,8.85,8.62,8.83,8.8,-0.05,-0.5682,1409800,12312787.0
2019-06-27,'000695,滨海能源,8.8,9.05,8.75,8.8,8.8,0.0,0.0,1467972,13067854.06
2019-06-26,'000695,滨海能源,8.8,8.86,8.55,8.7,8.66,0.14,1.6166,1287700,11272563.0
2019-06-25,'000695,滨海能源,8.66,9.0,8.6,9.0,8.88,-0.22,-2.4775,1550000,13487412.0
2019-06-24,'000695,滨海能源,8.88,9.28,8.73,9.05,9.04,-0.16,-1.7699,2080796,18555164.88
2019-06-21,'000695,滨海能源,9.04,9.07,8.85,8.85,8.78,0.26,2.9613,1912833,17199878.26
2019-06-20,'000695,滨海能源,8.78,8.88,8.58,8.78,8.76,0.02,0.2283,1940942,16984920.74
2019-06-19,'000695,滨海能源,8.76,8.89,8.43,8.49,8.33,0.43,5.1621,2629277,22898955.29
2019-06-18,'000695,滨海能源,8.33,8.62,8.28,8.53,8.59,-0.26,-3.0268,1941470,16297888.28
2019-06-17,'000695,滨海能源,8.59,8.64,8.31,8.31,8.4,0.19,2.2619,1138015,9718580.82
2019-06-14,'000695,滨海能源,8.4,8.69,8.36,8.69,8.57,-0.17,-1.9837,1430442,12142418.3
2019-06-13,'000695,滨海能源,8.57,8.63,8.38,8.56,8.45,0.12,1.4201,1593316,13592739.8
2019-06-12,'000695,滨海能源,8.45,8.64,8.42,8.58,8.55,-0.1,-1.1696,1121257,9573844.55
2019-06-11,'000695,滨海能源,8.55,8.59,8.11,8.14,8.14,0.41,5.0369,2317924,19554519.6
2019-06-10,'000695,滨海能源,8.14,8.29,8.02,8.2,8.19,-0.05,-0.6105,1247572,10237312.98
2019-06-06,'000695,滨海能源,8.19,8.71,8.1,8.71,8.73,-0.54,-6.1856,2443065,20290860.17
2019-06-05,'000695,滨海能源,8.73,8.79,8.17,8.2,8.17,0.56,6.8543,3381547,28817201.69
