日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000697,炼石航空,11.46,11.56,11.37,11.4,11.22,0.24,2.139,4138231,47313462.64
2019-06-28,'000697,炼石航空,11.22,11.55,11.15,11.4,11.46,-0.24,-2.0942,4424900,49923653.0
2019-06-27,'000697,炼石航空,11.46,11.56,11.41,11.41,11.44,0.02,0.1748,2950137,33916642.89
2019-06-26,'000697,炼石航空,11.44,11.53,11.36,11.5,11.6,-0.16,-1.3793,3816724,43594984.6
2019-06-25,'000697,炼石航空,11.6,11.63,11.35,11.58,11.51,0.09,0.7819,4017600,46198159.68
2019-06-24,'000697,炼石航空,11.51,11.75,11.46,11.65,11.6,-0.09,-0.7759,3785501,43854575.53
2019-06-21,'000697,炼石航空,11.6,11.79,11.53,11.55,11.52,0.08,0.6944,5192855,60409317.45
2019-06-20,'000697,炼石航空,11.52,11.56,11.3,11.35,11.37,0.15,1.3193,5266200,60390819.69
2019-06-19,'000697,炼石航空,11.37,11.47,11.3,11.36,11.2,0.17,1.5179,5489871,62557846.4
2019-06-18,'000697,炼石航空,11.2,11.56,11.09,11.51,11.65,-0.45,-3.8627,7869816,88749234.48
2019-06-17,'000697,炼石航空,11.65,11.86,11.44,11.69,11.45,0.2,1.7467,8452613,98404078.76
2019-06-14,'000697,炼石航空,11.45,11.7,11.45,11.51,11.47,-0.02,-0.1744,7112693,82317429.65
2019-06-13,'000697,炼石航空,11.47,11.65,11.35,11.48,11.51,-0.04,-0.3475,6357701,73005418.85
2019-06-12,'000697,炼石航空,11.51,11.65,11.08,11.1,11.16,0.35,3.1362,10133100,116347060.94
2019-06-11,'000697,炼石航空,11.16,11.17,10.65,10.65,10.73,0.43,4.0075,5981451,65482356.31
2019-06-10,'000697,炼石航空,10.73,10.85,10.62,10.66,10.66,0.07,0.6567,2018267,21708964.73
2019-06-06,'000697,炼石航空,10.66,10.96,10.58,10.91,10.91,-0.25,-2.2915,3422318,36709843.7
2019-06-05,'000697,炼石航空,10.91,11.18,10.85,11.09,11.0,-0.09,-0.8182,3776370,41389585.7
2019-06-04,'000697,炼石航空,11.0,11.21,10.86,11.17,11.16,-0.16,-1.4337,5109994,56359532.6
2019-06-03,'000697,炼石航空,11.16,11.66,11.11,11.58,11.55,-0.39,-3.3766,6221390,70392120.76
2019-05-31,'000697,炼石航空,11.55,11.76,11.33,11.37,11.44,0.11,0.9615,7522274,87210377.22
2019-05-30,'000697,炼石航空,11.44,11.86,11.07,11.07,11.17,0.27,2.4172,9519746,109538068.83
2019-05-29,'000697,炼石航空,11.17,11.47,11.0,11.0,11.0,0.17,1.5455,5941420,66956850.4
2019-05-28,'000697,炼石航空,11.0,11.29,10.91,11.16,11.16,-0.16,-1.4337,3846754,42817824.84
2019-05-27,'000697,炼石航空,11.16,11.17,10.82,10.87,10.87,0.29,2.6679,2963274,32708962.09
2019-05-24,'000697,炼石航空,10.87,11.09,10.8,10.88,10.98,-0.11,-1.0018,3671301,40055779.8
2019-05-23,'000697,炼石航空,10.98,11.39,10.9,11.39,11.34,-0.36,-3.1746,5924301,65808856.1
2019-05-22,'000697,炼石航空,11.34,11.77,11.28,11.65,11.77,-0.43,-3.6534,6664873,76630275.01
2019-05-21,'000697,炼石航空,11.77,11.95,11.35,11.44,11.29,0.48,4.2516,10451972,121593175.32
2019-05-20,'000697,炼石航空,11.29,11.45,10.8,11.25,11.25,0.04,0.3556,7445239,82803679.82
2019-05-17,'000697,炼石航空,11.25,12.03,11.19,12.03,12.27,-1.02,-8.313,15338351,177451740.1
2019-05-16,'000697,炼石航空,12.27,12.27,11.06,11.13,11.15,1.12,10.0448,17483942,206750656.52
2019-05-15,'000697,炼石航空,11.15,11.2,11.05,11.05,11.01,0.14,1.2716,3447100,38321411.0
2019-05-14,'000697,炼石航空,11.01,11.25,10.77,11.0,11.08,-0.07,-0.6318,3893200,43092118.0
2019-05-13,'000697,炼石航空,11.08,11.22,11.01,11.2,11.25,-0.17,-1.5111,3986472,44189853.6
2019-05-10,'000697,炼石航空,11.25,11.39,10.78,10.8,10.74,0.51,4.7486,7615108,84742938.14
2019-05-09,'000697,炼石航空,10.74,11.08,10.52,10.91,10.91,-0.17,-1.5582,3596100,39170227.0
2019-05-08,'000697,炼石航空,10.91,11.09,10.63,10.68,10.94,-0.03,-0.2742,3691324,40271845.81
2019-05-07,'000697,炼石航空,10.94,11.07,10.7,10.84,10.83,0.11,1.0157,4863587,52915791.3
2019-05-06,'000697,炼石航空,10.83,11.31,10.58,11.3,11.63,-0.8,-6.8788,7569751,83182989.03
2019-04-30,'000697,炼石航空,11.63,11.73,11.34,11.37,11.37,0.26,2.2867,4659735,53835434.7
2019-04-29,'000697,炼石航空,11.37,12.18,11.33,12.18,12.2,-0.83,-6.8033,7094943,82317076.96
2019-04-26,'000697,炼石航空,12.2,12.49,12.19,12.41,12.42,-0.22,-1.7713,3910397,48193225.47
2019-04-25,'000697,炼石航空,12.42,13.04,12.4,13.03,13.0,-0.58,-4.4615,4510703,57394651.2
2019-04-24,'000697,炼石航空,13.0,13.15,12.81,12.99,12.99,0.01,0.077,3793501,49190947.68
2019-04-23,'000697,炼石航空,12.99,13.44,12.88,13.44,13.38,-0.39,-2.9148,6086767,79478692.23
2019-04-22,'000697,炼石航空,13.38,13.71,13.34,13.48,13.56,-0.18,-1.3274,4717211,63536401.2
2019-04-19,'000697,炼石航空,13.56,13.75,13.45,13.69,13.63,-0.07,-0.5136,4687389,63588536.83
