ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2006-05-12,'000699,*ST ¼ÑÖ½,0.0,0.0,0.0,0.0,0.81,None,None,0,0.0
2006-05-11,'000699,*ST ¼ÑÖ½,0.0,0.0,0.0,0.0,0.81,None,None,0,0.0
2006-05-10,'000699,*ST ¼ÑÖ½,0.0,0.0,0.0,0.0,0.81,None,None,0,0.0
2006-05-09,'000699,*ST ¼ÑÖ½,0.0,0.0,0.0,0.0,0.81,None,None,0,0.0
2006-05-08,'000699,*ST ¼ÑÖ½,0.0,0.0,0.0,0.0,0.81,None,None,0,0.0
2006-04-28,'000699,*ST ¼ÑÖ½,0.81,0.83,0.78,0.82,0.8,0.01,1.25,4266900,3461434.88
2006-04-27,'000699,*ST ¼ÑÖ½,0.8,0.8,0.72,0.77,0.76,0.04,5.2632,4033768,3099744.12
2006-04-26,'000699,*ST ¼ÑÖ½,0.76,0.76,0.69,0.69,0.72,0.04,5.5556,3947207,2978533.22
2006-04-25,'000699,*ST ¼ÑÖ½,0.72,0.74,0.72,0.72,0.76,-0.04,-5.2632,2647899,1910671.08
2006-04-24,'000699,*ST ¼ÑÖ½,0.76,0.79,0.76,0.79,0.8,-0.04,-5.0,1871000,1430243.43
2006-04-21,'000699,*ST ¼ÑÖ½,0.8,0.82,0.78,0.79,0.82,-0.02,-2.439,3989887,3143189.92
2006-04-20,'000699,*ST ¼ÑÖ½,0.82,0.85,0.82,0.85,0.86,-0.04,-4.6512,1934200,1590093.0
2006-04-19,'000699,*ST ¼ÑÖ½,0.86,0.91,0.86,0.9,0.91,-0.05,-5.4945,2957840,2579424.2
2006-04-18,'000699,*ST ¼ÑÖ½,0.91,0.91,0.88,0.89,0.89,0.02,2.2472,2064428,1855181.4
2006-04-17,'000699,*ST ¼ÑÖ½,0.89,0.91,0.88,0.91,0.91,-0.02,-2.1978,1753095,1566158.55
2006-04-14,'000699,*ST ¼ÑÖ½,0.91,0.92,0.9,0.91,0.9,0.01,1.1111,2438950,2220736.26
2006-04-13,'000699,*ST ¼ÑÖ½,0.9,0.93,0.88,0.93,0.93,-0.03,-3.2258,3795346,3411635.34
2006-04-12,'000699,*ST ¼ÑÖ½,0.93,0.93,0.9,0.92,0.93,0.0,0.0,3849093,3523707.23
2006-04-11,'000699,*ST ¼ÑÖ½,0.93,0.94,0.89,0.91,0.91,0.02,2.1978,3203149,2940800.26
2006-04-10,'000699,*ST ¼ÑÖ½,0.91,0.92,0.87,0.89,0.89,0.02,2.2472,3543195,3176060.67
2006-04-07,'000699,*ST ¼ÑÖ½,0.89,0.9,0.87,0.9,0.9,-0.01,-1.1111,3519732,3113897.25
2006-04-06,'000699,*ST ¼ÑÖ½,0.9,0.94,0.88,0.93,0.93,-0.03,-3.2258,4357668,3944521.44
2006-04-05,'000699,*ST ¼ÑÖ½,0.93,0.94,0.91,0.91,0.93,0.0,0.0,2938130,2725961.6
2006-04-04,'000699,*ST ¼ÑÖ½,0.93,0.94,0.9,0.93,0.95,-0.02,-2.1053,5886956,5352198.88
2006-04-03,'000699,*ST ¼ÑÖ½,0.95,0.99,0.95,0.99,1.0,-0.05,-5.0,3461600,3319481.23
2006-03-31,'000699,*ST ¼ÑÖ½,1.0,1.02,0.99,1.01,1.02,-0.02,-1.9608,1857356,1856532.44
2006-03-30,'000699,*ST ¼ÑÖ½,1.02,1.04,0.99,1.0,1.0,0.02,2.0,3541180,3611701.3
2006-03-29,'000699,*ST ¼ÑÖ½,1.0,1.01,0.98,1.01,1.01,-0.01,-0.9901,2756755,2735824.64
2006-03-28,'000699,*ST ¼ÑÖ½,1.01,1.02,0.99,1.01,1.02,-0.01,-0.9804,2071157,2078134.0
2006-03-27,'000699,*ST ¼ÑÖ½,1.02,1.03,0.99,1.03,1.03,-0.01,-0.9709,4550820,4583945.3
2006-03-24,'000699,*ST ¼ÑÖ½,1.03,1.03,1.01,1.02,1.02,0.01,0.9804,2365890,2415608.0
2006-03-23,'000699,*ST ¼ÑÖ½,1.02,1.04,1.01,1.03,1.03,-0.01,-0.9709,2520372,2575891.46
2006-03-22,'000699,*ST ¼ÑÖ½,1.03,1.04,1.01,1.03,1.03,0.0,0.0,2589608,2643446.98
2006-03-21,'000699,*ST ¼ÑÖ½,1.03,1.06,1.02,1.04,1.05,-0.02,-1.9048,2067400,2149432.0
2006-03-20,'000699,*ST ¼ÑÖ½,1.05,1.06,1.03,1.04,1.05,0.0,0.0,1823496,1900547.84
2006-03-17,'000699,*ST ¼ÑÖ½,1.05,1.05,1.02,1.04,1.05,0.0,0.0,2604678,2693380.86
2006-03-16,'000699,*ST ¼ÑÖ½,1.05,1.09,1.05,1.08,1.1,-0.05,-4.5455,3068800,3240175.0
2006-03-15,'000699,*ST ¼ÑÖ½,1.1,1.13,1.07,1.08,1.08,0.02,1.8519,2602600,2872499.53
