日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000700,模塑科技,3.87,3.87,3.81,3.83,3.78,0.09,2.381,6725171,25871999.95
2019-06-28,'000700,模塑科技,3.78,3.84,3.75,3.84,3.83,-0.05,-1.3055,3946945,14955710.72
2019-06-27,'000700,模塑科技,3.83,3.92,3.81,3.88,3.87,-0.04,-1.0336,5727500,22121684.0
2019-06-26,'000700,模塑科技,3.87,3.87,3.76,3.79,3.81,0.06,1.5748,4103600,15754112.34
2019-06-25,'000700,模塑科技,3.81,3.88,3.76,3.88,3.88,-0.07,-1.8041,4429182,16850471.79
2019-06-24,'000700,模塑科技,3.88,3.89,3.8,3.85,3.84,0.04,1.0417,5469301,21041133.99
2019-06-21,'000700,模塑科技,3.84,3.87,3.79,3.79,3.78,0.06,1.5873,6355316,24407238.44
2019-06-20,'000700,模塑科技,3.78,3.82,3.72,3.75,3.74,0.04,1.0695,6087047,22951317.42
2019-06-19,'000700,模塑科技,3.74,3.77,3.71,3.71,3.67,0.07,1.9074,4912438,18394487.43
2019-06-18,'000700,模塑科技,3.67,3.72,3.63,3.64,3.65,0.02,0.5479,3786698,13881109.86
2019-06-17,'000700,模塑科技,3.65,3.69,3.62,3.69,3.69,-0.04,-1.084,3671349,13398350.36
2019-06-14,'000700,模塑科技,3.69,3.8,3.66,3.79,3.8,-0.11,-2.8947,3909600,14555128.0
2019-06-13,'000700,模塑科技,3.8,3.81,3.72,3.77,3.79,0.01,0.2639,4815703,18172372.31
2019-06-12,'000700,模塑科技,3.79,3.86,3.72,3.73,3.75,0.04,1.0667,5270600,20024519.0
2019-06-11,'000700,模塑科技,3.75,3.77,3.59,3.6,3.59,0.16,4.4568,6217820,23036489.0
2019-06-10,'000700,模塑科技,3.59,3.62,3.54,3.54,3.55,0.04,1.1268,3716700,13319193.0
2019-06-06,'000700,模塑科技,3.55,3.7,3.5,3.67,3.7,-0.15,-4.0541,6489423,23184971.19
2019-06-05,'000700,模塑科技,3.7,3.76,3.66,3.72,3.68,0.02,0.5435,4251100,15754177.0
2019-06-04,'000700,模塑科技,3.68,3.75,3.64,3.71,3.71,-0.03,-0.8086,3897304,14401598.82
2019-06-03,'000700,模塑科技,3.71,3.81,3.67,3.8,3.79,-0.08,-2.1108,5027500,18773530.0
