日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000701,厦门信达,6.34,6.36,6.2,6.22,6.14,0.2,3.2573,5528523,34832597.96
2019-06-28,'000701,厦门信达,6.14,6.36,6.0,6.36,6.34,-0.2,-3.1546,5563062,34224570.04
2019-06-27,'000701,厦门信达,6.34,6.51,6.3,6.39,6.43,-0.09,-1.3997,5164259,32990870.25
2019-06-26,'000701,厦门信达,6.43,6.5,6.22,6.28,6.28,0.15,2.3885,5940075,37876506.74
2019-06-25,'000701,厦门信达,6.28,6.35,6.17,6.32,6.35,-0.07,-1.1024,2930749,18338753.8
2019-06-24,'000701,厦门信达,6.35,6.39,6.29,6.34,6.33,0.02,0.316,2710143,17169893.3
2019-06-21,'000701,厦门信达,6.33,6.38,6.26,6.28,6.24,0.09,1.4423,4688766,29671221.14
2019-06-20,'000701,厦门信达,6.24,6.25,6.09,6.16,6.16,0.08,1.2987,4215985,26117156.07
2019-06-19,'000701,厦门信达,6.16,6.22,6.14,6.17,6.04,0.12,1.9868,4075588,25182407.83
2019-06-18,'000701,厦门信达,6.04,6.14,6.01,6.11,6.1,-0.06,-0.9836,2239411,13580891.11
2019-06-17,'000701,厦门信达,6.1,6.15,6.05,6.13,6.05,0.05,0.8264,2387732,14551022.07
2019-06-14,'000701,厦门信达,6.05,6.27,6.02,6.25,6.25,-0.2,-3.2,3049251,18751775.66
2019-06-13,'000701,厦门信达,6.25,6.27,6.12,6.14,6.15,0.1,1.626,3172695,19707609.68
2019-06-12,'000701,厦门信达,6.15,6.24,6.11,6.14,6.16,-0.01,-0.1623,3211092,19847533.88
2019-06-11,'000701,厦门信达,6.16,6.18,5.93,5.93,5.91,0.25,4.2301,3711250,22541437.79
2019-06-10,'000701,厦门信达,5.91,5.97,5.82,5.82,5.82,0.09,1.5464,2851096,16820008.4
2019-06-06,'000701,厦门信达,5.82,6.04,5.8,6.02,6.06,-0.24,-3.9604,3830266,22567143.38
2019-06-05,'000701,厦门信达,6.06,6.17,6.01,6.16,6.13,-0.07,-1.1419,3338915,20328401.58
2019-06-04,'000701,厦门信达,6.13,6.27,6.06,6.14,6.09,0.04,0.6568,3373330,20661187.6
2019-06-03,'000701,厦门信达,6.09,6.31,6.05,6.3,6.22,-0.13,-2.09,5047316,31199854.37
2019-05-31,'000701,厦门信达,6.22,6.43,6.21,6.3,6.27,-0.05,-0.7974,4308699,27221381.79
2019-05-30,'000701,厦门信达,6.27,6.49,6.24,6.44,6.44,-0.17,-2.6398,4284700,27064689.01
2019-05-29,'000701,厦门信达,6.44,6.59,6.38,6.39,6.38,0.06,0.9404,5935584,38460083.72
2019-05-28,'000701,厦门信达,6.38,6.48,6.34,6.39,6.4,-0.02,-0.3125,3498534,22458448.73
