日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000702,正虹科技,6.34,6.37,6.2,6.28,6.2,0.14,2.2581,7505050,47272885.91
2019-06-28,'000702,正虹科技,6.2,6.38,6.1,6.37,6.38,-0.18,-2.8213,6616392,41025993.87
2019-06-27,'000702,正虹科技,6.38,6.42,6.3,6.37,6.36,0.02,0.3145,5672100,36044759.14
2019-06-26,'000702,正虹科技,6.36,6.41,6.27,6.34,6.34,0.02,0.3155,4456843,28257175.47
2019-06-25,'000702,正虹科技,6.34,6.48,6.24,6.48,6.48,-0.14,-2.1605,6639071,42054710.48
2019-06-24,'000702,正虹科技,6.48,6.48,6.37,6.46,6.45,0.03,0.4651,9516030,61190892.5
2019-06-21,'000702,正虹科技,6.45,6.53,6.36,6.47,6.37,0.08,1.2559,10590406,68247803.63
2019-06-20,'000702,正虹科技,6.37,6.46,6.19,6.34,6.35,0.02,0.315,8794844,55586667.08
2019-06-19,'000702,正虹科技,6.35,6.49,6.32,6.41,6.32,0.03,0.4747,8180220,51976164.8
2019-06-18,'000702,正虹科技,6.32,6.41,6.18,6.25,6.2,0.12,1.9355,8756384,55075427.64
2019-06-17,'000702,正虹科技,6.2,6.22,6.1,6.18,6.17,0.03,0.4862,5343889,32974339.88
2019-06-14,'000702,正虹科技,6.17,6.45,6.11,6.45,6.4,-0.23,-3.5938,8449754,52746163.36
2019-06-13,'000702,正虹科技,6.4,6.43,6.27,6.35,6.37,0.03,0.471,8505966,54072851.2
2019-06-12,'000702,正虹科技,6.37,6.44,6.3,6.34,6.34,0.03,0.4732,8638656,54869653.92
2019-06-11,'000702,正虹科技,6.34,6.38,6.0,6.05,6.05,0.29,4.7934,9091277,56704847.1
2019-06-10,'000702,正虹科技,6.05,6.05,5.88,6.02,5.99,0.06,1.0017,6758958,40480596.99
2019-06-06,'000702,正虹科技,5.99,6.33,5.92,6.27,6.3,-0.31,-4.9206,11041020,66758816.0
2019-06-05,'000702,正虹科技,6.3,6.46,6.25,6.28,6.26,0.04,0.639,8729214,55339058.34
2019-06-04,'000702,正虹科技,6.26,6.59,6.17,6.49,6.45,-0.19,-2.9457,9986098,62815509.83
2019-06-03,'000702,正虹科技,6.45,6.83,6.4,6.71,6.66,-0.21,-3.1532,11298941,74940146.51
2019-05-31,'000702,正虹科技,6.66,6.76,6.53,6.74,6.74,-0.08,-1.1869,11502584,76497536.92
2019-05-30,'000702,正虹科技,6.74,6.8,6.43,6.67,6.6,0.14,2.1212,12605703,83518305.69
2019-05-29,'000702,正虹科技,6.6,6.75,6.57,6.59,6.61,-0.01,-0.1513,10328084,68532609.76
2019-05-28,'000702,正虹科技,6.61,6.85,6.52,6.57,6.47,0.14,2.1638,18574984,123562717.84
2019-05-27,'000702,正虹科技,6.47,6.68,6.31,6.31,6.25,0.22,3.52,14507471,94132753.4
2019-05-24,'000702,正虹科技,6.25,6.36,6.16,6.21,6.21,0.04,0.6441,13220850,83054202.04
2019-05-23,'000702,正虹科技,6.21,6.58,6.14,6.55,6.56,-0.35,-5.3354,12636833,79750845.84
2019-05-22,'000702,正虹科技,6.56,6.7,6.42,6.57,6.63,-0.07,-1.0558,11826314,77459059.9
2019-05-21,'000702,正虹科技,6.63,6.69,6.34,6.36,6.45,0.18,2.7907,12690440,83172533.83
2019-05-20,'000702,正虹科技,6.45,6.84,6.18,6.72,6.87,-0.42,-6.1135,20425888,129383875.99
2019-05-17,'000702,正虹科技,6.87,7.25,6.72,7.08,7.12,-0.25,-3.5112,24959669,176016598.98
2019-05-16,'000702,正虹科技,7.12,7.35,7.04,7.16,7.15,-0.03,-0.4196,22847618,164026448.41
2019-05-15,'000702,正虹科技,7.15,7.18,7.0,7.15,7.04,0.11,1.5625,18172766,128910133.93
2019-05-14,'000702,正虹科技,7.04,7.27,6.91,6.92,7.02,0.02,0.2849,18059937,128184040.79
2019-05-13,'000702,正虹科技,7.02,7.19,6.95,7.15,7.34,-0.32,-4.3597,19236245,135599340.47
2019-05-10,'000702,正虹科技,7.34,7.37,6.93,7.05,7.02,0.32,4.5584,30337941,218420740.33
2019-05-09,'000702,正虹科技,7.02,7.28,6.84,6.84,6.91,0.11,1.5919,21417189,150039267.33
2019-05-08,'000702,正虹科技,6.91,7.48,6.9,7.44,7.65,-0.74,-9.6732,33705177,239175017.21
2019-05-07,'000702,正虹科技,7.65,8.22,7.35,8.03,7.8,-0.15,-1.9231,33844660,262395436.4
2019-05-06,'000702,正虹科技,7.8,8.54,7.68,7.75,8.1,-0.3,-3.7037,40674280,329118768.5
2019-04-30,'000702,正虹科技,8.1,8.4,7.27,7.59,7.87,0.23,2.9225,47057847,373717947.88
2019-04-29,'000702,正虹科技,7.87,8.34,7.87,8.34,8.74,-0.87,-9.9542,44191885,350895799.76
2019-04-26,'000702,正虹科技,8.74,9.45,8.6,9.0,9.56,-0.82,-8.5774,69711820,620583417.08
2019-04-25,'000702,正虹科技,9.56,10.09,8.5,8.7,9.17,0.39,4.253,100656978,976894634.97
2019-04-24,'000702,正虹科技,9.17,9.17,8.32,8.39,8.34,0.83,9.952,70068177,621378162.97
2019-04-23,'000702,正虹科技,8.34,8.34,8.06,8.34,7.58,0.76,10.0264,50036186,416228580.58
2019-04-22,'000702,正虹科技,7.58,7.58,6.88,6.89,6.89,0.69,10.0145,19235573,142241930.1
2019-04-19,'000702,正虹科技,6.89,6.95,6.76,6.81,6.84,0.05,0.731,5240090,35982418.6
2019-04-18,'000702,正虹科技,6.84,7.02,6.76,6.85,6.83,0.01,0.1464,7877181,54421590.22
2019-04-17,'000702,正虹科技,6.83,6.88,6.65,6.72,6.71,0.12,1.7884,7882635,53477766.03
2019-04-16,'000702,正虹科技,6.71,6.71,6.42,6.66,6.67,0.04,0.5997,7382828,48416605.96
2019-04-15,'000702,正虹科技,6.67,7.0,6.64,6.93,6.94,-0.27,-3.8905,10260820,70145648.27
2019-04-12,'000702,正虹科技,6.94,7.13,6.79,7.05,7.19,-0.25,-3.4771,15367982,106742362.3
2019-04-11,'000702,正虹科技,7.19,7.27,6.98,7.01,7.01,0.18,2.5678,14672543,104786077.21
2019-04-10,'000702,正虹科技,7.01,7.06,6.89,6.95,7.02,-0.01,-0.1425,6228284,43496234.36
2019-04-09,'000702,正虹科技,7.02,7.04,6.88,6.9,6.98,0.04,0.5731,7241387,50524697.01
2019-04-08,'000702,正虹科技,6.98,7.2,6.89,7.08,7.08,-0.1,-1.4124,9985518,70558841.11
2019-04-04,'000702,正虹科技,7.08,7.29,6.96,7.07,7.13,-0.05,-0.7013,16545345,117076107.71
2019-04-03,'000702,正虹科技,7.13,7.14,6.98,7.02,7.05,0.08,1.1348,9363060,66262608.81
2019-04-02,'000702,正虹科技,7.05,7.08,6.96,7.02,6.94,0.11,1.585,12270312,86143791.26
2019-04-01,'000702,正虹科技,6.94,6.96,6.73,6.73,6.69,0.25,3.7369,9706574,66603367.2
2019-03-29,'000702,正虹科技,6.69,6.71,6.47,6.47,6.5,0.19,2.9231,6214183,41258088.78
2019-03-28,'000702,正虹科技,6.5,6.59,6.47,6.47,6.55,-0.05,-0.7634,4377275,28575145.53
2019-03-27,'000702,正虹科技,6.55,6.73,6.45,6.68,6.66,-0.11,-1.6517,6906313,45174848.32
2019-03-26,'000702,正虹科技,6.66,6.93,6.58,6.69,6.67,-0.01,-0.1499,8706195,58812371.26
2019-03-25,'000702,正虹科技,6.67,6.8,6.58,6.67,6.82,-0.15,-2.1994,5984263,40140974.93
2019-03-22,'000702,正虹科技,6.82,6.84,6.67,6.76,6.76,0.06,0.8876,8786390,59319505.0
2019-03-21,'000702,正虹科技,6.76,6.76,6.6,6.62,6.64,0.12,1.8072,8750255,58572484.03
2019-03-20,'000702,正虹科技,6.64,6.72,6.51,6.7,6.69,-0.05,-0.7474,7578462,50072269.84
