日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000703,恒逸石化,14.07,14.26,13.83,14.1,13.66,0.41,3.0015,25317885,354201798.78
2019-06-28,'000703,恒逸石化,13.66,13.68,13.23,13.51,13.51,0.15,1.1103,13926960,187181696.2
2019-06-27,'000703,恒逸石化,13.51,13.72,13.27,13.39,13.12,0.39,2.9726,22347686,302152891.85
2019-06-26,'000703,恒逸石化,13.12,13.14,12.65,12.75,12.88,0.24,1.8634,12718163,164234670.75
2019-06-25,'000703,恒逸石化,12.88,13.11,12.7,13.08,13.07,-0.19,-1.4537,8707312,112264259.79
2019-06-24,'000703,恒逸石化,13.07,13.23,13.02,13.23,13.23,-0.16,-1.2094,7260290,95030606.54
2019-06-21,'000703,恒逸石化,13.23,13.52,13.11,13.32,13.26,-0.03,-0.2262,10000674,133311756.34
2019-06-20,'000703,恒逸石化,13.26,13.29,12.91,12.98,12.92,0.34,2.6316,9810938,129365982.02
2019-06-19,'000703,恒逸石化,12.92,13.17,12.87,13.0,12.6,0.32,2.5397,10426974,135671501.93
2019-06-18,'000703,恒逸石化,12.6,12.66,12.47,12.55,12.58,0.02,0.159,3331657,41951718.36
2019-06-17,'000703,恒逸石化,12.58,12.64,12.41,12.46,12.46,0.12,0.9631,4582615,57525614.06
2019-06-14,'000703,恒逸石化,12.46,12.72,12.39,12.65,12.6,-0.14,-1.1111,4580299,57480205.37
2019-06-13,'000703,恒逸石化,12.6,12.72,12.49,12.63,12.7,-0.1,-0.7874,4635052,58412258.04
2019-06-12,'000703,恒逸石化,12.7,12.88,12.6,12.63,12.75,-0.05,-0.3922,5221824,66418561.45
2019-06-11,'000703,恒逸石化,12.75,12.89,12.3,12.34,12.32,0.43,3.4903,7504105,94807155.92
2019-06-10,'000703,恒逸石化,12.62,12.83,12.01,12.51,12.5,0.12,0.96,7222172,91335756.3
2019-06-06,'000703,恒逸石化,12.5,12.94,12.4,12.83,12.88,-0.38,-2.9503,7780095,98425452.14
2019-06-05,'000703,恒逸石化,12.88,13.07,12.81,12.99,12.83,0.05,0.3897,4348397,56261708.84
2019-06-04,'000703,恒逸石化,12.83,13.03,12.7,12.98,13.01,-0.18,-1.3836,5816715,74928447.75
2019-06-03,'000703,恒逸石化,13.01,13.65,13.01,13.29,13.5,-0.49,-3.6296,16002938,210872946.22
2019-05-31,'000703,恒逸石化,13.5,13.5,13.0,13.18,13.35,0.15,1.1236,17521912,231928642.7
2019-05-30,'000703,恒逸石化,13.35,13.4,12.76,13.21,13.36,-0.01,-0.0749,16095189,209427916.42
2019-05-29,'000703,恒逸石化,13.36,13.4,13.21,13.33,13.55,-0.19,-1.4022,8584196,113936707.61
2019-05-28,'000703,恒逸石化,13.55,13.55,12.91,12.99,12.99,0.56,4.311,14242277,187923747.24
2019-05-27,'000703,恒逸石化,12.99,13.05,12.72,13.0,12.8,0.19,1.4844,6019757,77821300.99
2019-05-24,'000703,恒逸石化,12.8,12.84,12.61,12.65,12.75,0.05,0.3922,5507572,70070512.45
2019-05-23,'000703,恒逸石化,12.75,12.77,12.58,12.65,12.88,-0.13,-1.0093,7186045,90921689.56
2019-05-22,'000703,恒逸石化,12.88,13.04,12.58,13.03,13.0,-0.12,-0.9231,10957274,139575092.72
2019-05-21,'000703,恒逸石化,13.0,13.13,12.87,12.97,12.99,0.01,0.077,7608104,99068650.27
2019-05-20,'000703,恒逸石化,12.99,13.25,12.63,13.21,13.33,-0.34,-2.5506,8326352,107076043.84
2019-05-17,'000703,恒逸石化,13.33,13.55,13.0,13.51,13.47,-0.14,-1.0393,9588590,126716698.22
2019-05-16,'000703,恒逸石化,13.47,13.62,13.39,13.49,13.49,-0.02,-0.1483,9753656,131687053.68
2019-05-15,'000703,恒逸石化,13.49,13.63,13.15,13.3,13.26,0.23,1.7345,13350868,178618359.11
2019-05-14,'000703,恒逸石化,13.26,13.35,13.06,13.1,13.42,-0.16,-1.1923,10570421,139334116.92
2019-05-13,'000703,恒逸石化,13.42,13.63,13.05,13.61,13.9,-0.48,-3.4532,21914934,291543750.82
2019-05-10,'000703,恒逸石化,13.9,14.1,13.3,13.73,13.6,0.3,2.2059,15819525,216551260.6
2019-05-09,'000703,恒逸石化,13.6,13.6,13.24,13.55,13.61,-0.01,-0.0735,10114505,135755743.01
2019-05-08,'000703,恒逸石化,13.61,13.96,13.2,13.77,13.95,-0.34,-2.4373,8752573,118902785.73
2019-05-07,'000703,恒逸石化,13.95,14.44,13.75,13.99,13.96,-0.01,-0.0716,13665997,191936344.52
2019-05-06,'000703,恒逸石化,13.96,14.8,13.96,14.8,15.51,-1.55,-9.9936,20651669,292350622.05
2019-04-30,'000703,恒逸石化,15.51,15.52,15.16,15.33,15.3,0.21,1.3725,8195732,125621352.85
2019-04-29,'000703,恒逸石化,15.3,15.54,14.58,14.96,14.99,0.31,2.068,14974873,226598386.59
2019-04-26,'000703,恒逸石化,14.99,15.2,14.91,15.0,15.07,-0.08,-0.5309,14143277,212476482.92
2019-04-25,'000703,恒逸石化,15.07,15.39,14.92,15.29,15.27,-0.2,-1.3098,12833604,193519154.64
2019-04-24,'000703,恒逸石化,15.27,15.49,14.9,15.48,15.46,-0.19,-1.229,22743604,342823845.99
2019-04-23,'000703,恒逸石化,15.46,15.69,15.27,15.6,15.73,-0.27,-1.7165,14415730,222857235.76
2019-04-22,'000703,恒逸石化,15.73,15.95,15.48,15.76,15.65,0.08,0.5112,20968628,329335469.11
2019-04-19,'000703,恒逸石化,15.65,16.24,15.27,16.03,16.03,-0.38,-2.3706,19984270,313416660.97
2019-04-18,'000703,恒逸石化,16.03,16.28,15.79,16.08,16.28,-0.25,-1.5356,13506707,217109633.51
2019-04-17,'000703,恒逸石化,16.28,16.59,15.93,16.02,15.96,0.32,2.005,13677981,222190989.94
2019-04-16,'000703,恒逸石化,15.96,15.99,15.47,15.68,15.88,0.08,0.5038,15563228,244784221.52
2019-04-15,'000703,恒逸石化,15.88,16.7,15.81,16.45,16.11,-0.23,-1.4277,12223380,197999823.56
2019-04-12,'000703,恒逸石化,16.11,16.36,15.9,15.93,16.05,0.06,0.3738,10284597,165933393.02
2019-04-11,'000703,恒逸石化,16.05,16.95,15.87,16.91,17.06,-1.01,-5.9203,26239789,425975698.46
2019-04-10,'000703,恒逸石化,17.06,17.3,16.61,17.16,17.04,0.02,0.1174,16201792,274394963.05
2019-04-09,'000703,恒逸石化,17.04,17.52,16.84,17.07,17.46,-0.42,-2.4055,21204837,362934148.42
2019-04-08,'000703,恒逸石化,17.46,18.35,17.34,18.0,16.84,0.62,3.6817,47564700,847693896.93
2019-04-04,'000703,恒逸石化,16.84,17.15,16.67,16.7,16.44,0.4,2.4331,27243158,459978349.61
2019-04-03,'000703,恒逸石化,16.44,16.81,16.18,16.25,16.55,-0.11,-0.6647,19388791,318748195.06
2019-04-02,'000703,恒逸石化,16.55,16.99,16.33,16.77,16.26,0.29,1.7835,31999451,533242513.82
2019-04-01,'000703,恒逸石化,16.26,16.38,15.34,15.34,15.33,0.93,6.0665,51540414,822271082.19
2019-03-29,'000703,恒逸石化,15.33,15.4,14.58,14.87,14.93,0.4,2.6792,30031292,451848608.73
2019-03-28,'000703,恒逸石化,14.93,15.06,14.72,14.89,14.95,-0.02,-0.1338,17841068,265801824.19
2019-03-27,'000703,恒逸石化,14.95,15.15,14.65,14.96,14.62,0.33,2.2572,18268601,272090757.08
2019-03-26,'000703,恒逸石化,14.62,15.5,14.5,15.03,14.73,-0.11,-0.7468,23980175,358053156.2
2019-03-25,'000703,恒逸石化,14.73,15.25,14.11,14.2,14.43,0.3,2.079,42019070,626442268.49
2019-03-22,'000703,恒逸石化,14.43,14.5,13.94,14.1,14.12,0.31,2.1955,26867574,382852139.16
2019-03-21,'000703,恒逸石化,14.12,14.3,14.05,14.2,14.17,-0.05,-0.3529,20893556,295998029.73
2019-03-20,'000703,恒逸石化,14.17,14.79,14.0,14.66,14.66,-0.49,-3.3424,26608261,379768400.73
2019-03-19,'000703,恒逸石化,14.66,14.91,14.46,14.8,14.78,-0.12,-0.8119,37706200,554435446.47
2019-03-18,'000703,恒逸石化,14.78,14.83,13.6,13.6,13.48,1.3,9.6439,73981979,1072704036.45
2019-03-15,'000703,恒逸石化,13.48,13.73,13.31,13.33,13.39,0.09,0.6721,14102219,191184920.97
2019-03-14,'000703,恒逸石化,13.39,13.79,13.23,13.7,13.68,-0.29,-2.1199,7818656,105573778.57
2019-03-13,'000703,恒逸石化,13.68,13.94,13.54,13.7,13.68,0.0,0.0,12078204,165879577.37
2019-03-12,'000703,恒逸石化,13.68,13.83,13.51,13.58,13.47,0.21,1.559,13824592,189388597.37
2019-03-11,'000703,恒逸石化,13.47,13.5,13.19,13.24,13.14,0.33,2.5114,12984923,173324017.05
2019-03-08,'000703,恒逸石化,13.14,13.87,13.14,13.8,14.05,-0.91,-6.4769,18141999,245477836.33
2019-03-07,'000703,恒逸石化,14.05,14.18,13.64,14.13,14.17,-0.12,-0.8469,21453421,299026271.26
2019-03-06,'000703,恒逸石化,14.17,14.18,13.91,13.99,13.98,0.19,1.3591,16295014,228830128.95
2019-03-05,'000703,恒逸石化,13.98,14.07,13.81,13.85,13.82,0.16,1.1577,10393465,144958589.64
2019-03-04,'000703,恒逸石化,13.82,14.08,13.71,13.83,13.75,0.07,0.5091,15370637,213225996.63
2019-03-01,'000703,恒逸石化,13.75,13.95,13.68,13.92,13.9,-0.15,-1.0791,9561043,131522283.6
2019-02-28,'000703,恒逸石化,13.9,13.92,13.6,13.64,13.75,0.15,1.0909,11911086,164444245.96
2019-02-27,'000703,恒逸石化,13.75,13.97,13.49,13.76,13.76,-0.01,-0.0727,12093745,165975498.71
2019-02-26,'000703,恒逸石化,13.76,14.25,13.72,13.94,13.95,-0.19,-1.362,16901872,236300171.69
2019-02-25,'000703,恒逸石化,13.95,14.0,13.55,13.57,13.46,0.49,3.6404,18095422,249892502.86
2019-02-22,'000703,恒逸石化,13.46,13.48,13.12,13.24,13.22,0.24,1.8154,8560532,114106825.02
2019-02-21,'000703,恒逸石化,13.22,13.59,13.2,13.5,13.43,-0.21,-1.5637,9875556,132878176.24
2019-02-20,'000703,恒逸石化,13.43,13.63,13.41,13.59,13.51,-0.08,-0.5922,7287652,98398342.52
2019-02-19,'000703,恒逸石化,13.51,13.73,13.39,13.59,13.66,-0.15,-1.0981,9850235,133704579.8
2019-02-18,'000703,恒逸石化,13.66,13.72,13.39,13.59,13.44,0.22,1.6369,11713281,159119400.59
2019-02-15,'000703,恒逸石化,13.44,13.8,13.44,13.65,13.66,-0.22,-1.6105,9685767,131712165.48
2019-02-14,'000703,恒逸石化,13.66,13.89,13.44,13.44,13.44,0.22,1.6369,10912271,149510853.41
2019-02-13,'000703,恒逸石化,13.44,13.54,13.3,13.46,13.53,-0.09,-0.6652,11197958,150444449.25
2019-02-12,'000703,恒逸石化,13.53,13.53,13.0,13.06,13.04,0.49,3.7577,14186307,188780253.72
