日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000705,浙江震元,6.81,6.86,6.74,6.78,6.69,0.12,1.7937,2550200,17342565.0
2019-06-28,'000705,浙江震元,6.69,6.85,6.64,6.83,6.83,-0.14,-2.0498,2171000,14554112.0
2019-06-27,'000705,浙江震元,6.83,6.89,6.77,6.77,6.78,0.05,0.7375,2111960,14475123.0
2019-06-26,'000705,浙江震元,6.78,6.82,6.7,6.77,6.78,0.0,0.0,1306200,8830625.0
2019-06-25,'000705,浙江震元,6.78,6.84,6.71,6.83,6.85,-0.07,-1.0219,1865200,12623164.0
2019-06-24,'000705,浙江震元,6.85,6.89,6.8,6.85,6.86,-0.01,-0.1458,2513520,17219948.8
2019-06-21,'000705,浙江震元,6.86,6.9,6.81,6.82,6.8,0.06,0.8824,3066546,21031273.63
2019-06-20,'000705,浙江震元,6.8,6.9,6.73,6.79,6.78,0.02,0.295,3036971,20720316.75
2019-06-19,'000705,浙江震元,6.78,6.84,6.72,6.78,6.72,0.06,0.8929,3374904,22827584.79
2019-06-18,'000705,浙江震元,6.75,6.85,6.6,6.66,6.6,0.15,2.2727,3872119,26025572.87
2019-06-17,'000705,浙江震元,6.6,6.6,6.47,6.47,6.49,0.11,1.6949,1462363,9617323.51
2019-06-14,'000705,浙江震元,6.49,6.64,6.45,6.58,6.61,-0.12,-1.8154,1420700,9310250.0
2019-06-13,'000705,浙江震元,6.61,6.62,6.5,6.56,6.57,0.04,0.6088,1690402,11105244.2
2019-06-12,'000705,浙江震元,6.57,6.66,6.56,6.64,6.65,-0.08,-1.203,1238400,8177572.0
2019-06-11,'000705,浙江震元,6.65,6.66,6.45,6.47,6.47,0.18,2.7821,1913182,12608097.0
2019-06-10,'000705,浙江震元,6.47,6.51,6.38,6.5,6.43,0.04,0.6221,1087680,7024713.88
2019-06-06,'000705,浙江震元,6.43,6.59,6.4,6.59,6.62,-0.19,-2.8701,1579402,10214333.8
2019-06-05,'000705,浙江震元,6.62,6.69,6.52,6.66,6.62,0.0,0.0,1734200,11445140.95
2019-06-04,'000705,浙江震元,6.62,6.63,6.55,6.62,6.63,-0.01,-0.1508,1016620,6698605.0
2019-06-03,'000705,浙江震元,6.63,6.78,6.61,6.72,6.73,-0.1,-1.4859,1661467,11072851.34
2019-05-31,'000705,浙江震元,6.73,6.82,6.64,6.69,6.69,0.04,0.5979,2259001,15240695.74
2019-05-30,'000705,浙江震元,6.69,6.78,6.62,6.78,6.77,-0.08,-1.1817,1976060,13208793.6
2019-05-29,'000705,浙江震元,6.77,6.83,6.66,6.82,6.84,-0.07,-1.0234,2653881,17917523.14
2019-05-28,'000705,浙江震元,6.84,7.35,6.76,6.78,6.71,0.13,1.9374,3966460,27426581.3
2019-05-27,'000705,浙江震元,6.71,6.72,6.49,6.53,6.49,0.22,3.3898,1969540,13083655.4
2019-05-24,'000705,浙江震元,6.49,6.59,6.42,6.52,6.54,-0.05,-0.7645,2042400,13285752.0
2019-05-23,'000705,浙江震元,6.54,6.7,6.52,6.7,6.68,-0.14,-2.0958,1584600,10453900.0
2019-05-22,'000705,浙江震元,6.68,6.86,6.66,6.86,6.79,-0.11,-1.62,1530500,10296663.0
2019-05-21,'000705,浙江震元,6.79,6.8,6.65,6.7,6.69,0.1,1.4948,1834575,12403965.54
2019-05-20,'000705,浙江震元,6.69,6.79,6.56,6.73,6.72,-0.03,-0.4464,2197473,14626621.41
2019-05-17,'000705,浙江震元,6.72,7.04,6.71,7.04,6.98,-0.26,-3.7249,3342994,23009501.46
2019-05-16,'000705,浙江震元,6.98,7.04,6.9,7.0,6.99,-0.01,-0.1431,2856911,19946761.8
2019-05-15,'000705,浙江震元,6.99,7.02,6.84,6.92,6.84,0.15,2.193,2578359,17879830.05
2019-05-14,'000705,浙江震元,6.84,6.96,6.8,6.87,6.91,-0.07,-1.013,2277200,15685101.0
2019-05-13,'000705,浙江震元,6.91,7.08,6.88,6.99,7.0,-0.09,-1.2857,2554600,17787282.0
2019-05-10,'000705,浙江震元,7.0,7.05,6.76,6.85,6.76,0.24,3.5503,3384100,23521341.0
2019-05-09,'000705,浙江震元,6.76,6.97,6.75,6.8,6.87,-0.11,-1.6012,1878100,12851858.0
2019-05-08,'000705,浙江震元,6.87,6.94,6.69,6.74,6.84,0.03,0.4386,2578959,17710685.51
2019-05-07,'000705,浙江震元,6.84,6.88,6.7,6.73,6.68,0.16,2.3952,2716659,18492409.43
2019-05-06,'000705,浙江震元,6.68,7.16,6.6,7.16,7.3,-0.62,-8.4932,4024806,27639344.42
2019-04-30,'000705,浙江震元,7.3,7.45,7.25,7.25,7.25,0.05,0.6897,1671702,12296219.69
2019-04-29,'000705,浙江震元,7.25,7.69,7.2,7.57,7.57,-0.32,-4.2272,3109200,22948879.0
2019-04-26,'000705,浙江震元,7.57,7.83,7.5,7.72,7.77,-0.2,-2.574,2673008,20523419.7
2019-04-25,'000705,浙江震元,7.77,8.1,7.77,8.03,8.08,-0.31,-3.8366,2954240,23461923.2
2019-04-24,'000705,浙江震元,8.08,8.14,7.98,8.08,8.07,0.01,0.1239,1897900,15293564.0
2019-04-23,'000705,浙江震元,8.07,8.21,8.03,8.18,8.23,-0.16,-1.9441,3216426,26074064.3
2019-04-22,'000705,浙江震元,8.23,8.3,8.15,8.28,8.22,0.01,0.1217,3134600,25698013.0
2019-04-19,'000705,浙江震元,8.22,8.25,8.07,8.2,8.22,0.0,0.0,3491024,28357771.16
2019-04-18,'000705,浙江震元,8.22,8.31,8.18,8.31,8.28,-0.06,-0.7246,2214000,18213103.0
2019-04-17,'000705,浙江震元,8.28,8.39,8.23,8.23,8.24,0.04,0.4854,3175602,26365534.46
2019-04-16,'000705,浙江震元,8.24,8.24,8.0,8.15,8.17,0.07,0.8568,3396729,27685662.84
2019-04-15,'000705,浙江震元,8.17,8.41,8.12,8.23,8.19,-0.02,-0.2442,4062403,33654022.88
2019-04-12,'000705,浙江震元,8.19,8.29,8.13,8.13,8.21,-0.02,-0.2436,3963773,32445500.15
2019-04-11,'000705,浙江震元,8.21,8.41,8.21,8.4,8.42,-0.21,-2.4941,6660448,55330554.04
2019-04-10,'000705,浙江震元,8.42,8.74,8.12,8.2,8.21,0.21,2.5579,13195333,111216767.06
2019-04-09,'000705,浙江震元,8.21,8.21,8.02,8.06,8.08,0.13,1.6089,7362010,59942731.14
2019-04-08,'000705,浙江震元,8.08,8.1,7.94,7.99,7.96,0.12,1.5075,5794502,46521356.96
2019-04-04,'000705,浙江震元,7.96,8.08,7.88,7.92,7.94,0.02,0.2519,5649442,45023666.73
2019-04-03,'000705,浙江震元,7.94,8.0,7.87,7.99,7.88,0.06,0.7614,5251260,41598359.78
2019-04-02,'000705,浙江震元,7.88,7.95,7.7,7.75,7.76,0.12,1.5464,6637520,52156547.6
2019-04-01,'000705,浙江震元,7.76,7.78,7.6,7.62,7.56,0.2,2.6455,4235972,32743917.98
2019-03-29,'000705,浙江震元,7.56,7.58,7.33,7.38,7.36,0.2,2.7174,4518370,33832531.96
2019-03-28,'000705,浙江震元,7.36,7.71,7.32,7.71,7.69,-0.33,-4.2913,5308700,39881857.0
2019-03-27,'000705,浙江震元,7.69,7.74,7.55,7.74,7.67,0.02,0.2608,4209279,32192929.18
2019-03-26,'000705,浙江震元,7.67,7.81,7.58,7.75,7.75,-0.08,-1.0323,5133878,39419729.05
2019-03-25,'000705,浙江震元,7.75,7.89,7.7,7.79,7.85,-0.1,-1.2739,4700371,36569990.12
2019-03-22,'000705,浙江震元,7.85,7.9,7.65,7.73,7.7,0.15,1.9481,6054974,46983750.28
2019-03-21,'000705,浙江震元,7.7,7.74,7.56,7.61,7.61,0.09,1.1827,3516767,27054554.23
2019-03-20,'000705,浙江震元,7.61,7.62,7.46,7.59,7.58,0.03,0.3958,3612984,27317750.07
2019-03-19,'000705,浙江震元,7.58,7.67,7.52,7.59,7.59,-0.01,-0.1318,3724600,28236462.0
2019-03-18,'000705,浙江震元,7.59,7.59,7.41,7.41,7.44,0.15,2.0161,4976040,37453803.92
2019-03-15,'000705,浙江震元,7.44,7.49,7.34,7.35,7.33,0.11,1.5007,3270455,24259137.16
2019-03-14,'000705,浙江震元,7.33,7.43,7.22,7.38,7.4,-0.07,-0.9459,5718122,41882592.32
2019-03-13,'000705,浙江震元,7.4,7.52,7.37,7.42,7.44,-0.04,-0.5376,4684397,34848839.5
2019-03-12,'000705,浙江震元,7.44,7.55,7.33,7.35,7.35,0.09,1.2245,7528287,56025985.88
2019-03-11,'000705,浙江震元,7.35,7.42,7.11,7.11,7.09,0.26,3.6671,4790963,34585392.16
2019-03-08,'000705,浙江震元,7.09,7.3,7.08,7.29,7.37,-0.28,-3.7992,6036004,43362855.4
2019-03-07,'000705,浙江震元,7.37,7.39,7.28,7.39,7.31,0.06,0.8208,5956994,43701473.45
2019-03-06,'000705,浙江震元,7.31,7.4,7.15,7.16,7.16,0.15,2.095,5114922,37180993.33
2019-03-05,'000705,浙江震元,7.16,7.18,7.06,7.12,7.07,0.09,1.273,3757989,26731010.58
2019-03-04,'000705,浙江震元,7.07,7.15,7.0,7.0,7.0,0.07,1.0,4004699,28401069.77
2019-03-01,'000705,浙江震元,7.0,7.05,6.98,6.98,6.99,0.01,0.1431,2816100,19706952.0
2019-02-28,'000705,浙江震元,6.99,7.01,6.88,6.93,6.86,0.13,1.895,3383892,23599755.82
2019-02-27,'000705,浙江震元,6.86,6.99,6.79,6.91,6.93,-0.07,-1.0101,3737877,25830032.26
2019-02-26,'000705,浙江震元,6.93,7.03,6.87,6.92,6.93,0.0,0.0,5008599,34898196.11
2019-02-25,'000705,浙江震元,6.93,6.99,6.73,6.78,6.74,0.19,2.819,5025000,34568659.0
2019-02-22,'000705,浙江震元,6.74,6.75,6.59,6.63,6.63,0.11,1.6591,2993972,20040880.95
2019-02-21,'000705,浙江震元,6.63,6.73,6.55,6.55,6.63,0.0,0.0,2679270,17881142.7
2019-02-20,'000705,浙江震元,6.63,6.67,6.54,6.67,6.58,0.05,0.7599,2289120,15112762.4
2019-02-19,'000705,浙江震元,6.58,6.7,6.57,6.61,6.61,-0.03,-0.4539,3788885,25118167.65
