日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000707,ST双环,3.04,3.06,3.01,3.03,3.0,0.04,1.3333,4130323,12538905.69
2019-06-28,'000707,ST双环,3.0,3.05,2.97,3.04,3.06,-0.06,-1.9608,3303388,9935240.24
2019-06-27,'000707,ST双环,3.06,3.07,3.02,3.05,3.05,0.01,0.3279,3205000,9780306.0
2019-06-26,'000707,ST双环,3.05,3.05,3.01,3.03,3.03,0.02,0.6601,2559992,7759170.76
2019-06-25,'000707,ST双环,3.03,3.04,2.98,3.03,3.03,0.0,0.0,3721687,11197799.74
2019-06-24,'000707,ST双环,3.03,3.03,2.97,3.02,3.03,0.0,0.0,4607312,13842732.51
2019-06-21,'000707,ST双环,3.03,3.08,3.01,3.08,2.95,0.08,2.7119,7386674,22488391.72
2019-06-20,'000707,ST双环,2.95,2.97,2.88,2.94,2.94,0.01,0.3401,2959689,8688303.38
2019-06-19,'000707,ST双环,2.94,2.99,2.93,2.96,2.92,0.02,0.6849,2745100,8108182.0
2019-06-18,'000707,ST双环,2.92,2.93,2.89,2.9,2.9,0.02,0.6897,1445142,4204704.22
2019-06-17,'000707,ST双环,2.9,2.93,2.87,2.93,2.91,-0.01,-0.3436,1690800,4902781.0
2019-06-14,'000707,ST双环,2.91,3.0,2.9,2.97,2.97,-0.06,-2.0202,3207181,9468042.71
2019-06-13,'000707,ST双环,2.97,3.0,2.89,2.92,2.92,0.05,1.7123,3946719,11630518.83
2019-06-12,'000707,ST双环,2.92,3.0,2.89,2.9,2.92,0.0,0.0,3866920,11361854.4
2019-06-11,'000707,ST双环,2.92,2.94,2.8,2.82,2.8,0.12,4.2857,4079075,11804549.56
2019-06-10,'000707,ST双环,2.8,2.83,2.78,2.83,2.79,0.01,0.3584,1935811,5425988.8
2019-06-06,'000707,ST双环,2.79,2.91,2.77,2.91,2.9,-0.11,-3.7931,3071700,8665085.0
2019-06-05,'000707,ST双环,2.9,2.94,2.89,2.92,2.89,0.01,0.346,2133900,6206167.0
2019-06-04,'000707,ST双环,2.89,2.94,2.88,2.91,2.94,-0.05,-1.7007,2368793,6871187.77
2019-06-03,'000707,ST双环,2.94,3.05,2.87,3.02,3.02,-0.08,-2.649,6241700,18351059.0
2019-05-31,'000707,ST双环,3.02,3.12,3.02,3.05,3.04,-0.02,-0.6579,3935092,12044684.44
2019-05-30,'000707,ST双环,3.04,3.09,2.99,2.99,3.01,0.03,0.9967,5614300,17034140.0
2019-05-29,'000707,ST双环,3.01,3.05,2.9,2.99,2.99,0.02,0.6689,3678400,11071909.0
2019-05-28,'000707,ST双环,2.99,3.05,2.96,2.98,2.98,0.01,0.3356,4270096,12894954.12
2019-05-27,'000707,ST双环,2.98,2.98,2.9,2.91,2.89,0.09,3.1142,3140123,9236840.16
2019-05-24,'000707,ST双环,2.89,2.95,2.88,2.9,2.93,-0.04,-1.3652,3478100,10101057.0
2019-05-23,'000707,ST双环,2.93,3.02,2.9,3.02,3.02,-0.09,-2.9801,4612833,13565964.05
2019-05-22,'000707,ST双环,3.02,3.07,3.0,3.05,3.03,-0.01,-0.33,3777992,11464948.92
2019-05-21,'000707,ST双环,3.03,3.07,2.95,2.96,2.99,0.04,1.3378,3574098,10832147.94
2019-05-20,'000707,ST双环,2.99,3.08,2.98,3.08,3.14,-0.15,-4.7771,7253956,21671144.88
2019-05-17,'000707,ST双环,3.14,3.32,3.14,3.32,3.31,-0.17,-5.136,7554300,24189787.0
2019-05-16,'000707,ST双环,3.31,3.37,3.21,3.25,3.24,0.07,2.1605,7883940,26027292.09
