日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000708,大冶特钢,13.1,13.15,12.82,12.83,12.7,0.4,3.1496,3629127,47188686.98
2019-06-28,'000708,大冶特钢,12.7,13.06,12.63,13.01,12.99,-0.29,-2.2325,2716459,34752384.15
2019-06-27,'000708,大冶特钢,12.99,13.07,12.8,12.8,12.98,0.01,0.077,2289382,29719335.9
2019-06-26,'000708,大冶特钢,12.98,13.16,12.89,13.15,13.16,-0.18,-1.3678,3028029,39399065.3
2019-06-25,'000708,大冶特钢,13.16,13.38,12.93,13.38,13.5,-0.34,-2.5185,4341609,57007766.21
2019-06-24,'000708,大冶特钢,13.5,13.98,12.86,12.86,12.91,0.59,4.5701,8438573,114010907.63
2019-06-21,'000708,大冶特钢,12.91,13.1,12.8,12.87,12.85,0.06,0.4669,2748100,35513921.0
2019-06-20,'000708,大冶特钢,12.85,12.96,12.67,12.89,12.77,0.08,0.6265,2186203,28107339.24
2019-06-19,'000708,大冶特钢,12.77,12.96,12.74,12.9,12.64,0.13,1.0285,1518300,19526127.0
2019-06-18,'000708,大冶特钢,12.64,12.79,12.61,12.72,12.75,-0.11,-0.8627,769072,9765071.34
2019-06-17,'000708,大冶特钢,12.75,12.8,12.5,12.58,12.65,0.1,0.7905,1193990,15179687.68
2019-06-14,'000708,大冶特钢,12.65,12.98,12.64,12.92,12.93,-0.28,-2.1655,1592272,20371233.56
2019-06-13,'000708,大冶特钢,12.93,13.09,12.82,13.09,12.99,-0.06,-0.4619,1576500,20348417.0
2019-06-12,'000708,大冶特钢,12.99,13.28,12.9,13.0,13.0,-0.01,-0.0769,2751766,36035743.19
2019-06-11,'000708,大冶特钢,13.0,13.09,12.53,12.66,12.57,0.43,3.4208,3402509,43822114.81
2019-06-10,'000708,大冶特钢,12.57,12.64,12.41,12.56,12.57,0.0,0.0,1295049,16248592.41
2019-06-06,'000708,大冶特钢,12.57,12.65,12.3,12.65,12.46,0.11,0.8828,2476517,31029878.59
2019-06-05,'000708,大冶特钢,12.46,12.6,12.4,12.45,12.44,0.02,0.1608,1339610,16720792.78
2019-06-04,'000708,大冶特钢,12.44,12.72,12.36,12.56,12.66,-0.22,-1.7378,1940998,24299253.41
2019-06-03,'000708,大冶特钢,12.66,12.72,12.45,12.55,12.53,0.13,1.0375,2452607,30984698.63
2019-05-31,'000708,大冶特钢,12.53,12.78,12.5,12.6,12.64,-0.11,-0.8703,1813190,22851424.5
2019-05-30,'000708,大冶特钢,12.64,13.11,12.41,13.11,12.88,-0.24,-1.8634,3636778,46208877.82
2019-05-29,'000708,大冶特钢,12.88,13.0,12.4,12.55,12.55,0.33,2.6295,5361836,69098062.79
2019-05-28,'000708,大冶特钢,12.55,12.92,12.5,12.66,12.65,-0.1,-0.7905,2069672,26256615.54
2019-05-27,'000708,大冶特钢,12.65,12.82,12.1,12.15,12.23,0.42,3.4342,2965296,37174441.43
2019-05-24,'000708,大冶特钢,12.23,12.49,12.15,12.2,12.2,0.03,0.2459,1838246,22627634.95
2019-05-23,'000708,大冶特钢,12.2,12.63,12.18,12.56,12.46,-0.26,-2.0867,2749849,33950521.31
2019-05-22,'000708,大冶特钢,12.46,13.01,11.74,13.01,13.04,-0.58,-4.4479,4413582,55561075.88
2019-05-21,'000708,大冶特钢,13.84,13.86,13.41,13.41,13.59,0.25,1.8396,4643650,63858579.02
2019-05-20,'000708,大冶特钢,13.59,13.69,13.13,13.65,13.64,-0.05,-0.3666,2775097,37177548.16
2019-05-17,'000708,大冶特钢,13.64,14.18,13.54,14.17,14.13,-0.49,-3.4678,3901933,53753149.98
2019-05-16,'000708,大冶特钢,14.13,14.3,13.81,14.06,13.59,0.54,3.9735,5419800,76377668.4
2019-05-15,'000708,大冶特钢,13.59,13.72,13.25,13.65,13.52,0.07,0.5178,3773902,50778750.84
