日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000709,河钢股份,3.04,3.04,3.01,3.02,2.99,0.05,1.6722,25983223,78688083.2
2019-06-28,'000709,河钢股份,2.99,3.03,2.98,3.02,3.02,-0.03,-0.9934,20460166,61321233.89
2019-06-27,'000709,河钢股份,3.02,3.04,3.01,3.02,3.01,0.01,0.3322,21160927,63990606.99
2019-06-26,'000709,河钢股份,3.01,3.03,3.01,3.03,3.03,-0.02,-0.6601,16805586,50703045.86
2019-06-25,'000709,河钢股份,3.03,3.07,3.01,3.06,3.06,-0.03,-0.9804,30344746,91929819.61
2019-06-24,'000709,河钢股份,3.06,3.09,3.03,3.03,3.03,0.03,0.9901,50910016,156052892.61
2019-06-21,'000709,河钢股份,3.03,3.05,3.02,3.02,3.02,0.01,0.3311,41462112,125886252.66
2019-06-20,'000709,河钢股份,3.02,3.03,2.98,3.0,2.99,0.03,1.0033,40218172,121075125.79
2019-06-19,'000709,河钢股份,2.99,3.02,2.99,3.01,2.98,0.01,0.3356,28678405,86152886.66
2019-06-18,'000709,河钢股份,2.98,2.99,2.97,2.99,3.0,-0.02,-0.6667,20964190,62441688.89
2019-06-17,'000709,河钢股份,3.0,3.01,2.97,2.98,2.98,0.02,0.6711,28530375,85258094.6
2019-06-14,'000709,河钢股份,2.98,3.02,2.98,3.0,3.0,-0.02,-0.6667,27959792,83889614.87
2019-06-13,'000709,河钢股份,3.0,3.01,2.97,2.99,3.0,0.0,0.0,27668724,82724722.83
2019-06-12,'000709,河钢股份,3.0,3.03,2.99,3.02,3.03,-0.03,-0.9901,30610808,91999329.31
2019-06-11,'000709,河钢股份,3.03,3.04,2.96,2.97,2.97,0.06,2.0202,55364280,166711127.19
2019-06-10,'000709,河钢股份,2.97,2.99,2.95,2.96,2.96,0.01,0.3378,34791608,103310873.16
2019-06-06,'000709,河钢股份,2.96,3.0,2.95,2.99,2.99,-0.03,-1.0033,31436515,93350776.27
2019-06-05,'000709,河钢股份,2.99,3.01,2.99,3.0,2.99,0.0,0.0,23649016,70883183.5
2019-06-04,'000709,河钢股份,2.99,3.0,2.96,3.0,3.0,-0.01,-0.3333,37320049,111172267.94
2019-06-03,'000709,河钢股份,3.0,3.01,2.98,3.0,2.99,0.01,0.3344,44360514,133045513.19
2019-05-31,'000709,河钢股份,2.99,3.01,2.97,2.98,2.97,0.02,0.6734,39838327,119384724.93
2019-05-30,'000709,河钢股份,2.97,3.0,2.97,2.99,2.99,-0.02,-0.6689,33522915,99796846.14
2019-05-29,'000709,河钢股份,2.99,3.01,2.98,2.99,3.01,-0.02,-0.6645,25845142,77366336.75
2019-05-28,'000709,河钢股份,3.01,3.01,2.98,2.98,2.99,0.02,0.6689,54578851,163689499.05
2019-05-27,'000709,河钢股份,2.99,3.0,2.94,2.95,2.95,0.04,1.3559,36836123,109511270.06
2019-05-24,'000709,河钢股份,2.95,2.97,2.94,2.95,2.97,-0.02,-0.6734,31822846,94025871.24
2019-05-23,'000709,河钢股份,2.97,2.99,2.96,2.98,2.99,-0.02,-0.6689,36172259,107447978.35
2019-05-22,'000709,河钢股份,2.99,3.02,2.98,3.01,3.0,-0.01,-0.3333,34063447,101892306.53
2019-05-21,'000709,河钢股份,3.0,3.02,2.95,2.96,2.96,0.04,1.3514,50022322,150051072.93
2019-05-20,'000709,河钢股份,2.96,2.97,2.93,2.95,2.96,0.0,0.0,39671159,116929458.57
2019-05-17,'000709,河钢股份,2.96,3.03,2.96,3.02,3.02,-0.06,-1.9868,65569924,195516803.33
2019-05-16,'000709,河钢股份,3.02,3.04,2.98,2.99,2.99,0.03,1.0033,71857721,216629305.43
2019-05-15,'000709,河钢股份,2.99,3.0,2.97,2.97,2.96,0.03,1.0135,65313816,194800846.9
2019-05-14,'000709,河钢股份,2.96,2.98,2.94,2.95,2.98,-0.02,-0.6711,56022468,165838534.31
2019-05-13,'000709,河钢股份,2.98,3.0,2.96,3.0,3.03,-0.05,-1.6502,70565485,210068412.15
2019-05-10,'000709,河钢股份,3.03,3.03,2.95,2.99,2.97,0.06,2.0202,97271783,291475254.21
2019-05-09,'000709,河钢股份,2.97,3.01,2.95,2.97,2.98,-0.01,-0.3356,64599219,192038412.03
2019-05-08,'000709,河钢股份,2.98,3.05,2.96,2.98,3.03,-0.05,-1.6502,88653284,265820151.0
2019-05-07,'000709,河钢股份,3.03,3.06,2.99,3.04,3.02,0.01,0.3311,76653344,231966487.81
2019-05-06,'000709,河钢股份,3.02,3.15,2.97,3.15,3.2,-0.18,-5.625,91175912,279272488.14
2019-04-30,'000709,河钢股份,3.2,3.23,3.18,3.2,3.2,0.0,0.0,57591080,184423342.64
2019-04-29,'000709,河钢股份,3.2,3.31,3.19,3.29,3.29,-0.09,-2.7356,69101551,223684832.16
