日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000710,贝瑞基因,38.15,38.8,36.01,36.2,35.66,2.49,6.9826,3408806,126633282.55
2019-06-28,'000710,贝瑞基因,35.66,35.81,34.9,35.1,35.4,0.26,0.7345,1232400,43580894.0
2019-06-27,'000710,贝瑞基因,35.4,36.0,35.24,35.99,35.7,-0.3,-0.8403,1306900,46449016.0
2019-06-26,'000710,贝瑞基因,35.7,35.96,34.19,34.5,34.5,1.2,3.4783,1830804,64972150.04
2019-06-25,'000710,贝瑞基因,34.5,35.22,34.0,35.18,35.26,-0.76,-2.1554,927059,31906287.39
2019-06-24,'000710,贝瑞基因,35.26,35.63,34.95,35.6,35.54,-0.28,-0.7878,876237,30829286.08
2019-06-21,'000710,贝瑞基因,35.54,35.6,35.0,35.0,35.1,0.44,1.2536,1306429,46244699.98
2019-06-20,'000710,贝瑞基因,35.1,35.17,33.88,34.36,34.35,0.75,2.1834,1280139,44507907.49
2019-06-19,'000710,贝瑞基因,34.35,34.85,34.3,34.42,33.84,0.51,1.5071,952734,32858886.54
2019-06-18,'000710,贝瑞基因,33.84,34.2,33.46,33.9,33.43,0.41,1.2264,705722,23885971.17
2019-06-17,'000710,贝瑞基因,33.43,34.27,32.85,33.92,33.92,-0.49,-1.4446,1052887,35218912.77
2019-06-14,'000710,贝瑞基因,33.92,34.72,33.82,34.72,34.44,-0.52,-1.5099,728735,24863570.97
2019-06-13,'000710,贝瑞基因,34.44,34.6,33.86,34.05,34.2,0.24,0.7018,838408,28718663.63
2019-06-12,'000710,贝瑞基因,34.2,34.82,33.98,34.34,34.34,-0.14,-0.4077,698313,23976475.52
2019-06-11,'000710,贝瑞基因,34.34,34.45,32.8,33.28,33.13,1.21,3.6523,1050700,35517203.1
2019-06-10,'000710,贝瑞基因,33.13,33.38,32.85,33.0,32.86,0.27,0.8217,625900,20720287.1
2019-06-06,'000710,贝瑞基因,32.86,34.29,32.86,33.99,34.25,-1.39,-4.0584,1018300,33928032.0
2019-06-05,'000710,贝瑞基因,34.25,34.86,34.03,34.5,34.15,0.1,0.2928,573839,19761643.25
2019-06-04,'000710,贝瑞基因,34.15,35.0,34.0,35.0,35.07,-0.92,-2.6233,847751,29210961.1
2019-06-03,'000710,贝瑞基因,35.07,35.79,34.71,35.55,35.3,-0.23,-0.6516,694065,24359352.4
2019-05-31,'000710,贝瑞基因,35.3,36.08,35.0,35.0,35.22,0.08,0.2271,754501,26799514.45
2019-05-30,'000710,贝瑞基因,35.22,35.65,34.87,35.53,35.49,-0.27,-0.7608,664300,23339758.0
2019-05-29,'000710,贝瑞基因,35.49,35.99,35.25,35.4,35.4,0.09,0.2542,952190,34052957.76
2019-05-28,'000710,贝瑞基因,35.4,36.12,35.17,35.18,35.31,0.09,0.2549,1099895,39228173.04
2019-05-27,'000710,贝瑞基因,35.31,35.6,33.77,33.77,33.85,1.46,4.3131,1743299,60756398.88
2019-05-24,'000710,贝瑞基因,33.85,34.17,33.43,33.49,33.8,0.05,0.1479,699198,23681013.44
2019-05-23,'000710,贝瑞基因,33.8,34.73,33.72,34.56,34.81,-1.01,-2.9015,1024791,34800918.71
