日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000711,京蓝科技,5.76,5.89,5.73,5.8,5.59,0.17,3.0411,12405997,71776424.54
2019-06-28,'000711,京蓝科技,5.59,5.75,5.49,5.68,5.71,-0.12,-2.1016,9784732,54770515.2
2019-06-27,'000711,京蓝科技,5.71,5.83,5.7,5.74,5.77,-0.06,-1.0399,11591600,66703171.12
2019-06-26,'000711,京蓝科技,5.77,5.8,5.63,5.75,5.69,0.08,1.406,11852599,67854445.16
2019-06-25,'000711,京蓝科技,5.69,5.85,5.62,5.81,5.84,-0.15,-2.5685,16226421,92569482.2
2019-06-24,'000711,京蓝科技,5.84,5.99,5.72,5.85,5.94,-0.1,-1.6835,23841125,139227933.75
2019-06-21,'000711,京蓝科技,5.94,6.3,5.92,6.2,5.91,0.03,0.5076,49428569,303067169.69
2019-06-20,'000711,京蓝科技,5.91,5.91,5.4,5.41,5.37,0.54,10.0559,8633799,50369763.09
2019-06-19,'000711,京蓝科技,5.37,5.42,5.32,5.37,5.28,0.09,1.7045,6944120,37372508.63
2019-06-18,'000711,京蓝科技,5.28,5.38,5.25,5.38,5.34,-0.06,-1.1236,3472696,18355943.99
2019-06-17,'000711,京蓝科技,5.34,5.36,5.21,5.3,5.3,0.04,0.7547,3406559,18047873.32
2019-06-14,'000711,京蓝科技,5.3,5.56,5.28,5.47,5.46,-0.16,-2.9304,6684902,36231389.14
2019-06-13,'000711,京蓝科技,5.46,5.48,5.35,5.4,5.38,0.08,1.487,6666000,36165179.6
2019-06-12,'000711,京蓝科技,5.38,5.48,5.31,5.32,5.37,0.01,0.1862,6990109,37636494.42
2019-06-11,'000711,京蓝科技,5.37,5.37,5.17,5.18,5.17,0.2,3.8685,7305000,38676933.6
2019-06-10,'000711,京蓝科技,5.17,5.22,5.13,5.16,5.19,-0.02,-0.3854,4977180,25699108.6
2019-06-06,'000711,京蓝科技,5.19,5.52,5.06,5.52,5.47,-0.28,-5.1188,8388232,43895034.0
2019-06-05,'000711,京蓝科技,5.47,5.59,5.47,5.51,5.5,-0.03,-0.5455,4440660,24462445.4
2019-06-04,'000711,京蓝科技,5.5,5.63,5.45,5.6,5.5,0.0,0.0,5619473,30971467.06
2019-06-03,'000711,京蓝科技,5.5,5.66,5.49,5.62,5.66,-0.16,-2.8269,6788900,37610314.83
2019-05-31,'000711,京蓝科技,5.66,5.8,5.62,5.76,5.75,-0.09,-1.5652,8758060,49739540.16
2019-05-30,'000711,京蓝科技,5.75,5.92,5.69,5.76,5.67,0.08,1.4109,13487696,77941526.51
2019-05-29,'000711,京蓝科技,5.67,5.74,5.58,5.6,5.64,0.03,0.5319,7061260,40055780.34
2019-05-28,'000711,京蓝科技,5.64,5.84,5.58,5.66,5.66,-0.02,-0.3534,8599802,49142361.94
2019-05-27,'000711,京蓝科技,5.66,5.67,5.45,5.49,5.49,0.17,3.0965,7124142,39854355.56
2019-05-24,'000711,京蓝科技,5.49,5.63,5.48,5.55,5.6,-0.11,-1.9643,7469320,41418943.4
2019-05-23,'000711,京蓝科技,5.6,5.8,5.5,5.77,5.82,-0.22,-3.7801,12680534,71724504.75
2019-05-22,'000711,京蓝科技,5.82,6.02,5.7,6.02,6.02,-0.2,-3.3223,16090376,94189863.99
2019-05-21,'000711,京蓝科技,6.02,6.02,5.8,5.89,5.89,0.13,2.2071,16566239,98146005.99
2019-05-20,'000711,京蓝科技,5.89,6.13,5.72,6.1,6.35,-0.46,-7.2441,24673125,145707281.23
2019-05-17,'000711,京蓝科技,6.35,6.72,5.96,6.3,6.2,0.15,2.4194,47851029,301501621.92
2019-05-16,'000711,京蓝科技,6.2,6.2,5.73,5.74,5.64,0.56,9.9291,12514666,75909648.63
2019-05-15,'000711,京蓝科技,5.64,5.65,5.56,5.6,5.53,0.11,1.9892,6113017,34326557.35
2019-05-14,'000711,京蓝科技,5.53,5.65,5.46,5.5,5.62,-0.09,-1.6014,6487427,36109281.93
2019-05-13,'000711,京蓝科技,5.62,5.73,5.55,5.56,5.66,-0.04,-0.7067,6289731,35499742.7
2019-05-10,'000711,京蓝科技,5.66,5.74,5.35,5.51,5.5,0.16,2.9091,11044596,61952278.45
2019-05-09,'000711,京蓝科技,5.5,5.63,5.47,5.54,5.56,-0.06,-1.0791,6215825,34417760.31
2019-05-08,'000711,京蓝科技,5.56,5.62,5.27,5.4,5.52,0.04,0.7246,8438876,46347507.68
2019-05-07,'000711,京蓝科技,5.52,5.6,5.42,5.51,5.45,0.07,1.2844,8142360,44904073.8
