日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000712,锦龙股份,13.15,13.3,13.04,13.25,12.84,0.31,2.4143,16820317,221535165.7
2019-06-28,'000712,锦龙股份,12.84,12.98,12.62,12.92,12.98,-0.14,-1.0786,8293959,105943268.81
2019-06-27,'000712,锦龙股份,12.98,13.14,12.76,12.8,12.75,0.23,1.8039,10527513,136575500.72
2019-06-26,'000712,锦龙股份,12.75,12.94,12.5,12.8,13.12,-0.37,-2.8201,10217266,130582994.29
2019-06-25,'000712,锦龙股份,13.12,13.27,12.7,12.89,12.91,0.21,1.6266,15950678,207099614.58
2019-06-24,'000712,锦龙股份,12.91,13.32,12.81,13.24,13.09,-0.18,-1.3751,11199026,145543445.05
2019-06-21,'000712,锦龙股份,13.09,13.34,12.9,12.97,12.97,0.12,0.9252,17948700,235207796.29
2019-06-20,'000712,锦龙股份,12.97,13.36,12.32,12.37,12.4,0.57,4.5968,24063235,310824128.73
2019-06-19,'000712,锦龙股份,12.4,13.0,12.39,12.86,12.18,0.22,1.8062,13591992,172182228.0
2019-06-18,'000712,锦龙股份,12.18,12.32,12.05,12.21,12.21,-0.03,-0.2457,5263403,64155934.33
2019-06-17,'000712,锦龙股份,12.21,12.37,12.09,12.25,12.2,0.01,0.082,5011372,61306675.62
2019-06-14,'000712,锦龙股份,12.2,12.63,12.14,12.55,12.59,-0.39,-3.0977,8504362,105454214.67
2019-06-13,'000712,锦龙股份,12.59,12.7,12.42,12.5,12.49,0.1,0.8006,9544235,120219083.79
2019-06-12,'000712,锦龙股份,12.49,12.79,12.45,12.57,12.64,-0.15,-1.1867,9257792,116634327.0
2019-06-11,'000712,锦龙股份,12.64,12.7,11.8,11.86,11.93,0.71,5.9514,15389532,190713395.94
2019-06-10,'000712,锦龙股份,11.93,12.35,11.53,12.32,12.12,-0.19,-1.5677,10713573,127160116.81
2019-06-06,'000712,锦龙股份,12.12,12.55,12.06,12.39,12.42,-0.3,-2.4155,9345952,115047015.09
2019-06-05,'000712,锦龙股份,12.42,12.68,12.31,12.65,12.48,-0.06,-0.4808,9147870,114498466.46
2019-06-04,'000712,锦龙股份,12.48,12.69,12.33,12.39,12.44,0.04,0.3215,7553139,94445412.07
2019-06-03,'000712,锦龙股份,12.44,12.86,12.42,12.85,12.48,-0.04,-0.3205,9742031,122990222.24
2019-05-31,'000712,锦龙股份,12.48,12.67,12.4,12.47,12.37,0.11,0.8892,8504814,106837233.73
2019-05-30,'000712,锦龙股份,12.37,12.55,12.11,12.5,12.6,-0.23,-1.8254,7940679,98079237.45
2019-05-29,'000712,锦龙股份,12.6,12.79,12.39,12.39,12.55,0.05,0.3984,9536890,120331543.57
2019-05-28,'000712,锦龙股份,12.55,12.75,12.46,12.6,12.63,-0.08,-0.6334,9986054,125715973.55
2019-05-27,'000712,锦龙股份,12.63,12.72,12.15,12.3,12.26,0.37,3.0179,12494993,156309006.1
2019-05-24,'000712,锦龙股份,12.26,12.43,12.11,12.22,12.3,-0.04,-0.3252,7910855,97049806.56
2019-05-23,'000712,锦龙股份,12.3,12.57,12.1,12.2,12.32,-0.02,-0.1623,12222600,150607692.35
2019-05-22,'000712,锦龙股份,12.32,12.59,12.17,12.51,12.6,-0.28,-2.2222,13103927,162665179.11
2019-05-21,'000712,锦龙股份,12.6,13.1,11.9,11.9,11.93,0.67,5.6161,21437194,270928554.53
2019-05-20,'000712,锦龙股份,11.93,12.13,11.63,11.72,11.77,0.16,1.3594,9881262,117683914.69
2019-05-17,'000712,锦龙股份,11.77,12.64,11.6,12.61,12.61,-0.84,-6.6614,14522300,175370774.4
2019-05-16,'000712,锦龙股份,12.61,12.69,12.49,12.64,12.62,-0.01,-0.0792,7943603,99956349.38
2019-05-15,'000712,锦龙股份,12.62,12.69,12.35,12.5,12.38,0.24,1.9386,9717135,122102015.69
2019-05-14,'000712,锦龙股份,12.38,12.74,12.36,12.52,12.53,-0.15,-1.1971,8097861,101741910.12
2019-05-13,'000712,锦龙股份,12.53,12.76,12.39,12.55,12.77,-0.24,-1.8794,7273401,91436050.05
2019-05-10,'000712,锦龙股份,12.77,12.94,12.02,12.6,12.17,0.6,4.9302,15987987,201921408.89
2019-05-09,'000712,锦龙股份,12.17,12.62,12.02,12.04,12.3,-0.13,-1.0569,10758371,132862515.2
2019-05-08,'000712,锦龙股份,12.3,12.68,11.97,12.28,12.54,-0.24,-1.9139,12462290,153667458.51
2019-05-07,'000712,锦龙股份,12.54,12.64,12.02,12.49,12.42,0.12,0.9662,14845624,184402683.31
2019-05-06,'000712,锦龙股份,12.42,13.21,12.42,12.61,13.8,-1.38,-10.0,17719001,225244453.28
2019-04-30,'000712,锦龙股份,13.8,13.91,13.5,13.6,13.55,0.25,1.845,10362861,142430994.98
2019-04-29,'000712,锦龙股份,13.55,14.4,13.32,14.3,14.3,-0.75,-5.2448,21663383,299229530.09
2019-04-26,'000712,锦龙股份,14.3,14.92,14.21,14.47,14.6,-0.3,-2.0548,18280157,265312514.45
2019-04-25,'000712,锦龙股份,14.6,15.57,14.6,15.47,15.45,-0.85,-5.5016,21415115,324571042.27
2019-04-24,'000712,锦龙股份,15.45,15.75,15.12,15.12,15.5,-0.05,-0.3226,19962483,307515012.24
2019-04-23,'000712,锦龙股份,15.5,16.15,14.78,14.78,14.92,0.58,3.8874,35503236,553647290.85
2019-04-22,'000712,锦龙股份,14.92,15.44,14.89,15.39,14.94,-0.02,-0.1339,18590694,280893314.28
2019-04-19,'000712,锦龙股份,14.94,15.1,14.67,14.67,14.69,0.25,1.7018,11475828,170884753.36
2019-04-18,'000712,锦龙股份,14.69,15.08,14.61,15.05,15.02,-0.33,-2.1971,11914889,177118863.87
2019-04-17,'000712,锦龙股份,15.02,15.47,14.9,15.35,15.18,-0.16,-1.054,18961243,287068442.43
2019-04-16,'000712,锦龙股份,15.18,15.25,14.21,14.4,14.63,0.55,3.7594,22517371,331768961.47
2019-04-15,'000712,锦龙股份,14.63,15.58,14.61,15.39,15.12,-0.49,-3.2407,18888442,286678148.44
2019-04-12,'000712,锦龙股份,15.12,15.3,15.0,15.06,15.08,0.04,0.2653,16746260,253557778.21
2019-04-11,'000712,锦龙股份,15.08,15.5,14.94,15.21,15.29,-0.21,-1.3734,21546650,326830591.12
2019-04-10,'000712,锦龙股份,15.29,15.79,14.95,15.64,15.64,-0.35,-2.2379,29065740,443850982.02
2019-04-09,'000712,锦龙股份,15.64,16.46,15.45,15.78,16.03,-0.39,-2.4329,37788352,601072044.63
2019-04-08,'000712,锦龙股份,16.03,17.3,15.9,17.02,16.4,-0.37,-2.2561,65310125,1084099272.83
2019-04-04,'000712,锦龙股份,16.4,16.4,14.75,15.02,14.91,1.49,9.9933,67310690,1075757035.63
2019-04-03,'000712,锦龙股份,14.91,14.96,14.06,14.15,14.25,0.66,4.6316,37722860,549962630.75
2019-04-02,'000712,锦龙股份,14.25,14.68,14.18,14.35,14.45,-0.2,-1.3841,30136875,435815398.71
2019-04-01,'000712,锦龙股份,14.45,14.78,13.98,14.28,14.31,0.14,0.9783,42925147,615261321.01
2019-03-29,'000712,锦龙股份,14.31,14.32,13.23,13.28,13.12,1.19,9.0701,33511025,464574948.77
2019-03-28,'000712,锦龙股份,13.12,13.54,12.89,13.14,13.29,-0.17,-1.2792,14790184,196119720.67
2019-03-27,'000712,锦龙股份,13.29,13.49,13.12,13.33,13.28,0.01,0.0753,12699695,169145910.9
2019-03-26,'000712,锦龙股份,13.28,13.84,13.14,13.56,13.53,-0.25,-1.8477,15862482,214344250.8
2019-03-25,'000712,锦龙股份,13.53,14.11,13.53,13.92,14.24,-0.71,-4.986,19797234,273470334.33
2019-03-22,'000712,锦龙股份,14.24,14.46,13.9,14.33,14.34,-0.1,-0.6974,19399753,275326247.84
2019-03-21,'000712,锦龙股份,14.34,14.75,13.98,14.11,14.09,0.25,1.7743,32999242,475497851.09
2019-03-20,'000712,锦龙股份,14.09,14.28,13.79,13.93,13.95,0.14,1.0036,24045955,336980591.91
2019-03-19,'000712,锦龙股份,13.95,14.24,13.8,13.94,13.92,0.03,0.2155,19964899,279938805.05
2019-03-18,'000712,锦龙股份,13.92,13.92,13.38,13.79,13.7,0.22,1.6058,19420222,265301231.66
2019-03-15,'000712,锦龙股份,13.7,14.1,13.55,13.69,13.51,0.19,1.4064,19291432,266446022.54
2019-03-14,'000712,锦龙股份,13.51,14.3,13.28,13.81,14.05,-0.54,-3.8434,22999763,315554071.8
2019-03-13,'000712,锦龙股份,14.05,14.69,13.96,14.62,14.66,-0.61,-4.161,33271124,474974475.43
2019-03-12,'000712,锦龙股份,14.66,15.16,14.3,14.4,14.2,0.46,3.2394,43635275,640172234.3
2019-03-11,'000712,锦龙股份,14.2,14.53,13.35,13.53,13.4,0.8,5.9701,32743370,455697628.85
2019-03-08,'000712,锦龙股份,13.4,14.33,13.36,13.8,14.65,-1.25,-8.5324,42954625,595381083.82
2019-03-07,'000712,锦龙股份,14.65,15.27,13.95,14.15,14.46,0.19,1.314,57257102,834590468.24
2019-03-06,'000712,锦龙股份,14.46,14.57,13.44,13.44,13.3,1.16,8.7218,54090142,759461106.13
2019-03-05,'000712,锦龙股份,13.3,13.39,12.86,13.01,13.25,0.05,0.3774,25439556,333689750.48
2019-03-04,'000712,锦龙股份,13.25,14.0,12.76,13.17,13.1,0.15,1.145,44148103,589513720.87
2019-03-01,'000712,锦龙股份,13.1,13.42,12.58,12.83,12.65,0.45,3.5573,34205991,446935730.38
2019-02-28,'000712,锦龙股份,12.65,13.12,12.43,13.11,13.2,-0.55,-4.1667,26816605,342285573.15
2019-02-27,'000712,锦龙股份,13.2,13.66,12.8,12.88,12.95,0.25,1.9305,42495175,560881592.72
2019-02-26,'000712,锦龙股份,12.95,13.92,12.95,13.5,13.05,-0.1,-0.7663,60155700,807596000.49
2019-02-25,'000712,锦龙股份,13.05,13.05,12.2,12.5,11.86,1.19,10.0337,53126846,673070707.08
2019-02-22,'000712,锦龙股份,11.86,11.86,10.79,10.85,10.78,1.08,10.0186,44091073,499828003.0
2019-02-21,'000712,锦龙股份,10.78,11.26,10.62,10.69,10.76,0.02,0.1859,27201590,297691096.41
2019-02-20,'000712,锦龙股份,10.76,11.09,10.63,10.9,10.88,-0.12,-1.1029,20795155,225373341.03
2019-02-19,'000712,锦龙股份,10.88,11.4,10.56,10.86,10.56,0.32,3.0303,33920821,372088053.97
2019-02-18,'000712,锦龙股份,10.56,10.75,10.1,10.1,10.04,0.52,5.1793,18665892,194299867.49
2019-02-15,'000712,锦龙股份,10.04,10.3,10.02,10.07,10.11,-0.07,-0.6924,11589683,117406976.0
2019-02-14,'000712,锦龙股份,10.11,10.21,9.98,10.08,10.08,0.03,0.2976,10917057,110071615.12
2019-02-13,'000712,锦龙股份,10.08,10.23,9.73,9.81,9.81,0.27,2.7523,16261472,163108250.35
2019-02-12,'000712,锦龙股份,9.81,9.95,9.7,9.76,9.8,0.01,0.102,8499646,83253027.55
2019-02-11,'000712,锦龙股份,9.8,9.8,9.48,9.48,9.5,0.3,3.1579,7529897,72856306.76
2019-02-01,'000712,锦龙股份,9.5,9.51,9.28,9.28,9.16,0.34,3.7118,6613439,62085075.44
2019-01-31,'000712,锦龙股份,9.16,9.42,8.97,9.12,9.25,-0.09,-0.973,7904057,72856015.51
2019-01-30,'000712,锦龙股份,9.25,9.55,9.24,9.47,9.51,-0.26,-2.734,5455291,51312645.18
2019-01-29,'000712,锦龙股份,9.51,9.65,9.21,9.49,9.51,0.0,0.0,7288410,68765617.43
2019-01-28,'000712,锦龙股份,9.51,9.87,9.45,9.82,9.65,-0.14,-1.4508,8739686,84265712.92
2019-01-25,'000712,锦龙股份,9.65,10.1,9.62,10.08,10.08,-0.43,-4.2659,11821580,116634981.19
2019-01-24,'000712,锦龙股份,10.08,10.22,9.94,9.99,9.9,0.18,1.8182,13173992,132987982.17
2019-01-23,'000712,锦龙股份,9.9,10.08,9.82,10.03,10.01,-0.11,-1.0989,6749876,66935831.76
2019-01-22,'000712,锦龙股份,10.01,10.22,10.01,10.13,10.12,-0.11,-1.087,8060883,81420279.33
2019-01-21,'000712,锦龙股份,10.12,10.27,10.07,10.19,10.17,-0.05,-0.4916,6526333,66275245.01
2019-01-18,'000712,锦龙股份,10.17,10.29,10.05,10.25,10.17,0.0,0.0,8314288,84529369.49
2019-01-17,'000712,锦龙股份,10.17,10.5,10.04,10.46,10.47,-0.3,-2.8653,10248670,104999230.04
2019-01-16,'000712,锦龙股份,10.47,10.59,10.31,10.54,10.56,-0.09,-0.8523,9430209,98389528.43
2019-01-15,'000712,锦龙股份,10.56,10.75,10.31,10.43,10.4,0.16,1.5385,17050809,180372498.44
2019-01-14,'000712,锦龙股份,10.4,10.76,10.26,10.57,10.47,-0.07,-0.6686,11063417,115746146.49
