日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000713,丰乐种业,10.0,10.09,9.51,9.84,9.95,0.05,0.5025,40918867,403420601.83
2019-06-28,'000713,丰乐种业,9.95,10.29,9.75,10.29,10.33,-0.38,-3.6786,34778982,347933382.67
2019-06-27,'000713,丰乐种业,10.33,10.38,10.12,10.26,10.18,0.15,1.4735,33105333,339210834.41
2019-06-26,'000713,丰乐种业,10.18,10.46,10.07,10.25,10.48,-0.3,-2.8626,31890855,326206093.43
2019-06-25,'000713,丰乐种业,10.48,10.99,10.4,10.79,11.0,-0.52,-4.7273,56863338,606236933.66
2019-06-24,'000713,丰乐种业,11.0,11.3,10.23,10.55,10.48,0.52,4.9618,81977570,886234220.44
2019-06-21,'000713,丰乐种业,10.48,10.58,10.31,10.51,10.48,0.0,0.0,46585809,487263827.42
2019-06-20,'000713,丰乐种业,10.48,10.65,10.14,10.6,10.67,-0.19,-1.7807,49537307,513191499.33
2019-06-19,'000713,丰乐种业,10.67,10.93,10.48,10.6,10.61,0.06,0.5655,45194992,482449086.51
2019-06-18,'000713,丰乐种业,10.61,11.22,10.51,10.87,10.91,-0.3,-2.7498,48574647,525446997.57
2019-06-17,'000713,丰乐种业,10.91,11.5,10.59,11.28,11.51,-0.6,-5.2129,55409827,607179952.84
2019-06-14,'000713,丰乐种业,11.51,12.29,11.38,11.6,11.73,-0.22,-1.8755,88674953,1053244160.07
2019-06-13,'000713,丰乐种业,11.73,12.5,11.28,11.6,12.02,-0.29,-2.4126,90917270,1060555454.31
2019-06-12,'000713,丰乐种业,12.02,12.2,10.48,10.6,11.2,0.82,7.3214,117937257,1345699680.53
2019-06-11,'000713,丰乐种业,11.2,11.38,10.57,10.57,10.5,0.7,6.6667,87279386,965381054.65
2019-06-10,'000713,丰乐种业,10.5,10.94,10.06,10.84,10.4,0.1,0.9615,58357181,615029194.76
2019-06-06,'000713,丰乐种业,10.4,11.28,10.39,11.0,11.54,-1.14,-9.8787,64566566,690799819.29
2019-06-05,'000713,丰乐种业,11.54,11.68,10.12,10.25,11.0,0.54,4.9091,98982461,1077173225.43
2019-06-04,'000713,丰乐种业,11.0,11.5,11.0,11.49,12.22,-1.22,-9.9836,30038690,333163579.29
2019-06-03,'000713,丰乐种业,12.22,13.29,11.8,11.9,12.69,-0.47,-3.7037,113223813,1435957923.56
2019-05-31,'000713,丰乐种业,12.69,13.9,12.54,13.9,13.93,-1.24,-8.9017,139864111,1802263198.55
2019-05-30,'000713,丰乐种业,13.93,13.93,12.81,13.0,12.66,1.27,10.0316,160099934,2172165089.99
2019-05-29,'000713,丰乐种业,12.66,12.66,11.11,11.15,11.51,1.15,9.9913,137716889,1655868234.57
2019-05-28,'000713,丰乐种业,11.51,12.35,10.78,10.9,11.51,0.0,0.0,119260762,1369203919.07
2019-05-27,'000713,丰乐种业,11.51,11.51,10.61,11.2,11.11,0.4,3.6004,88956791,990666934.93
2019-05-24,'000713,丰乐种业,11.11,12.2,11.05,11.71,12.28,-1.17,-9.5277,101934533,1165786421.8
2019-05-23,'000713,丰乐种业,12.28,13.67,12.28,12.5,13.64,-1.36,-9.9707,141529547,1781172312.28
2019-05-22,'000713,丰乐种业,13.64,13.64,11.53,11.96,12.4,1.24,10.0,155146237,1993360260.4
2019-05-21,'000713,丰乐种业,12.4,13.26,11.8,12.31,12.68,-0.28,-2.2082,131314545,1631677388.24
2019-05-20,'000713,丰乐种业,16.51,17.4,15.28,17.0,16.05,0.46,2.866,107337458,1747768741.67
2019-05-17,'000713,丰乐种业,16.05,16.05,14.99,14.99,14.59,1.46,10.0069,71807122,1122677742.76
2019-05-16,'000713,丰乐种业,14.59,14.59,13.86,14.14,13.26,1.33,10.0302,78245180,1129427756.3
2019-05-15,'000713,丰乐种业,13.26,13.26,12.18,12.4,12.05,1.21,10.0415,73456680,941355507.38
2019-05-14,'000713,丰乐种业,12.05,12.05,11.1,11.63,10.95,1.1,10.0457,105504986,1245289700.68
2019-05-13,'000713,丰乐种业,10.95,10.95,9.51,9.6,9.95,1.0,10.0503,64374636,670631448.44
2019-05-10,'000713,丰乐种业,9.95,11.23,9.24,9.24,10.27,-0.32,-3.1159,100972475,1012410704.87
2019-05-09,'000713,丰乐种业,10.27,10.27,8.41,9.0,9.34,0.93,9.9572,99897000,907123592.36
2019-05-08,'000713,丰乐种业,9.34,9.34,8.98,8.99,8.49,0.85,10.0118,45221186,419777423.09
2019-05-07,'000713,丰乐种业,8.49,8.49,7.81,8.12,7.72,0.77,9.9741,79757873,665615726.81
2019-05-06,'000713,丰乐种业,7.72,7.72,7.38,7.59,7.02,0.7,9.9715,35044584,269356111.41
2019-04-30,'000713,丰乐种业,7.02,7.02,6.5,6.5,6.52,0.5,7.6687,14592397,99682234.92
2019-04-29,'000713,丰乐种业,6.52,7.06,6.47,6.93,6.95,-0.43,-6.1871,14466104,97504091.48
2019-04-26,'000713,丰乐种业,6.95,7.15,6.71,6.8,6.85,0.1,1.4599,17182578,120438280.56
2019-04-25,'000713,丰乐种业,6.85,7.24,6.8,7.17,7.27,-0.42,-5.7772,17781532,125204132.66
2019-04-24,'000713,丰乐种业,7.27,7.28,6.77,6.89,6.83,0.44,6.4422,19860731,140299713.28
2019-04-23,'000713,丰乐种业,6.83,7.05,6.8,7.03,7.03,-0.2,-2.845,14074873,97423164.4
2019-04-22,'000713,丰乐种业,7.03,7.25,6.85,6.88,6.89,0.14,2.0319,18857504,133592838.92
2019-04-19,'000713,丰乐种业,6.89,6.93,6.68,6.72,6.77,0.12,1.7725,15502331,105668084.6
2019-04-18,'000713,丰乐种业,6.77,6.99,6.72,6.91,6.66,0.11,1.6517,27776595,189607586.55
2019-04-17,'000713,丰乐种业,6.66,6.72,6.46,6.49,6.51,0.15,2.3041,18271866,120305651.68
2019-04-16,'000713,丰乐种业,6.51,6.64,6.19,6.27,6.29,0.22,3.4976,13546991,86841129.68
2019-04-15,'000713,丰乐种业,6.29,6.54,6.27,6.47,6.43,-0.14,-2.1773,13112562,84390866.89
2019-04-12,'000713,丰乐种业,6.43,6.54,6.24,6.3,6.39,0.04,0.626,13765517,88170778.9
2019-04-11,'000713,丰乐种业,6.39,6.78,6.38,6.63,6.29,0.1,1.5898,20290041,132367124.43
2019-04-10,'000713,丰乐种业,6.29,6.42,6.17,6.3,6.32,-0.03,-0.4747,10353207,65111291.68
2019-04-09,'000713,丰乐种业,6.32,6.56,6.2,6.51,6.46,-0.14,-2.1672,15054803,95399521.76
2019-04-08,'000713,丰乐种业,6.46,6.82,6.22,6.28,6.2,0.26,4.1935,24102276,156181103.8
2019-04-04,'000713,丰乐种业,6.2,6.22,6.1,6.16,6.15,0.05,0.813,10319071,63636027.19
2019-04-03,'000713,丰乐种业,6.15,6.17,6.05,6.09,6.05,0.1,1.6529,9289817,56880464.54
2019-04-02,'000713,丰乐种业,6.05,6.15,6.04,6.12,6.07,-0.02,-0.3295,8797645,53609300.18
2019-04-01,'000713,丰乐种业,6.07,6.09,5.88,5.88,5.88,0.19,3.2313,9838889,59357307.87
2019-03-29,'000713,丰乐种业,5.88,5.88,5.68,5.73,5.7,0.18,3.1579,6893873,39995960.91
2019-03-28,'000713,丰乐种业,5.7,5.9,5.7,5.87,5.87,-0.17,-2.8961,7172720,41709526.14
2019-03-27,'000713,丰乐种业,5.87,5.95,5.75,5.92,5.9,-0.03,-0.5085,7400002,43164116.66
2019-03-26,'000713,丰乐种业,5.9,6.15,5.86,6.03,6.03,-0.13,-2.1559,9387989,56470262.72
2019-03-25,'000713,丰乐种业,6.03,6.16,5.93,6.0,6.09,-0.06,-0.9852,9349829,56719816.69
2019-03-22,'000713,丰乐种业,6.09,6.1,5.92,6.06,6.05,0.04,0.6612,9752594,58859174.32
2019-03-21,'000713,丰乐种业,6.05,6.12,6.01,6.05,6.06,-0.01,-0.165,9834502,59700202.63
2019-03-20,'000713,丰乐种业,6.06,6.15,5.93,6.1,6.13,-0.07,-1.1419,11216495,67694098.61
2019-03-19,'000713,丰乐种业,6.13,6.14,5.91,5.98,5.99,0.14,2.3372,14217236,85524129.4
2019-03-18,'000713,丰乐种业,5.99,6.0,5.79,5.85,5.84,0.15,2.5685,9329923,55262917.6
2019-03-15,'000713,丰乐种业,5.84,5.98,5.72,5.73,5.69,0.15,2.6362,8649615,50302949.08
2019-03-14,'000713,丰乐种业,5.69,5.95,5.58,5.89,5.95,-0.26,-4.3697,13191731,75756913.71
2019-03-13,'000713,丰乐种业,5.95,6.32,5.89,6.15,6.09,-0.14,-2.2989,18054648,110695504.07
2019-03-12,'000713,丰乐种业,6.09,6.39,5.97,6.33,6.12,-0.03,-0.4902,27599614,169982160.92
2019-03-11,'000713,丰乐种业,6.12,6.12,5.61,5.61,5.56,0.56,10.0719,19841135,118331186.67
2019-03-08,'000713,丰乐种业,5.56,6.11,5.53,6.0,6.11,-0.55,-9.0016,15395119,90652225.98
2019-03-07,'000713,丰乐种业,6.11,6.16,5.92,5.98,6.01,0.1,1.6639,16245601,98624655.81
2019-03-06,'000713,丰乐种业,6.01,6.05,5.83,5.98,5.96,0.05,0.8389,16332108,97136885.52
2019-03-05,'000713,丰乐种业,5.96,5.98,5.73,5.74,5.79,0.17,2.9361,14263581,83388810.51
2019-03-04,'000713,丰乐种业,5.79,5.89,5.74,5.78,5.75,0.04,0.6957,16019804,93306448.72
2019-03-01,'000713,丰乐种业,5.75,5.76,5.65,5.71,5.7,0.05,0.8772,10171264,58092301.93
2019-02-28,'000713,丰乐种业,5.7,5.73,5.63,5.68,5.7,0.0,0.0,5855748,33282790.52
2019-02-27,'000713,丰乐种业,5.7,5.81,5.62,5.67,5.7,0.0,0.0,12384721,70548026.02
2019-02-26,'000713,丰乐种业,5.7,5.84,5.61,5.74,5.74,-0.04,-0.6969,16770896,96040963.05
2019-02-25,'000713,丰乐种业,5.74,5.74,5.51,5.6,5.52,0.22,3.9855,17128472,96453031.99
2019-02-22,'000713,丰乐种业,5.52,5.54,5.42,5.46,5.5,0.02,0.3636,10148006,55717184.73
2019-02-21,'000713,丰乐种业,5.5,5.68,5.41,5.54,5.62,-0.12,-2.1352,18738538,103231697.61
2019-02-20,'000713,丰乐种业,5.62,6.08,5.61,5.78,5.56,0.06,1.0791,27475105,159363423.08
2019-02-19,'000713,丰乐种业,5.56,5.64,5.46,5.63,5.68,-0.12,-2.1127,13084889,72653492.1
2019-02-18,'000713,丰乐种业,5.68,5.79,5.36,5.39,5.47,0.21,3.8391,20096487,111667041.42
2019-02-15,'000713,丰乐种业,5.47,5.66,5.26,5.33,5.36,0.11,2.0522,18917484,103324072.68
2019-02-14,'000713,丰乐种业,5.36,5.45,5.15,5.19,5.2,0.16,3.0769,13822519,73181276.16
2019-02-13,'000713,丰乐种业,5.2,5.23,5.08,5.11,5.15,0.05,0.9709,10458867,53949873.36
2019-02-12,'000713,丰乐种业,5.15,5.18,5.09,5.12,5.11,0.04,0.7828,9523017,48814841.85
2019-02-11,'000713,丰乐种业,5.11,5.12,4.9,4.92,4.97,0.14,2.8169,10431794,52564392.18
2019-02-01,'000713,丰乐种业,4.97,4.97,4.76,4.76,4.76,0.21,4.4118,8502441,41432321.97
2019-01-31,'000713,丰乐种业,4.76,5.08,4.67,5.05,5.02,-0.26,-5.1793,12660535,61611930.87
2019-01-30,'000713,丰乐种业,5.02,5.14,4.95,4.98,5.05,-0.03,-0.5941,8851628,44723702.79
2019-01-29,'000713,丰乐种业,5.05,5.18,4.96,5.17,5.2,-0.15,-2.8846,15079861,76316576.41
2019-01-28,'000713,丰乐种业,5.2,5.55,5.17,5.5,5.58,-0.38,-6.81,22246771,118346531.69
2019-01-25,'000713,丰乐种业,5.58,5.94,5.37,5.85,5.96,-0.38,-6.3758,35171302,197556368.12
2019-01-24,'000713,丰乐种业,5.96,5.96,5.55,5.68,5.42,0.54,9.9631,42358054,246987557.51
2019-01-23,'000713,丰乐种业,5.42,5.42,5.27,5.27,4.93,0.49,9.9391,10356070,55693937.23
