日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000715,中兴商业,10.31,10.84,10.24,10.83,10.7,-0.39,-3.6449,3522540,36579765.62
2019-06-28,'000715,中兴商业,0.0,0.0,0.0,0.0,10.7,None,None,0,0.0
2019-06-27,'000715,中兴商业,0.0,0.0,0.0,0.0,10.7,None,None,0,0.0
2019-06-26,'000715,中兴商业,0.0,0.0,0.0,0.0,10.7,None,None,0,0.0
2019-06-25,'000715,中兴商业,0.0,0.0,0.0,0.0,10.7,None,None,0,0.0
2019-06-24,'000715,中兴商业,10.7,10.72,10.63,10.64,10.63,0.07,0.6585,4169386,44499751.08
2019-06-21,'000715,中兴商业,10.63,10.64,10.59,10.64,10.63,0.0,0.0,2497123,26504651.43
2019-06-20,'000715,中兴商业,10.63,10.64,10.56,10.61,10.61,0.02,0.1885,2248620,23860085.39
2019-06-19,'000715,中兴商业,10.61,10.63,10.48,10.53,10.5,0.11,1.0476,3035670,32051289.86
2019-06-18,'000715,中兴商业,10.5,10.57,10.48,10.52,10.49,0.01,0.0953,1946491,20454995.98
2019-06-17,'000715,中兴商业,10.49,10.54,10.4,10.45,10.41,0.08,0.7685,1934112,20287267.1
2019-06-14,'000715,中兴商业,10.41,10.44,10.32,10.39,10.37,0.04,0.3857,1711670,17776010.98
2019-06-13,'000715,中兴商业,10.37,10.39,10.31,10.35,10.35,0.02,0.1932,1114853,11544567.77
2019-06-12,'000715,中兴商业,10.35,10.42,10.32,10.38,10.39,-0.04,-0.385,1177700,12196719.3
2019-06-11,'000715,中兴商业,10.39,10.41,10.27,10.29,10.29,0.1,0.9718,2293400,23747387.0
2019-06-10,'000715,中兴商业,10.29,10.29,10.13,10.13,10.14,0.15,1.4793,1205543,12324637.16
2019-06-06,'000715,中兴商业,10.14,10.24,10.12,10.23,10.22,-0.08,-0.7828,1039700,10564465.0
2019-06-05,'000715,中兴商业,10.22,10.22,10.1,10.13,10.1,0.12,1.1881,1802842,18344807.08
2019-06-04,'000715,中兴商业,10.1,10.13,10.06,10.09,10.09,0.01,0.0991,954233,9627084.98
2019-06-03,'000715,中兴商业,10.09,10.18,10.05,10.16,10.13,-0.04,-0.3949,1542400,15584860.0
2019-05-31,'000715,中兴商业,10.13,10.18,10.11,10.18,10.14,-0.01,-0.0986,1496900,15168175.0
2019-05-30,'000715,中兴商业,10.14,10.2,10.13,10.2,10.22,-0.08,-0.7828,1819200,18475023.0
2019-05-29,'000715,中兴商业,10.22,10.22,10.16,10.2,10.2,0.02,0.1961,1906133,19421416.28
2019-05-28,'000715,中兴商业,10.2,10.24,10.16,10.21,10.22,-0.02,-0.1957,1655200,16875806.0
2019-05-27,'000715,中兴商业,10.22,10.27,10.12,10.26,10.25,-0.03,-0.2927,2897740,29521571.0
2019-05-24,'000715,中兴商业,10.25,10.25,9.98,10.06,10.04,0.21,2.0916,4074202,41363871.56
2019-05-23,'000715,中兴商业,10.04,10.28,9.96,10.09,9.83,0.21,2.1363,4599200,46313153.26
2019-05-22,'000715,中兴商业,9.83,10.0,9.8,9.92,9.93,-0.1,-1.007,2913099,28731890.27
2019-05-21,'000715,中兴商业,9.93,10.03,9.71,9.93,9.98,-0.05,-0.501,4027965,39762067.0
2019-05-20,'000715,中兴商业,9.98,10.06,9.58,10.01,10.03,-0.05,-0.4985,3724706,36634329.29
2019-05-17,'000715,中兴商业,10.03,10.24,9.98,10.14,10.19,-0.16,-1.5702,3515100,35375993.0
2019-05-16,'000715,中兴商业,10.19,10.57,10.11,10.31,10.31,-0.12,-1.1639,6500199,67033130.09
2019-05-15,'000715,中兴商业,10.31,10.31,9.5,10.31,9.37,0.94,10.032,5999792,61772018.58
2019-05-14,'000715,中兴商业,0.0,0.0,0.0,0.0,9.37,None,None,0,0.0
