ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000716,ºÚÖ¥Âé,4.31,4.43,4.25,4.38,4.32,-0.01,-0.2315,41362990,178027416.14
2019-06-28,'000716,ºÚÖ¥Âé,4.32,4.43,4.23,4.23,4.34,-0.02,-0.4608,31941740,138456096.5
2019-06-27,'000716,ºÚÖ¥Âé,4.34,4.57,4.33,4.33,4.81,-0.47,-9.7713,86811148,381588004.32
2019-06-26,'000716,ºÚÖ¥Âé,4.81,4.98,4.81,4.81,5.34,-0.53,-9.9251,58890700,283322568.0
2019-06-25,'000716,ºÚÖ¥Âé,5.34,5.6,5.34,5.6,5.93,-0.59,-9.9494,103589940,555361595.16
2019-06-24,'000716,ºÚÖ¥Âé,5.93,6.3,5.71,6.0,5.79,0.14,2.418,166267540,984945014.44
2019-06-21,'000716,ºÚÖ¥Âé,5.79,5.79,5.25,5.28,5.26,0.53,10.076,29350032,163521338.78
2019-06-20,'000716,ºÚÖ¥Âé,5.26,5.3,5.24,5.3,5.28,-0.02,-0.3788,9099086,47897308.36
2019-06-19,'000716,ºÚÖ¥Âé,5.28,5.38,5.25,5.3,5.28,0.0,0.0,12131300,64056561.49
2019-06-18,'000716,ºÚÖ¥Âé,5.28,5.35,5.2,5.26,5.22,0.06,1.1494,9895200,52004215.0
2019-06-17,'000716,ºÚÖ¥Âé,5.22,5.3,5.15,5.3,5.26,-0.04,-0.7605,13198300,68655550.0
2019-06-14,'000716,ºÚÖ¥Âé,5.26,5.44,5.21,5.42,5.42,-0.16,-2.952,18859400,100203360.0
2019-06-13,'000716,ºÚÖ¥Âé,5.42,5.5,5.38,5.5,5.43,-0.01,-0.1842,14206342,77144594.64
2019-06-12,'000716,ºÚÖ¥Âé,5.43,5.58,5.38,5.51,5.52,-0.09,-1.6304,17440200,95203306.0
2019-06-11,'000716,ºÚÖ¥Âé,5.52,5.6,5.33,5.38,5.37,0.15,2.7933,21718200,119679372.0
2019-06-10,'000716,ºÚÖ¥Âé,5.37,5.44,5.2,5.38,5.4,-0.03,-0.5556,13152632,70043422.4
2019-06-06,'000716,ºÚÖ¥Âé,5.4,5.75,5.4,5.55,5.57,-0.17,-3.0521,36344232,201857441.76
2019-06-05,'000716,ºÚÖ¥Âé,5.57,5.7,5.35,5.36,5.35,0.22,4.1121,29219700,161983427.0
2019-06-04,'000716,ºÚÖ¥Âé,5.35,5.48,5.32,5.33,5.41,-0.06,-1.1091,15413880,83141383.6
2019-06-03,'000716,ºÚÖ¥Âé,5.41,5.45,5.23,5.33,5.37,0.04,0.7449,27532430,146589417.2
2019-05-31,'000716,ºÚÖ¥Âé,5.37,5.49,5.21,5.31,5.33,0.04,0.7505,29674303,158149280.46
2019-05-30,'000716,ºÚÖ¥Âé,5.33,5.42,5.26,5.33,5.35,-0.02,-0.3738,11837118,63139329.38
2019-05-29,'000716,ºÚÖ¥Âé,5.35,5.4,5.3,5.37,5.38,-0.03,-0.5576,13713861,73197183.11
2019-05-28,'000716,ºÚÖ¥Âé,5.38,5.48,5.11,5.17,5.18,0.2,3.861,49533547,259660273.08
2019-05-27,'000716,ºÚÖ¥Âé,5.18,5.25,5.14,5.14,5.18,0.0,0.0,18565661,96349439.93
2019-05-24,'000716,ºÚÖ¥Âé,5.18,5.3,5.13,5.26,5.28,-0.1,-1.8939,22588171,117383616.39
2019-05-23,'000716,ºÚÖ¥Âé,5.28,5.54,5.28,5.49,5.46,-0.18,-3.2967,30946930,166982868.71
2019-05-22,'000716,ºÚÖ¥Âé,5.46,5.53,5.36,5.45,5.44,0.02,0.3676,33883092,185101413.8
2019-05-21,'000716,ºÚÖ¥Âé,5.44,5.5,5.28,5.39,5.37,0.07,1.3035,28680846,154426798.56
2019-05-20,'000716,ºÚÖ¥Âé,5.37,5.44,5.02,5.28,5.3,0.07,1.3208,45451733,237432900.82
2019-05-17,'000716,ºÚÖ¥Âé,5.3,5.66,5.22,5.5,5.71,-0.41,-7.1804,67042510,361962495.93
2019-05-16,'000716,ºÚÖ¥Âé,5.71,6.13,5.52,6.06,6.13,-0.42,-6.8515,105288927,608120917.36
2019-05-15,'000716,ºÚÖ¥Âé,6.13,6.45,5.77,5.9,5.9,0.23,3.8983,89586177,548667319.26
2019-05-14,'000716,ºÚÖ¥Âé,5.9,6.0,5.75,5.84,5.92,-0.02,-0.3378,56758586,333887248.1
2019-05-13,'000716,ºÚÖ¥Âé,5.92,5.98,5.7,5.9,5.96,-0.04,-0.6711,47939184,278227629.68
2019-05-10,'000716,ºÚÖ¥Âé,5.96,6.06,5.69,5.89,5.88,0.08,1.3605,78865876,460179624.69
2019-05-09,'000716,ºÚÖ¥Âé,5.88,5.98,5.42,5.5,5.57,0.31,5.5655,60859663,349812688.81
2019-05-08,'000716,ºÚÖ¥Âé,5.57,5.69,5.38,5.45,5.55,0.02,0.3604,39591696,219898995.87
2019-05-07,'000716,ºÚÖ¥Âé,5.55,5.68,5.37,5.43,5.4,0.15,2.7778,30635155,169346921.95
2019-05-06,'000716,ºÚÖ¥Âé,5.4,5.61,5.29,5.31,5.51,-0.11,-1.9964,27150302,147809998.31
2019-04-30,'000716,ºÚÖ¥Âé,5.51,5.59,5.09,5.1,5.16,0.35,6.7829,43361749,229737665.76
2019-04-29,'000716,ºÚÖ¥Âé,5.16,5.31,4.74,5.05,5.15,0.01,0.1942,31577315,161116193.34
2019-04-26,'000716,ºÚÖ¥Âé,5.15,5.63,5.11,5.6,5.55,-0.4,-7.2072,37666699,200713859.91
2019-04-25,'000716,ºÚÖ¥Âé,5.55,6.1,5.51,5.55,5.62,-0.07,-1.2456,65807380,379074307.52
2019-04-24,'000716,ºÚÖ¥Âé,5.62,5.65,5.43,5.48,5.63,-0.01,-0.1776,42852849,238813430.01
2019-04-23,'000716,ºÚÖ¥Âé,5.63,5.75,5.1,5.22,5.23,0.4,7.6482,77251234,422124875.5
2019-04-22,'000716,ºÚÖ¥Âé,5.23,5.34,5.13,5.25,5.32,-0.09,-1.6917,18076063,94161308.83
2019-04-19,'000716,ºÚÖ¥Âé,5.32,5.57,5.23,5.48,5.48,-0.16,-2.9197,23483051,126490450.91
2019-04-18,'000716,ºÚÖ¥Âé,5.48,5.64,5.37,5.43,5.48,0.0,0.0,30779000,169678980.05
2019-04-17,'000716,ºÚÖ¥Âé,5.48,5.6,5.31,5.45,5.44,0.04,0.7353,58520317,319780497.67
2019-04-16,'000716,ºÚÖ¥Âé,5.44,5.45,5.16,5.19,5.25,0.19,3.619,44438687,238300623.06
2019-04-15,'000716,ºÚÖ¥Âé,5.25,5.26,4.94,5.12,5.12,0.13,2.5391,45365283,231053689.71
2019-04-12,'000716,ºÚÖ¥Âé,5.12,5.2,5.11,5.11,5.16,-0.04,-0.7752,13643566,70271622.39
2019-04-11,'000716,ºÚÖ¥Âé,5.16,5.48,5.16,5.35,5.37,-0.21,-3.9106,30571153,160750147.02
