日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000719,中原传媒,7.27,7.28,7.18,7.21,7.1,0.17,2.3944,2940515,21303662.14
2019-06-28,'000719,中原传媒,7.1,7.2,7.09,7.2,7.18,-0.08,-1.1142,1855950,13238794.5
2019-06-27,'000719,中原传媒,7.18,7.28,7.14,7.21,7.23,-0.05,-0.6916,3059364,22059646.58
2019-06-26,'000719,中原传媒,7.23,7.24,7.17,7.22,7.21,0.02,0.2774,1854448,13362124.56
2019-06-25,'000719,中原传媒,7.21,7.24,7.14,7.24,7.24,-0.03,-0.4144,2655800,19091033.0
2019-06-24,'000719,中原传媒,7.24,7.28,7.19,7.26,7.26,-0.02,-0.2755,3118627,22525202.38
2019-06-21,'000719,中原传媒,7.26,7.3,7.18,7.18,7.18,0.08,1.1142,3323012,24098402.5
2019-06-20,'000719,中原传媒,7.18,7.2,7.03,7.08,7.05,0.13,1.844,3366533,23983955.32
2019-06-19,'000719,中原传媒,7.05,7.1,7.05,7.05,6.96,0.09,1.2931,2577474,18233717.96
2019-06-18,'000719,中原传媒,6.96,7.04,6.92,7.02,7.03,-0.07,-0.9957,2879407,20034845.69
2019-06-17,'000719,中原传媒,7.03,7.12,6.99,7.11,7.11,-0.08,-1.1252,5061989,35605386.0
2019-06-14,'000719,中原传媒,7.11,7.21,7.07,7.18,7.17,-0.06,-0.8368,1846096,13199115.38
2019-06-13,'000719,中原传媒,7.17,7.23,7.15,7.22,7.2,-0.03,-0.4167,1948042,13974335.74
2019-06-12,'000719,中原传媒,7.2,7.3,7.17,7.2,7.2,0.0,0.0,2373829,17093122.81
2019-06-11,'000719,中原传媒,7.2,7.22,7.0,7.04,7.04,0.16,2.2727,3103353,22121113.17
2019-06-10,'000719,中原传媒,7.04,7.11,6.97,7.02,7.02,0.02,0.2849,2107453,14820164.51
2019-06-06,'000719,中原传媒,7.02,7.09,7.0,7.09,7.08,-0.06,-0.8475,2413446,17020189.66
2019-06-05,'000719,中原传媒,7.08,7.15,7.05,7.1,7.08,0.0,0.0,2043207,14489698.68
2019-06-04,'000719,中原传媒,7.08,7.16,7.04,7.11,7.12,-0.04,-0.5618,1606318,11401518.84
2019-06-03,'000719,中原传媒,7.12,7.25,7.11,7.24,7.24,-0.12,-1.6575,1695243,12113555.54
2019-05-31,'000719,中原传媒,7.24,7.35,7.14,7.14,7.18,0.06,0.8357,3154312,22891313.91
2019-05-30,'000719,中原传媒,7.18,7.2,7.05,7.18,7.22,-0.04,-0.554,2260620,16063670.07
2019-05-29,'000719,中原传媒,7.22,7.22,7.14,7.21,7.2,0.02,0.2778,1520709,10932147.01
2019-05-28,'000719,中原传媒,7.2,7.35,7.17,7.22,7.22,-0.02,-0.277,3194591,23210388.2
2019-05-27,'000719,中原传媒,7.22,7.25,7.04,7.14,7.13,0.09,1.2623,2448869,17553691.6
2019-05-24,'000719,中原传媒,7.13,7.19,7.04,7.12,7.11,0.02,0.2813,1366910,9698654.2
