日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000720,新能泰山,5.44,5.47,5.39,5.39,5.34,0.1,1.8727,7854760,42568376.61
2019-06-28,'000720,新能泰山,5.34,5.43,5.25,5.38,5.38,-0.04,-0.7435,7568262,40285636.97
2019-06-27,'000720,新能泰山,5.38,5.53,5.36,5.49,5.46,-0.08,-1.4652,8316192,45133154.3
2019-06-26,'000720,新能泰山,5.46,5.58,5.36,5.39,5.44,0.02,0.3676,8251876,45201548.46
2019-06-25,'000720,新能泰山,5.44,5.53,5.32,5.46,5.43,0.01,0.1842,9671102,52380430.16
2019-06-24,'000720,新能泰山,5.43,5.57,5.4,5.49,5.5,-0.07,-1.2727,7565695,41339592.85
2019-06-21,'000720,新能泰山,5.5,5.56,5.32,5.32,5.31,0.19,3.5782,15782916,86337176.99
2019-06-20,'000720,新能泰山,5.31,5.38,5.1,5.13,5.15,0.16,3.1068,10619481,56268112.72
2019-06-19,'000720,新能泰山,5.15,5.22,5.09,5.17,5.08,0.07,1.378,6651641,34394276.15
2019-06-18,'000720,新能泰山,5.08,5.21,5.05,5.2,5.2,-0.12,-2.3077,6326305,32352652.06
2019-06-17,'000720,新能泰山,5.2,5.34,5.14,5.23,5.27,-0.07,-1.3283,10037191,52316882.63
2019-06-14,'000720,新能泰山,5.27,5.54,5.02,5.05,5.05,0.22,4.3564,21267429,113264129.27
2019-06-13,'000720,新能泰山,5.05,5.09,4.94,5.05,5.05,0.0,0.0,7344798,36939846.97
2019-06-12,'000720,新能泰山,5.05,5.11,5.01,5.02,5.03,0.02,0.3976,6836824,34544727.24
2019-06-11,'000720,新能泰山,5.03,5.08,4.93,5.0,4.94,0.09,1.8219,9774267,49034302.33
2019-06-10,'000720,新能泰山,4.94,4.95,4.72,4.72,4.67,0.27,5.7816,13386549,64969694.17
2019-06-06,'000720,新能泰山,4.67,4.99,4.56,4.95,4.96,-0.29,-5.8468,14519540,68790912.2
2019-06-05,'000720,新能泰山,4.96,5.18,4.91,5.16,5.11,-0.15,-2.9354,9453442,47491036.48
2019-06-04,'000720,新能泰山,5.11,5.25,5.07,5.22,5.19,-0.08,-1.5414,7860110,40490685.7
2019-06-03,'000720,新能泰山,5.19,5.27,5.17,5.23,5.23,-0.04,-0.7648,8166637,42553541.01
2019-05-31,'000720,新能泰山,5.23,5.31,5.2,5.2,5.2,0.03,0.5769,5289901,27858745.81
2019-05-30,'000720,新能泰山,5.2,5.24,5.18,5.22,5.22,-0.02,-0.3831,8001032,41630255.37
2019-05-29,'000720,新能泰山,5.22,5.3,5.22,5.3,5.29,-0.07,-1.3233,7410799,38921949.76
2019-05-28,'000720,新能泰山,5.29,5.39,5.28,5.36,5.36,-0.07,-1.306,7972502,42649422.65
2019-05-27,'000720,新能泰山,5.36,5.43,5.29,5.35,5.37,-0.01,-0.1862,7923242,42620264.38
2019-05-24,'000720,新能泰山,5.37,5.48,5.28,5.35,5.35,0.02,0.3738,6740612,36163667.66
2019-05-23,'000720,新能泰山,5.35,5.55,5.34,5.55,5.58,-0.23,-4.1219,10006634,54602563.92
2019-05-22,'000720,新能泰山,5.58,5.66,5.43,5.66,5.63,-0.05,-0.8881,15220258,84373776.76
2019-05-21,'000720,新能泰山,5.63,5.63,5.38,5.39,5.4,0.23,4.2593,14859992,82627856.04
2019-05-20,'000720,新能泰山,5.4,5.45,5.2,5.35,5.37,0.03,0.5587,12016386,63743014.0
2019-05-17,'000720,新能泰山,5.37,5.67,5.31,5.61,5.62,-0.25,-4.4484,14985983,82088131.88
2019-05-16,'000720,新能泰山,5.62,5.73,5.58,5.63,5.63,-0.01,-0.1776,13366452,75274605.31
2019-05-15,'000720,新能泰山,5.63,5.69,5.57,5.66,5.52,0.11,1.9928,12216915,68898824.58
2019-05-14,'000720,新能泰山,5.52,5.75,5.5,5.67,5.73,-0.21,-3.6649,16743361,94419811.89
2019-05-13,'000720,新能泰山,5.73,5.87,5.49,5.51,5.59,0.14,2.5045,23186894,132543980.13
2019-05-10,'000720,新能泰山,5.59,5.69,5.18,5.32,5.19,0.4,7.7071,24832632,134482668.89
2019-05-09,'000720,新能泰山,5.19,5.5,5.16,5.5,5.55,-0.36,-6.4865,19481969,103379102.61
2019-05-08,'000720,新能泰山,5.55,5.72,5.53,5.56,5.74,-0.19,-3.3101,14050178,78903803.68
2019-05-07,'000720,新能泰山,5.74,5.83,5.41,5.5,5.52,0.22,3.9855,24184850,136597920.49
2019-05-06,'000720,新能泰山,5.52,5.98,5.3,5.5,5.67,-0.15,-2.6455,35095015,196881463.24
2019-04-30,'000720,新能泰山,5.67,5.67,5.13,5.13,5.15,0.52,10.0971,11839710,65310135.69
2019-04-29,'000720,新能泰山,5.15,5.7,5.15,5.68,5.72,-0.57,-9.965,29334354,155937584.8
2019-04-26,'000720,新能泰山,5.72,6.39,5.69,6.38,6.31,-0.59,-9.3502,34226230,204393764.34
2019-04-25,'000720,*ST新能,0.0,0.0,0.0,0.0,6.31,None,None,0,0.0
2019-04-24,'000720,*ST新能,6.31,6.36,5.77,5.77,6.07,0.24,3.9539,27876303,168631256.95
2019-04-23,'000720,*ST新能,6.07,6.35,6.07,6.35,6.39,-0.32,-5.0078,17405400,106099765.36
2019-04-22,'000720,*ST新能,6.39,6.73,6.39,6.73,6.73,-0.34,-5.052,23535169,152360367.16
2019-04-19,'000720,*ST新能,6.73,6.79,6.61,6.78,6.74,-0.01,-0.1484,12637070,84376366.25
2019-04-18,'000720,*ST新能,6.74,6.85,6.58,6.79,6.79,-0.05,-0.7364,18854897,126695888.09
2019-04-17,'000720,*ST新能,6.79,6.84,6.54,6.74,6.7,0.09,1.3433,23030226,154444893.0
2019-04-16,'000720,*ST新能,6.7,7.16,6.7,6.9,6.86,-0.16,-2.3324,38729959,267955928.98
2019-04-15,'000720,*ST新能,6.86,6.86,6.6,6.6,6.53,0.33,5.0536,27893579,189946131.07
2019-04-12,'000720,*ST新能,6.53,6.53,6.18,6.19,6.22,0.31,4.9839,19473039,124902707.15
2019-04-11,'000720,*ST新能,6.22,6.56,6.18,6.43,6.51,-0.29,-4.4547,20615626,130480840.75
2019-04-10,'000720,*ST新能,6.51,6.6,6.37,6.47,6.51,0.0,0.0,15067661,98169683.25
2019-04-09,'000720,*ST新能,6.51,6.78,6.25,6.3,6.56,-0.05,-0.7622,26621390,173102738.66
2019-04-08,'000720,*ST新能,6.56,6.56,6.1,6.26,6.25,0.31,4.96,28083689,177235977.64
2019-04-04,'000720,*ST新能,6.25,6.27,6.08,6.25,6.11,0.14,2.2913,26898213,166404752.38
2019-04-03,'000720,*ST新能,6.11,6.11,5.73,5.84,5.82,0.29,4.9828,32114205,192784643.64
2019-04-02,'000720,*ST新能,5.82,5.88,5.72,5.76,5.72,0.1,1.7483,16436308,95233988.12
2019-04-01,'000720,*ST新能,5.72,5.8,5.55,5.58,5.53,0.19,3.4358,18117105,102321467.92
2019-03-29,'000720,*ST新能,5.53,5.59,5.3,5.4,5.51,0.02,0.363,13720813,74814382.42
2019-03-28,'000720,*ST新能,5.51,5.63,5.3,5.34,5.36,0.15,2.7985,14257689,78690219.35
2019-03-27,'000720,*ST新能,5.36,5.56,5.26,5.56,5.54,-0.18,-3.2491,16715739,89604560.15
2019-03-26,'000720,*ST新能,5.54,5.81,5.47,5.8,5.68,-0.14,-2.4648,18632713,105622413.18
2019-03-25,'000720,*ST新能,5.68,5.98,5.55,5.74,5.77,-0.09,-1.5598,17449970,100890917.31
2019-03-22,'000720,*ST新能,5.77,5.92,5.49,5.88,5.64,0.13,2.305,31066838,178078626.05
2019-03-21,'000720,*ST新能,5.64,5.64,5.45,5.45,5.37,0.27,5.0279,13066926,73286068.75
2019-03-20,'000720,*ST新能,5.37,5.37,5.13,5.13,5.11,0.26,5.0881,23214903,123369178.77
2019-03-19,'000720,*ST新能,5.11,5.21,5.02,5.02,4.98,0.13,2.6104,15340851,78681353.59
2019-03-18,'000720,*ST新能,4.98,4.98,4.75,4.77,4.74,0.24,5.0633,19199387,94940487.07
2019-03-15,'000720,*ST新能,4.74,4.79,4.69,4.71,4.71,0.03,0.6369,8129748,38437906.58
2019-03-14,'000720,*ST新能,4.71,4.81,4.65,4.75,4.79,-0.08,-1.6701,11543900,54473837.2
2019-03-13,'000720,*ST新能,4.79,4.88,4.77,4.82,4.88,-0.09,-1.8443,9621637,46415839.54
2019-03-12,'000720,*ST新能,4.88,4.93,4.8,4.93,4.84,0.04,0.8264,14496048,70371804.64
2019-03-11,'000720,*ST新能,4.84,4.89,4.66,4.66,4.66,0.18,3.8627,18044477,86452746.21
2019-03-08,'000720,*ST新能,4.66,4.89,4.66,4.8,4.88,-0.22,-4.5082,19879403,94901359.13
2019-03-07,'000720,*ST新能,4.88,4.95,4.84,4.86,4.86,0.02,0.4115,15999536,78145671.04
2019-03-06,'000720,*ST新能,4.86,4.88,4.67,4.67,4.69,0.17,3.6247,14378903,69304766.45
2019-03-05,'000720,*ST新能,4.69,4.69,4.62,4.64,4.62,0.07,1.5152,8655486,40280667.4
2019-03-04,'000720,*ST新能,4.62,4.75,4.59,4.68,4.67,-0.05,-1.0707,17139236,79991940.08
2019-03-01,'000720,*ST新能,4.67,4.67,4.43,4.43,4.45,0.22,4.9438,16109731,73721139.54
2019-02-28,'000720,*ST新能,4.45,4.45,4.37,4.38,4.38,0.07,1.5982,6824865,30165890.05
2019-02-27,'000720,*ST新能,4.38,4.48,4.29,4.32,4.33,0.05,1.1547,11879382,52289439.35
2019-02-26,'000720,*ST新能,4.33,4.53,4.32,4.39,4.39,-0.06,-1.3667,13430205,59073961.77
2019-02-25,'000720,*ST新能,4.39,4.41,4.21,4.22,4.2,0.19,4.5238,17695656,77323918.75
2019-02-22,'000720,*ST新能,4.2,4.2,3.98,3.99,4.0,0.2,5.0,13774210,57324851.32
2019-02-21,'000720,*ST新能,4.0,4.05,3.93,3.95,3.95,0.05,1.2658,7748641,30944895.82
2019-02-20,'000720,*ST新能,3.95,3.98,3.92,3.93,3.94,0.01,0.2538,4182757,16509680.01
2019-02-19,'000720,*ST新能,3.94,4.04,3.9,3.98,3.98,-0.04,-1.005,7512600,29783351.0
2019-02-18,'000720,*ST新能,3.98,3.98,3.88,3.89,3.88,0.1,2.5773,6089129,24059537.28
2019-02-15,'000720,*ST新能,3.88,3.91,3.85,3.87,3.88,0.0,0.0,5953300,23144900.62
2019-02-14,'000720,*ST新能,3.88,3.94,3.83,3.9,3.9,-0.02,-0.5128,9321400,36175210.0
2019-02-13,'000720,*ST新能,3.9,3.9,3.85,3.9,3.71,0.19,5.1213,14168579,55081161.56
2019-02-12,'000720,*ST新能,3.71,3.73,3.63,3.63,3.64,0.07,1.9231,4839454,17927828.8
2019-02-11,'000720,*ST新能,3.64,3.68,3.58,3.59,3.58,0.06,1.676,4204400,15324573.57
2019-02-01,'000720,*ST新能,3.58,3.58,3.41,3.41,3.41,0.17,4.9853,6371032,22562492.41
2019-01-31,'000720,*ST新能,3.41,3.53,3.41,3.52,3.51,-0.1,-2.849,3631927,12600729.61
2019-01-30,'000720,*ST新能,3.51,3.57,3.51,3.51,3.51,0.0,0.0,1803911,6376058.83
2019-01-29,'000720,*ST新能,3.51,3.67,3.47,3.65,3.65,-0.14,-3.8356,5828800,20655002.03
2019-01-28,'000720,*ST新能,3.65,3.71,3.65,3.68,3.66,-0.01,-0.2732,3085310,11354742.5
2019-01-25,'000720,*ST新能,3.66,3.67,3.64,3.65,3.64,0.02,0.5495,2033132,7423065.8
2019-01-24,'000720,*ST新能,3.64,3.66,3.63,3.64,3.64,0.0,0.0,2312701,8437857.64
2019-01-23,'000720,*ST新能,3.64,3.65,3.62,3.64,3.65,-0.01,-0.274,1943500,7062328.0
2019-01-22,'000720,*ST新能,3.65,3.68,3.63,3.68,3.68,-0.03,-0.8152,2938900,10740713.56
2019-01-21,'000720,*ST新能,3.68,3.73,3.66,3.69,3.67,0.01,0.2725,4890727,18062093.9
2019-01-18,'000720,*ST新能,3.67,3.72,3.64,3.65,3.65,0.02,0.5479,4322495,15885606.5
2019-01-17,'000720,*ST新能,3.65,3.68,3.56,3.58,3.59,0.06,1.6713,6380927,23250481.28
2019-01-16,'000720,*ST新能,3.59,3.63,3.56,3.57,3.57,0.02,0.5602,3584600,12905292.0
2019-01-15,'000720,*ST新能,3.57,3.58,3.54,3.58,3.57,0.0,0.0,2775519,9897371.45
2019-01-14,'000720,*ST新能,3.57,3.61,3.54,3.54,3.56,0.01,0.2809,2727000,9763642.0
2019-01-11,'000720,*ST新能,3.56,3.58,3.54,3.54,3.55,0.01,0.2817,2167901,7718296.56
2019-01-10,'000720,*ST新能,3.55,3.58,3.53,3.53,3.53,0.02,0.5666,3142900,11171097.5
2019-01-09,'000720,*ST新能,3.53,3.62,3.53,3.58,3.57,-0.04,-1.1204,4850423,17340316.19
2019-01-08,'000720,*ST新能,3.57,3.63,3.56,3.61,3.63,-0.06,-1.6529,3706118,13284122.26
2019-01-07,'000720,*ST新能,3.63,3.63,3.53,3.54,3.55,0.08,2.2535,6528722,23448887.22
2019-01-04,'000720,*ST新能,3.55,3.58,3.45,3.46,3.5,0.05,1.4286,5298718,18702266.85
2019-01-03,'000720,*ST新能,3.5,3.53,3.48,3.51,3.51,-0.01,-0.2849,2797300,9798315.0
2019-01-02,'000720,*ST新能,3.51,3.56,3.47,3.49,3.47,0.04,1.1527,6362600,22418498.99
2018-12-28,'000720,*ST新能,3.47,3.53,3.36,3.41,3.38,0.09,2.6627,5576398,19304290.1
2018-12-27,'000720,*ST新能,3.38,3.44,3.36,3.41,3.39,-0.01,-0.295,2420973,8204551.28
2018-12-26,'000720,*ST新能,3.39,3.42,3.37,3.4,3.4,-0.01,-0.2941,1341100,4540827.0
2018-12-25,'000720,*ST新能,3.4,3.49,3.36,3.49,3.5,-0.1,-2.8571,4164818,14199034.48
2018-12-24,'000720,*ST新能,3.5,3.51,3.45,3.49,3.5,0.0,0.0,2644300,9196967.0
2018-12-21,'000720,*ST新能,3.5,3.57,3.4,3.42,3.4,0.1,2.9412,5868700,20530122.0
2018-12-20,'000720,*ST新能,3.4,3.41,3.37,3.39,3.4,0.0,0.0,1881900,6374957.0
2018-12-19,'000720,*ST新能,3.4,3.44,3.38,3.43,3.42,-0.02,-0.5848,1523000,5194665.0
2018-12-18,'000720,*ST新能,3.42,3.43,3.37,3.41,3.43,-0.01,-0.2915,2483800,8448593.0
2018-12-17,'000720,*ST新能,3.43,3.44,3.4,3.42,3.42,0.01,0.2924,1244600,4262184.0
