日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000721,西安饮食,4.43,4.48,4.36,4.37,4.31,0.12,2.7842,8170118,36203809.84
2019-06-28,'000721,西安饮食,4.31,4.43,4.27,4.43,4.38,-0.07,-1.5982,4615925,19981537.59
2019-06-27,'000721,西安饮食,4.38,4.41,4.34,4.35,4.34,0.04,0.9217,5295902,23204176.74
2019-06-26,'000721,西安饮食,4.34,4.42,4.32,4.42,4.41,-0.07,-1.5873,5258198,22934116.56
2019-06-25,'000721,西安饮食,4.41,4.44,4.32,4.43,4.42,-0.01,-0.2262,6721703,29469321.16
2019-06-24,'000721,西安饮食,4.42,4.48,4.39,4.41,4.45,-0.03,-0.6742,6171701,27286598.41
2019-06-21,'000721,西安饮食,4.45,4.49,4.37,4.41,4.38,0.07,1.5982,10947700,48521778.0
2019-06-20,'000721,西安饮食,4.38,4.39,4.21,4.25,4.25,0.13,3.0588,10368600,44850325.0
2019-06-19,'000721,西安饮食,4.25,4.34,4.24,4.29,4.2,0.05,1.1905,7119509,30511402.66
2019-06-18,'000721,西安饮食,4.2,4.26,4.17,4.23,4.24,-0.04,-0.9434,4267100,17974986.0
2019-06-17,'000721,西安饮食,4.24,4.24,4.11,4.14,4.13,0.11,2.6634,5240921,21974227.16
2019-06-14,'000721,西安饮食,4.13,4.29,4.12,4.25,4.28,-0.15,-3.5047,6393507,26882961.61
2019-06-13,'000721,西安饮食,4.28,4.29,4.19,4.22,4.21,0.07,1.6627,6188400,26267689.0
2019-06-12,'000721,西安饮食,4.21,4.29,4.2,4.26,4.26,-0.05,-1.1737,6183156,26195329.76
2019-06-11,'000721,西安饮食,4.26,4.27,4.08,4.08,4.09,0.17,4.1565,7409602,31080256.38
2019-06-10,'000721,西安饮食,4.09,4.11,4.04,4.08,4.07,0.02,0.4914,4089659,16702966.72
2019-06-06,'000721,西安饮食,4.07,4.19,4.03,4.15,4.15,-0.08,-1.9277,4964200,20292588.0
2019-06-05,'000721,西安饮食,4.15,4.21,4.13,4.19,4.14,0.01,0.2415,4626451,19312520.6
2019-06-04,'000721,西安饮食,4.14,4.3,4.08,4.3,4.29,-0.15,-3.4965,6190400,25860116.0
2019-06-03,'000721,西安饮食,4.29,4.43,4.25,4.42,4.42,-0.13,-2.9412,6992100,30180567.0
2019-05-31,'000721,西安饮食,4.42,4.5,4.42,4.47,4.44,-0.02,-0.4505,5079900,22607225.95
2019-05-30,'000721,西安饮食,4.44,4.53,4.4,4.53,4.52,-0.08,-1.7699,6822195,30265413.0
2019-05-29,'000721,西安饮食,4.52,4.59,4.51,4.53,4.55,-0.03,-0.6593,6316781,28747794.65
2019-05-28,'000721,西安饮食,4.55,4.69,4.49,4.62,4.61,-0.06,-1.3015,10008000,46188378.0
2019-05-27,'000721,西安饮食,4.61,4.64,4.42,4.54,4.51,0.1,2.2173,9414160,42827467.88
2019-05-24,'000721,西安饮食,4.51,4.56,4.46,4.47,4.45,0.06,1.3483,5411701,24357799.48
2019-05-23,'000721,西安饮食,4.45,4.64,4.43,4.56,4.59,-0.14,-3.0501,6264100,28372380.9
2019-05-22,'000721,西安饮食,4.59,4.74,4.55,4.66,4.66,-0.07,-1.5021,7233700,33502616.0
2019-05-21,'000721,西安饮食,4.66,4.68,4.56,4.58,4.56,0.1,2.193,6458099,29986962.36
2019-05-20,'000721,西安饮食,4.56,4.57,4.39,4.54,4.53,0.03,0.6623,6178506,27730206.89
2019-05-17,'000721,西安饮食,4.53,4.84,4.51,4.79,4.79,-0.26,-5.428,11019662,51356263.88
2019-05-16,'000721,西安饮食,4.79,4.82,4.72,4.76,4.77,0.02,0.4193,9218263,44034837.66
2019-05-15,'000721,西安饮食,4.77,4.83,4.66,4.69,4.65,0.12,2.5806,10919441,51963339.25
2019-05-14,'000721,西安饮食,4.65,4.76,4.63,4.68,4.77,-0.12,-2.5157,8258899,38704761.13
2019-05-13,'000721,西安饮食,4.77,4.86,4.6,4.67,4.73,0.04,0.8457,11661060,55335761.24
2019-05-10,'000721,西安饮食,4.73,4.76,4.52,4.61,4.58,0.15,3.2751,12171657,57016036.26
2019-05-09,'000721,西安饮食,4.58,4.63,4.51,4.51,4.59,-0.01,-0.2179,5455900,25036541.0
2019-05-08,'000721,西安饮食,4.59,4.67,4.41,4.5,4.58,0.01,0.2183,8927143,40983315.65
2019-05-07,'000721,西安饮食,4.58,4.65,4.49,4.57,4.53,0.05,1.1038,8044901,36742330.59
2019-05-06,'000721,西安饮食,4.53,4.86,4.47,4.86,4.95,-0.42,-8.4848,12626513,58650894.02
2019-04-30,'000721,西安饮食,4.95,4.98,4.82,4.89,4.81,0.14,2.9106,8377294,41264920.5
